business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Remo Frozen Food Supply,Frozen Food Distributor,Frozen food store,Frozen food store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 97741 10803,https://www.instagram.com/p/CR1qeP-F7-B/?utm_medium=copy_link,4.1,62.0,"Thangmeiband, Imphal, Manipur 795001",Thangmeiband,24.822578999999998,93.9364804,ChIJAQAAALsnSTcRveR4o0E7shw,https://www.google.com/maps/place/?q=place_id:ChIJAQAAALsnSTcRveR4o0E7shw,part_371,2026-09-20 20:19:02,304
Frozen Food Imphal,Frozen Food Distributor,Frozen food store,Frozen food store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,5.0,1.0,"QWVQ+9HJ, Chingakham Leirak, Ngangbam Colony, Sanakhwa Yaima Kollup, Imphal, Manipur 795001","Ngangbam Colony, Sanakhwa Yaima Kollup",24.7934839,93.938884,ChIJGe3TdgAnSTcREgFfID93d20,https://www.google.com/maps/place/?q=place_id:ChIJGe3TdgAnSTcREgFfID93d20,part_371,2026-09-20 20:19:02,305
Ruat Ruati Frozen Foods,Frozen Food Distributor,Wholesaler,Wholesaler,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,4.9,11.0,"C-68/1, Ramthar Veng, Aizawl, Mizoram 796008",Ramthar Veng,23.7402539,92.72629189999999,ChIJby6ot2frTTcRkwYKbnJ_RhA,https://www.google.com/maps/place/?q=place_id:ChIJby6ot2frTTcRkwYKbnJ_RhA,part_371,2026-09-20 20:19:02,306
Palem Frozen world,Frozen Food Distributor,Frozen food store,Frozen food store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 82578 81650,N/A,4.6,18.0,"RWGV+F3R, New Assembly Rd, Thangmeiband, Imphal, Manipur 795001",Thangmeiband,24.826236299999998,93.9426405,ChIJ34Hj5VknSTcR6xyW92P_LOU,https://www.google.com/maps/place/?q=place_id:ChIJ34Hj5VknSTcR6xyW92P_LOU,part_371,2026-09-20 20:19:02,307
Veg Frozen Hub,Frozen Food Distributor,Frozen food store,Frozen food store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,5.0,1.0,"RW6P+XQX, Majorkhul, Thangal Bazar, Imphal, Manipur 795001","Majorkhul, Thangal Bazar",24.8126373,93.9367822,ChIJnziyLQAnSTcRgXApLtYqwEI,https://www.google.com/maps/place/?q=place_id:ChIJnziyLQAnSTcRgXApLtYqwEI,part_371,2026-09-20 20:19:02,308
Top Shelf,Frozen Food Distributor,Wholesaler,Wholesaler,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 98632 71160,https://www.instagram.com/topshelf_08?igsh=aWplZnJna2l1MjY3,5.0,,"Mangjil, Singjamei - Kongba Rd, Imphal, Manipur 795001",Takhenchangbam Colony,24.7842925,93.947694,ChIJgf_4zkwnSTcRQvVk_yyzO2w,https://www.google.com/maps/place/?q=place_id:ChIJgf_4zkwnSTcRQvVk_yyzO2w,part_371,2026-09-20 20:19:02,309
Gangmei frozen food,Frozen Food Distributor,Frozen food store,Frozen food store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 81320 94917,https://www.swiggy.com/menu/642823?source=sharing,4.8,,"New Checkon Rd, New Lambulane, Nongpok Inkhol, Imphal, Manipur 795001","New Lambulane, Nongpok Inkhol",24.8078327,93.9477795,ChIJy8DDCZInSTcRO5cppL-wK_k,https://www.google.com/maps/place/?q=place_id:ChIJy8DDCZInSTcRO5cppL-wK_k,part_371,2026-09-20 20:19:02,310
MEIRA FOODS,Frozen Food Distributor,Manufacturer,"Manufacturer, Food manufacturer",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 98622 85324,https://meirafoods.in/,4.2,,"QWPV+RPQ Brahmapur Aribam, Harinath Rd, near via Loklaobung Thong, Takhenchangbam Colony, Leikai, Singjamei, Imphal, Manipur 795001","Takhenchangbam Colony, Leikai, Singjamei",24.7880465,93.945228,ChIJFQ6L314mSTcR_XnyCWJdb6k,https://www.google.com/maps/place/?q=place_id:ChIJFQ6L314mSTcR_XnyCWJdb6k,part_371,2026-09-20 20:19:02,311
Frozen Queen Meat & Sea Foods,Frozen Food Distributor,Frozen food store,Frozen food store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,https://www.facebook.com/frozenqueen123,4.0,,"RX72+867, Soibam Leikai, Imphal, Kairang Meitei, Manipur 795001",Soibam Leikai,24.8133438,93.9505525,ChIJFZZ1_m8nSTcRDW9zx8nnA2o,https://www.google.com/maps/place/?q=place_id:ChIJFZZ1_m8nSTcRDW9zx8nnA2o,part_371,2026-09-20 20:19:02,312
Gourmet Fast Food/Variety Store,Frozen Food Distributor,Variety store,Variety store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,4.3,,"MWC2+W6Q, Wangoi, Manipur 795009",795116,24.6723273,93.9005988,ChIJUyvs0fsvSTcRfIebXew7uYc,https://www.google.com/maps/place/?q=place_id:ChIJUyvs0fsvSTcRfIebXew7uYc,part_371,2026-09-20 20:19:02,313
