business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Imphal College,Junior College and Degree College,College,"College, University",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,https://imphalcollege.edu.in/,4.2,,"QWM9+C3F, Imphal, Manipur 795001",795116,24.783565799999998,93.91768569999999,ChIJG2nBPz0mSTcRIVw-J6o9PCk,https://www.google.com/maps/place/?q=place_id:ChIJG2nBPz0mSTcRIVw-J6o9PCk,part_371,2026-09-20 20:19:24,3042
C.I. College,Junior College and Degree College,Government college,Government college,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,https://www.cicollege.ac.in/,4.5,,"JQH5+32H, CI College Rd, Tengkhal Khunou, Bishnupur, Manipur 795126",Tengkhal Khunou,24.6276804,93.7575966,ChIJzT-ildsySTcR7xcmZa1la3w,https://www.google.com/maps/place/?q=place_id:ChIJzT-ildsySTcR7xcmZa1la3w,part_371,2026-09-20 20:19:24,3043
Western college,Junior College and Degree College,College,College,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,https://westerncollege.ac.in/gallery/,4.3,,"QRCV+FGF, FPA Rd, Salam Keikhu, Manipur 795113",795116,24.7711842,93.8438049,ChIJi3UiVK4pSTcR69qMdbKsIXQ,https://www.google.com/maps/place/?q=place_id:ChIJi3UiVK4pSTcR69qMdbKsIXQ,part_371,2026-09-20 20:19:24,3044
"Y.K. College,Wangjing",Junior College and Degree College,College,College,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,4.4,,"Asian Highway 2, Wangkhei, Cherapur, Manipur 795148",Wangkhei,24.593626,94.0377932,ChIJ1btAQLc9STcR-knVD8is4tM,https://www.google.com/maps/place/?q=place_id:ChIJ1btAQLc9STcR-knVD8is4tM,part_371,2026-09-20 20:19:24,3045
Dhanamanjuri Community College,Junior College and Degree College,College,College,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,https://dmcscience.ac.in/,3.5,,"DM College Rd, Dewlahland, Imphal, Manipur 795001",Dewlahland,24.8223779,93.9414099,ChIJQ1qkGqQnSTcR_JRMAkToYq8,https://www.google.com/maps/place/?q=place_id:ChIJQ1qkGqQnSTcR_JRMAkToYq8,part_371,2026-09-20 20:19:25,3046
New Government Junior College and Degree College,Junior College and Degree College,Junior college,"Junior college, Government college",795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",N/A,N/A,4.2,444.0,"Oppsite, Anusha Granites, Vivek Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivek Nagar, Kukatpally",17.4810801,78.41537,ChIJxfEBIaWRyzsRVo-RliSGy5Y,https://www.google.com/maps/place/?q=place_id:ChIJxfEBIaWRyzsRVo-RliSGy5Y,part_371,2026-09-20 20:20:04,9432
PGR JUNIOR COLLEGE,Junior College and Degree College,College,College,795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",+91 91000 97077,https://pgrjuniorcollege.com/,4.7,84.0,"6-2/271/A, opp. BJP Office Road, M J Colony, Vivek Nagar, Kukatpally, Hyderabad, Telangana 500072","M J Colony, Vivek Nagar, Kukatpally",17.4825038,78.4135866,ChIJoY3EkbeRyzsRYqagE9ivxF8,https://www.google.com/maps/place/?q=place_id:ChIJoY3EkbeRyzsRYqagE9ivxF8,part_371,2026-09-20 20:20:05,9433
"Government Degree College, Kukatpally",Junior College and Degree College,College,College,795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",N/A,https://gdcts.cgg.gov.in/kukatpally.edu,4.1,356.0,"FCJ8+J67, Vivek Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivek Nagar, Kukatpally",17.4815298,78.4155518,ChIJSf8GhpiRyzsR_yUB8t-DFmw,https://www.google.com/maps/place/?q=place_id:ChIJSf8GhpiRyzsR_yUB8t-DFmw,part_371,2026-09-20 20:20:05,9434
Pragathi Degree college,Junior College and Degree College,College,College,795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",+91 98494 84835,N/A,3.7,353.0,"padmavati palaza, near Kalamandir Lane, Bhagya Nagar Colony, Kukatpally, Hyderabad, Telangana 500072","Bhagya Nagar Colony, Kukatpally",17.4963998,78.4014333,ChIJ59EHh-uRyzsR3QThZIn3fKo,https://www.google.com/maps/place/?q=place_id:ChIJ59EHh-uRyzsR3QThZIn3fKo,part_371,2026-09-20 20:20:05,9435
Pragathi junior college girls,Junior College and Degree College,College,College,795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",N/A,N/A,4.5,26.0,"FCR5+G83, Vivekananda Nagar, Kukatpally, Hyderabad, Telangana 500072","Vivekananda Nagar, Kukatpally",17.4912729,78.4082907,ChIJnSeOHOSRyzsR52XIzcBxy8g,https://www.google.com/maps/place/?q=place_id:ChIJnSeOHOSRyzsR52XIzcBxy8g,part_371,2026-09-20 20:20:05,9436
