business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Sembang Print Studio,Wedding Invitation Card Printer,Invitation printing service,"Invitation printing service, Custom label printer, Graphic designer, Packaging company, Print shop, Video editing service",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 69093 66430,http://www.sembangstudio.com/,4.3,33.0,"Khoyathong, Thangmeiband, Imphal, Manipur 795001","Khoyathong, Thangmeiband",24.8173905,93.9336909,ChIJEV4g4wAnSTcRxQpWktH-h5Y,https://www.google.com/maps/place/?q=place_id:ChIJEV4g4wAnSTcRxQpWktH-h5Y,part_371,2026-09-20 20:19:25,3258
Arambai Illustrations,Wedding Invitation Card Printer,Digital printing service,Digital printing service,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,4.9,17.0,"New Checkon Rd, Konjeng Poila Leikai, Soibam Leikai, Imphal, Manipur 795001","Konjeng Poila Leikai, Soibam Leikai",24.8074881,93.9519234,ChIJTcf4SqMnSTcRXS9bFf0PfDw,https://www.google.com/maps/place/?q=place_id:ChIJTcf4SqMnSTcRXS9bFf0PfDw,part_371,2026-09-20 20:19:25,3259
Box & Card,Wedding Invitation Card Printer,Corporate office,Corporate office,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 70850 99862,https://www.facebook.com/boxncard,4.0,4.0,"QWJQ+GGR, Singjamei Top Leikai, Singjamei, Imphal, Manipur 795008","Singjamei Top Leikai, Singjamei",24.781368,93.9387702,ChIJSWDxh2cmSTcRsZUerAUaI0M,https://www.google.com/maps/place/?q=place_id:ChIJSWDxh2cmSTcRsZUerAUaI0M,part_371,2026-09-20 20:19:25,3260
KDR CARD,Wedding Invitation Card Printer,Invitation printing service,Invitation printing service,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 87941 88625,N/A,,,"Makha Leikai, Nambol, Manipur 795134",Makha Leikai,24.7160188,93.83657749999999,ChIJgzJA5McvSTcRhdJWuKQU1cI,https://www.google.com/maps/place/?q=place_id:ChIJgzJA5McvSTcRhdJWuKQU1cI,part_371,2026-09-20 20:19:25,3261
ST Printers E-Service,Wedding Invitation Card Printer,Digital printing service,"Digital printing service, Custom t-shirt store",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,4.9,47.0,"Central Jail Road, Old Lambulane Rd, opp. GP Womens College, Imphal, Manipur 795001",Sanakhwa Yaima Kollup,24.8009514,93.9385533,ChIJxwPc-HYnSTcRWwC4l9Sxr14,https://www.google.com/maps/place/?q=place_id:ChIJxwPc-HYnSTcRWwC4l9Sxr14,part_371,2026-09-20 20:19:25,3262
UV Enterprises,Wedding Invitation Card Printer,Digital printing service,Digital printing service,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 70051 39749,N/A,4.7,3.0,"Thongju Part - II, near Yoibu Yoihen Lup, Boroimakhong, Imphal, Manipur 795003",Boroimakhong,24.760744499999998,93.9383022,ChIJh4IA_QcnSTcRXshEVOOLOtI,https://www.google.com/maps/place/?q=place_id:ChIJh4IA_QcnSTcRXshEVOOLOtI,part_371,2026-09-20 20:19:25,3263
RIDGE GRAPHICS,Wedding Invitation Card Printer,Digital printing service,Digital printing service,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 98568 55430,N/A,4.2,5.0,"Komlakhong, Hiyanglam Ii, Manipur 795132",795116,24.520290799999998,93.8746618,ChIJp-Omaag3STcRR_B5AG7-bsQ,https://www.google.com/maps/place/?q=place_id:ChIJp-Omaag3STcRR_B5AG7-bsQ,part_371,2026-09-20 20:19:25,3264
K. K. Printers,Wedding Invitation Card Printer,Print shop,"Print shop, Bookbinder, Copy shop, Offset Printer",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 97741 15693,N/A,5.0,1.0,"RW3P+656, Governer Rd, Paona Bazar, Imphal, Manipur 795001",Paona Bazar,24.803041999999998,93.9353943,ChIJO-ljEk0mSTcRSe2ouvNE87k,https://www.google.com/maps/place/?q=place_id:ChIJO-ljEk0mSTcRSe2ouvNE87k,part_371,2026-09-20 20:19:25,3265
Manipur Press,Wedding Invitation Card Printer,Commercial printer,"Commercial printer, Art gallery",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 94360 39375,https://manipurgovtpress.nic.in/,4.6,5.0,"near Leima Shopping Complex, Paona Bazar, Imphal, Manipur 795004",Paona Bazar,24.8048717,93.9351282,ChIJH6faM00mSTcR3IY9qrAf9gw,https://www.google.com/maps/place/?q=place_id:ChIJH6faM00mSTcR3IY9qrAf9gw,part_371,2026-09-20 20:19:25,3266
M/S Printing Press,Wedding Invitation Card Printer,Computer software store,"Computer software store, Digital printing service, Money transfer service, Offset Printer, Printing equipment supplier, Seal shop, Unemployment office",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,3.5,4.0,"Mayang Imphal, Manipur 795132",795116,24.6167619,93.88872699999999,ChIJOb5s1mEwSTcRnYTudYt9cqo,https://www.google.com/maps/place/?q=place_id:ChIJOb5s1mEwSTcRnYTudYt9cqo,part_371,2026-09-20 20:19:25,3267
COLORBASKET,Wedding Invitation Card Printer,Digital printing service,Digital printing service,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 69092 02700,N/A,5.0,4.0,"Hamleikhong, TTA Building, Ukhrul, Manipur 795142",795116,25.0890436,94.3590656,ChIJi_LM_IT3SDcR7WLOdCWxUlk,https://www.google.com/maps/place/?q=place_id:ChIJi_LM_IT3SDcR7WLOdCWxUlk,part_371,2026-09-20 20:19:25,3268
Solitaire,Wedding Invitation Card Printer,Greeting card shop,Greeting card shop,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,http://www.facebook.com/solitaire,4.0,,"QWJ8+J8G, Langthabal Lep Mayai Leikai, Sangaiprou Mamang, Ghari, Manipur 795001",Langthabal Lep Mayai Leikai,24.781553,93.91581359999999,ChIJsWf5BRgmSTcRS3N6s7MVMm8,https://www.google.com/maps/place/?q=place_id:ChIJsWf5BRgmSTcRS3N6s7MVMm8,part_371,2026-09-20 20:19:26,3269
