business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
STUDY HUB,Bookstore and Stationery Shop,Book store,Book store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,3.8,,"RX55+67M, Ayangpalli Rd, Soibam Leikai, Imphal, Lairikyengbam Leikai, Manipur 795001",Soibam Leikai,24.8080234,93.95819589999999,ChIJE-ddzgAnSTcRpNen1xnCNVY,https://www.google.com/maps/place/?q=place_id:ChIJE-ddzgAnSTcRpNen1xnCNVY,part_371,2026-09-20 20:19:25
DVR STUDENTS CORNER,Bookstore and Stationery Shop,Stationery store,Stationery store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,5.0,,"Sagolband Tera Tongbram Leikai, Khuraijam Leikai, Imphal, Manipur 795001",Khuraijam Leikai,24.7979752,93.9122122,ChIJ93jSxesnSTcRqVSpnT5-4tQ,https://www.google.com/maps/place/?q=place_id:ChIJ93jSxesnSTcRqVSpnT5-4tQ,part_371,2026-09-20 20:19:25
Mahavir Stationery( Wholesale),Bookstore and Stationery Shop,Pen store,"Pen store, Gift shop, Office supply store, Stationery wholesaler",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 96625 72474,N/A,4.7,,"Near Kastori Bridge, Imphal-West, Thangal Bazar, Imphal, Manipur 795001, Manipur-india, Imphal, Manipur 795001",Thangal Bazar,24.8098355,93.93413819999999,ChIJGfZOyrMnSTcRc5Qjk210wbs,https://www.google.com/maps/place/?q=place_id:ChIJGfZOyrMnSTcRc5Qjk210wbs,part_371,2026-09-20 20:19:25
Sangai Book Store,Bookstore and Stationery Shop,Stationery store,"Stationery store, Book store",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 98626 34783,N/A,5.0,,"Bazar, Mayai Lambi Rd, Samurou, Takhellambam Konjil, Manipur 795009",795116,24.7001904,93.903222,ChIJLZQ1JYYvSTcRllhjG-gcNYI,https://www.google.com/maps/place/?q=place_id:ChIJLZQ1JYYvSTcRllhjG-gcNYI,part_371,2026-09-20 20:19:25
Book Center,Bookstore and Stationery Shop,Book store,Book store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 82590 90074,N/A,5.0,,"ground floor, shop no. 105, Multi Tility shopping complex, Jiribam, Manipur 795116",795116,24.807508499999997,93.1129691,ChIJX8ttKnr_TjcRhEoYL0jj-Qk,https://www.google.com/maps/place/?q=place_id:ChIJX8ttKnr_TjcRhEoYL0jj-Qk,part_371,2026-09-20 20:19:25
Students Gallery,Bookstore and Stationery Shop,Stationery store,Stationery store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,5.0,,"Mekola, Imphal, Malom Tuliyaima, Manipur 795140",Mekola,24.736954299999997,93.8769544,ChIJf5nAf58vSTcRknatctH5DPI,https://www.google.com/maps/place/?q=place_id:ChIJf5nAf58vSTcRknatctH5DPI,part_371,2026-09-20 20:19:25
Kbc Book Room,Bookstore and Stationery Shop,Stationery store,"Stationery store, Book store",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 96129 07897,N/A,4.1,,"Science Gate D, M. Road, opp. D.M. College, Kabo Leika, Imphal, Manipur 795001",Kabo Leika,24.8213658,93.944593,ChIJxVGHH6cnSTcRBKPNpTVyMqY,https://www.google.com/maps/place/?q=place_id:ChIJxVGHH6cnSTcRBKPNpTVyMqY,part_371,2026-09-20 20:19:25
Gautam Books & Stationery,Bookstore and Stationery Shop,Book store,"Book store, Books Wholesaler, Children's Book Store, Comic book store, Outdoor sports store, Pen store, Printing equipment supplier, Stationery store, Stationery wholesaler",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,4.6,,"Ward no 1, 5X2C+2VQ, Kangpokpi, Manipur 795129",795116,25.150159799999997,93.9720001,ChIJNR-IhLzGSDcRg8wy9tthvuM,https://www.google.com/maps/place/?q=place_id:ChIJNR-IhLzGSDcRg8wy9tthvuM,part_371,2026-09-20 20:19:26
Oriental Book and Stationary,Bookstore and Stationery Shop,Book store,"Book store, Stationery store",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 70056 83198,N/A,4.7,,"Ward No 1, SHADC1006C Oriental Book Store, Kangpokpi, Manipur 795129",795116,25.1510495,93.9724203,ChIJfTzeR8PFSDcRp5WWGslx3Cs,https://www.google.com/maps/place/?q=place_id:ChIJfTzeR8PFSDcRp5WWGslx3Cs,part_371,2026-09-20 20:19:26
Ukiyo Bookstore,Bookstore and Stationery Shop,Book store,Book store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,http://www.instagram.com/ukiyo_bookstore,4.5,,"Sega Road, Thouda Bhabok Leikai, Keishamthong, Imphal, Manipur 795001","Thouda Bhabok Leikai, Keishamthong",24.7936497,93.9286717,ChIJywMgU60nSTcRF8hGQ5d67u4,https://www.google.com/maps/place/?q=place_id:ChIJywMgU60nSTcRF8hGQ5d67u4,part_371,2026-09-20 20:19:26
