business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Manipur Trading Corpration,FMCG Distributor,FMCG Goods Wholesaler,"FMCG Goods Wholesaler, Dairy store, Supplier",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 82091 53393,N/A,4.0,4.0,"opposite Uco Bank, Thangal Bazar, Imphal, Manipur 795001",Thangal Bazar,24.8106755,93.934747,ChIJJxSSoKMnSTcR8kmSstZBg8Y,https://www.google.com/maps/place/?q=place_id:ChIJJxSSoKMnSTcR8kmSstZBg8Y,part_371,2026-09-20 20:19:00
Emira Enterprises,FMCG Distributor,FMCG Goods Wholesaler,"FMCG Goods Wholesaler, Labor union",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 84159 22550,N/A,5.0,14.0,"near Imphal, Lilong Bazar, Lilong Chajing, Manipur 795130",Lilong Bazar,24.7176498,93.941746,ChIJJdilh6slSTcR7yb3GSC7wMk,https://www.google.com/maps/place/?q=place_id:ChIJJdilh6slSTcR7yb3GSC7wMk,part_371,2026-09-20 20:19:00
Khunai Enterprises,FMCG Distributor,Food and beverage consultant,"Food and beverage consultant, Dairy Products Supplier",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 85759 69249,N/A,4.8,11.0,"Makha Leikai, Heingang, Imphal, Manipur 795010",Makha Leikai,24.837413899999998,93.9495889,ChIJs_7TAaonSTcR_s1KU4hrb0c,https://www.google.com/maps/place/?q=place_id:ChIJs_7TAaonSTcR_s1KU4hrb0c,part_371,2026-09-20 20:19:00
Amway Distributor,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 75582 82756,https://wa.link/bqx004,5.0,8.0,"Wabagai, Imphal, Manipur 795103",795116,24.5381274,93.9357795,ChIJcyHHDys5STcR7OZgXACBhak,https://www.google.com/maps/place/?q=place_id:ChIJcyHHDys5STcR7OZgXACBhak,part_371,2026-09-20 20:19:00
Mai Industries,FMCG Distributor,FMCG Goods Wholesaler,"FMCG Goods Wholesaler, Manufacturer",795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 70055 72554,N/A,3.9,32.0,"Khongman, Mangjil, Imphal, Khurai Konsam Leikai, Manipur 795003","Khongman, Mangjil",24.8051846,93.9689314,ChIJbaYIofUmSTcRRmZddSc7Z3A,https://www.google.com/maps/place/?q=place_id:ChIJbaYIofUmSTcRRmZddSc7Z3A,part_371,2026-09-20 20:19:00
GMJS ENTERPRISES,FMCG Distributor,Beverage Store,Beverage Store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 96128 30703,N/A,5.0,1.0,"Academy Road Academy, Nongmeibung, Road, Imphal, Manipur 795001",Angom Colony,24.805743099999997,93.9534472,ChIJ-ysre1snSTcROvgjVKC348Y,https://www.google.com/maps/place/?q=place_id:ChIJ-ysre1snSTcROvgjVKC348Y,part_371,2026-09-20 20:19:00
RL Agency,FMCG Distributor,Wholesale grocer,Wholesale grocer,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,4.7,38.0,"Ngaizel Rd, Kulikawn, Aizawl, Mizoram 796005",Kulikawn,23.7075916,92.71873869999999,ChIJI0BSFVaVTTcRbHhfBFo50Vk,https://www.google.com/maps/place/?q=place_id:ChIJI0BSFVaVTTcRbHhfBFo50Vk,part_371,2026-09-20 20:19:00
Yengkhom Enterprises,FMCG Distributor,Wholesale Food Store,Wholesale Food Store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 70855 84614,N/A,3.0,2.0,"Wairi, Senapati leikai, Khuttambam Pareng, Kakching, Manipur 795103",795116,24.5039893,93.9803343,ChIJk0rCLVc5STcRrXJSmlVMc-A,https://www.google.com/maps/place/?q=place_id:ChIJk0rCLVc5STcRrXJSmlVMc-A,part_371,2026-09-20 20:19:00
S.N AGENCY,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 98623 66134,N/A,5.0,1.0,"B 34, Ramhlun North, Aizawl, Mizoram 796012",Ramhlun North,23.7461232,92.7232095,ChIJISg36G7rTTcRPBPnOHNfoTA,https://www.google.com/maps/place/?q=place_id:ChIJISg36G7rTTcRPBPnOHNfoTA,part_371,2026-09-20 20:19:00
Manam Industry.,FMCG Distributor,Spices Wholesaler,Spices Wholesaler,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 81329 15650,N/A,,,"Awang Leikai, Phumlou, Imphal, Manipur 795159",795116,24.886716399999997,93.8529044,ChIJ75Drny_XSDcR5u-bw8C_zZ4,https://www.google.com/maps/place/?q=place_id:ChIJ75Drny_XSDcR5u-bw8C_zZ4,part_371,2026-09-20 20:19:00
Manipur Food Industries Corporation Ltd.,FMCG Distributor,Corporate office,Corporate office,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,5.0,1.0,"VWM5+XM9, Nilakuthi, Potsangbam Khoiru, Manipur 795002",795116,24.884821199999998,93.90933079999999,ChIJ2Ydyz4fZSDcRI4tEbpFRHfY,https://www.google.com/maps/place/?q=place_id:ChIJ2Ydyz4fZSDcRI4tEbpFRHfY,part_371,2026-09-20 20:19:00
M/S Raj Enterprises,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,,,"Khoyathong, Thangmeiband, Imphal, Manipur 795001","Khoyathong, Thangmeiband",24.814695,93.9368721,ChIJZ4dsP_QnSTcRAJFKmsqacew,https://www.google.com/maps/place/?q=place_id:ChIJZ4dsP_QnSTcRAJFKmsqacew,part_371,2026-09-20 20:19:00
Fermenters Kingdom,FMCG Distributor,Food manufacturer,Food manufacturer,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",+91 87878 26278,N/A,5.0,2.0,"QXVG+34F, Naharup Awang Leikai Rd, Keikhu Awang Leikai, Imphal, Ningthoubung, Manipur 795005",Keikhu Awang Leikai,24.792679699999997,93.9752936,ChIJ185wdQAnSTcRptwxZzsHzp0,https://www.google.com/maps/place/?q=place_id:ChIJ185wdQAnSTcRptwxZzsHzp0,part_371,2026-09-20 20:19:00
Bilkish Enterprises,FMCG Distributor,Wholesale Food Store,Wholesale Food Store,795116,North Eastern Circle,North Eastern Region,Manipur Division,"Jiribam Bazar S.O, Bongmun B.O, Borobekra B.O",N/A,N/A,,,"MWJ2+2CG, Wangoi, Manipur 795009",795116,24.6800197,93.9013531,ChIJqW57M3svSTcRX0jGP_ShjE8,https://www.google.com/maps/place/?q=place_id:ChIJqW57M3svSTcRX0jGP_ShjE8,part_371,2026-09-20 20:19:00
