business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The Nagpur Events Planner,Corporate Event Planner,Event management company,Event management company,795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",+91 88306 49822,N/A,4.9,24.0,"G, Guru Sai appt, 14, Gayatri Nagar, Pratap Nagar, Nagpur, Maharashtra 440022","Gayatri Nagar, Pratap Nagar",21.1206684,79.0486815,ChIJ9U6myM3B1DsRJrilshGFCtk,https://www.google.com/maps/place/?q=place_id:ChIJ9U6myM3B1DsRJrilshGFCtk,part_371,2026-09-20 20:20:04
The Knought Events,Corporate Event Planner,Event management company,Event management company,795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",+91 97482 89786,http://www.theknoughtevents.in/,4.8,19.0,"Flat -3A, Star Abasan, Ab-8/26, Deshbandhu Nagar, Raghunathpur, Baguiati, Kolkata, West Bengal 700059","Deshbandhu Nagar, Raghunathpur, Baguiati",22.6185854,88.42611939999999,ChIJ9QrTvl2f-DkRTFJ9x6W4DOM,https://www.google.com/maps/place/?q=place_id:ChIJ9QrTvl2f-DkRTFJ9x6W4DOM,part_371,2026-09-20 20:20:04
PRAVEENSOMU EVENTS,Corporate Event Planner,Event management company,Event management company,795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",+91 73865 28908,https://praveensomuevents.com/,5.0,451.0,"100 Feet Rd, beside Rock and roll bar and restaurant, Chunnam Batti Wada, Srisri Nagar, Mancherial, Telangana 504208","Chunnam Batti Wada, Srisri Nagar",18.8641196,79.4594582,ChIJ-60gaNXLMjoRoUZ8guxhLiE,https://www.google.com/maps/place/?q=place_id:ChIJ-60gaNXLMjoRoUZ8guxhLiE,part_371,2026-09-20 20:20:04
DREEM EVENT GROUP,Corporate Event Planner,Event management company,"Event management company, Hotel",795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",+91 93827 40226,https://www.facebook.com/DREEM-EVENT-DIGHA-Mandarmoni-106694912076335/,4.9,134.0,"JGG4+CCM, Shuvam Sarkar Rd, Palsandapur, Digha, West Bengal 721428",Palsandapur,21.6305306,87.5056038,ChIJg9kCS0DNHDoR3WeKEA3ebuE,https://www.google.com/maps/place/?q=place_id:ChIJg9kCS0DNHDoR3WeKEA3ebuE,part_371,2026-09-20 20:20:04
Krishnam Creations ! Best Event Planner ! Event Management company ! Corporate events ! in Nagpur,Corporate Event Planner,Event management company,"Event management company, Advertising agency, Caterer, Party planner, Wedding planner",795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",+91 98500 13018,http://www.krishnamcreations.in/,4.9,35.0,"391, in front of Rastriya Vidyalay, Hanuman Nagar, Nagpur, Maharashtra 440024",Hanuman Nagar,21.128383,79.1021279,ChIJEa-ZQ8bB1DsRj_pBUrxNTHY,https://www.google.com/maps/place/?q=place_id:ChIJEa-ZQ8bB1DsRj_pBUrxNTHY,part_371,2026-09-20 20:20:04
Ocean Event Management,Corporate Event Planner,Event management company,"Event management company, Logistics service, Wedding planner, Wedding service, Wedding venue",795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",+91 86694 49566,N/A,4.9,68.0,"1st floor, sanjay height, Beltarodi Rd, Manish Nagar, Besa, Besa Pipla, Maharashtra 440037","Manish Nagar, Besa",21.087368599999998,79.080929,ChIJSZemYa651DsRAhOJAk44cJg,https://www.google.com/maps/place/?q=place_id:ChIJSZemYa651DsRAhOJAk44cJg,part_371,2026-09-20 20:20:04
Yakub Events,Corporate Event Planner,Event planner,"Event planner, Event management company, Wedding planner, Wedding service",795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",+91 95733 32116,http://www.yakubevents.com/,4.9,303.0,"Lashkar Singaram, Naim Nagar, Hanamkonda, Telangana 506009","Lashkar Singaram, Naim Nagar",18.0190688,79.55089989999999,ChIJOS75WYNPMzoRaHzu-k7E70Y,https://www.google.com/maps/place/?q=place_id:ChIJOS75WYNPMzoRaHzu-k7E70Y,part_371,2026-09-20 20:20:04
Hk event planner,Corporate Event Planner,Event management company,Event management company,795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",N/A,N/A,5.0,47.0,"L-7/15, Raje Raghuji Nagar, Somwaripeth, Nagpur, Maharashtra 440024","Raje Raghuji Nagar, Somwaripeth",21.1237346,79.10861589999999,ChIJn08UwCzB1DsRYiW0PJnrx78,https://www.google.com/maps/place/?q=place_id:ChIJn08UwCzB1DsRYiW0PJnrx78,part_371,2026-09-20 20:20:04
Desire UR Dreams Event management services,Corporate Event Planner,Event management company,"Event management company, Corporate gift supplier, Service establishment, Event planner, Restaurant supply store, Wedding planner",795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",N/A,http://www.desireurdreams.com/,4.9,,"Desire UR Dreams Event management services, 795117, India",795117,12.987976999999999,77.6217144,ChIJEUvOnngZrjsRiKeYpCfIgtI,https://www.google.com/maps/place/?q=place_id:ChIJEUvOnngZrjsRiKeYpCfIgtI,part_371,2026-09-20 20:20:05
Dreams events,Corporate Event Planner,Event planner,Event planner,795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",+91 86867 47669,N/A,4.9,,"6/975, Jawahar Nagar, Balaji Nagar, Hyderabad, Secunderabad, Telangana 500081","Jawahar Nagar, Balaji Nagar",17.5083274,78.55879829999999,ChIJE0p_jFubyzsRyMH_vDjNk8g,https://www.google.com/maps/place/?q=place_id:ChIJE0p_jFubyzsRyMH_vDjNk8g,part_371,2026-09-20 20:20:05
