business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
THETHEM BOUTIQUE (GOD GIFT TAILORING),Tailor and Fashion Designer,Tailor,Tailor,795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",+91 87985 02288,N/A,,,"9PM5+954, Churachandpur, Manipur 795128",795117,24.383378,93.7079282,ChIJnwgzMQCzTjcR2BT5ZwvwCgo,https://www.google.com/maps/place/?q=place_id:ChIJnwgzMQCzTjcR2BT5ZwvwCgo,part_371,2026-09-20 20:19:43
Rupasi Ladies Tailors,Tailor and Fashion Designer,Tailor,Tailor,795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",+91 96813 09620,N/A,4.7,,"Basement, Stall No.B, 117, Gariahat K.M.C. Market, 212, Rash Behari Ave, Gariahat Market, Gariahat, Kolkata, West Bengal 700019","Gariahat Market, Ballygunge Gardens, Gariahat",22.519285999999997,88.36586799999999,ChIJc49-XNR2AjoROhBNZ_Twpvg,https://www.google.com/maps/place/?q=place_id:ChIJc49-XNR2AjoROhBNZ_Twpvg,part_371,2026-09-20 20:19:44
ROYYD,Tailor and Fashion Designer,Tailor,Tailor,795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",+91 76888 88825,http://royyd.com/,4.9,,"Pratap plaza, B-10, Tonk Rd, Sanganer, Sector 5, Pratap Nagar, Jaipur, Rajasthan 302033","Sanganer, Sector 5, Pratap Nagar",26.8022906,75.8089741,ChIJvRgbOmTJbTkRh9tE_CtcT8c,https://www.google.com/maps/place/?q=place_id:ChIJvRgbOmTJbTkRh9tE_CtcT8c,part_371,2026-09-20 20:19:44
Calcutta Textile - Gents and ladies Tailors,Tailor and Fashion Designer,Gents Tailor,Gents Tailor,795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",+91 79087 48894,N/A,4.9,,"College Rd, Keranitola, B T, Midnapore, West Bengal 721101","Keranitola, B T",22.4227402,87.3169072,ChIJJ3cyBABbHToRXBvqG0Bbrs0,https://www.google.com/maps/place/?q=place_id:ChIJJ3cyBABbHToRXBvqG0Bbrs0,part_371,2026-09-20 20:19:44
New Libas Textiles ( Raymond ),Tailor and Fashion Designer,Tailor,"Tailor, Fabric store, Fashion designer, Gents Tailor, Designer Clothing Store",795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",+91 97725 77672,N/A,4.7,,"New Sanganer Rd, near chordiya petrol pump, Asind Nagar, Sanganer, Jaipur, Rajasthan 302029","Asind Nagar, Sanganer",26.8195302,75.7817709,ChIJ5ZcMvHXKbTkR7Q2iQrktE1U,https://www.google.com/maps/place/?q=place_id:ChIJ5ZcMvHXKbTkR7Q2iQrktE1U,part_371,2026-09-20 20:19:44
Basanti smart sew tailoring trening center,Tailor and Fashion Designer,Tailor,Tailor,795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",+91 89724 52708,N/A,4.9,,"west, Boxibazar, Midnapore, West Bengal 721101","west, Boxibazar",22.410477999999998,87.32360419999999,ChIJP54BhzdbHToRS6yq5dnnJbg,https://www.google.com/maps/place/?q=place_id:ChIJP54BhzdbHToRS6yq5dnnJbg,part_371,2026-09-20 20:19:44
Fashion Ledies Tellers,Tailor and Fashion Designer,Tailor,Tailor,795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",+91 90642 12195,N/A,5.0,,"NH 6, gola bazar, chowrongi bazar, Debra, Balichak, West Bengal 721301",chowrongi bazar,22.366011999999998,87.550342,ChIJJ6jciL2yAjoRAAAAsJwbrXA,https://www.google.com/maps/place/?q=place_id:ChIJJ6jciL2yAjoRAAAAsJwbrXA,part_371,2026-09-20 20:19:44
Modern Fashion Textiles & Tailoring Company,Tailor and Fashion Designer,Tailor,"Tailor, Dress store",795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",+91 141 236 2996,https://www.justdial.com/Jaipur/Modern-Fashion-Textiles-Tailoring-Co-Near-Rajasthali-M-I-Road/0141P141STDJE00079_BZDET,4.0,,"Shop No-4,5 Near Ajmeri Gate, Near Rajasthali, Mirza Ismail Rd, Jaipur, Rajasthan 302001","Kamla Nehru Market West, Jayanti Market, New Colony",26.917038299999998,75.8158528,ChIJRUB9ba22bTkRZ_yPCtVZ654,https://www.google.com/maps/place/?q=place_id:ChIJRUB9ba22bTkRZ_yPCtVZ654,part_371,2026-09-20 20:19:44
Beauty Ladies Tailors,Tailor and Fashion Designer,Tailor,"Tailor, Women's clothing store",795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",+91 82403 21276,http://www.beautyladiestailor.com/,4.3,,"Sodepur Rd, Super Market, Bireshpally, Madhyamgram, West Bengal 700129","Super Market, Bireshpally, Madhyamgram",22.694749899999998,88.4561081,ChIJx4iuZ6Of-DkRBvUwID4KM5k,https://www.google.com/maps/place/?q=place_id:ChIJx4iuZ6Of-DkRBvUwID4KM5k,part_371,2026-09-20 20:19:44
THE SANNY TAILORS,Tailor and Fashion Designer,Gents Tailor,"Gents Tailor, Men's clothing store",795117,North Eastern Circle,North Eastern Region,Manipur Division,"Saikot S.O, Khouwpuibung B.O, Mual Vaiphei B.O",+91 98510 18072,N/A,4.0,,"TAMLUK,, PURBA MEDINIPUR,, West Bengal 721636",795117,22.291593199999998,87.9263612,ChIJOVIkzHOUAjoR4HiViP1In8Y,https://www.google.com/maps/place/?q=place_id:ChIJOVIkzHOUAjoR4HiViP1In8Y,part_371,2026-09-20 20:19:44
