business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
IS PHARMACY,24 Hour Pharmacy,Pharmacy,Pharmacy,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",+91 82589 08426,N/A,5.0,,"Chingphu Rd, Malom Tuliyaima, Manipur 795140",795118,24.7361193,93.876831,ChIJj2CvXT0vSTcRQ9nc04VGTbo,https://www.google.com/maps/place/?q=place_id:ChIJj2CvXT0vSTcRQ9nc04VGTbo,part_371,2026-09-20 20:20:30
"Pradhan Mantri Jan aushadhi Kendra, Pharmacy",24 Hour Pharmacy,Pharmacy,Pharmacy,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",N/A,N/A,5.0,,"72GG+2V5, Senapati, Manipur 795106",795118,25.275077399999997,94.02716989999999,ChIJwWbRKwu_SDcRjilx4b7AfnU,https://www.google.com/maps/place/?q=place_id:ChIJwWbRKwu_SDcRjilx4b7AfnU,part_371,2026-09-20 20:20:30
Simion pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",N/A,N/A,5.0,,"V2CG+22W, Keibi Heikak Mapal, Manipur 795010",795118,24.8701087,94.0250903,ChIJu_q9ZzrfSDcRBbQu39BVWj4,https://www.google.com/maps/place/?q=place_id:ChIJu_q9ZzrfSDcRBbQu39BVWj4,part_371,2026-09-20 20:20:30
NAOBA PHARMACY,24 Hour Pharmacy,Pharmacy,Pharmacy,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",+91 69090 14119,N/A,5.0,,"Imphal, Khurkhul Makha Leikai, Manipur, Sekmai Nagar, Manipur 795002","Imphal, Khurkhul Makha Leikai",24.9151444,93.86468239999999,ChIJSTJiFATXSDcRjf4OqPxqaHs,https://www.google.com/maps/place/?q=place_id:ChIJSTJiFATXSDcRjf4OqPxqaHs,part_371,2026-09-20 20:20:30
ASHI PHARMACY,24 Hour Pharmacy,Pharmacy,Pharmacy,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",N/A,N/A,5.0,,"Mandir, Kanglatongbi, Imphal, Manipur 795136",795118,24.980857999999998,93.8904646,ChIJlRcyGVHRSDcRC34IZma9YIs,https://www.google.com/maps/place/?q=place_id:ChIJlRcyGVHRSDcRC34IZma9YIs,part_371,2026-09-20 20:20:30
Medleaf pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",N/A,N/A,5.0,,"RW6F+WRJ, RIMS Rd, Kombirei Keithel, Uripok, Imphal, Manipur 795001","Kombirei Keithel, Uripok",24.8122977,93.9245564,ChIJi-nlYQAnSTcRy5sftmNGaKo,https://www.google.com/maps/place/?q=place_id:ChIJi-nlYQAnSTcRy5sftmNGaKo,part_371,2026-09-20 20:20:30
Doctor Plus Pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",+91 87983 67442,N/A,5.0,,"Ayangpalli road, Yonglan Leirak Rd, Imphal, Manipur 795003",Wangkhei,24.7935545,93.95924529999999,ChIJca2xGiknSTcRhpbUzQKUEaw,https://www.google.com/maps/place/?q=place_id:ChIJca2xGiknSTcRhpbUzQKUEaw,part_371,2026-09-20 20:20:30
Simeon medical store,24 Hour Pharmacy,Pharmacy,Pharmacy,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",N/A,N/A,5.0,,"V2CF+2X9, Sawombung Kabui Khunjao, Keibi Heikak Mapal, Manipur 795010",795118,24.8700478,94.0249802,ChIJA4GQcD7fSDcRcEVEv95knpY,https://www.google.com/maps/place/?q=place_id:ChIJA4GQcD7fSDcRcEVEv95knpY,part_371,2026-09-20 20:20:30
Gold Pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",N/A,N/A,5.0,,"QWXM+8HX, Keishampat, Aheibam, Leikai, Imphal, Manipur 795001","Keishampat, Aheibam",24.798367799999998,93.9339785,ChIJa_jztu8nSTcRaSlR37ECgCQ,https://www.google.com/maps/place/?q=place_id:ChIJa_jztu8nSTcRaSlR37ECgCQ,part_371,2026-09-20 20:20:30
M/S WASHIM MEDICAL STORE,24 Hour Pharmacy,Pharmacy,"Pharmacy, Drug store",795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",+91 98563 80632,N/A,5.0,,"Keithelmanbi Yairipok Rd, Yairipok, Manipur 795149",795118,24.6806254,94.04265439999999,ChIJceEyvUYjSTcRPYYymEcseTc,https://www.google.com/maps/place/?q=place_id:ChIJceEyvUYjSTcRPYYymEcseTc,part_371,2026-09-20 20:20:31
M/S N.R.S Medico's,24 Hour Pharmacy,Pharmacy,Pharmacy,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",N/A,N/A,,,"RW7G+74V, RIMS Rd, Uripok, Imphal, Manipur 795001",Uripok,24.8132178,93.92528569999999,ChIJ_9iyYAAnSTcRx7UGjy-SrLE,https://www.google.com/maps/place/?q=place_id:ChIJ_9iyYAAnSTcRx7UGjy-SrLE,part_371,2026-09-20 20:20:31
Chingthang Pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",+91 87319 10393,N/A,2.8,5.0,"QWXW+5FJ, Palace Compound, near AB Institute, Imphal, Manipur 795001",Wangkhei,24.797958599999998,93.94612819999999,ChIJtyJDEVYmSTcRNp90gpKVenU,https://www.google.com/maps/place/?q=place_id:ChIJtyJDEVYmSTcRNp90gpKVenU,part_371,2026-09-20 20:20:32
"Radha Medicals, Udupi",24 Hour Pharmacy,Pharmacy,Pharmacy,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",+91 820 429 2599,https://www.radhamedicals.in/store/32MzzdLOXox5UOCr52dR,4.2,297.0,"Ground Floor, Raj towers, opp. city bus stand, Udupi, Karnataka 576101",795118,13.3443838,74.7483681,ChIJd3yhVWS7vDsRbUPyc5oq-mM,https://www.google.com/maps/place/?q=place_id:ChIJd3yhVWS7vDsRbUPyc5oq-mM,part_371,2026-09-20 20:20:32
