business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Amy Hostel,Hostels,Student dormitory,Student dormitory,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",N/A,N/A,5.0,1.0,"Ward No-5, Lamdil Veng, Maohing Road, Kangpokpi, Manipur 795129",795118,25.1581391,93.97139539999999,ChIJf0bpagDHSDcReo4CIvUCdm4,https://www.google.com/maps/place/?q=place_id:ChIJf0bpagDHSDcReo4CIvUCdm4,part_371,2026-09-20 20:20:43
Emmanuel Hostel Kangpokpi,Hostels,Boys' hostel,Boys' hostel,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",N/A,N/A,,,"ward no - 1, opposite Euro Kids, Kangpokpi, Manipur 795129",795118,25.1538357,93.9735999,ChIJ3R4sNznHSDcR09bH6thnbUs,https://www.google.com/maps/place/?q=place_id:ChIJ3R4sNznHSDcR09bH6thnbUs,part_371,2026-09-20 20:20:43
Madan Female Hostel,Hostels,Backpacker Hostel,Backpacker Hostel,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",N/A,N/A,,,"Hipi Rd, Kalapahar, Manipur 795122",795118,25.1131393,93.95493689999999,ChIJEbZSWXzFSDcRa_STIGx0jVw,https://www.google.com/maps/place/?q=place_id:ChIJEbZSWXzFSDcRa_STIGx0jVw,part_371,2026-09-20 20:20:43
ENVISION HOSTEL,Hostels,Computer support and services,Computer support and services,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",+91 81320 51300,N/A,,,"FG5, Kangpokpi, Manipur 795129",795118,25.144150699999997,93.9656863,ChIJleFBlcnHSDcRaGyCcocFvzk,https://www.google.com/maps/place/?q=place_id:ChIJleFBlcnHSDcRaGyCcocFvzk,part_371,2026-09-20 20:20:43
Waikhom colony,Hostels,Student dormitory,Student dormitory,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",+91 69092 52245,N/A,5.0,2.0,"Leitanpokpi, Manipur 795118",795118,25.0083125,94.0215625,ChIJYbT7pETdSDcRu-3XuQ-D9UQ,https://www.google.com/maps/place/?q=place_id:ChIJYbT7pETdSDcRu-3XuQ-D9UQ,part_371,2026-09-20 20:20:43
Susan Residencia Lodge,Hostels,Hotel,Hotel,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",N/A,N/A,4.5,,"72CG+Q44, NH2, Senapati, Manipur 795106",795118,25.271884399999998,94.0253299,ChIJo5MrGQG_SDcRzXz2ePs0wkc,https://www.google.com/maps/place/?q=place_id:ChIJo5MrGQG_SDcRzXz2ePs0wkc,part_371,2026-09-20 20:20:43
Lodge Pinewood,Hostels,Lodging,Lodging,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",N/A,N/A,4.1,,"3rd Floor, PNBA Building, AH2, Senapati, Manipur 795106",795118,25.271389199999998,94.0246714,ChIJY7jXRwG_SDcRL6zOIrAZ4j4,https://www.google.com/maps/place/?q=place_id:ChIJY7jXRwG_SDcRL6zOIrAZ4j4,part_371,2026-09-20 20:20:43
Emmanuel Hostel,Hostels,Student housing center,Student housing center,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",N/A,N/A,4.7,9.0,"39, National Highway, Koirengei Nepali Basti, Koirengei, Imphal, Manipur 795002","Koirengei Nepali Basti, Koirengei",24.8800678,93.92099789999999,ChIJTdJyMjzYSDcRqhQzoSAweyc,https://www.google.com/maps/place/?q=place_id:ChIJTdJyMjzYSDcRqhQzoSAweyc,part_371,2026-09-20 20:20:44
Urban Boys Hostel,Hostels,Boys' hostel,"Boys' hostel, Student dormitory",795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",+91 98634 37959,N/A,5.0,7.0,"Thangmeiband Watham Leirak Rd, Thangmeiband Sinam Leikai, Imphal, Manipur 795001",Thangmeiband Sinam Leikai,24.8260927,93.9353199,ChIJbe1UOwAnSTcR9ThMVpSMfB8,https://www.google.com/maps/place/?q=place_id:ChIJbe1UOwAnSTcR9ThMVpSMfB8,part_371,2026-09-20 20:20:44
MS Boys Hostel,Hostels,Boys' hostel,Boys' hostel,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",N/A,N/A,3.8,13.0,"Keishampat Thiyam Leikai, Sagolband, Imphal, Manipur 795001","Keishampat Thiyam Leikai, Sagolband",24.799648899999998,93.9312075,ChIJkVru_EsmSTcRzaC3-itHlzg,https://www.google.com/maps/place/?q=place_id:ChIJkVru_EsmSTcRzaC3-itHlzg,part_371,2026-09-20 20:20:44
Swami Vivekananda Boy's Hostel,Hostels,Boys' hostel,Boys' hostel,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",+91 88110 83872,N/A,4.0,70.0,"Satsang Ashram Rd, Ambicapatty, Silchar, Uttar Krishnapur Part-I, Assam 788007",Ambicapatty,24.816325499999998,92.7882377,ChIJe9sQL3BKTjcRfkYtR-mFwXI,https://www.google.com/maps/place/?q=place_id:ChIJe9sQL3BKTjcRfkYtR-mFwXI,part_371,2026-09-20 20:20:44
