business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The Silkalay,Saree Showroom,Clothing store,"Clothing store, Bridal shop, Men's clothing store, Silk store, Women's clothing store",795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",+91 60020 57706,http://www.silkalay.com/,4.1,780.0,"Kamala Tower, GS Rd, Ganeshguri, Guwahati, Assam 781005",Ganeshguri,26.1530104,91.78193929999999,ChIJz3CGahdZWjcRcQz4rWMsswQ,https://www.google.com/maps/place/?q=place_id:ChIJz3CGahdZWjcRcQz4rWMsswQ,part_371,2026-09-20 20:20:27
Indian Silk House Agency,Saree Showroom,Saree Shop,Saree Shop,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",+91 96796 38754,N/A,4.9,1119.0,"C8C9+4C9, Rabindra Nagar, Midnapore, West Bengal 721101",Rabindra Nagar,22.4202791,87.31848269999999,ChIJd-XK1dlbHToRVkQx1wolSfY,https://www.google.com/maps/place/?q=place_id:ChIJd-XK1dlbHToRVkQx1wolSfY,part_371,2026-09-20 20:20:27
Sn handlooms - Pochampally ikkat pattu sarees,Saree Showroom,Clothing store,Clothing store,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",+91 74163 37416,N/A,4.3,617.0,"3-163, Laxman Nagar Rd, Bhoodan Pochampally, Telangana 508284",795118,17.348402099999998,78.8196281,ChIJtXue3ksNyzsRZEVkNrrYmkY,https://www.google.com/maps/place/?q=place_id:ChIJtXue3ksNyzsRZEVkNrrYmkY,part_371,2026-09-20 20:20:27
Bivusha : Empowering Threads,Saree Showroom,Saree Shop,"Saree Shop, Boutique",795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",+91 81015 62456,https://www.bivusha.in/,4.9,39.0,"Hijli co op, near Nitco show room, Prembazar, Kharagpur, West Bengal 721306",Prembazar,22.3079266,87.30466969999999,ChIJE7QcQi9HHToRt1IZ2Aq6ABQ,https://www.google.com/maps/place/?q=place_id:ChIJE7QcQi9HHToRt1IZ2Aq6ABQ,part_371,2026-09-20 20:20:27
Adi Dhakeswari,Saree Showroom,Clothing store,Clothing store,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",+91 97247 36152,N/A,4.3,458.0,"168, 1/A, Rabindranath Tagore Rd, Laldighi, Gora Bazar, Berhampore, West Bengal 742101","Laldighi, Gora Bazar",24.0925017,88.2535111,ChIJcS8MhlZ9-TkRtVn4Ph-F5ZM,https://www.google.com/maps/place/?q=place_id:ChIJcS8MhlZ9-TkRtVn4Ph-F5ZM,part_371,2026-09-20 20:20:27
PHIJOL COLLECTION,Saree Showroom,Clothing store,Clothing store,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",N/A,N/A,3.4,7.0,"Khurai Thongam Leikai, Imphal, Manipur 795010",Khurai Thongam Leikai,24.831220599999998,93.9711026,ChIJi9rJROgnSTcR9hkmK-W4dk0,https://www.google.com/maps/place/?q=place_id:ChIJi9rJROgnSTcR9hkmK-W4dk0,part_371,2026-09-20 20:20:27
Prabhath Silks,Saree Showroom,Clothing store,Clothing store,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",+91 98452 09148,http://www.prabhathsilks.com/,4.8,1774.0,"Nagarakatte Rd, Moodbidri, Karnataka 574227",795118,13.0700489,74.99677249999999,ChIJa4QcAuyqpDsRMvJwQ3_--gs,https://www.google.com/maps/place/?q=place_id:ChIJa4QcAuyqpDsRMvJwQ3_--gs,part_371,2026-09-20 20:20:27
Agarwals Designer Hub,Saree Showroom,Bridal shop,"Bridal shop, Boutique, Clothing store, Custom tailor, Designer Clothing Store, Fashion designer, Saree Shop, Silk store, Wedding store",795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",+91 97303 99445,http://www.agarwalsdesigner.in/,4.3,,"Ground floor, Vasant Utkarsha, 2002, 2002, 7th Ln, opposite SBI, Poorvarang, Mahalaxminagar, Rajarampuri, Kolhapur, Maharashtra 416008","Poorvarang, Mahalaxminagar, Rajarampuri",16.694856299999998,74.2448115,ChIJ7_M_gT4AwTsRBoeqrKmDaeE,https://www.google.com/maps/place/?q=place_id:ChIJ7_M_gT4AwTsRBoeqrKmDaeE,part_371,2026-09-20 20:20:27
Payal saree centre,Saree Showroom,Clothing store,Clothing store,795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",+91 94212 06795,N/A,4.7,,"1946 C, Maharana Pratap Chowk, Akbar Mohalla, Kavlapur, Kolhapur, Maharashtra 416002","Akbar Mohalla, Kavlapur",16.69866,74.2253906,ChIJtaLBygwAwTsRwaZGdGM1Z54,https://www.google.com/maps/place/?q=place_id:ChIJtaLBygwAwTsRwaZGdGM1Z54,part_371,2026-09-20 20:20:27
Chandraroop Cloth Stores,Saree Showroom,Clothing store,"Clothing store, Saree Shop",795118,North Eastern Circle,North Eastern Region,Manipur Division,"Saikul S.O, Bunglong B.O, Dolang B.O",+91 231 264 4714,http://www.chandraroop.com/,4.4,,"1957, Laxmi Rd, Akbar Mohalla, C Ward, Kolhapur, Maharashtra 416002","Akbar Mohalla, C Ward",16.6986781,74.2263615,ChIJeQwliA4BwTsRv9F1pOVahrU,https://www.google.com/maps/place/?q=place_id:ChIJeQwliA4BwTsRv9F1pOVahrU,part_371,2026-09-20 20:20:27
