business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jagannath Paper Store,Document Writer and Stamp Vendor,Rubber stamp store,Rubber stamp store,795129,North Eastern Circle,North Eastern Region,Manipur Division,"Kangpokpi S.O, Henbung B.O, Kangpokpi Mission B.O",+91 93376 95477,N/A,3.7,,"near Tarini Mandir, Damana, Chandrasekharpur, Bhubaneswar, Odisha 751017","Damana, Chandrasekharpur",20.331382899999998,85.82161579999999,ChIJL7-RoQkJGToRF43J0I33eBM,https://www.google.com/maps/place/?q=place_id:ChIJL7-RoQkJGToRF43J0I33eBM,part_371,2026-09-20 20:24:49
Boga Naveen Document Writer,Document Writer and Stamp Vendor,Registration office,"Registration office, Real estate agent, Typist",795129,North Eastern Circle,North Eastern Region,Manipur Division,"Kangpokpi S.O, Henbung B.O, Kangpokpi Mission B.O",+91 76599 87992,https://boganaveen-docs-writer.lovable.app/,3.9,,"Shop no 1, భోగ నవీన్ దస్తావేజు లేఖరి, Registrar office building, Bada Bheemgal Rd, Adarsh Nagar, Bheemgal, Telangana 503307",Adarsh Nagar,18.703289899999998,78.4458135,ChIJvaqqqj27zTsRssO4On_HH7k,https://www.google.com/maps/place/?q=place_id:ChIJvaqqqj27zTsRssO4On_HH7k,part_371,2026-09-20 20:24:49
Srikanth Document Writer,Document Writer and Stamp Vendor,Document Writer and Stamp Vendor,Document Writer and Stamp Vendor,795129,North Eastern Circle,North Eastern Region,Manipur Division,"Kangpokpi S.O, Henbung B.O, Kangpokpi Mission B.O",N/A,N/A,5.0,,"Sri Niwaspuram, Ramanthapur, Hyderabad, Telangana 500013","Sri Niwaspuram, Ramanthapur",17.3871011,78.5357143,ChIJd1Hnsh2ZyzsRB1fm-_jTC64,https://www.google.com/maps/place/?q=place_id:ChIJd1Hnsh2ZyzsRB1fm-_jTC64,part_371,2026-09-20 20:24:49
Siraj & Associates,Document Writer and Stamp Vendor,Legal services,Legal services,795129,North Eastern Circle,North Eastern Region,Manipur Division,"Kangpokpi S.O, Henbung B.O, Kangpokpi Mission B.O",+91 99851 94403,N/A,4.7,,"Moosarambagh, Saleem Nagar Colony, Malakpet Extension, Old Malakpet, Hyderabad, Telangana 500036","Moosarambagh, Saleem Nagar Colony, Malakpet Extension, Old Malakpet",17.3740717,78.514198,ChIJn9fASVaZyzsRqnOuKCQJiGQ,https://www.google.com/maps/place/?q=place_id:ChIJn9fASVaZyzsRqnOuKCQJiGQ,part_371,2026-09-20 20:24:49
Sri Ragavendra Documentation,Document Writer and Stamp Vendor,Registry office,"Registry office, Title company, Typist",795129,North Eastern Circle,North Eastern Region,Manipur Division,"Kangpokpi S.O, Henbung B.O, Kangpokpi Mission B.O",+91 96777 70111,https://www.tndwreginet.net/,3.4,,"Boopathy Nagar, Poompogar Nagar, Vinayagapuram, Coimbatore, Tamil Nadu 641035","Boopathy Nagar, Poompogar Nagar, Vinayagapuram",11.075363099999999,77.0050048,ChIJ22UwSV5YqDsRmuyVdH5Gwic,https://www.google.com/maps/place/?q=place_id:ChIJ22UwSV5YqDsRmuyVdH5Gwic,part_371,2026-09-20 20:24:49
VICTORY SERVICES,Document Writer and Stamp Vendor,Notary public,Notary public,795129,North Eastern Circle,North Eastern Region,Manipur Division,"Kangpokpi S.O, Henbung B.O, Kangpokpi Mission B.O",+91 94901 30014,N/A,4.9,,"Near, 8TH Battalion Police Lane, 2nd Left, Kondapur X Road, Hitech City Rd, near Harsha Toyota, Kondapur, Hanuman Nagar, Prashanth Nagar Colony, Telangana 500084","Kondapur, Hanuman Nagar, Prashanth Nagar Colony, Gachibowli",17.4639859,78.3663887,ChIJT1NiTUqSyzsRE5lVtzxA_go,https://www.google.com/maps/place/?q=place_id:ChIJT1NiTUqSyzsRE5lVtzxA_go,part_371,2026-09-20 20:24:50
SRIRAM DOCUMENTATION CENTRE,Document Writer and Stamp Vendor,Corporate office,Corporate office,795129,North Eastern Circle,North Eastern Region,Manipur Division,"Kangpokpi S.O, Henbung B.O, Kangpokpi Mission B.O",+91 94435 44733,N/A,5.0,,"44/3, Heber Rd, near Reliance Fresh, New Raja Colony, Bhima Nagar, Sangillyandapuram, Tiruchirappalli, Tamil Nadu 620001","New Raja Colony, Bhima Nagar, Sangillyandapuram",10.808446,78.68653789999999,ChIJAWujWgD1qjsRQx1NBhSKvUU,https://www.google.com/maps/place/?q=place_id:ChIJAWujWgD1qjsRQx1NBhSKvUU,part_371,2026-09-20 20:24:50
Sandeep Document Writer,Document Writer and Stamp Vendor,Desktop publishing service,Desktop publishing service,795129,North Eastern Circle,North Eastern Region,Manipur Division,"Kangpokpi S.O, Henbung B.O, Kangpokpi Mission B.O",+91 99635 63864,N/A,4.4,,"H.No.6, 97, Main Road, opp. Royal Chicken Form, Kandi, Telangana 502285",795129,17.578849299999998,78.110185,ChIJH9PMWTP7yzsRnjT29XuYyV8,https://www.google.com/maps/place/?q=place_id:ChIJH9PMWTP7yzsRnjT29XuYyV8,part_371,2026-09-20 20:24:50
Stamp Vendor,Document Writer and Stamp Vendor,Legal services,Legal services,795129,North Eastern Circle,North Eastern Region,Manipur Division,"Kangpokpi S.O, Henbung B.O, Kangpokpi Mission B.O",+91 78964 10283,N/A,4.3,,"MG Rd, Pan Bazaar, Guwahati, Assam 781001",Pan Bazaar,26.1896967,91.7459002,ChIJKQB6VWdbWjcRue11fD_JjGY,https://www.google.com/maps/place/?q=place_id:ChIJKQB6VWdbWjcRue11fD_JjGY,part_371,2026-09-20 20:24:50
E STAMP PAPER,Document Writer and Stamp Vendor,Stamp shop,Stamp shop,795129,North Eastern Circle,North Eastern Region,Manipur Division,"Kangpokpi S.O, Henbung B.O, Kangpokpi Mission B.O",+91 87240 20805,N/A,5.0,,"BORHAPJAN TALLI ALI, VILL-CHENGELIJAN, PO, Borhapjan Gaon, Assam 786150",795129,27.5393613,95.50218439999999,ChIJ4wUORNcRPzcRCTGH6wYzues,https://www.google.com/maps/place/?q=place_id:ChIJ4wUORNcRPzcRCTGH6wYzues,part_371,2026-09-20 20:24:50
ARTS N PRINTS | PEENYA,Document Writer and Stamp Vendor,Corporate office,"Corporate office, License plate frames supplier, Neon sign shop, Print shop, Sign shop, Sticker Manufacturer",795129,North Eastern Circle,North Eastern Region,Manipur Division,"Kangpokpi S.O, Henbung B.O, Kangpokpi Mission B.O",+91 80 4852 6385,http://artsnprints.com/,2.9,55.0,"Newtech India | No. 365, Gopala Krishna Nilaya, 5th Main Road, 2nd Cross Peenya 1st Stage, Beside to Peenya Industrial Metro Station, Peenya, Bengaluru, Karnataka 560058",Peenya,13.036149799999999,77.5270829,ChIJa5soZh89rjsRW3GkKogJv1g,https://www.google.com/maps/place/?q=place_id:ChIJa5soZh89rjsRW3GkKogJv1g,part_371,2026-09-20 20:24:51
