business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ningthoujam Dukan,Provision Store,General store,"General store, Corporate office",795130,North Eastern Circle,North Eastern Region,Manipur Division,"Lilong S.O, Arapti B.O, Chajing pt. 1 B.O",+91 70054 78208,N/A,4.1,,"KIYAM Siphai, KIYAM Heibong Leirak, Thoubal, Manipur 795138",Kiyam Mayai Leikai,24.6600012,93.9686292,ChIJfTEy6rQkSTcR92qV5XybunA,https://www.google.com/maps/place/?q=place_id:ChIJfTEy6rQkSTcR92qV5XybunA,part_371,2026-09-20 20:25:06
Shop,Provision Store,General store,General store,795130,North Eastern Circle,North Eastern Region,Manipur Division,"Lilong S.O, Arapti B.O, Chajing pt. 1 B.O",+91 98188 26453,N/A,5.0,,"Tangjeng, Thoubal, Manipur 795138",795130,24.665550399999997,93.96550719999999,ChIJNWZc6mMlSTcRze-KtfuwqZE,https://www.google.com/maps/place/?q=place_id:ChIJNWZc6mMlSTcRze-KtfuwqZE,part_371,2026-09-20 20:25:06
Firoz Grocery,Provision Store,General store,General store,795130,North Eastern Circle,North Eastern Region,Manipur Division,"Lilong S.O, Arapti B.O, Chajing pt. 1 B.O",+91 81199 38989,N/A,,,"Lilong Chaobok Mairenkhun, Thoubal, Urup, Manipur 795130",Lilong Chaobok Mairenkhun,24.6936008,93.95174209999999,ChIJE6x9uG0lSTcRo3oBxo04oHc,https://www.google.com/maps/place/?q=place_id:ChIJE6x9uG0lSTcRo3oBxo04oHc,part_371,2026-09-20 20:25:06
Idhou Chaoba Variety Store,Provision Store,General store,General store,795130,North Eastern Circle,North Eastern Region,Manipur Division,"Lilong S.O, Arapti B.O, Chajing pt. 1 B.O",+91 98564 04039,N/A,5.0,1.0,"5467 Jinet Property Khunyai, Kakching, Manipur 795103",795130,24.4989693,93.98487589999999,ChIJj9lc6kY5STcR4r7xF_BboUU,https://www.google.com/maps/place/?q=place_id:ChIJj9lc6kY5STcR4r7xF_BboUU,part_371,2026-09-20 20:25:07
Roma Grocery,Provision Store,General store,General store,795130,North Eastern Circle,North Eastern Region,Manipur Division,"Lilong S.O, Arapti B.O, Chajing pt. 1 B.O",N/A,N/A,4.7,3.0,"Road, Makha Leikai, Hiyanglam, Manipur 795103","Road, Makha Leikai",24.5137422,93.9234015,ChIJE2zcqVs5STcRYsRC_u-uzEo,https://www.google.com/maps/place/?q=place_id:ChIJE2zcqVs5STcRYsRC_u-uzEo,part_371,2026-09-20 20:25:07
Dam Sangaiyumpham,Provision Store,Grocery store,Grocery store,795130,North Eastern Circle,North Eastern Region,Manipur Division,"Lilong S.O, Arapti B.O, Chajing pt. 1 B.O",N/A,N/A,4.2,19.0,"Mathak leikai Dam, Ningphou, Sangaiyumpham, Cherapur, Manipur 795148",795130,24.592947499999998,94.0215657,ChIJTR87HdE9STcRALG9wFuml18,https://www.google.com/maps/place/?q=place_id:ChIJTR87HdE9STcRALG9wFuml18,part_371,2026-09-20 20:25:07
NAZIMA VARIETY STORES,Provision Store,Grocery store,"Grocery store, General store",795130,North Eastern Circle,North Eastern Region,Manipur Division,"Lilong S.O, Arapti B.O, Chajing pt. 1 B.O",+91 93781 14794,N/A,,,"NAZIMA VARIETY STORE, Part III, Cherapur Bazar, Cherapur, Thoubal, Manipur 795148","Part III, Cherapur Bazar",24.602996299999997,94.00783849999999,ChIJT6my9QA9STcRWL9wqo2kFcg,https://www.google.com/maps/place/?q=place_id:ChIJT6my9QA9STcRWL9wqo2kFcg,part_371,2026-09-20 20:25:08
LUCKY CORNER,Provision Store,Store,Store,795130,North Eastern Circle,North Eastern Region,Manipur Division,"Lilong S.O, Arapti B.O, Chajing pt. 1 B.O",N/A,N/A,4.3,3.0,"128, Wangjing - Cherapur Palli Bazar Road., pukri achauba, Wangjing, Manipur 795148",pukri achauba,24.599900599999998,94.0345858,ChIJK8IHUAA9STcRciFW6YW_EPU,https://www.google.com/maps/place/?q=place_id:ChIJK8IHUAA9STcRciFW6YW_EPU,part_371,2026-09-20 20:25:08
HYASE Paan & Grocery Cum Connectivity,Provision Store,Tobacco shop,Tobacco shop,795130,North Eastern Circle,North Eastern Region,Manipur Division,"Lilong S.O, Arapti B.O, Chajing pt. 1 B.O",+91 70058 04345,N/A,4.4,12.0,"Sangaiyumpham Nungphou, Yangbi Leikai, Manipur 795148",795130,24.5919055,94.0151727,ChIJa_2fbbA9STcRVyLB-C2uygI,https://www.google.com/maps/place/?q=place_id:ChIJa_2fbbA9STcRVyLB-C2uygI,part_371,2026-09-20 20:25:08
BI VARIETY STORE,Provision Store,General store,General store,795130,North Eastern Circle,North Eastern Region,Manipur Division,"Lilong S.O, Arapti B.O, Chajing pt. 1 B.O",+91 70052 57264,N/A,4.7,3.0,"Tentha Marongband, Tentha, Manipur 795148",Tentha Marongband,24.5795092,93.9999258,ChIJy7nmzaw9STcR8vpaWmq6AjE,https://www.google.com/maps/place/?q=place_id:ChIJy7nmzaw9STcR8vpaWmq6AjE,part_371,2026-09-20 20:25:08
Sangaiyumpham palli bazar,Provision Store,General store,General store,795130,North Eastern Circle,North Eastern Region,Manipur Division,"Lilong S.O, Arapti B.O, Chajing pt. 1 B.O",N/A,N/A,4.3,7.0,"J235+FPP, Cherapur Bazar, Sangaiyumpham, Manipur 795148",Cherapur Bazar,24.590794,94.01635,ChIJM5QkSgA9STcRBZI8qCOzcJA,https://www.google.com/maps/place/?q=place_id:ChIJM5QkSgA9STcRBZI8qCOzcJA,part_371,2026-09-20 20:25:08
