business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hotel,Hotel,Hotel,Hotel,795133,North Eastern Circle,North Eastern Region,Manipur Division,"Kumbi (P) B.O, Kwakta B.O, Molphei Tampak B.O",N/A,N/A,5.0,1.0,"8VG6+9J7, Unnamed Road, Tangjeng Khunjao, Manipur 795133",795133,24.325921599999997,93.8615458,ChIJy7aG4VxPSTcRUug97cQXjpc,https://www.google.com/maps/place/?q=place_id:ChIJy7aG4VxPSTcRUug97cQXjpc,part_371,2026-09-20 20:27:06
FRIENDS HOTEL,Hotel,Hotel,Hotel,795133,North Eastern Circle,North Eastern Region,Manipur Division,"Kumbi (P) B.O, Kwakta B.O, Molphei Tampak B.O",N/A,N/A,3.1,7.0,"FP6Q+9PX, Terakhongshangbi, Manipur 795133",795133,24.460980199999998,93.7393652,ChIJt__AFxm1TjcRIKA-3s6FDbo,https://www.google.com/maps/place/?q=place_id:ChIJt__AFxm1TjcRIKA-3s6FDbo,part_371,2026-09-20 20:27:06
Nilachandra,Hotel,Hotel,Hotel,795133,North Eastern Circle,North Eastern Region,Manipur Division,"Kumbi (P) B.O, Kwakta B.O, Molphei Tampak B.O",N/A,N/A,5.0,2.0,"FQHW+4HQ, Chandpur, Manipur 795133",795133,24.4778363,93.7964798,ChIJoevPKn01STcRsjdu-YLU7os,https://www.google.com/maps/place/?q=place_id:ChIJoevPKn01STcRsjdu-YLU7os,part_371,2026-09-20 20:27:06
Bijiya hotel,Hotel,Hotel,Hotel,795133,North Eastern Circle,North Eastern Region,Manipur Division,"Kumbi (P) B.O, Kwakta B.O, Molphei Tampak B.O",N/A,N/A,5.0,1.0,"CR3R+JVJ, Wangoo Rd, Wangoo Ahallup, Manipur 795133",795133,24.404098299999998,93.84212529999999,ChIJrUueNTZJSTcRmrLtFBsa5k0,https://www.google.com/maps/place/?q=place_id:ChIJrUueNTZJSTcRmrLtFBsa5k0,part_371,2026-09-20 20:27:06
Tea Hotel,Hotel,Hotel,Hotel,795133,North Eastern Circle,North Eastern Region,Manipur Division,"Kumbi (P) B.O, Kwakta B.O, Molphei Tampak B.O",N/A,N/A,2.8,5.0,"GP3H+PF8, Khousabung, Manipur 795133",795133,24.504291499999997,93.7287107,ChIJ83eWMcfKTjcROK9QSNGNgLA,https://www.google.com/maps/place/?q=place_id:ChIJ83eWMcfKTjcROK9QSNGNgLA,part_371,2026-09-20 20:27:06
Zamaal Masajid Borayangbi,Hotel,Hotel,Hotel,795133,North Eastern Circle,North Eastern Region,Manipur Division,"Kumbi (P) B.O, Kwakta B.O, Molphei Tampak B.O",N/A,N/A,4.1,12.0,"9RGJ+FXR, Borayangbi, Sagang, Manipur 795133",Borayangbi,24.376240199999998,93.83239669999999,ChIJf4XoNKxOSTcRAnBCtUQqWok,https://www.google.com/maps/place/?q=place_id:ChIJf4XoNKxOSTcRAnBCtUQqWok,part_371,2026-09-20 20:27:06
Chochong Hotel,Hotel,Hotel,Hotel,795133,North Eastern Circle,North Eastern Region,Manipur Division,"Kumbi (P) B.O, Kwakta B.O, Molphei Tampak B.O",N/A,N/A,3.9,14.0,"9PH5+MQQ, Churachandpur, Manipur 795128",795133,24.3792026,93.7094707,ChIJ9VmGa3yzTjcRMEBuztAc1VQ,https://www.google.com/maps/place/?q=place_id:ChIJ9VmGa3yzTjcRMEBuztAc1VQ,part_371,2026-09-20 20:27:06
SINGJU POINT,Hotel,Hotel,Hotel,795133,North Eastern Circle,North Eastern Region,Manipur Division,"Kumbi (P) B.O, Kwakta B.O, Molphei Tampak B.O",N/A,N/A,,,"near Makkah Masjid, Ward No.7, Kwakta, Moirang, Ukhatampak, Manipur 795133","Ward No.7, Kwakta",24.4435655,93.7289011,ChIJy4t87fa1TjcRDio0P4eU1Dk,https://www.google.com/maps/place/?q=place_id:ChIJy4t87fa1TjcRDio0P4eU1Dk,part_371,2026-09-20 20:27:06
Kwakta,Hotel,Hotel,Hotel,795133,North Eastern Circle,North Eastern Region,Manipur Division,"Kumbi (P) B.O, Kwakta B.O, Molphei Tampak B.O",N/A,N/A,,,"CPXJ+97F, Kwakta, Ukhatampak, Manipur 795133",Kwakta,24.448411,93.730662,ChIJRdsGIwC1TjcRwuaNDnb_JoI,https://www.google.com/maps/place/?q=place_id:ChIJRdsGIwC1TjcRwuaNDnb_JoI,part_371,2026-09-20 20:27:06
Ngailut Hotel,Hotel,Hotel,Hotel,795133,North Eastern Circle,North Eastern Region,Manipur Division,"Kumbi (P) B.O, Kwakta B.O, Molphei Tampak B.O",N/A,N/A,3.5,,"9PM3+8X2, Koite/Kumbipukhri, Manipur 795128",795133,24.3832733,93.7048823,ChIJm6u4z3-zTjcRzalLGhSQqso,https://www.google.com/maps/place/?q=place_id:ChIJm6u4z3-zTjcRzalLGhSQqso,part_371,2026-09-20 20:27:07
