business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dried Fish Stall,Fish Market,General store,General store,795135,North Eastern Circle,North Eastern Region,Manipur Division,"Pallel S.O, Aimol Kodamphai B.O, Angbrashu B.O",+91 70853 90348,N/A,5.0,,"Bazar Building, Wangjing, Manipur 795148",795135,24.598646,94.0357787,ChIJN8alAi89STcRB4neM3deGQA,https://www.google.com/maps/place/?q=place_id:ChIJN8alAi89STcRB4neM3deGQA,part_371,2026-09-20 20:27:54
Najir Fish Centre,Fish Market,Food court,Food court,795135,North Eastern Circle,North Eastern Region,Manipur Division,"Pallel S.O, Aimol Kodamphai B.O, Angbrashu B.O",+91 98637 82316,N/A,,,"Market Set, Sora, Kakching, Manipur 795103",795135,24.5151032,94.0185218,ChIJ2RjMPOM_STcRi3XNPJCcLD4,https://www.google.com/maps/place/?q=place_id:ChIJ2RjMPOM_STcRi3XNPJCcLD4,part_371,2026-09-20 20:27:54
Langathel Keithel (Market),Fish Market,Market,Market,795135,North Eastern Circle,North Eastern Region,Manipur Division,"Pallel S.O, Aimol Kodamphai B.O, Angbrashu B.O",N/A,N/A,3.6,,"Sapam, Manipur 795148",795135,24.5482981,94.0451448,ChIJlcMpEmw-STcRPhrKJgmSTOo,https://www.google.com/maps/place/?q=place_id:ChIJlcMpEmw-STcRPhrKJgmSTOo,part_371,2026-09-20 20:27:54
Khomdon Fishing Store,Fish Market,Craft store,Craft store,795135,North Eastern Circle,North Eastern Region,Manipur Division,"Pallel S.O, Aimol Kodamphai B.O, Angbrashu B.O",N/A,N/A,,,"Wangjing SK Leikai, Sk Salungpham Road, Wangjing, Manipur 795148",795135,24.5982727,94.0410665,ChIJtyWLXTU9STcRZN6GhMeg3lo,https://www.google.com/maps/place/?q=place_id:ChIJtyWLXTU9STcRZN6GhMeg3lo,part_371,2026-09-20 20:27:54
SSR CGICKEN & FISH CENTRE. Laughing bazar,Fish Market,Store,Store,795135,North Eastern Circle,North Eastern Region,Manipur Division,"Pallel S.O, Aimol Kodamphai B.O, Angbrashu B.O",N/A,N/A,,,"FXWP+XFQ, Kakching, Manipur 795103",795135,24.4974726,93.9862445,ChIJG_MVSgA5STcRbw0Vg0Q9BaQ,https://www.google.com/maps/place/?q=place_id:ChIJG_MVSgA5STcRbw0Vg0Q9BaQ,part_371,2026-09-20 20:27:54
Dry Fish Store,Fish Market,General store,General store,795135,North Eastern Circle,North Eastern Region,Manipur Division,"Pallel S.O, Aimol Kodamphai B.O, Angbrashu B.O",+91 98636 18720,N/A,,,"001/SGP-1/SL/TL/TBL-Block Nungfou Mamang Leikai, Wangjing, Manipur 795148",795135,24.5870324,94.0158878,ChIJkef7MgM9STcR0BAfE0AtW_8,https://www.google.com/maps/place/?q=place_id:ChIJkef7MgM9STcR0BAfE0AtW_8,part_371,2026-09-20 20:27:54
RS Chicken Centre Pallel Thongwangma,Fish Market,Chicken & Mutton Shop,Chicken & Mutton Shop,795135,North Eastern Circle,North Eastern Region,Manipur Division,"Pallel S.O, Aimol Kodamphai B.O, Angbrashu B.O",N/A,N/A,,,"Rahul Shop, 3 Heishnam, Old Bridge Road, Pallel Mamang Leikai, Manipur 795135",795135,24.4538907,94.0252108,ChIJ81klvRhBSTcR-frdoGsPMr0,https://www.google.com/maps/place/?q=place_id:ChIJ81klvRhBSTcR-frdoGsPMr0,part_371,2026-09-20 20:27:54
SSR chicken & fish centre,Fish Market,Chicken & Mutton Shop,Chicken & Mutton Shop,795135,North Eastern Circle,North Eastern Region,Manipur Division,"Pallel S.O, Aimol Kodamphai B.O, Angbrashu B.O",N/A,N/A,,,"F2W6+FV8, Burma - Sugnu Rd, Kakching, Manipur 795103",795135,24.4961721,94.0122083,ChIJlxFhQgA_STcR-ocYoS5_rCg,https://www.google.com/maps/place/?q=place_id:ChIJlxFhQgA_STcR-ocYoS5_rCg,part_371,2026-09-20 20:27:54
PONNIAM Seafood fish market,Fish Market,Fish processing,Fish processing,795135,North Eastern Circle,North Eastern Region,Manipur Division,"Pallel S.O, Aimol Kodamphai B.O, Angbrashu B.O",+91 97471 21857,N/A,5.0,2.0,"Pandakkal, Ponniam, Keralam 670641",Pandakkal,11.769734,75.53972569999999,ChIJ_RKi1rwopDsRt-sGJ25IkRY,https://www.google.com/maps/place/?q=place_id:ChIJ_RKi1rwopDsRt-sGJ25IkRY,part_371,2026-09-20 20:27:54
Jiban Dry Fish,Fish Market,General store,General store,795135,North Eastern Circle,North Eastern Region,Manipur Division,"Pallel S.O, Aimol Kodamphai B.O, Angbrashu B.O",+91 93669 52093,N/A,5.0,1.0,"Jiban Dry Fish, Palli Road, Part I, Moirang Palli, Khangabok, Manipur 795138","Part I, Moirang Palli",24.6127997,94.0116231,ChIJqziYdQc9STcRsmf4csQXnvg,https://www.google.com/maps/place/?q=place_id:ChIJqziYdQc9STcRsmf4csQXnvg,part_371,2026-09-20 20:27:55
