business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SMC Global Securities Limited,Stock Broker and Share Sub-broker,Stock broker,"Stock broker, Finance broker, Financial consultant, Financial institution, Financial planner, Investment service, Online Share Trading Center",795141,North Eastern Circle,North Eastern Region,Manipur Division,"Tamenglong S.O, Tamenglong Khunjao B.O, Tharon B.O",+91 91674 18845,https://store.smctradeonline.com/smc-global-securities-limited-stock-broker-tinkonia-phukri-tinsukia-307573/Home?utm_source=locator&utm_medium=googleplaces,5.0,6.0,"1st Floor, Shanti Super Market Complex, Tinkonia Phukri, GNB Rd, near Gurudwara, Tinsukia, Assam 786125",795141,27.486264,95.351018,ChIJvX5dPd5rPzcR2a-h4uoqb1E,https://www.google.com/maps/place/?q=place_id:ChIJvX5dPd5rPzcR2a-h4uoqb1E,part_371,2026-09-20 20:31:07
ANS Private Limited,Stock Broker and Share Sub-broker,Stock broker,"Stock broker, Financial consultant",795141,North Eastern Circle,North Eastern Region,Manipur Division,"Tamenglong S.O, Tamenglong Khunjao B.O, Tharon B.O",+91 281 669 9300,https://ansplshares.com/,3.3,10.0,"ARHAM Financial Center Panchnath, Temple Road, Harihar Chowk, Rajkot, Gujarat 360001","Harihar Chowk, Sadar",22.298597299999997,70.7985325,ChIJC4L0eBLKWTkRsC4MbGtXH80,https://www.google.com/maps/place/?q=place_id:ChIJC4L0eBLKWTkRsC4MbGtXH80,part_371,2026-09-20 20:31:07
TRadingFX,Stock Broker and Share Sub-broker,Stock broker,"Stock broker, Service establishment",795141,North Eastern Circle,North Eastern Region,Manipur Division,"Tamenglong S.O, Tamenglong Khunjao B.O, Tharon B.O",+91 70990 24224,N/A,3.0,2.0,"TRadingFX, 795141, India",795141,26.0537736,92.8583166,ChIJo4iowdUVw40R__avoxjMvtg,https://www.google.com/maps/place/?q=place_id:ChIJo4iowdUVw40R__avoxjMvtg,part_371,2026-09-20 20:31:07
Online business,Stock Broker and Share Sub-broker,Online Share Trading Center,"Online Share Trading Center, Service establishment",795141,North Eastern Circle,North Eastern Region,Manipur Division,"Tamenglong S.O, Tamenglong Khunjao B.O, Tharon B.O",N/A,N/A,,,"Online business, 795141, India",795141,,,ChIJK_7ytTh1TzcRmaMikJcO-P4,https://www.google.com/maps/place/?q=place_id:ChIJK_7ytTh1TzcRmaMikJcO-P4,part_371,2026-09-20 20:31:07
Trader kgn,Stock Broker and Share Sub-broker,Stock broker,"Stock broker, Service establishment",795141,North Eastern Circle,North Eastern Region,Manipur Division,"Tamenglong S.O, Tamenglong Khunjao B.O, Tharon B.O",+91 92338 95300,https://www.instagram.com/rayyan_motion?igsh=b2w2OXFwZHdhMnlt,,,"Trader kgn, 795141, India",795141,21.0680074,82.7525294,ChIJP0UBCScq_EsR5xuHJqwdrtE,https://www.google.com/maps/place/?q=place_id:ChIJP0UBCScq_EsR5xuHJqwdrtE,part_371,2026-09-20 20:31:07
RK TRADING ACADEMY THOUBAL MELAGROUND,Stock Broker and Share Sub-broker,Stock broker,Stock broker,795141,North Eastern Circle,North Eastern Region,Manipur Division,"Tamenglong S.O, Tamenglong Khunjao B.O, Tharon B.O",N/A,N/A,,,"MELAGROUND, GROUND FLOOR, CENTRAL BANK BUILDING, Thoubal Achouba, Thoubal, Manipur 795138",Thoubal Achouba,24.639292299999997,94.00068,ChIJeYPyEfs9STcR2f4rY6uXLZs,https://www.google.com/maps/place/?q=place_id:ChIJeYPyEfs9STcR2f4rY6uXLZs,part_371,2026-09-20 20:31:07
Malla & Malla Stock Broking Co. Pvt. Ltd.,Stock Broker and Share Sub-broker,Stock broker,Stock broker,795141,North Eastern Circle,North Eastern Region,Manipur Division,"Tamenglong S.O, Tamenglong Khunjao B.O, Tharon B.O",N/A,N/A,4.0,102.0,"Lalupate Marg, Kathmandu, Bagmati Province 44600, Nepal",795141,27.7110843,85.32131199999999,ChIJ71MyyQkZ6zkRCFChJxVfK6g,https://www.google.com/maps/place/?q=place_id:ChIJ71MyyQkZ6zkRCFChJxVfK6g,part_371,2026-09-20 20:31:09
Opal Securities Investment,Stock Broker and Share Sub-broker,Finance broker,Finance broker,795141,North Eastern Circle,North Eastern Region,Manipur Division,"Tamenglong S.O, Tamenglong Khunjao B.O, Tharon B.O",N/A,https://opalsecurities.com.np/,4.2,128.0,"Kathmandu, Bagmati Province 44600, Nepal",Lazimpat,27.7183125,85.3190625,ChIJR_YCRCkZ6zkRyHnYrymeUgE,https://www.google.com/maps/place/?q=place_id:ChIJR_YCRCkZ6zkRyHnYrymeUgE,part_371,2026-09-20 20:31:09
Thrive Brokerage House Pvt. Ltd.,Stock Broker and Share Sub-broker,Stock broker,Stock broker,795141,North Eastern Circle,North Eastern Region,Manipur Division,"Tamenglong S.O, Tamenglong Khunjao B.O, Tharon B.O",N/A,http://thrivebrokerage.com/,4.3,38.0,"House No. 82, Kathmandu, Bagmati Province 44605, Nepal",Bhatbhateni,27.7195546,85.3319408,ChIJo_NI9w4Z6zkRjfbzy-aKLn0,https://www.google.com/maps/place/?q=place_id:ChIJo_NI9w4Z6zkRjfbzy-aKLn0,part_371,2026-09-20 20:31:09
ARUN SECURITIES PVT. LTD.,Stock Broker and Share Sub-broker,Stock broker,Stock broker,795141,North Eastern Circle,North Eastern Region,Manipur Division,"Tamenglong S.O, Tamenglong Khunjao B.O, Tharon B.O",N/A,http://www.arunsecurities.com/,3.8,66.0,"Kathmandu, Bagmati Province 44600, Nepal",Battisputali,27.7054169,85.3479176,ChIJaYbb9qgZ6zkRmwnvjpdHzKk,https://www.google.com/maps/place/?q=place_id:ChIJaYbb9qgZ6zkRmwnvjpdHzKk,part_371,2026-09-20 20:31:09
