business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DoonVision,Videographer and Drone Rental,Photography service,"Photography service, Service establishment, Photo agency",795144,North Eastern Circle,North Eastern Region,Manipur Division,"Somdal S.O, Huime B.O, Kachai B.O",+91 94117 92297,https://doonvision.in/,5.0,,"DoonVision, 795144, India",795144,30.3254284,78.01713459999999,ChIJp3afGGsxREwRBwa4Twge6QI,https://www.google.com/maps/place/?q=place_id:ChIJp3afGGsxREwRBwa4Twge6QI,part_371,2026-09-20 20:32:06
Camera rental,Videographer and Drone Rental,Camera store,Camera store,795144,North Eastern Circle,North Eastern Region,Manipur Division,"Somdal S.O, Huime B.O, Kachai B.O",+91 77050 55139,N/A,,,"Baba Ka Purwa, badha road, Khadra, Lucknow, Uttar Pradesh 226020",Khadra,26.879596,80.9123949,ChIJ6wFmQZP9mzkRNXCx3dEsVIk,https://www.google.com/maps/place/?q=place_id:ChIJ6wFmQZP9mzkRNXCx3dEsVIk,part_371,2026-09-20 20:32:06
Rent a Drone,Videographer and Drone Rental,Drone service,Drone service,795144,North Eastern Circle,North Eastern Region,Manipur Division,"Somdal S.O, Huime B.O, Kachai B.O",+91 82920 36414,https://www.instagram.com/drone_flyer_ishwar?igsh=MXF5b3Zic21xY3B4cQ==&utm_source=qr,4.9,,"House number 7 room number 4 ground floor, near Radha Krishna mandir, Hardev Puri, Gautam Nagar, New Delhi, Delhi 110049","Hardev Puri, Gautam Nagar",28.5620966,77.2139292,ChIJuZyrNRDjDDkRFSY-sTBuHag,https://www.google.com/maps/place/?q=place_id:ChIJuZyrNRDjDDkRFSY-sTBuHag,part_371,2026-09-20 20:32:06
Live Screen Events,Videographer and Drone Rental,Event management company,"Event management company, Drone shop, Event planner, Party equipment rental service, Wedding service",795144,North Eastern Circle,North Eastern Region,Manipur Division,"Somdal S.O, Huime B.O, Kachai B.O",+91 98736 26246,N/A,5.0,,"First Floor, J-98, Street No. 5, near Bangali School, Block J, Laxmi Nagar, Delhi, 110092","Block J, Laxmi Nagar",28.6336716,77.2766275,ChIJGx20TYz9DDkRI-YE5cCU23Q,https://www.google.com/maps/place/?q=place_id:ChIJGx20TYz9DDkRI-YE5cCU23Q,part_371,2026-09-20 20:32:06
DRONE Rent in Kolkata,Videographer and Drone Rental,Aerial photographer,Aerial photographer,795144,North Eastern Circle,North Eastern Region,Manipur Division,"Somdal S.O, Huime B.O, Kachai B.O",+91 70038 53017,N/A,3.5,,"17/1, DR. M.N. SAHA RD, Chatakol, Palpara, DUM DUM, CHATTAKAL, West Bengal 700074","Chatakol, Palpara, DUM DUM",22.6231448,88.4043451,ChIJx36x2taf-DkRWYnCYwXtkFI,https://www.google.com/maps/place/?q=place_id:ChIJx36x2taf-DkRWYnCYwXtkFI,part_371,2026-09-20 20:32:06
Bring It Online Media Pvt Ltd,Videographer and Drone Rental,Photography studio,"Photography studio, Advertising Photographer, E-commerce service, Photographer, Photography service",795144,North Eastern Circle,North Eastern Region,Manipur Division,"Somdal S.O, Huime B.O, Kachai B.O",+91 70424 89884,https://www.bringitonline.in/fashion-photography.html,4.9,1030.0,"3rd Floor, Plot, no 4, KH.132, IGNOU Rd, opposite Hero Service Center, Pocket E, Neb Sarai, Sainik Farm, New Delhi, Delhi 110068","Pocket E, Neb Sarai, Sainik Farm",28.5061975,77.1991546,ChIJBfxcYHPiDDkRPHRTb2l2-KA,https://www.google.com/maps/place/?q=place_id:ChIJBfxcYHPiDDkRPHRTb2l2-KA,part_371,2026-09-20 20:32:07
BHARAT VISION CORPORATION - Experts in Live Streaming & Video Production,Videographer and Drone Rental,Film Production Company,Film Production Company,795144,North Eastern Circle,North Eastern Region,Manipur Division,"Somdal S.O, Huime B.O, Kachai B.O",+91 98685 11742,http://www.bharatvision.in/,5.0,,"First Floor, Shree Balaji Bhawan, E-29/1, Phase 1, Shashi Garden, Mayur Vihar, Delhi, 110091","Phase 1, Shashi Garden, Mayur Vihar",28.611284299999998,77.2958264,ChIJd-3rnjD9DDkRzswUpqSgsgI,https://www.google.com/maps/place/?q=place_id:ChIJd-3rnjD9DDkRzswUpqSgsgI,part_371,2026-09-20 20:32:08
Jyotishmati Film & Media,Videographer and Drone Rental,Film Production Company,Film Production Company,795144,North Eastern Circle,North Eastern Region,Manipur Division,"Somdal S.O, Huime B.O, Kachai B.O",+91 93900 35578,N/A,5.0,,"Ground Floor, diamond point, Vijaya Laxmi Apartments, Kiran Enclave, Old Bowenpally, Hyderabad, Secunderabad, Telangana 500009","Kiran Enclave, Old Bowenpally",17.4629001,78.4903788,ChIJbcFlzL2byzsRhbMIudliK8M,https://www.google.com/maps/place/?q=place_id:ChIJbcFlzL2byzsRhbMIudliK8M,part_371,2026-09-20 20:32:08
DJI Service Centre,Videographer and Drone Rental,Camera repair shop,"Camera repair shop, Drone shop",795144,North Eastern Circle,North Eastern Region,Manipur Division,"Somdal S.O, Huime B.O, Kachai B.O",+91 89044 76465,http://www.djiauthourisedservices.com/,3.2,,"Sadar Patrappa Rd, close to BANGALORE ELECTRONICS, near TOWN HALL, 3rd Cross, Dodpete, Nagarathpete, Bengaluru, Karnataka 560002","3rd Cross, Dodpete, Nagarathpete",12.9647771,77.5833742,ChIJKV2mhe4VrjsRqs5sWRlxG4o,https://www.google.com/maps/place/?q=place_id:ChIJKV2mhe4VrjsRqs5sWRlxG4o,part_371,2026-09-20 20:32:08
VIERA PRODUCTION,Videographer and Drone Rental,Event planner,"Event planner, Audiovisual equipment rental service",795144,North Eastern Circle,North Eastern Region,Manipur Division,"Somdal S.O, Huime B.O, Kachai B.O",+91 96745 80355,http://viera.com/,,,"49, Beni Nandan St, Bhowanipore, Kolkata, West Bengal 700025",Bhowanipore,22.536627199999998,88.34552029999999,ChIJ_buCdGJ3AjoRd2YNU1FicTM,https://www.google.com/maps/place/?q=place_id:ChIJ_buCdGJ3AjoRd2YNU1FicTM,part_371,2026-09-20 20:32:08
VL Studio Rentals,Videographer and Drone Rental,Equipment rental agency,"Equipment rental agency, Service establishment",795144,North Eastern Circle,North Eastern Region,Manipur Division,"Somdal S.O, Huime B.O, Kachai B.O",+91 97423 43464,http://vlmusicstudios.com/,5.0,,"VL Studio Rentals, 795144, India",795144,12.987976999999999,77.6219718,ChIJ--t1YnIVrjsRHBFD8wgugDk,https://www.google.com/maps/place/?q=place_id:ChIJ--t1YnIVrjsRHBFD8wgugDk,part_371,2026-09-20 20:32:08
