business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Riya waterproofing and constructions,Waterproofing Contractor,Waterproofing service,Waterproofing service,796004,North Eastern Circle,North Eastern Region,Mizoram Division,Mizoram University S.O,+91 89854 31180,https://riyawaterproofingandconstrucrions.com/,4.9,,"near kuda apartments, opposite lane, Ashoka Colony, Hanamkonda, Telangana 506001",Ashoka Colony,18.006303799999998,79.54794009999999,ChIJ2-HPTL9PMzoR7P-TEEW2LK8,https://www.google.com/maps/place/?q=place_id:ChIJ2-HPTL9PMzoR7P-TEEW2LK8,part_371,2026-09-20 20:37:02
Altaf Waterproofing,Waterproofing Contractor,Waterproofing service,Waterproofing service,796004,North Eastern Circle,North Eastern Region,Mizoram Division,Mizoram University S.O,+91 78695 82711,https://www.instagram.com/altaf_waterproofing?igsh=MWtyaWY2dzZsamtmdA==,5.0,,"A-19, New Subhash Colony, Subhash Colony, Ashoka Garden, Bhopal, Madhya Pradesh 462023","New Subhash Colony, Subhash Colony, Ashoka Garden",23.263353,77.4367678,ChIJmaG2gZRpfDkRkqXam8T3rmI,https://www.google.com/maps/place/?q=place_id:ChIJmaG2gZRpfDkRkqXam8T3rmI,part_371,2026-09-20 20:37:02
91Skylineworks pvt ltd.,Waterproofing Contractor,Waterproofing service,"Waterproofing service, General contractor, Structural engineer",796004,North Eastern Circle,North Eastern Region,Mizoram Division,Mizoram University S.O,+91 60038 79490,https://91skylineworks.com/,5.0,,"Silpukhuri, Senapati Rd, near House no. 48, Guwahati, Assam 781003","Krishna Nagar, Silphukuri",26.1840175,91.76357949999999,ChIJPaJSdhxfWjcRBNJy2QsFxXI,https://www.google.com/maps/place/?q=place_id:ChIJPaJSdhxfWjcRBNJy2QsFxXI,part_371,2026-09-20 20:37:02
HATEEMY SALES CORPORATION,Waterproofing Contractor,Waterproofing service,"Waterproofing service, Building materials supplier, Construction Material Wholesaler",796004,North Eastern Circle,North Eastern Region,Mizoram Division,Mizoram University S.O,+91 90940 57786,https://www.hateemy.in/,4.7,,"No.133, 279, Thambu Chetty St, next to DHANALAKSHMI BANK, Mannadi, George Town, Chennai, Tamil Nadu 600001","Mannadi, George Town",13.0918979,80.2888806,ChIJ3-6hY8BvUjoRObLCJgeaGb4,https://www.google.com/maps/place/?q=place_id:ChIJ3-6hY8BvUjoRObLCJgeaGb4,part_371,2026-09-20 20:37:03
Saastha Constructions & Waterproofing Tech,Waterproofing Contractor,Waterproofing service,Waterproofing service,796004,North Eastern Circle,North Eastern Region,Mizoram Division,Mizoram University S.O,+91 94878 57253,https://saasthawaterproofing.in/,4.7,,"bus stop, 119, Pankaja Mills Rd, near Coimbatore, Olymbus, Ramasamy Nagar, Ramanathapuram, Coimbatore, Tamil Nadu 641045","Olymbus, Ramasamy Nagar",10.9980998,76.9952545,ChIJj8ui4zRZqDsRc2Z3Zt1mR5I,https://www.google.com/maps/place/?q=place_id:ChIJj8ui4zRZqDsRc2Z3Zt1mR5I,part_371,2026-09-20 20:37:03
Sri Velavan Traders Pvt Ltd,Waterproofing Contractor,Waterproofing service,"Waterproofing service, Building materials supplier, Building restoration service, Construction equipment supplier, Construction Material Wholesaler, Chemical wholesaler",796004,North Eastern Circle,North Eastern Region,Mizoram Division,Mizoram University S.O,+91 80 4861 2630,http://www.velavantraders.com/,4.9,,"40, Kansapuram Main Rd, Sellur, Madurai, Tamil Nadu 625002",Sellur,9.9305256,78.1267116,ChIJb4Ty3JPFADsRIBNw_3dYI1o,https://www.google.com/maps/place/?q=place_id:ChIJb4Ty3JPFADsRIBNw_3dYI1o,part_371,2026-09-20 20:37:03
Cure Tech Civil Services,Waterproofing Contractor,Waterproofing service,"Waterproofing service, Adhesives & Glue Supplier, Construction Material Wholesaler",796004,North Eastern Circle,North Eastern Region,Mizoram Division,Mizoram University S.O,N/A,N/A,4.0,,"TS 106, Parthasarathy Koil St, Guindy Industrial Estate, SIDCO Industrial Estate, Ekkatuthangal, Chennai, Tamil Nadu 600032","Guindy Industrial Estate, SIDCO Industrial Estate, Ekkatuthangal",13.0216693,80.2070839,ChIJ7wJQWUtnUjoRftDr4e1JkkI,https://www.google.com/maps/place/?q=place_id:ChIJ7wJQWUtnUjoRftDr4e1JkkI,part_371,2026-09-20 20:37:03
Sadee World Waterproofing & paints,Waterproofing Contractor,Waterproofing service,"Waterproofing service, Chemical Manufacturer, Cleaning products supplier, Paint Manufacturer",796004,North Eastern Circle,North Eastern Region,Mizoram Division,Mizoram University S.O,+91 92291 82999,https://www.sadeeworld.com/,5.0,,"1st floor, PV86+FF Udhyog parisar, 61, Jawahar Marg, near Sanjay Setu, Daulatganj, Indore, Madhya Pradesh 452007",Daulatganj,22.7161875,75.8611875,ChIJa7Ygvab9YjkRkvmV0-xsn4M,https://www.google.com/maps/place/?q=place_id:ChIJa7Ygvab9YjkRkvmV0-xsn4M,part_371,2026-09-20 20:37:03
Star Build - Tech,Waterproofing Contractor,Building materials store,"Building materials store, Construction Material Wholesaler",796004,North Eastern Circle,North Eastern Region,Mizoram Division,Mizoram University S.O,+91 73581 58885,N/A,4.8,,"244, Avvai Nagar Main Rd, Bharathi Nagar, Thiruvanmiyur, Chennai, Tamil Nadu 600041","Bharathi Nagar, Thiruvanmiyur",12.981387499999999,80.25398179999999,ChIJv5Z4i2ddUjoR4VIk4sqelT4,https://www.google.com/maps/place/?q=place_id:ChIJv5Z4i2ddUjoR4VIk4sqelT4,part_371,2026-09-20 20:37:03
S.C. Engineers,Waterproofing Contractor,Waterproofing service,"Waterproofing service, Supplier, Manufacturer",796004,North Eastern Circle,North Eastern Region,Mizoram Division,Mizoram University S.O,+91 98263 75685,http://scedrfixit.com/,5.0,,"UG - 18, Meghdoot Tower, opposite Girdhar Mahal, Maguda Nagar, Scheme No 54, Indore, Madhya Pradesh 452011","Maguda Nagar, Scheme No 54",22.749623,75.88992979999999,ChIJURAEulX9YjkRbjXZclj_quo,https://www.google.com/maps/place/?q=place_id:ChIJURAEulX9YjkRbjXZclj_quo,part_371,2026-09-20 20:37:03
Onsite Enterprises,Waterproofing Contractor,Waterproofing service,"Waterproofing service, Adhesives & Glue Supplier, Tile contractor, Building materials store",796004,North Eastern Circle,North Eastern Region,Mizoram Division,Mizoram University S.O,+91 95622 23111,http://www.onsitemart.com/,5.0,,"Ideal building, Industrial Estate Rd, Umayanalloor, Keralam 691589",Umayanalloor,8.8663355,76.654777,ChIJX9eIp7jjBTsRdFtxBjiVqBc,https://www.google.com/maps/place/?q=place_id:ChIJX9eIp7jjBTsRdFtxBjiVqBc,part_371,2026-09-20 20:37:03
Creator Enterprises,Waterproofing Contractor,Construction Material Wholesaler,Construction Material Wholesaler,796004,North Eastern Circle,North Eastern Region,Mizoram Division,Mizoram University S.O,+91 90326 34020,N/A,4.8,,"opposite Shreyas Hospital, near Balayesu Church, Bhavanipuram, Jojinagar, Vijayawada, Andhra Pradesh 520012","Bhavanipuram, Jojinagar",16.538475299999998,80.6000376,ChIJ9USiqhPvNToRdbtiDxGYzKU,https://www.google.com/maps/place/?q=place_id:ChIJ9USiqhPvNToRdbtiDxGYzKU,part_371,2026-09-20 20:37:03
Building Doctor Thanjavur,Waterproofing Contractor,Waterproofing service,"Waterproofing service, Building restoration service, Home inspector",796004,North Eastern Circle,North Eastern Region,Mizoram Division,Mizoram University S.O,+91 91235 46100,http://www.buildingdoctor.org/,4.9,,"No.8,chitra complex, kanagasabai nagar,municipal colony, Medical College Rd, Thanjavur, Tamil Nadu 613007",Municipal Colony,10.7685453,79.1125216,ChIJpVSwoOC5qjsRB9uAKT2cGyk,https://www.google.com/maps/place/?q=place_id:ChIJpVSwoOC5qjsRB9uAKT2cGyk,part_371,2026-09-20 20:37:03
VJ Traders,Waterproofing Contractor,Building materials store,"Building materials store, Tile store",796004,North Eastern Circle,North Eastern Region,Mizoram Division,Mizoram University S.O,+91 98842 33501,N/A,4.0,,"Old No 4, No 13, New, Tiruvalluvar Salai, opposite Chennai corporation School, Lubdhi Colony, Teynampet, Chennai, Tamil Nadu 600018","Lubdhi Colony, Teynampet",13.0382643,80.25138369999999,ChIJbRZJIEtmUjoRS-cRwpSsfQI,https://www.google.com/maps/place/?q=place_id:ChIJbRZJIEtmUjoRS-cRwpSsfQI,part_371,2026-09-20 20:37:03
AT & BROTHERS,Waterproofing Contractor,Building materials store,Building materials store,796004,North Eastern Circle,North Eastern Region,Mizoram Division,Mizoram University S.O,+91 98465 01231,N/A,4.9,,"Landmark :, Marakadda Road, opp. SBI ATM, Chalai Bazaar, Chalai, Thiruvananthapuram, Keralam 695036","Chalai Bazaar, Chalai",8.4838685,76.9521936,ChIJq6yzIaC7BTsRbz4WGukHYGQ,https://www.google.com/maps/place/?q=place_id:ChIJq6yzIaC7BTsRbz4WGukHYGQ,part_371,2026-09-20 20:37:03
Skytech Engineering Supplies,Waterproofing Contractor,Building materials supplier,"Building materials supplier, Chemical Engineer, Flooring contractor, Tile store",796004,North Eastern Circle,North Eastern Region,Mizoram Division,Mizoram University S.O,+91 98422 17565,https://www.skycrete.in/,4.4,,"Karuvampalayam, Tiruppur, Tamil Nadu 641604",Karuvampalayam,11.0951425,77.336733,ChIJlZEpa58HqTsRGS1xIF4q8A4,https://www.google.com/maps/place/?q=place_id:ChIJlZEpa58HqTsRGS1xIF4q8A4,part_371,2026-09-20 20:37:03
JSCON,Waterproofing Contractor,Waterproofing service,Waterproofing service,796004,North Eastern Circle,North Eastern Region,Mizoram Division,Mizoram University S.O,N/A,https://www.indiamart.com/jscon-kolkata/,,,"179j, 179j, 179, Kalighat Rd, Kalighat, Kolkata, West Bengal 700026",Kalighat,22.522341299999997,88.3415931,ChIJeSURqOeNrGIRFhUxgcJCCNI,https://www.google.com/maps/place/?q=place_id:ChIJeSURqOeNrGIRFhUxgcJCCNI,part_371,2026-09-20 20:37:03
