business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SK BEAUTY SALON & SPA,Beauty Parlour,Spa,Spa,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 70051 97010,N/A,5.0,,"Hruaiteii Market, opposite Rural bank, kawn, Mission Vengthlang, Aizawl, Mizoram 796005","kawn, Mission Vengthlang",23.715719,92.71417699999999,ChIJydmS9ZWUTTcREUUi85DWxRI,https://www.google.com/maps/place/?q=place_id:ChIJydmS9ZWUTTcREUUi85DWxRI,part_372,2026-09-20 20:19:24,3633
Mami Beauty Salon And Spa,Beauty Parlour,Beauty Parlour,Beauty Parlour,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",N/A,N/A,4.4,,"Dawrpui, Aizawl, Mizoram 796001",Dawrpui,23.7306648,92.7174301,ChIJAcJtM7aUTTcR-2U9s8Cx2dA,https://www.google.com/maps/place/?q=place_id:ChIJAcJtM7aUTTcR-2U9s8Cx2dA,part_372,2026-09-20 20:19:24,3634
Julie Parlour & Spa,Beauty Parlour,Beauty Parlour,Beauty Parlour,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 70057 16191,https://bewtee.com/julie-parlour-spa-11759,4.6,,"Biaksanga Bldg, Congress Bhavan, A-71, Street, Tuikual, near AR ES Traders, opp. JF publications & 5brothers offset Press, Aizawl, Mizoram 796001",796181,23.7258872,92.71801699999999,ChIJbbQ1pneVTTcRjAIdW8_6nRw,https://www.google.com/maps/place/?q=place_id:ChIJbbQ1pneVTTcRjAIdW8_6nRw,part_372,2026-09-20 20:19:24,3635
Thanpuii Beauty Studio,Beauty Parlour,Barber shop,Barber shop,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",N/A,N/A,,,"G58Q+VH4, Vengthar, Khawzawl, Mizoram 796310",Vengthar,23.5171302,93.1889554,ChIJ1YcxBQBRTDcRgAUnL72CbR4,https://www.google.com/maps/place/?q=place_id:ChIJ1YcxBQBRTDcRgAUnL72CbR4,part_372,2026-09-20 20:19:24,3636
Sawmi beauty parlour,Beauty Parlour,Health and beauty shop,Health and beauty shop,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 81189 10974,N/A,,,"Lal Veng, Hmuntha, Mizoram 796161",Lal Veng,23.493610699999998,92.94295699999999,ChIJT_b2_pWvTTcRuPZRbkYPd8I,https://www.google.com/maps/place/?q=place_id:ChIJT_b2_pWvTTcRuPZRbkYPd8I,part_372,2026-09-20 20:19:24,3637
Irene Spa,Beauty Parlour,Spa,"Spa, Massage therapist",796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 389 234 6715,http://www.irenespa.com/,4.2,,"1 st Floor, Ch.Chhunga Building Above Sony Show Room, Main Road, Chanmari, Aizawl, Mizoram 796007",Chanmari,23.7397501,92.71656469999999,ChIJh8iuzUrrTTcRtWu0-fwhGxg,https://www.google.com/maps/place/?q=place_id:ChIJh8iuzUrrTTcRtWu0-fwhGxg,part_372,2026-09-20 20:19:24,3638
Arini Beauty Concept,Beauty Parlour,Beauty Parlour,Beauty Parlour,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 96121 81722,N/A,,,"Serchhip Bazar, Serchhip, Mizoram 796181",796181,23.3089591,92.8567364,ChIJJWCWoRILTTcR3Q5hAPreqOo,https://www.google.com/maps/place/?q=place_id:ChIJJWCWoRILTTcR3Q5hAPreqOo,part_372,2026-09-20 20:19:24,3639
Omorfia Unisex Salon,Beauty Parlour,Beauty Parlour,Beauty Parlour,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 97738 54490,N/A,4.7,,"Road, opposite Salvation Headquarter, Venglai, Lunglei, Electric Veng, Mizoram 796701",Venglai,22.890522999999998,92.74460359999999,ChIJS3VKnlBBTTcR5-V-e3DHo5c,https://www.google.com/maps/place/?q=place_id:ChIJS3VKnlBBTTcR5-V-e3DHo5c,part_372,2026-09-20 20:19:25,3640
BeautyBarn Mizoram,Beauty Parlour,Beauty product supplier,"Beauty product supplier, Shopping mall",796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",N/A,N/A,4.6,,"MISSION VENG(KHAMPHEI, Mission Veng Rd, near HDFC BANK, Mission Veng, Kulikawn, Aizawl, Mizoram 796005","Mission Veng, Kulikawn",23.7130565,92.72009779999999,ChIJlQSgpH2VTTcRiHDoNealovY,https://www.google.com/maps/place/?q=place_id:ChIJlQSgpH2VTTcRiHDoNealovY,part_372,2026-09-20 20:19:27,3641
Varad Salon🧏‍♀️,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Hairdresser",796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 86695 15192,N/A,4.9,743.0,"Shop no 3-4-5, Sanmitra Colony, Nirala Bazar, Chhatrapati Sambhajinagar, Maharashtra 431001","Sanmitra Colony, Nirala Bazar",19.880158599999998,75.3248952,ChIJhT4hXauZ2zsRrxVRON5V-lM,https://www.google.com/maps/place/?q=place_id:ChIJhT4hXauZ2zsRrxVRON5V-lM,part_372,2026-09-20 20:20:06,11321
The Beauty Hub,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Make-up artist",796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 88306 55830,https://thebeautyhubweb.com/,4.9,253.0,"THE BEAUTY HUB, New SBH Colony, SBH Colony, Jyoti Nagar, New Usmanpura, Chhatrapati Sambhajinagar, Maharashtra 431005","New SBH Colony, SBH Colony, Jyoti Nagar, New Usmanpura",19.861634199999997,75.33532199999999,ChIJvSIrGN2Z2zsRanycIbIVKRc,https://www.google.com/maps/place/?q=place_id:ChIJvSIrGN2Z2zsRanycIbIVKRc,part_372,2026-09-20 20:20:06,11322
Glamour Beauty Salon & Academy,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Charter school, Facial spa, Make-up artist, Massage spa, Nail salon, Spa, Hairdresser, Waxing hair removal service",796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 92253 01777,N/A,4.9,166.0,"Swati Furniture, Glamour Beauty Salon, plot no-24, Mitra nagar, Behind Akashwani, opposite Kale Pathelogy lab near Hotel Maratha Darbar, Chhatrapati Sambhajinagar, Maharashtra 431005","Limaywadi, All India Radio Staff Quarters, Vishnu Nagar, Sindhi Colony",19.8741804,75.34351099999999,ChIJQz7htsaj2zsR0t8yX1lMxyA,https://www.google.com/maps/place/?q=place_id:ChIJQz7htsaj2zsR0t8yX1lMxyA,part_372,2026-09-20 20:20:06,11323
