business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Delhivery Serchhip,Courier and Cargo Service,Delivery service,Delivery service,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",N/A,http://delhivery.com/,4.7,9.0,"8VH3+HX5, New Serchhip, Serchhip, Mizoram 796181",New Serchhip,23.3288838,92.8549898,ChIJdetxOC4LTTcRCuOl_G611KI,https://www.google.com/maps/place/?q=place_id:ChIJdetxOC4LTTcRCuOl_G611KI,part_372,2026-09-20 20:19:36,5545
"Sb Worldwide Courier And Cargo, Aizawl",Courier and Cargo Service,Courier service,Courier service,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",N/A,N/A,4.0,8.0,"PPQ8+WH3, Zarkawt Main Rd, Chaltlang, Aizawl, Mizoram 796007",Chaltlang,23.739753,92.716409,ChIJyXyHzUrrTTcRdBicr8krtq0,https://www.google.com/maps/place/?q=place_id:ChIJyXyHzUrrTTcRdBicr8krtq0,part_372,2026-09-20 20:19:36,5546
FedEx Courier,Courier and Cargo Service,Courier service,"Courier service, Logistics service",796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",N/A,https://www.fedex.com/en-in/home.html,3.5,21.0,"Dawrpui vengthar, Aizawl, Mizoram 796009",796181,23.7371864,92.7132689,ChIJSxWw-riVTTcRkLnfUlcASBw,https://www.google.com/maps/place/?q=place_id:ChIJSxWw-riVTTcRkLnfUlcASBw,part_372,2026-09-20 20:19:36,5547
NEW SAJHA EXPRESS COURIER & CARGO,Courier and Cargo Service,Courier service,"Courier service, Service establishment",796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",N/A,N/A,3.9,7.0,"NEW SAJHA EXPRESS COURIER & CARGO, 796181, India",796181,27.639444599999997,84.3224608,ChIJYbOtRp1CGk4RtNTyegprUkI,https://www.google.com/maps/place/?q=place_id:ChIJYbOtRp1CGk4RtNTyegprUkI,part_372,2026-09-20 20:19:37,5548
DHL Express (India) Pvt. Ltd,Courier and Cargo Service,Courier service,"Courier service, Delivery service, Freight Forwarding Agency, Logistics service, Shipping and mailing service, Shipping service",796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 80 3546 9549,https://locations-in.express.dhl.com/courier-service-in-lachit-nagar-kamrup-assam/home,4.6,27.0,"IOCL Petrol Pump, GS Rd, inside Ulubari, nr. Lenskart, South Sarania, Lachit Nagar, Guwahati, Assam 781007","South Sarania, Lachit Nagar",26.1713809,91.7618689,ChIJ831T6LBZWjcRy3C-2AmkGOA,https://www.google.com/maps/place/?q=place_id:ChIJ831T6LBZWjcRy3C-2AmkGOA,part_372,2026-09-20 20:19:37,5549
Dtdc Courier And Parcel Booking Seva,Courier and Cargo Service,Shipping service,Shipping service,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",N/A,N/A,4.0,2.0,"Karkhiyaon, Uttar Pradesh 221206",796181,25.5360056,82.8038674,ChIJ8Ra_znUpkDkRXK75TEmnz0Q,https://www.google.com/maps/place/?q=place_id:ChIJ8Ra_znUpkDkRXK75TEmnz0Q,part_372,2026-09-20 20:19:37,5550
Post Office,Courier and Cargo Service,Post office,Post office,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",N/A,N/A,5.0,1.0,"9W7C+598, Sialhau, Mizoram 796181",796181,23.3629097,92.9209528,ChIJtV0rKQCnTTcRCv7ifJ-UXk0,https://www.google.com/maps/place/?q=place_id:ChIJtV0rKQCnTTcRCv7ifJ-UXk0,part_372,2026-09-20 20:19:38,5551
New Chalrang Branch Post Office,Courier and Cargo Service,Post office,Post office,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",N/A,N/A,5.0,1.0,"94JJ+FWQ, Khawzawl to East Lungdar Rd, Khawhai, New Chalrang, Mizoram 796310",796181,23.3812033,93.1323591,ChIJ1dNPzg9VTDcReVjF7qE5HM4,https://www.google.com/maps/place/?q=place_id:ChIJ1dNPzg9VTDcReVjF7qE5HM4,part_372,2026-09-20 20:19:38,5552
"Post Office, Indian Post",Courier and Cargo Service,Post office,Post office,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",N/A,http://www.indiapost.gov.in/,5.0,1.0,"7QJF+QF5, Thenzawl, Mizoram 796186",796181,23.281883099999998,92.7737305,ChIJefibF7R0TTcRnhUOIlMiZog,https://www.google.com/maps/place/?q=place_id:ChIJefibF7R0TTcRnhUOIlMiZog,part_372,2026-09-20 20:19:38,5553
Post Office,Courier and Cargo Service,Post office,Post office,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",N/A,N/A,1.0,1.0,"92J2+9GG, Lungpho, Mizoram 796181",796181,23.3809275,93.00132219999999,ChIJoZu4BQapTTcRwzvRov411Ec,https://www.google.com/maps/place/?q=place_id:ChIJoZu4BQapTTcRwzvRov411Ec,part_372,2026-09-20 20:19:38,5554
