business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
New serchhip,EXIMS,Market,Market,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",N/A,N/A,,,"8VM3+HWM, New Serchhip, Serchhip, Mizoram 796181",New Serchhip,23.3339467,92.8546417,ChIJ997kWgALTTcRqeMLi-YUR08,https://www.google.com/maps/place/?q=place_id:ChIJ997kWgALTTcRqeMLi-YUR08,part_372,2026-09-20 20:19:41,6064
Exim Power Solutions,EXIMS,Machinery parts manufacturer,Machinery parts manufacturer,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 98111 16029,https://www.eximpowers.in/,4.6,,"Mohan Villa, 80 B, Iskcon Temple Rd, Sant Nagar, East of Kailash, New Delhi, Delhi 110065","Sant Nagar, East of Kailash",28.5560182,77.2502942,ChIJobrE3pHjDDkRBtxyfaC6usI,https://www.google.com/maps/place/?q=place_id:ChIJobrE3pHjDDkRBtxyfaC6usI,part_372,2026-09-20 20:20:22,14319
Spear Exim Private Limited,EXIMS,Equipment Exporter,"Equipment Exporter, Exporter, Manufacturer",796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 98925 34043,http://speareximindia.com/,5.0,,"706, 7th Floor, Siddharth Nagar, Divyajyot CHS, Building, 8, Swami Vivekanand Rd, Goregaon West, Mumbai, Maharashtra 400104",Goregaon West,19.154695,72.845282,ChIJq3OFZEm25zsRDnoX2kSW3aY,https://www.google.com/maps/place/?q=place_id:ChIJq3OFZEm25zsRDnoX2kSW3aY,part_372,2026-09-20 20:20:22,14320
SPA Exim Pvt. Ltd.,EXIMS,Manufacturer,Manufacturer,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 93125 01651,N/A,5.0,,"G-67, D Block, Sector 6, Noida, Uttar Pradesh 201301","D Block, Sector 6",28.593564999999998,77.3188016,ChIJlakacfrkDDkRvds4belVGjI,https://www.google.com/maps/place/?q=place_id:ChIJlakacfrkDDkRvds4belVGjI,part_372,2026-09-20 20:20:22,14321
Exim India,EXIMS,Print shop,Print shop,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 79 6510 8782,http://www.eximin.net/,5.0,,"E-1 & 2, Ravi Estate, Dudheshwar Rd, opposite Gurudwara, Tavdipura, Kazipur Dariyapur, Ahmedabad, Gujarat 380004","Tavdipura, Kazipur Dariyapur",23.0489619,72.5799613,ChIJdWw3f2-EXjkRtt8WDiaphr4,https://www.google.com/maps/place/?q=place_id:ChIJdWw3f2-EXjkRtt8WDiaphr4,part_372,2026-09-20 20:20:22,14322
exim internationals,EXIMS,Exporter,Exporter,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 93215 59185,https://www.eximinternationals.com/,5.0,,"Shop number 19, Samrin heritage building, S1, Almeda Rd, opp. to shivsena shakha, Ramabai Ambedkar Nagar, Ganeshwadi, Thane West, Thane, Maharashtra 400601","Ramabai Ambedkar Nagar, Ganeshwadi, Thane West",19.197859899999997,72.9677329,ChIJYXhGopu55zsRmIFo_2o4yrM,https://www.google.com/maps/place/?q=place_id:ChIJYXhGopu55zsRmIFo_2o4yrM,part_372,2026-09-20 20:20:23,14323
Exim International,EXIMS,Import export company,"Import export company, Consultant, Customs consultant, Equipment Exporter, Exporter, Food & Beverage Exporter, Handicraft Exporter, Importer, Spices Exporter, Tool exporter",796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 70251 94385,https://eximinternational.in/,4.6,,"Salem - Kochi - Kanyakumari Hwy, Nettoor, Maradu, Ernakulam, Keralam 682040","Nettoor, Maradu",9.9247714,76.31907319999999,ChIJKfjzlqxzCDsRucp1XnZpf98,https://www.google.com/maps/place/?q=place_id:ChIJKfjzlqxzCDsRucp1XnZpf98,part_372,2026-09-20 20:20:23,14324
Prime Way Exim,EXIMS,Import export company,"Import export company, Agricultural Product Wholesaler, Exporter, Spices Exporter",796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 83206 41464,https://primewayexim.com/,4.6,,"Block No-5, Sagar Tenament, Waghawadi Rd., Takhteshwar, Nanbhawadi, Taleti, Bhavnagar, Gujarat 364002","Takhteshwar, Nanbhawadi, Taleti",21.7650008,72.1462427,ChIJm4esjmdbXzkRi8QecycN34Q,https://www.google.com/maps/place/?q=place_id:ChIJm4esjmdbXzkRi8QecycN34Q,part_372,2026-09-20 20:20:23,14325
Exim Trade Data,EXIMS,Market researcher,"Market researcher, Service establishment",796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",N/A,https://eximtradedata.com/,4.4,,"Exim Trade Data, 796184, India",796184,40.266869,-47.802320699999996,ChIJ7TZhVFLvDDkRq0XhJRqyqao,https://www.google.com/maps/place/?q=place_id:ChIJ7TZhVFLvDDkRq0XhJRqyqao,part_372,2026-09-20 20:20:23,14326
Seair Exim Solutions,EXIMS,Market researcher,"Market researcher, Import export company",796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 99900 20716,https://www.seair.co.in/,4.0,,"B1/E3, NH-19, near Mohan Estate Metro Station, opposite Metro Pillar No:-336, Block B1, Block E, Mohan Cooperative Industrial Estate, Badarpur, New Delhi, Delhi 110044","Block B1, Block E, Mohan Cooperative Industrial Estate, Badarpur",28.510815899999997,77.29686439999999,ChIJxVZ8O83jDDkRXSDGPRUuNyE,https://www.google.com/maps/place/?q=place_id:ChIJxVZ8O83jDDkRXSDGPRUuNyE,part_372,2026-09-20 20:20:23,14327
