business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
LS Optical,Optical Store and Eyewear,Optician,"Optician, Store",796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 82569 24565,N/A,4.8,6.0,"Field Veng, Thenzawl, Mizoram 796186",Field Veng,23.2809135,92.77393649999999,ChIJOSJ7dmN1TTcRAWtenIwDsQc,https://www.google.com/maps/place/?q=place_id:ChIJOSJ7dmN1TTcRAWtenIwDsQc,part_372,2026-09-20 20:19:12,1563
Eastern Optical,Optical Store and Eyewear,Store,Store,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 98623 69899,N/A,5.0,2.0,"PPJ8+MW8, Dawrpui, Aizawl, Mizoram 796001",Dawrpui,23.7316665,92.7173382,ChIJ94RbhYqVTTcRhzbelnnKoHo,https://www.google.com/maps/place/?q=place_id:ChIJ94RbhYqVTTcRhzbelnnKoHo,part_372,2026-09-20 20:19:12,1564
BEKI OPTICAL,Optical Store and Eyewear,Optician,"Optician, Sunglasses store",796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 98623 57055,N/A,4.3,10.0,"opp. SBI, Bawngkawn, Aizawl, Mizoram 796014",Bawngkawn,23.7544012,92.72932349999999,ChIJtfON0MXrTTcRxzZ0GQOB918,https://www.google.com/maps/place/?q=place_id:ChIJtfON0MXrTTcRxzZ0GQOB918,part_372,2026-09-20 20:19:12,1565
KV Optical,Optical Store and Eyewear,Store,Store,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 94851 08374,N/A,4.4,17.0,"Dawrpui, Aizawl, Mizoram 796001",Dawrpui,23.7335533,92.7174636,ChIJ6--H4rWUTTcRtz5191JnOIQ,https://www.google.com/maps/place/?q=place_id:ChIJ6--H4rWUTTcRtz5191JnOIQ,part_372,2026-09-20 20:19:12,1566
Zorin Opticals,Optical Store and Eyewear,Optician,Optician,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",N/A,N/A,4.8,5.0,"Ramhlun North, Aizawl, Mizoram 796012",Ramhlun North,23.7489451,92.7246866,ChIJaUEmNBfrTTcRCqiGi8ZsluI,https://www.google.com/maps/place/?q=place_id:ChIJaUEmNBfrTTcRCqiGi8ZsluI,part_372,2026-09-20 20:19:12,1567
Nghaka Optical,Optical Store and Eyewear,Optical Wholesaler,Optical Wholesaler,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 80146 29113,N/A,5.0,3.0,"PPM9+C6J, Zion St, Dawrpui, Aizawl, Mizoram 796001",Dawrpui,23.733576,92.71800979999999,ChIJj6zcl6mVTTcRUFniHArUbr8,https://www.google.com/maps/place/?q=place_id:ChIJj6zcl6mVTTcRUFniHArUbr8,part_372,2026-09-20 20:19:12,1568
THE OPTICAL SHOP,Optical Store and Eyewear,Optician,Optician,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 89216 43379,N/A,5.0,1.0,"Changanassery, Keralam 686101",796181,9.447202899999999,76.5419284,ChIJwRoP3A4mBjsRdCbP3A_NpEE,https://www.google.com/maps/place/?q=place_id:ChIJwRoP3A4mBjsRdCbP3A_NpEE,part_372,2026-09-20 20:19:12,1569
Optical milestone,Optical Store and Eyewear,Optician,Optician,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 98717 11855,N/A,5.0,364.0,"Shop no. 73, HUDA market, near Reliance fresh, Sector 4, Gurugram, Haryana 122006",Sector 4,28.474382799999997,77.0091652,ChIJdzuGryMXDTkR4I3fVR5F6YI,https://www.google.com/maps/place/?q=place_id:ChIJdzuGryMXDTkR4I3fVR5F6YI,part_372,2026-09-20 20:19:12,1570
Shraddha Opticals,Optical Store and Eyewear,Optician,"Optician, Eye care center, Optometrist, Sunglasses store",796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 74173 48714,N/A,5.0,40.0,"Ratan Cinema Rd, Kashipur, Uttarakhand 244713",796181,29.2127828,78.9600952,ChIJtWqBV7hDCjkRoA8BiHzoxeg,https://www.google.com/maps/place/?q=place_id:ChIJtWqBV7hDCjkRoA8BiHzoxeg,part_372,2026-09-20 20:19:12,1571
Timo Optical & Pharmacy,Optical Store and Eyewear,Ophthalmologist,"Ophthalmologist, Pharmacy",796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 60098 13350,N/A,5.0,4.0,"VC-27 Temple, Road, Vaivakawn, Aizawl, Mizoram 796009",Vaivakawn,23.737389399999998,92.71311419999999,ChIJOVRqw8eVTTcRRx7h3lsGzoo,https://www.google.com/maps/place/?q=place_id:ChIJOVRqw8eVTTcRRx7h3lsGzoo,part_372,2026-09-20 20:19:12,1572
