business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Maruati Readymade,Readymade Garments Shop,Men's clothing store,Men's clothing store,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 93662 68539,N/A,5.0,,"Sawrkar Building, Serchhip, Mizoram 796181",796181,23.3090421,92.8570234,ChIJye9xlGILTTcRCGuu4yhC32Y,https://www.google.com/maps/place/?q=place_id:ChIJye9xlGILTTcRCGuu4yhC32Y,part_372,2026-09-20 20:19:09,1092
RC Shirt House,Readymade Garments Shop,Clothing store,Clothing store,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 94361 42627,N/A,4.3,,"Zion St, Dawrpui, Aizawl, Mizoram 796001",Dawrpui,23.733411999999998,92.7177437,ChIJkXC9qk-VTTcRwdbeW9rzO_o,https://www.google.com/maps/place/?q=place_id:ChIJkXC9qk-VTTcRwdbeW9rzO_o,part_372,2026-09-20 20:19:09,1093
Blackberrys,Readymade Garments Shop,Clothing store,Clothing store,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 82910 43815,https://stores.blackberrys.com/blackberrys-zarkawt-aizawl-8675/Home?utm_source=locator&utm_medium=googleplaces,4.8,,"Shop No A22, opposite Bus Stand, Zarkawt, Aizawl, Mizoram 796007",Zarkawt,23.7360126,92.7168633,ChIJfQJg_ICVTTcRQoyN3OuWg9Q,https://www.google.com/maps/place/?q=place_id:ChIJfQJg_ICVTTcRQoyN3OuWg9Q,part_372,2026-09-20 20:19:09,1094
Blues apparel 23,Readymade Garments Shop,Clothing store,Clothing store,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 82598 10781,N/A,5.0,,"Mission Vengthlang, Aizawl, Mizoram 796005",Mission Vengthlang,23.7156387,92.71425239999999,ChIJvYzB9bGVTTcR8BrYcpnbYeA,https://www.google.com/maps/place/?q=place_id:ChIJvYzB9bGVTTcR8BrYcpnbYeA,part_372,2026-09-20 20:19:09,1095
READYMADE STORE,Readymade Garments Shop,Clothing store,Clothing store,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",N/A,N/A,,,"8V54+FHP, NH2, Serchhip, Mizoram 796181",796181,23.308719999999997,92.8564662,ChIJ42qfStULTTcRDGjyHNrVEpI,https://www.google.com/maps/place/?q=place_id:ChIJ42qfStULTTcRDGjyHNrVEpI,part_372,2026-09-20 20:19:09,1096
Zami Readymade Store,Readymade Garments Shop,Women's clothing store,Women's clothing store,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 76280 01709,N/A,,,"Sawrkar Building, Serchhip, Mizoram 796181",796181,23.3089448,92.85703149999999,ChIJI5qk9hALTTcRDm-hAuhTY8Y,https://www.google.com/maps/place/?q=place_id:ChIJI5qk9hALTTcRDm-hAuhTY8Y,part_372,2026-09-20 20:19:09,1097
Ralte Store,Readymade Garments Shop,Clothing store,Clothing store,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",N/A,N/A,5.0,1.0,"43H4+R2Q, NVanlaiphai, North Vanlaiphai, Mizoram 796184",NVanlaiphai,23.1295936,93.05511589999999,ChIJC3LfSXMdTTcRtm3acZifFY0,https://www.google.com/maps/place/?q=place_id:ChIJC3LfSXMdTTcRtm3acZifFY0,part_372,2026-09-20 20:19:10,1098
Abiaki Store,Readymade Garments Shop,Clothing store,Clothing store,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 89741 24651,N/A,5.0,1.0,"Lunglei Road, Thenzawl, Mizoram 796186",796181,23.278899199999998,92.77259099999999,ChIJo0qrd1h1TTcRMrWrOxWCjco,https://www.google.com/maps/place/?q=place_id:ChIJo0qrd1h1TTcRMrWrOxWCjco,part_372,2026-09-20 20:19:10,1099
Nancy Ralte,Readymade Garments Shop,Clothing store,Clothing store,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 98626 48349,N/A,5.0,1.0,"Bazar Veng, Serchhip, Mizoram 796181",Bazar Veng,23.308231499999998,92.85664249999999,ChIJs-oPDiILTTcR39vtcbJUAc0,https://www.google.com/maps/place/?q=place_id:ChIJs-oPDiILTTcR39vtcbJUAc0,part_372,2026-09-20 20:19:10,1100
Mathani Khawlhring,Readymade Garments Shop,Clothing store,Clothing store,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 98622 16055,N/A,4.0,1.0,"Bazar Veng, Serchhip, Mizoram 796181",796181,23.308978699999997,92.856802,ChIJDcfotLYLTTcR49osCy_aw_M,https://www.google.com/maps/place/?q=place_id:ChIJDcfotLYLTTcR49osCy_aw_M,part_372,2026-09-20 20:19:10,1101
Zosang Puan,Readymade Garments Shop,Clothing store,Clothing store,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",N/A,https://www.instagram.com/zo_sang_puan/,5.0,2.0,"Ignite Studio Building, near Woodland, Khatla, Aizawl, Mizoram 796001",Khatla,23.726277,92.70957159999999,ChIJH5kEnByVTTcRBj3WoxIsLBs,https://www.google.com/maps/place/?q=place_id:ChIJH5kEnByVTTcRBj3WoxIsLBs,part_372,2026-09-20 20:19:10,1102
Haus Of Parte,Readymade Garments Shop,Clothing store,Clothing store,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 70052 07840,N/A,3.9,,"Millenium Center, Dawrpui, Aizawl, Mizoram 796001",Dawrpui,23.7340625,92.7169309,ChIJM4fLa52VTTcR5SxEfZDfRI8,https://www.google.com/maps/place/?q=place_id:ChIJM4fLa52VTTcR5SxEfZDfRI8,part_372,2026-09-20 20:19:11,1103
Daisuki Casual,Readymade Garments Shop,Anime club,Anime club,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 84140 08592,N/A,4.9,,"D/28, Babutlang, Zarkawt, Dawrpui, Aizawl, Mizoram 796001",Dawrpui,23.734165899999997,92.7160767,ChIJXQVx2wyVTTcRavzA0tZah_k,https://www.google.com/maps/place/?q=place_id:ChIJXQVx2wyVTTcRavzA0tZah_k,part_372,2026-09-20 20:19:11,1104
MADAAN GARMENTS JALANDHAR,Readymade Garments Shop,Women's clothing store,"Women's clothing store, Designer Clothing Store, Dress store",796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 99155 30222,http://www.instagram.com/madaangarmentsjalandhar,4.6,44.0,"Showroom no 8, Madaan Garments, Naaz Shopping complex, near Civil Hospital Street, Near Naaz Cinema, Shakti Nagar, Jalandhar, Punjab 144001","Near Naaz Cinema, Shakti Nagar",31.327722599999998,75.5732731,ChIJfaWjpPFbGjkRLKhx8iBoS3I,https://www.google.com/maps/place/?q=place_id:ChIJfaWjpPFbGjkRLKhx8iBoS3I,part_372,2026-09-20 20:19:51,7974
Adinath Readymades,Readymade Garments Shop,Clothing store,Clothing store,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 99708 88111,N/A,3.7,375.0,"V8JH+QWG, Tilak Rd, opp. Kumar Showroom, Paithan Gate, Khokadpura, Chhatrapati Sambhajinagar, Maharashtra 431001","Paithan Gate, Khokadpura",19.881933,75.329821,ChIJ_TaYqHKY2zsRk14hhHTfh08,https://www.google.com/maps/place/?q=place_id:ChIJ_TaYqHKY2zsRk14hhHTfh08,part_372,2026-09-20 20:19:51,7975
Bobby - Readymade Garments,Readymade Garments Shop,Uniform store,"Uniform store, Children's clothing store, School supply store",796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 92292 50234,http://www.bobbyuniform.com/,4.9,1146.0,"opp. sunhari masjid, Phalka Bazar, Jayendraganj, Lashkar, Gwalior, Madhya Pradesh 474009","Phalka Bazar, Jayendraganj, Lashkar",26.2047915,78.1609201,ChIJvyPTCCzEdjkRTQCmxXrTYTA,https://www.google.com/maps/place/?q=place_id:ChIJvyPTCCzEdjkRTQCmxXrTYTA,part_372,2026-09-20 20:19:51,7976
Style Union - Madhurwada,Readymade Garments Shop,Clothing store,Clothing store,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 73040 53032,https://stores.styleunion.in/style-union/clothing-stores-in-visakhapatnam/clothing-stores-in-madhurwada/style-union-in-madhurwada-visakhapatnam--3O2sPY/home,4.9,2813.0,"DOOR no 1, 82/5, 100 Feet Rd, nearby Barbeque Nation, Midhilapuri Vuda Colony, Madhurawada, Madhuravada, Andhra Pradesh 530041","Midhilapuri Vuda Colony, Madhurawada",17.804233999999997,83.35781899999999,ChIJewkkOw5bOToRLtamrZeyxFU,https://www.google.com/maps/place/?q=place_id:ChIJewkkOw5bOToRLtamrZeyxFU,part_372,2026-09-20 20:19:51,7977
New Ganesh Cloth & Readymade,Readymade Garments Shop,Clothing store,Clothing store,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 99704 71359,N/A,3.8,31.0,"Sarafa Rd, Near Gandhi Putla, Sarafa Bazaar, Shahgunj, Chhatrapati Sambhajinagar, Maharashtra 431001","Near Gandhi Putla, Sarafa Bazaar, Shahgunj",19.888039799999998,75.3344101,ChIJiTSaEAyY2zsRoiJHem2lbqg,https://www.google.com/maps/place/?q=place_id:ChIJiTSaEAyY2zsRoiJHem2lbqg,part_372,2026-09-20 20:19:51,7978
Ready Made Garment Shop,Readymade Garments Shop,Clothing store,Clothing store,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",N/A,N/A,,,"J72C+QHH, Bankra, Howrah, Nibra, West Bengal 711403",Bankra,22.6019372,88.2714912,ChIJ1es3tWp5AjoRb07Fkf4WBm4,https://www.google.com/maps/place/?q=place_id:ChIJ1es3tWp5AjoRb07Fkf4WBm4,part_372,2026-09-20 20:19:51,7979
Shubh clothes house,Readymade Garments Shop,Clothing store,Clothing store,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 89792 45372,https://shubhclotheshouse.com/,5.0,2.0,"Saruwa Chouraha, Kanth Rd, Mugalpur Urf Aghwanpur Mustahk, Moradabad, Uttar Pradesh 244001",796184,28.9221091,78.7069731,ChIJiZQh8Lv_CjkRwz_fHtoeaCY,https://www.google.com/maps/place/?q=place_id:ChIJiZQh8Lv_CjkRwz_fHtoeaCY,part_372,2026-09-20 20:19:51,7980
Brand Town - Women's Clothing Store,Readymade Garments Shop,Clothing store,Clothing store,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 81604 62525,http://brandtown.in/,4.8,34.0,"Ujala Circle, Shop No.5, Shlok Satva, opp. Bala Hanumanji Temple, Sarkhej, Ahmedabad, Gujarat 382210",Sarkhej,22.974599299999998,72.49228049999999,ChIJ6wmuPxCbXjkRmfTyiaXw-mo,https://www.google.com/maps/place/?q=place_id:ChIJ6wmuPxCbXjkRmfTyiaXw-mo,part_372,2026-09-20 20:19:51,7981
Advance Cloth Stores,Readymade Garments Shop,Clothing store,Clothing store,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",N/A,N/A,5.0,1.0,"6Q9Q+9XW, Chinnaraspalle, Telangana 504296",796184,19.2186502,79.7897617,ChIJ32znegCfMjoRZabeGqBDzTo,https://www.google.com/maps/place/?q=place_id:ChIJ32znegCfMjoRZabeGqBDzTo,part_372,2026-09-20 20:19:51,7982
Rajasthan Readymade Store,Readymade Garments Shop,Men's clothing store,"Men's clothing store, Children's clothing store, Clothes and fabric wholesaler, Outerwear store, Tuxedo shop, Women's clothing store",796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 97186 08098,https://rajasthanreadymadestore.in/,4.2,388.0,"489, Gurudwara Rd, South Extension I, Shiv Nagar, Kotla Mubarakpur, New Delhi, Delhi 110003","South Extension I, Shiv Nagar, Kotla Mubarakpur",28.573933,77.22602739999999,ChIJGQpudVniDDkRoekoPhXYfZ0,https://www.google.com/maps/place/?q=place_id:ChIJGQpudVniDDkRoekoPhXYfZ0,part_372,2026-09-20 20:19:51,7983
