business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Millennium Centre,Shopping Mall Operators,Shopping mall,Shopping mall,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 389 231 6969,http://mca.mizoram.gov.in/,4.1,,"Millennium centre, Dawrpui, Aizawl, Mizoram 796001",Dawrpui,23.7337068,92.7169419,ChIJ_eW2wa6VTTcRIskqR4xpKvs,https://www.google.com/maps/place/?q=place_id:ChIJ_eW2wa6VTTcRIskqR4xpKvs,part_372,2026-09-20 20:19:43,6342
Solomon's Cave,Shopping Mall Operators,Shopping mall,Shopping mall,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",N/A,N/A,3.7,,"PPH9+27C, Dawrpui, Aizawl, Mizoram 796001",Dawrpui,23.727567699999998,92.7181549,ChIJkQIrALiUTTcRI5_B1ijuHA4,https://www.google.com/maps/place/?q=place_id:ChIJkQIrALiUTTcRI5_B1ijuHA4,part_372,2026-09-20 20:19:43,6343
"Prozone Mall, Chhatrapati Sambhajinagar Aurangabad",Shopping Mall Operators,Shopping mall,"Shopping mall, Movie theater",796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",N/A,http://prozonemalls.com/,4.3,,"API Rd, N 1, Cidco, Chhatrapati Sambhajinagar, Maharashtra 431006","N 1, Cidco",19.8768595,75.3720582,ChIJbfCcQ-6i2zsRN9zbh6ibUBo,https://www.google.com/maps/place/?q=place_id:ChIJbfCcQ-6i2zsRN9zbh6ibUBo,part_372,2026-09-20 20:20:27,14810
Centrium Mall,Shopping Mall Operators,Shopping mall,Shopping mall,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 93214 22802,N/A,4.0,,"opp. Lokhandwala Circle, Alica Nagar, Alika Nagar, Lokhandwala Twp, Kandivali East, Mumbai, Maharashtra 400101","Alica Nagar, Alika Nagar, Lokhandwala Township, Kandivali East",19.196882,72.8722422,ChIJfTe9ABW35zsRkbPp1MuzCjU,https://www.google.com/maps/place/?q=place_id:ChIJfTe9ABW35zsRkbPp1MuzCjU,part_372,2026-09-20 20:20:27,14811
World Trade Park,Shopping Mall Operators,Shopping mall,"Shopping mall, Business center",796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 141 272 8044,http://www.wtpjaipur.com/,4.6,,"Jawahar Lal Nehru Marg, D-Block, Malviya Nagar, Jaipur, Rajasthan 302017","D-Block, Malviya Nagar",26.8529889,75.80486909999999,ChIJz2S0q9C1bTkRr_3JFqQKREM,https://www.google.com/maps/place/?q=place_id:ChIJz2S0q9C1bTkRr_3JFqQKREM,part_372,2026-09-20 20:20:27,14812
Pavilion Mall • Hindva,Shopping Mall Operators,Shopping mall,Shopping mall,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",N/A,http://www.hindva.com/,4.4,,"New India Colony Rd, New India Colony, Nikol, Ahmedabad, Gujarat 380049","New India Colony, Nikol",23.050563,72.66749,ChIJ4dUU4yGHXjkR5hmIBonFVkU,https://www.google.com/maps/place/?q=place_id:ChIJ4dUU4yGHXjkR5hmIBonFVkU,part_372,2026-09-20 20:20:27,14813
Oberoi Mall,Shopping Mall Operators,Shopping mall,"Shopping mall, Donut shop, Outlet mall",796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 22 4099 0824,https://www.oberoimall.com/,4.4,,"Yashodham, Goregaon East, Mumbai, Maharashtra 400063","Yashodham, Goregaon East",19.1741983,72.8604101,ChIJ____vwe35zsRa78RefzEyWo,https://www.google.com/maps/place/?q=place_id:ChIJ____vwe35zsRa78RefzEyWo,part_372,2026-09-20 20:20:27,14814
Gaur City Mall,Shopping Mall Operators,Shopping mall,Shopping mall,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 89294 42900,http://www.gaurcitymall.com/,4.4,,"C1-B-GH-01, Greater Noida West, Gaur City 1, Sector 4, Greater Noida, Ghaziabad, Uttar Pradesh 201318","Greater Noida West, Gaur City 1, Sector 4",28.606028499999997,77.4296325,ChIJcYRyZWHvDDkRpJFpBp6YJ_A,https://www.google.com/maps/place/?q=place_id:ChIJcYRyZWHvDDkRpJFpBp6YJ_A,part_372,2026-09-20 20:20:27,14815
"DLF Mall of India, Noida",Shopping Mall Operators,Shopping mall,Shopping mall,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 120 620 9971,https://www.dlfmallofindia.com/,4.6,,"Sector 18, Noida, Uttar Pradesh 201301",Sector 18,28.5671429,77.3211441,ChIJtVeFISHlDDkRhfCWxs8fBUU,https://www.google.com/maps/place/?q=place_id:ChIJtVeFISHlDDkRhfCWxs8fBUU,part_372,2026-09-20 20:20:27,14816
TRG The Mall,Shopping Mall Operators,Shopping mall,Shopping mall,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 87504 66566,https://trg-themall.com/,4.6,,"Biharipur Village, Nai Basti Dundahera, Ghaziabad, Uttar Pradesh 201009","Biharipur Village, Nai Basti Dundahera",28.625562499999997,77.4254375,ChIJC5DvdADvDDkRyfCqgf90ERk,https://www.google.com/maps/place/?q=place_id:ChIJC5DvdADvDDkRyfCqgf90ERk,part_372,2026-09-20 20:20:27,14817
