business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
KT Travels,Bus Booking Agency,Travel agency,Travel agency,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 87878 65693,N/A,2.0,4.0,"Kawn Traffic Point, Zarkawt, Aizawl, Mizoram 796001",Zarkawt,23.7357169,92.7169607,ChIJ1RcCRa-VTTcR_paWsQybC5k,https://www.google.com/maps/place/?q=place_id:ChIJ1RcCRa-VTTcR_paWsQybC5k,part_372,2026-09-20 20:19:19
Serchhip,Bus Booking Agency,Bus Booking Agency,Bus Booking Agency,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",N/A,N/A,,,Mizoram 796181,796181,23.311308,92.8564098,ChIJ5TAzfSoKTTcRmKwwHH7FJwI,https://www.google.com/maps/place/?q=place_id:ChIJ5TAzfSoKTTcRmKwwHH7FJwI,part_372,2026-09-20 20:19:19
Thazual Digitals,Bus Booking Agency,Cell phone store,"Cell phone store, Cell phone accessory store, Computer Rental Agency, Computer repair service, Computer service, Computer store, Mobile phone repair shop, Print shop",796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 98625 64944,N/A,5.0,3.0,"College Peng, New Serchhip, Serchhip, Mizoram 796181","College Peng, New Serchhip",23.3357046,92.8551682,ChIJ-zK-uIQLTTcRk1o9bglS7fA,https://www.google.com/maps/place/?q=place_id:ChIJ-zK-uIQLTTcRk1o9bglS7fA,part_372,2026-09-20 20:19:19
R&R TRAVELS,Bus Booking Agency,Travel agency,Travel agency,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 70054 83742,https://sites.google.com/view/rr-travels-aizawl,4.9,38.0,"R&R Travels, Durtlang Rd, near Greenwood hospital thlang, Bawngkawn, Aizawl, Mizoram 796014",Bawngkawn,23.755857499999998,92.7306078,ChIJqaqq6iTrTTcR1U9HVuSlQSw,https://www.google.com/maps/place/?q=place_id:ChIJqaqq6iTrTTcR1U9HVuSlQSw,part_372,2026-09-20 20:19:19
D&L Travels,Bus Booking Agency,Travel agency,Travel agency,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 70852 20293,https://www.dltravels.in/,4.6,93.0,"Ground Floor, Pemarin Bldg, Booking Office: B-8, Zote Bakery sir peng, Traffic Point bul, Kawn, Chanmari, Aizawl, Mizoram 796007","Kawn, Chanmari",23.7416715,92.7167429,ChIJnz-47UrrTTcRfNxBiCDZAZc,https://www.google.com/maps/place/?q=place_id:ChIJnz-47UrrTTcRfNxBiCDZAZc,part_372,2026-09-20 20:19:19
Quality Tours & Travels,Bus Booking Agency,Travel agency,Travel agency,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 389 234 6339,N/A,3.9,10.0,"G6 Lalbuaia Shopping Complex, Zarkawt, Aizawl, Mizoram 796007",Zarkawt,23.7385941,92.7166798,ChIJu99y-ErrTTcRD71srRZQXP0,https://www.google.com/maps/place/?q=place_id:ChIJu99y-ErrTTcRD71srRZQXP0,part_372,2026-09-20 20:19:19
Serchhip Times Travels,Bus Booking Agency,Travel agency,Travel agency,796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 90892 84538,N/A,3.9,28.0,"YMA Rd, Serchhip, Mizoram 796181",796181,23.3087764,92.8569308,ChIJEd_XTNULTTcRDAL65crrjUE,https://www.google.com/maps/place/?q=place_id:ChIJEd_XTNULTTcRDAL65crrjUE,part_372,2026-09-20 20:19:19
Samlekha Travels,Bus Booking Agency,Travel agency,"Travel agency, Bus ticket agency, Car leasing service, Railway services, Taxi service, Tour agency, Tour operator, Railway Ticket Agent, Train ticket office, Transportation service",796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 63706 62019,https://samlekha-travels.grexa.site/,4.8,185.0,"Ward no.4, near Durga pandal, Chowki Para, Jharsuguda, Odisha 768201",Chowki Para,21.8591747,84.0109171,ChIJ2UvyY6LlIDoRl-zjnsBOHLo,https://www.google.com/maps/place/?q=place_id:ChIJ2UvyY6LlIDoRl-zjnsBOHLo,part_372,2026-09-20 20:19:19
"Krishna Travels & Holidays (R) The Best Travel Agency - Travels Near Me | Krishna tours and travels | Cars, TT & Bus’s",Bus Booking Agency,Travel agency,"Travel agency, Tour operator",796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 77600 07070,https://mykrishnatravels.com/,5.0,193.0,"14, 5th Main Rd, opposite Dr. Rajkumar Samadhi, 3rd Block, Jenakal Siddeswara Nagar, Nandini Layout, Bengaluru, Karnataka 560096","3rd Block, Jenakal Siddeswara Nagar, Nandini Layout",13.0173238,77.5312074,ChIJ00Kx7D89rjsRI5JtSIzsvQI,https://www.google.com/maps/place/?q=place_id:ChIJ00Kx7D89rjsRI5JtSIzsvQI,part_372,2026-09-20 20:19:19
Ithihas tours and travels,Bus Booking Agency,Travel agency,"Travel agency, Tour operator",796181,North Eastern Circle,North Eastern Region,Mizoram Division,"Serchhip S.O, Bungtlang 'N' B.O, Chekawn B.O",+91 90722 33000,https://www.ithihasgroup.com/,4.9,1600.0,"Elante, Calicut, bypass road, Koppam, Palakkad, Keralam 678001",Koppam,10.7795043,76.6647804,ChIJrXZLFWBvqDsR4cZPLmxFvNo,https://www.google.com/maps/place/?q=place_id:ChIJrXZLFWBvqDsR4cZPLmxFvNo,part_372,2026-09-20 20:19:19
