business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
i World Internet Cafe,Internet Cafe,Internet cafe,Internet cafe,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 474 279 9930,N/A,3.9,,"Devaswom Buildings, Kollam, Keralam 691013",Kaankathu Mukku,8.8932877,76.5739928,ChIJoYF5l0n8BTsRz4UyxRCbVvA,https://www.google.com/maps/place/?q=place_id:ChIJoYF5l0n8BTsRz4UyxRCbVvA,part_372,2026-09-20 20:20:14
Anurag Cyber Solution Loco Shed,Internet Cafe,Internet cafe,Internet cafe,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",N/A,N/A,4.9,,"near SBI ATM, Dr. Ram Sarup Colony, Loco Shed, Moradabad, Uttar Pradesh 244001","Dr. Ram Sarup Colony, Loco Shed",28.8427151,78.75748449999999,ChIJCxjYePD7CjkRneMu8TXsDxQ,https://www.google.com/maps/place/?q=place_id:ChIJCxjYePD7CjkRneMu8TXsDxQ,part_372,2026-09-20 20:20:14
Gaurav Cyber Cafe,Internet Cafe,Internet cafe,Internet cafe,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 90737 52036,N/A,5.0,,"Amarapuri Ghola, Sodepur, near Notun Rasta, More, Panihati, West Bengal 700111","Ghola, More",22.696599499999998,88.4130921,ChIJwefdIC2f-DkRlfOLRgXdABs,https://www.google.com/maps/place/?q=place_id:ChIJwefdIC2f-DkRlfOLRgXdABs,part_372,2026-09-20 20:20:14
MAHALAXMI NET CAFE,Internet Cafe,Internet cafe,Internet cafe,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 95117 22183,N/A,5.0,,"NEW COLLEGE ROAD CHOUGALE APARTMENT, C Ward, Maharashtra 416012","Shivaji Peth A Ward, C Ward",16.692024699999997,74.22084629999999,ChIJhUNNrSgBwTsRiFtduLEOWrY,https://www.google.com/maps/place/?q=place_id:ChIJhUNNrSgBwTsRiFtduLEOWrY,part_372,2026-09-20 20:20:14
E-Sevai Mayam (People Computer Center),Internet Cafe,Internet cafe,"Internet cafe, Internet shop",796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",N/A,http://tnesevai.tn.gov.in/,3.8,,"Amman elecctrical bulding, near post, offiveMookondapalli, Hosur, Tamil Nadu 635126",796184,12.750435399999999,77.8039733,ChIJHzPQl-JwrjsR1cMNZhsves0,https://www.google.com/maps/place/?q=place_id:ChIJHzPQl-JwrjsR1cMNZhsves0,part_372,2026-09-20 20:20:14
Pramukh Technologies | Cyber Cafe | Digital Services,Internet Cafe,Internet cafe,Internet cafe,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 84604 98885,N/A,4.9,,"G-4, Ascon Plaza, Anand Mahal Rd, near Bhulka Bhavan School, Behind Bulka Bhavan School, Adajan Gam, Adajan, Surat, Gujarat 395009","Behind Bulka Bhavan School, Adajan Gam, Adajan",21.193061,72.7990798,ChIJc9wpe9RN4DsRjCP6iHCtNE4,https://www.google.com/maps/place/?q=place_id:ChIJc9wpe9RN4DsRjCP6iHCtNE4,part_372,2026-09-20 20:20:14
Four S Cyber Cafe,Internet Cafe,Internet cafe,Internet cafe,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 99952 52697,N/A,4.2,,"NH 47 Bypass Road, Mukkalakkal Near Technopark Phase 3, PO, Kulathoor, Thiruvananthapuram, Keralam 695583",Kulathoor,8.545154,76.8774016,ChIJX53RrfS-BTsRT8Jb-rf-k1w,https://www.google.com/maps/place/?q=place_id:ChIJX53RrfS-BTsRT8Jb-rf-k1w,part_372,2026-09-20 20:20:14
Dev Internet Cafe,Internet Cafe,Internet cafe,Internet cafe,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 92195 55412,https://devinternetcafembd.blogspot.com/search/label/Form,4.5,,"Putli ghar Gate Line Par, Majhola, Moradabad, Uttar Pradesh 244103","Vikas Nagar, Majhola",28.8284012,78.7513457,ChIJGwHVF4v7CjkRc7lJlG6_CyI,https://www.google.com/maps/place/?q=place_id:ChIJGwHVF4v7CjkRc7lJlG6_CyI,part_372,2026-09-20 20:20:14
Cyber Net Computers,Internet Cafe,Internet cafe,"Internet cafe, Computer networking service, Computer service, Copy shop, E-commerce service, Internet shop, Lamination service, Money transfer service, Passport photo processor, Photography service",796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 81074 44355,N/A,4.6,,"4-A, Janta Nagar Rakdi, Hatwara Road, Sodala, Jaipur, Rajasthan 302006","Vishnu Colony, Jamuna Nagar, Sodala",26.907922,75.77341899999999,ChIJk367inC0bTkRrnhDyaTaStI,https://www.google.com/maps/place/?q=place_id:ChIJk367inC0bTkRrnhDyaTaStI,part_372,2026-09-20 20:20:14
Shubham Cyber Cafe,Internet Cafe,Internet cafe,Internet cafe,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 99282 17080,N/A,4.0,,"Shop No A 1, Chhayadeep Colony, 80 Feet Rd, near Talwariya Marriage Garden Hall, Mahesh Nagar, Gopal Pura Mode, Jaipur, Rajasthan 302015","Mahesh Nagar, Gopal Pura Mode",26.882410099999998,75.7774902,ChIJ-5nweDa0bTkRszDtk2VjsW0,https://www.google.com/maps/place/?q=place_id:ChIJ-5nweDa0bTkRszDtk2VjsW0,part_372,2026-09-20 20:20:14
starnet cyber cafe,Internet Cafe,Internet cafe,Internet cafe,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 76988 57085,N/A,4.4,,"Shop no 2 sun city s.p ring road south bopal, Ahmedabad, Gujarat 380057","South Bopal, Bopal",23.0192168,72.4777754,ChIJlXyjMgubXjkR-ZxZxN3Aez4,https://www.google.com/maps/place/?q=place_id:ChIJlXyjMgubXjkR-ZxZxN3Aez4,part_372,2026-09-20 20:20:14
Cyber Zone,Internet Cafe,Internet cafe,Internet cafe,796184,North Eastern Circle,North Eastern Region,Mizoram Division,"N. Vanlaiphai S.O, Lungchhuan B.O, Lungkawlh B.O",+91 87959 30313,N/A,4.0,,"Utrathia,Bazar, Raibareli Rd, Sector 1, Vrindavan Colony, Lucknow, Uttar Pradesh 226029","Sector 1, Vrindavan Colony",26.7655225,80.9467471,ChIJ4-kFMlr7mzkRJ61cZS7_dkM,https://www.google.com/maps/place/?q=place_id:ChIJ4-kFMlr7mzkRJ61cZS7_dkM,part_372,2026-09-20 20:20:14
