business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Horizon World Travel,Tour and Travel Operator,Travel agency,Travel agency,796186,North Eastern Circle,North Eastern Region,Mizoram Division,"Thenzawl S.O, Chhipphir B.O, Kanghmun 'S' B.O",+91 98779 39658,https://www.horizonworldtravel.in/,4.9,,"5TH FLOOR, Wing-A, Statesman House, Barakhamba Rd, Barakhamba, New Delhi, Delhi 110001",Barakhamba,28.630822199999997,77.2226395,ChIJc3Ej3p4PoIYRBPTdMcUjbM8,https://www.google.com/maps/place/?q=place_id:ChIJc3Ej3p4PoIYRBPTdMcUjbM8,part_372,2026-09-20 20:20:43
WORLDWIDE TRAVELS & TOURS,Tour and Travel Operator,Travel agency,"Travel agency, Airline ticket agency, Tour agency, Tour operator, Visa and passport office",796186,North Eastern Circle,North Eastern Region,Mizoram Division,"Thenzawl S.O, Chhipphir B.O, Kanghmun 'S' B.O",+91 90081 04444,N/A,4.5,,"Shop No1, Police Shopping Complex, Old Bus Depot Rd, Hanamkonda, Telangana 506001","Julywada, Ramnagar",18.006859,79.55695999999999,ChIJ1d4Ckn5PMzoR93f8IylEpW8,https://www.google.com/maps/place/?q=place_id:ChIJ1d4Ckn5PMzoR93f8IylEpW8,part_372,2026-09-20 20:20:43
Viz Travels,Tour and Travel Operator,Tour operator,Tour operator,796186,North Eastern Circle,North Eastern Region,Mizoram Division,"Thenzawl S.O, Chhipphir B.O, Kanghmun 'S' B.O",N/A,https://viztravels.com/,4.5,,"B 69, First, OFFICE, F001, B Block, Sector 2, Noida, Uttar Pradesh 201301","B Block, Sector 2",28.5849679,77.3135317,ChIJz8MAytX6u68RK2_YpAIQil8,https://www.google.com/maps/place/?q=place_id:ChIJz8MAytX6u68RK2_YpAIQil8,part_372,2026-09-20 20:20:43
M.R. Tour & Travels,Tour and Travel Operator,Tour operator,"Tour operator, Food products supplier",796186,North Eastern Circle,North Eastern Region,Mizoram Division,"Thenzawl S.O, Chhipphir B.O, Kanghmun 'S' B.O",+91 70032 28989,https://mrtourandtravels.com/,4.9,825.0,"Sudhendu Abasan,1st Floor, Beside- Madhyamgram Boy's High School, Sodepur Rd, Madhyamgram, Kolkata, West Bengal 700129","Basunagar, Madhyamgram",22.6956071,88.4550177,ChIJRTZRMESf-DkRFYtHa2AfBxI,https://www.google.com/maps/place/?q=place_id:ChIJRTZRMESf-DkRFYtHa2AfBxI,part_372,2026-09-20 20:20:43
Saarthi Tourism,Tour and Travel Operator,Travel agency,"Travel agency, Airline ticket agency, Boat tour agency, Bus ticket agency, Bus tour agency, Passport Agent, Tour agency, Tour operator, Railway Ticket Agent, Visa Agent",796186,North Eastern Circle,North Eastern Region,Mizoram Division,"Thenzawl S.O, Chhipphir B.O, Kanghmun 'S' B.O",+91 99792 81002,http://www.saarthigroup.in/,4.8,378.0,"FF-116/117, Gajanan Complex, Old Padra Rd, opposite Tube Company, Opp. Tube Company, Sheetal Nagar, Akota, Vadodara, Gujarat 390007","Opp. Tube Company, Sheetal Nagar, Akota",22.2924887,73.1651399,ChIJxYBOGBzGXzkRpGdy6K-GLHU,https://www.google.com/maps/place/?q=place_id:ChIJxYBOGBzGXzkRpGdy6K-GLHU,part_372,2026-09-20 20:20:43
Choice Holidays India,Tour and Travel Operator,Travel agency,Travel agency,796186,North Eastern Circle,North Eastern Region,Mizoram Division,"Thenzawl S.O, Chhipphir B.O, Kanghmun 'S' B.O",+91 98271 44487,http://www.choiceholidaysindia.com/,5.0,4119.0,"CHOICE HOLIDAYS M Tower, Fundher Chowk, VIP Rd, Raipur, Chhattisgarh 492012",796186,21.216700499999998,81.6937368,ChIJn3Gjx5PdKDoR02GWAoPIIVo,https://www.google.com/maps/place/?q=place_id:ChIJn3Gjx5PdKDoR02GWAoPIIVo,part_372,2026-09-20 20:20:43
Special Holiday Travel,Tour and Travel Operator,Travel agency,"Travel agency, Tour operator",796186,North Eastern Circle,North Eastern Region,Mizoram Division,"Thenzawl S.O, Chhipphir B.O, Kanghmun 'S' B.O",+91 99104 23010,https://www.specialholidays.com/,4.2,60.0,"B-73, B Block, Sector 6, Noida, Uttar Pradesh 201301","B Block, Sector 6",28.591927899999998,77.3165774,ChIJm3MfcI_vDDkRVPa1nCCV7b4,https://www.google.com/maps/place/?q=place_id:ChIJm3MfcI_vDDkRVPa1nCCV7b4,part_372,2026-09-20 20:20:43
Tour My India,Tour and Travel Operator,Travel agency,"Travel agency, Tour operator",796186,North Eastern Circle,North Eastern Region,Mizoram Division,"Thenzawl S.O, Chhipphir B.O, Kanghmun 'S' B.O",+91 92127 77223,https://www.tourmyindia.com/,3.8,182.0,"C, C-81-82, C-81, Sector 65, C Block, Sector 8, Noida, Uttar Pradesh 201301","Sector 65, C Block, Sector 8",28.5958313,77.3277497,ChIJq6qqqlbkDDkRgYSn2nK1W5k,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqlbkDDkRgYSn2nK1W5k,part_372,2026-09-20 20:20:43
SS Holiday,Tour and Travel Operator,Travel agency,"Travel agency, Airline ticket agency, Tour operator, Tourist information center",796186,North Eastern Circle,North Eastern Region,Mizoram Division,"Thenzawl S.O, Chhipphir B.O, Kanghmun 'S' B.O",+91 93766 36936,http://www.ssholiday.com/,4.9,118.0,"2nd Floor, NEO Square, 266 - 267, Pandit Nehru Marg, Indradeep Society, Jamnagar, Gujarat 361008",Indradeep Society,22.4757847,70.06658709999999,ChIJn4XtkqRqVzkRuVe0mSxBBt4,https://www.google.com/maps/place/?q=place_id:ChIJn4XtkqRqVzkRuVe0mSxBBt4,part_372,2026-09-20 20:20:43
"Dikhow Travel Agency, Sivasagar",Tour and Travel Operator,Travel agency,"Travel agency, Airline ticket agency, Car rental agency, Tour operator, Railway Ticket Agent",796186,North Eastern Circle,North Eastern Region,Mizoram Division,"Thenzawl S.O, Chhipphir B.O, Kanghmun 'S' B.O",+91 99543 75680,https://www.dikhowtravelagency.in/,5.0,405.0,"1st Floor, Estern Medical Store, Temple Rd, Dolmukh Chariali, Sivasagar, Assam 785640",Dolmukh Chariali,26.986092799999998,94.63254359999999,ChIJKQhq4ioxRzcRYx3Z54yYzA8,https://www.google.com/maps/place/?q=place_id:ChIJKQhq4ioxRzcRYx3Z54yYzA8,part_372,2026-09-20 20:20:44
