business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Happy Bee Pre School,Play School and Daycare,Preschool,Preschool,796261,North Eastern Circle,North Eastern Region,Mizoram Division,"Saitual S.O, Aiduzawl B.O, Buhban B.O",N/A,N/A,5.0,2.0,"PPC9+8J8, Tuikhuahtlang Rd, Aizawl, Mizoram 796001",796261,23.7207878,92.71907139999999,ChIJSSB8HlOVTTcROSmOBfWClJw,https://www.google.com/maps/place/?q=place_id:ChIJSSB8HlOVTTcROSmOBfWClJw,part_372,2026-09-20 20:22:58
Kids Den School,Play School and Daycare,Primary school,Primary school,796261,North Eastern Circle,North Eastern Region,Mizoram Division,"Saitual S.O, Aiduzawl B.O, Buhban B.O",+91 389 358 5403,https://www.kidsdenschool.in/home,,,"QP2F+PQ5, Dawrkawn, Chaltlang, Aizawl, Mizoram 796012",Chaltlang,23.751768499999997,92.7244829,ChIJnaueOzfrTTcRVJwyeK6fW10,https://www.google.com/maps/place/?q=place_id:ChIJnaueOzfrTTcRVJwyeK6fW10,part_372,2026-09-20 20:22:58
Anganwadi centre VI Phullen,Play School and Daycare,Preschool,Preschool,796261,North Eastern Circle,North Eastern Region,Mizoram Division,"Saitual S.O, Aiduzawl B.O, Buhban B.O",N/A,N/A,5.0,1.0,"R2XX+FH2, Phullen, Mizoram 796261",796261,23.848637,93.04888439999999,ChIJF-YrGQDNTTcRAimwTvob5SA,https://www.google.com/maps/place/?q=place_id:ChIJF-YrGQDNTTcRAimwTvob5SA,part_372,2026-09-20 20:22:58
Anganwadi Centre 1 changzawl,Play School and Daycare,Preschool,Preschool,796261,North Eastern Circle,North Eastern Region,Mizoram Division,"Saitual S.O, Aiduzawl B.O, Buhban B.O",N/A,N/A,3.0,1.0,"Q36H+385, Changzawl, Mizoram 796261",796261,23.7601342,93.07837459999999,ChIJryQE-AHLTTcRJnyjumpCTP8,https://www.google.com/maps/place/?q=place_id:ChIJryQE-AHLTTcRJnyjumpCTP8,part_372,2026-09-20 20:22:58
Anganwadi centre III Phullen,Play School and Daycare,Preschool,Preschool,796261,North Eastern Circle,North Eastern Region,Mizoram Division,"Saitual S.O, Aiduzawl B.O, Buhban B.O",N/A,N/A,3.0,1.0,"V22W+9QR, Phullen, Mizoram 796261",796261,23.8509831,93.0468758,ChIJ77xbLQDNTTcRElDxLLJWyhg,https://www.google.com/maps/place/?q=place_id:ChIJ77xbLQDNTTcRElDxLLJWyhg,part_372,2026-09-20 20:22:58
Anganwadi Centre II,Play School and Daycare,Preschool,Preschool,796261,North Eastern Circle,North Eastern Region,Mizoram Division,"Saitual S.O, Aiduzawl B.O, Buhban B.O",N/A,N/A,,,"P6GP+7X, Pamchung, Mizoram 796321",796261,23.727183999999998,93.23733039999999,ChIJGeebHABJTDcR1wZVKscpTVg,https://www.google.com/maps/place/?q=place_id:ChIJGeebHABJTDcR1wZVKscpTVg,part_372,2026-09-20 20:22:58
Anganwadi,Play School and Daycare,Preschool,Preschool,796261,North Eastern Circle,North Eastern Region,Mizoram Division,"Saitual S.O, Aiduzawl B.O, Buhban B.O",N/A,N/A,,,"JV32+MJX, Tlungvel, Mizoram 796161",796261,23.6042359,92.85160499999999,ChIJj_4QAXi9TTcR6Z1e2dN_PJc,https://www.google.com/maps/place/?q=place_id:ChIJj_4QAXi9TTcR6Z1e2dN_PJc,part_372,2026-09-20 20:22:58
"Anganwadi Center, Thingsul Tlangnuam",Play School and Daycare,Preschool,Preschool,796261,North Eastern Circle,North Eastern Region,Mizoram Division,"Saitual S.O, Aiduzawl B.O, Buhban B.O",N/A,N/A,,,"MVX6+XMC, Thingsul Tlangnuam, Mizoram 796161",796261,23.699932399999998,92.8616492,ChIJp6WMBCK5TTcRVnxwvzFXlgg,https://www.google.com/maps/place/?q=place_id:ChIJp6WMBCK5TTcRVnxwvzFXlgg,part_372,2026-09-20 20:22:58
Anganwadi Centre I,Play School and Daycare,Preschool,Preschool,796261,North Eastern Circle,North Eastern Region,Mizoram Division,"Saitual S.O, Aiduzawl B.O, Buhban B.O",N/A,N/A,,,"P6GQ+5M3, Pamchung, Mizoram 796321",796261,23.7253877,93.2391674,ChIJkQyXEwBJTDcRNxbsDc-eN_c,https://www.google.com/maps/place/?q=place_id:ChIJkQyXEwBJTDcRNxbsDc-eN_c,part_372,2026-09-20 20:22:58
"Anganwadi Centre, Darlawn Chhimveng",Play School and Daycare,Nursery school,Nursery school,796261,North Eastern Circle,North Eastern Region,Mizoram Division,"Saitual S.O, Aiduzawl B.O, Buhban B.O",N/A,N/A,1.0,1.0,"2W5F+F97, Chhimveng, Darlawn, Mizoram 796111",796261,24.0086566,92.9234268,ChIJBaREpBDaTTcRAaJu8LgRPwc,https://www.google.com/maps/place/?q=place_id:ChIJBaREpBDaTTcRAaJu8LgRPwc,part_372,2026-09-20 20:22:58
Anganwadi Centre - I,Play School and Daycare,Preschool,Preschool,796261,North Eastern Circle,North Eastern Region,Mizoram Division,"Saitual S.O, Aiduzawl B.O, Buhban B.O",N/A,N/A,,,"24WW+36, Daidou, Mizoram 796261",796261,24.045018199999998,93.1453655,ChIJZeOUEgArTDcRyo4qhc0_kBM,https://www.google.com/maps/place/?q=place_id:ChIJZeOUEgArTDcRyo4qhc0_kBM,part_372,2026-09-20 20:22:58
Anganwadi centre V Phullen,Play School and Daycare,Preschool,Preschool,796261,North Eastern Circle,North Eastern Region,Mizoram Division,"Saitual S.O, Aiduzawl B.O, Buhban B.O",N/A,N/A,,,"R3X2+464, Phullen, Mizoram 796261",796261,23.8477693,93.05058989999999,ChIJd56_eQDNTTcRj1g_q3TrPGw,https://www.google.com/maps/place/?q=place_id:ChIJd56_eQDNTTcRj1g_q3TrPGw,part_372,2026-09-20 20:22:58
"Anganwadi Centre – IV, Sawleng",Play School and Daycare,Preschool,Preschool,796261,North Eastern Circle,North Eastern Region,Mizoram Division,"Saitual S.O, Aiduzawl B.O, Buhban B.O",N/A,N/A,,,"XWHG+49, Sawleng, Mizoram 796017",796261,23.9777718,92.9259256,ChIJGRnqEErbTTcRcjMPJJGxrP4,https://www.google.com/maps/place/?q=place_id:ChIJGRnqEErbTTcRcjMPJJGxrP4,part_372,2026-09-20 20:22:58
"Anganwadi Centre-VII, Thingsulthliah, Hospital Area",Play School and Daycare,Preschool,Preschool,796261,North Eastern Circle,North Eastern Region,Mizoram Division,"Saitual S.O, Aiduzawl B.O, Buhban B.O",N/A,N/A,,,"MVM4+JJG, NH2, Thingsulthliah, Mizoram 796161",796261,23.6845285,92.85722109999999,ChIJqV1jVyO_TTcRd_bvgcedw5I,https://www.google.com/maps/place/?q=place_id:ChIJqV1jVyO_TTcRd_bvgcedw5I,part_372,2026-09-20 20:22:58
"Alpha World School, Kindergarten Section",Play School and Daycare,Kindergarten School,Kindergarten School,796261,North Eastern Circle,North Eastern Region,Mizoram Division,"Saitual S.O, Aiduzawl B.O, Buhban B.O",N/A,N/A,5.0,2.0,"PPF9+55R, Khatla, Aizawl, Mizoram 796001",Khatla,23.7229775,92.7179061,ChIJ76ExHuOVTTcRET_QTOr-V_g,https://www.google.com/maps/place/?q=place_id:ChIJ76ExHuOVTTcRET_QTOr-V_g,part_372,2026-09-20 20:22:58
Kids Care School,Play School and Daycare,Private educational institution,Private educational institution,796261,North Eastern Circle,North Eastern Region,Mizoram Division,"Saitual S.O, Aiduzawl B.O, Buhban B.O",N/A,N/A,,,"PPRG+82R, Ramhlun South, Chaltlang, Aizawl, Mizoram 796012","Ramhlun South, Chaltlang",23.740871199999997,92.72502949999999,ChIJy3dhPTPrTTcRIMWTrwpZ-jI,https://www.google.com/maps/place/?q=place_id:ChIJy3dhPTPrTTcRIMWTrwpZ-jI,part_372,2026-09-20 20:22:58
LITTLE MEDHA PRE SCHOOL,Play School and Daycare,Preschool,Preschool,796261,North Eastern Circle,North Eastern Region,Mizoram Division,"Saitual S.O, Aiduzawl B.O, Buhban B.O",+91 78428 22223,N/A,5.0,,"Naimnagar, pochammakunta road, Hanuman Nagar, Hanamkonda, Telangana 506009",Hanuman Nagar,18.0181839,79.5539308,ChIJrzrItoBPMzoREMCg0OcTLyg,https://www.google.com/maps/place/?q=place_id:ChIJrzrItoBPMzoREMCg0OcTLyg,part_372,2026-09-20 20:23:00
Aim International - The Foundation School,Play School and Daycare,Preschool,Preschool,796261,North Eastern Circle,North Eastern Region,Mizoram Division,"Saitual S.O, Aiduzawl B.O, Buhban B.O",N/A,https://kidzee.com/,5.0,,"Motahaldu, Lalkuan, Padampur Dewaliya, Uttarakhand 263139",Lalkuan,29.1475716,79.5079447,ChIJFVf7-4aFoDkRaCHT0gNxQIc,https://www.google.com/maps/place/?q=place_id:ChIJFVf7-4aFoDkRaCHT0gNxQIc,part_372,2026-09-20 20:23:00
Guru Global Pre School,Play School and Daycare,Kindergarten School,"Kindergarten School, Nursery school, Playgroup, Preschool",796261,North Eastern Circle,North Eastern Region,Mizoram Division,"Saitual S.O, Aiduzawl B.O, Buhban B.O",+91 88262 31296,http://www.guruglobalschool.com/,5.0,,"near Narayan Nagar Inter College, Govindpuram Colony, Anand Vihar, Bithoriya No. 1, Haldwani, Uttarakhand 263139","Govindpuram Colony, Anand Vihar",29.226909,79.5065985,ChIJ0TmIHg-boDkREPOgneNMf0U,https://www.google.com/maps/place/?q=place_id:ChIJ0TmIHg-boDkREPOgneNMf0U,part_372,2026-09-20 20:23:00
Cambridge Montessori Preschool Hanamkonda Warangal,Play School and Daycare,Preschool,"Preschool, Day care center, Educational institution, Montessori school",796261,North Eastern Circle,North Eastern Region,Mizoram Division,"Saitual S.O, Aiduzawl B.O, Buhban B.O",+91 94405 26277,https://cambridgemontessoriglobal.org/,5.0,,"Vishnu Priya Garden, RRR - BUILDING, H. NO: 24-3-85/14/1, Vidyut Nagar Road - 7, Hunter Road, Road, Hanamkonda, Telangana 506001","FCI Colony, Police Colony, Subedari",17.9851599,79.55176329999999,ChIJB32J_blPMzoRegFmqIHBCU8,https://www.google.com/maps/place/?q=place_id:ChIJB32J_blPMzoRegFmqIHBCU8,part_372,2026-09-20 20:23:00
