business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bliss gifting hamper,Gifting,Gift basket store,"Gift basket store, Gift shop",796290,North Eastern Circle,North Eastern Region,Mizoram Division,"Ngopa S.O, Hrianghmun B.O, Kawlbem B.O",+91 98710 10423,N/A,5.0,11.0,"ELITE HOMZ, Elite Homes, Sector 77, Noida, Uttar Pradesh 201316","Elite Homes, Sector 77",28.570830599999997,77.3914365,ChIJhSPN6gfvDDkRPn94lJ52ohk,https://www.google.com/maps/place/?q=place_id:ChIJhSPN6gfvDDkRPn94lJ52ohk,part_372,2026-09-20 20:23:37
Hem Art & Gift,Gifting,Gift shop,Gift shop,796290,North Eastern Circle,North Eastern Region,Mizoram Division,"Ngopa S.O, Hrianghmun B.O, Kawlbem B.O",+91 96648 92048,N/A,5.0,279.0,"Kenyug Circle, Shyamal Cross Rd, Shyamal, Ahmedabad, Gujarat 380015",Shyamal,23.012062,72.52830999999999,ChIJFdWLSciFXjkRZHlO72Abad8,https://www.google.com/maps/place/?q=place_id:ChIJFdWLSciFXjkRZHlO72Abad8,part_372,2026-09-20 20:23:37
Creative Corner - Packaging and Hamper Gifting,Gifting,Gift shop,Gift shop,796290,North Eastern Circle,North Eastern Region,Mizoram Division,"Ngopa S.O, Hrianghmun B.O, Kawlbem B.O",+91 86982 08423,N/A,4.0,8.0,"infront of Jakadi corner, Creative Corner, near Kulkarni Graden, Racca Colony, Jejurkar Wadi, Sharanpur, Nashik, Maharashtra 422005","Racca Colony, Jejurkar Wadi, Sharanpur",20.0010345,73.77403509999999,ChIJYQdQHNTr3TsRIYujgUmjgaw,https://www.google.com/maps/place/?q=place_id:ChIJYQdQHNTr3TsRIYujgUmjgaw,part_372,2026-09-20 20:23:37
Baskets Of Joy,Gifting,Gift shop,"Gift shop, Baby store, Childrens Store, Corporate gift supplier, Gift basket store, Novelty store, Party store, Stationery store, Wedding souvenir shop",796290,North Eastern Circle,North Eastern Region,Mizoram Division,"Ngopa S.O, Hrianghmun B.O, Kawlbem B.O",+91 99788 60681,https://www.basketsofjoy.in/,4.9,131.0,"Abhijyot Harmony, Gala Gymkhana Rd, opposite Theobroma, opposite chitvan , besides city celebration, South Bopal, Bopal, Ahmedabad, Gujarat 380058","South Bopal, Bopal",23.0243909,72.4710265,ChIJSfL3kMKbXjkRTY7bMqqCY1s,https://www.google.com/maps/place/?q=place_id:ChIJSfL3kMKbXjkRTY7bMqqCY1s,part_372,2026-09-20 20:23:37
Indeshu Gift & Novelty,Gifting,Gift shop,"Gift shop, Corporate gift supplier, Promotional products supplier, Religious goods store, Toy store",796290,North Eastern Circle,North Eastern Region,Mizoram Division,"Ngopa S.O, Hrianghmun B.O, Kawlbem B.O",+91 97226 37518,https://www.indeshugifts.com/,4.9,111.0,"Tephone Exchange, Indeshu House, 39/A, Khodiyar Nagar No.2, behind Ayappa Temple, Vasna, Ahmedabad, Gujarat 380007","Gyan Mandir Society, Vasna Telephone Exchange, Revati Nagar, Vasna",22.996807099999998,72.5482639,ChIJ0-66MT-FXjkRMhZ_kt--Br0,https://www.google.com/maps/place/?q=place_id:ChIJ0-66MT-FXjkRMhZ_kt--Br0,part_372,2026-09-20 20:23:37
Gift zone,Gifting,Gift shop,Gift shop,796290,North Eastern Circle,North Eastern Region,Mizoram Division,"Ngopa S.O, Hrianghmun B.O, Kawlbem B.O",+91 79829 04203,N/A,4.9,252.0,"Bijender Bhati market, Aicher Main Rd, near bikaner sweets, Accher, Pi I & II, Greater Noida, Uttar Pradesh 201315","Accher, Pi I & II",28.463009,77.5412992,ChIJFf1lh-vBDDkRjQ4mOtm72Gs,https://www.google.com/maps/place/?q=place_id:ChIJFf1lh-vBDDkRjQ4mOtm72Gs,part_372,2026-09-20 20:23:37
Crafty catcher gift shop,Gifting,Gift shop,Gift shop,796290,North Eastern Circle,North Eastern Region,Mizoram Division,"Ngopa S.O, Hrianghmun B.O, Kawlbem B.O",N/A,https://wa.me/message/5INN7OH5GDCZM1,5.0,52.0,"Bus Stop, N H Colony, Kozhikode - Palakkad Hwy, Nediyiruppu, Keralam 673638",796290,11.1337814,75.9898747,ChIJqWzi_eJPpjsRSSqaVBNi1os,https://www.google.com/maps/place/?q=place_id:ChIJqWzi_eJPpjsRSSqaVBNi1os,part_372,2026-09-20 20:23:37
GIFT Town,Gifting,Gift shop,"Gift shop, Gift basket store",796290,North Eastern Circle,North Eastern Region,Mizoram Division,"Ngopa S.O, Hrianghmun B.O, Kawlbem B.O",+91 120 312 8772,https://gifttown.catalog.to/,5.0,66.0,"Regalia Heights, Shipra Sun City, MS-38, Vaibhav Khand, Indirapuram, Ghaziabad, Uttar Pradesh 201014","Vaibhav Khand, Indirapuram",28.635437,77.3742168,ChIJUanIKSTlDDkRjfyiCKBwwa8,https://www.google.com/maps/place/?q=place_id:ChIJUanIKSTlDDkRjfyiCKBwwa8,part_372,2026-09-20 20:23:37
Gifting 360,Gifting,Wholesaler,Wholesaler,796290,North Eastern Circle,North Eastern Region,Mizoram Division,"Ngopa S.O, Hrianghmun B.O, Kawlbem B.O",+91 88006 30020,http://www.onlyrajesh.in/,5.0,57.0,"15, Subbu Street, off Wall Tax Road, Edapalaiyam, Park Town, Chennai, Tamil Nadu 600003","Edapalaiyam, Park Town",13.0860878,80.27599219999999,ChIJm1egKABlUjoR1NpxHYRjKQY,https://www.google.com/maps/place/?q=place_id:ChIJm1egKABlUjoR1NpxHYRjKQY,part_372,2026-09-20 20:23:37
Giftoriaa Gifts,Gifting,Gift shop,Gift shop,796290,North Eastern Circle,North Eastern Region,Mizoram Division,"Ngopa S.O, Hrianghmun B.O, Kawlbem B.O",+91 96734 09401,N/A,5.0,24.0,"Shop Number 2, Anjuman Chowk, near Tikoni Bagh, Bhikku Chowk, Gulshanabad, Malegaon, Maharashtra 423203","Bhikku Chowk, Gulshanabad",20.549300799999997,74.5348324,ChIJM1DzJYGZ3jsRK8OGsOmb85A,https://www.google.com/maps/place/?q=place_id:ChIJM1DzJYGZ3jsRK8OGsOmb85A,part_372,2026-09-20 20:23:37
Sony Gifts Pvt Ltd,Gifting,Gift shop,"Gift shop, Novelty store",796290,North Eastern Circle,North Eastern Region,Mizoram Division,"Ngopa S.O, Hrianghmun B.O, Kawlbem B.O",+91 253 259 7744,N/A,4.2,4273.0,"Sony Gifts Rd, Shalimar, Nashik, Maharashtra 422001",Shalimar,20.0018773,73.7866394,ChIJxwpBz6nr3TsRPTsuryAqeUo,https://www.google.com/maps/place/?q=place_id:ChIJxwpBz6nr3TsRPTsuryAqeUo,part_372,2026-09-20 20:23:37
SMK Art,Gifting,Gift shop,Gift shop,796290,North Eastern Circle,North Eastern Region,Mizoram Division,"Ngopa S.O, Hrianghmun B.O, Kawlbem B.O",+91 62389 56883,https://www.instagram.com/smk_art._?igsh=cm12dTlqbWlwYnQx,5.0,92.0,"Manjady road, Nochully, Kuzhalmannam, Kuzhalmannam-I, Keralam 678702",Nochully,10.7056813,76.57262039999999,ChIJkWgc13BzqDsRH_T95MbYnQQ,https://www.google.com/maps/place/?q=place_id:ChIJkWgc13BzqDsRH_T95MbYnQQ,part_372,2026-09-20 20:23:37
Craftyvok,Gifting,Gift shop,"Gift shop, Baby store, Event management company, Invitation printing service, Laser Cutting Service Provider, Neon sign shop",796290,North Eastern Circle,North Eastern Region,Mizoram Division,"Ngopa S.O, Hrianghmun B.O, Kawlbem B.O",+91 96298 84220,N/A,4.9,276.0,"203, Lakshmi illam, 5th St, Cross Cut Road, Gandhipuram, Coimbatore, Tamil Nadu 641012",Cross Cut Road,11.0181785,76.9673816,ChIJATRg-y5YqDsRJHSYlsK9tro,https://www.google.com/maps/place/?q=place_id:ChIJATRg-y5YqDsRJHSYlsK9tro,part_372,2026-09-20 20:23:37
Shree Swamini Gifts and Innovatives,Gifting,Gift shop,Gift shop,796290,North Eastern Circle,North Eastern Region,Mizoram Division,"Ngopa S.O, Hrianghmun B.O, Kawlbem B.O",+91 98509 72996,https://shreeswaminigifts.in/,5.0,15.0,"Shree Swamini apartment,Plot No 28, Santaji nagar,near kala nagar Signal, behind Kotak Bank, Indira Nagar, Nashik, Maharashtra 422009","Pandav Nagari, Indira Nagar",19.9683533,73.782971,ChIJ58R2vLzr3TsRD9vCw43g3J8,https://www.google.com/maps/place/?q=place_id:ChIJ58R2vLzr3TsRD9vCw43g3J8,part_372,2026-09-20 20:23:37
The Perfect Present,Gifting,Corporate gift supplier,"Corporate gift supplier, Gift shop, Gift basket store, Packaging company",796290,North Eastern Circle,North Eastern Region,Mizoram Division,"Ngopa S.O, Hrianghmun B.O, Kawlbem B.O",+91 90824 25626,https://theperfect-present.com/,4.9,332.0,"Man Excellenza, 201, Vallabhbhai Patel Rd, opp. Pawan Hans, LIC Colony, Suresh Colony, Vile Parle West, Mumbai, Maharashtra 400056","LIC Colony, Suresh Colony, Vile Parle West",19.0971828,72.83976539999999,ChIJd_Km7HfJ5zsRfihrJmNqypo,https://www.google.com/maps/place/?q=place_id:ChIJd_Km7HfJ5zsRfihrJmNqypo,part_372,2026-09-20 20:23:38
The Ideal Gift Gallery,Gifting,Gift shop,Gift shop,796290,North Eastern Circle,North Eastern Region,Mizoram Division,"Ngopa S.O, Hrianghmun B.O, Kawlbem B.O",+91 98991 00403,N/A,4.8,192.0,"Basement, Ak Plaza, Jagat Farm, Block E, Chandila, Gamma 1, Greater Noida, Uttar Pradesh 201310","Jagat Farm, Block E, Chandila, Gamma 1",28.4813667,77.49935529999999,ChIJuRI0jW7qDDkRhxbHC-RsXa8,https://www.google.com/maps/place/?q=place_id:ChIJuRI0jW7qDDkRhxbHC-RsXa8,part_372,2026-09-20 20:23:38
Magic of Gifts,Gifting,Corporate gift supplier,"Corporate gift supplier, Gift shop, E-commerce service, Figurine shop, Handbags shop, Jewelry store, Leather goods store, Novelty store, School supply store, Toy store",796290,North Eastern Circle,North Eastern Region,Mizoram Division,"Ngopa S.O, Hrianghmun B.O, Kawlbem B.O",+91 93109 35170,https://www.magicofgifts.com/,4.8,336.0,"Shop no 2, Magic of Gifts, Plot no- 33, near St. Teresa School, Shakti Khand 2, Indirapuram, Ghaziabad, Uttar Pradesh 201014","Shakti Khand 2, Indirapuram",28.647850299999998,77.36627279999999,ChIJ__-DJ6_6DDkRALrl3Vg1rzc,https://www.google.com/maps/place/?q=place_id:ChIJ__-DJ6_6DDkRALrl3Vg1rzc,part_372,2026-09-20 20:23:38
Gift Shree ગીફટ શ્રી,Gifting,Gift shop,Gift shop,796290,North Eastern Circle,North Eastern Region,Mizoram Division,"Ngopa S.O, Hrianghmun B.O, Kawlbem B.O",+91 98245 27068,N/A,4.7,708.0,"A-25 & A-26 1st Flor , paswanath tower,Shubhash chock, Gurukul Rd, Ahmedabad, Gujarat 380052","Tarun Nagar Part 2, Memnagar",23.0532432,72.5336256,ChIJq6qq6rCEXjkR9Y4b3jS9f3M,https://www.google.com/maps/place/?q=place_id:ChIJq6qq6rCEXjkR9Y4b3jS9f3M,part_372,2026-09-20 20:23:38
GiftinGuru | Indirapuram,Gifting,Gift shop,"Gift shop, Balloon artist, Balloon store, Children's party service, Toy store",796290,North Eastern Circle,North Eastern Region,Mizoram Division,"Ngopa S.O, Hrianghmun B.O, Kawlbem B.O",+91 97178 17771,http://www.giftinguru.com/,4.9,258.0,"Lower Ground Floor, Shipra Shopping Center, Shop No, SPL-036, Vaibhav Khand, Indirapuram, Uttar Pradesh 201014","Vaibhav Khand, Indirapuram",28.6374817,77.369543,ChIJmwzOXsXlDDkRxxpM8mciIj4,https://www.google.com/maps/place/?q=place_id:ChIJmwzOXsXlDDkRxxpM8mciIj4,part_372,2026-09-20 20:23:38
9 To 9 Dollar Shop,Gifting,Gift shop,Gift shop,796290,North Eastern Circle,North Eastern Region,Mizoram Division,"Ngopa S.O, Hrianghmun B.O, Kawlbem B.O",+91 93777 70896,N/A,4.4,639.0,"B-1, Nand Apartment, Nr. Navneet House, Gurukul Road, Memnagar, Ahmedabad, Gujarat 380052",Memnagar,23.0489855,72.5338007,ChIJeffJDKWEXjkRJjehAJlOlTY,https://www.google.com/maps/place/?q=place_id:ChIJeffJDKWEXjkRJjehAJlOlTY,part_372,2026-09-20 20:23:38
