business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
I Master Mobile Shop,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,796320,North Eastern Circle,North Eastern Region,Mizoram Division,"S.Khawbung S.O, Bungzung B.O, Dungtlang B.O",N/A,N/A,5.0,,"Sree Rama Towers, Ashok Marg, Sadullah Nagar, Narhi, Hazratganj, Lucknow, Uttar Pradesh 226001","Sadullah Nagar, Narhi, Hazratganj",26.850168399999998,80.9484057,ChIJfY-zLA_9mzkR7XP8gwrhN7I,https://www.google.com/maps/place/?q=place_id:ChIJfY-zLA_9mzkR7XP8gwrhN7I,part_372,2026-09-20 20:24:55
Any time mobile,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,796320,North Eastern Circle,North Eastern Region,Mizoram Division,"S.Khawbung S.O, Bungzung B.O, Dungtlang B.O",+91 93750 04444,N/A,4.9,,"shop no.1 king's plaza, Sardar Nagar Main Rd, below sbi bank, Astron Chowk, Rajkot, Gujarat 360001","Astron Chowk, Sardarnagar",22.2917292,70.7884423,ChIJMfyOF1vLWTkRcnt3bMdm9OQ,https://www.google.com/maps/place/?q=place_id:ChIJMfyOF1vLWTkRcnt3bMdm9OQ,part_372,2026-09-20 20:24:55
Mobile Technician,Mobile Phone Sales and Repair,Mobile phone repair shop,"Mobile phone repair shop, Cell phone store",796320,North Eastern Circle,North Eastern Region,Mizoram Division,"S.Khawbung S.O, Bungzung B.O, Dungtlang B.O",+91 86993 93933,N/A,4.7,,"Hoshiarpur Rd, Vinay Nagar, Kishanpura, Jalandhar, Punjab 144008","Vinay Nagar, Kishanpura",31.344946,75.59748979999999,ChIJBTTOTw1aGjkRLD-Ixh_QQi4,https://www.google.com/maps/place/?q=place_id:ChIJBTTOTw1aGjkRLD-Ixh_QQi4,part_372,2026-09-20 20:24:55
Mobile World Mi Store - Lucknow,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Cell phone accessory store, Computer accessories store, Mobile phone repair shop, Second hand store",796320,North Eastern Circle,North Eastern Region,Mizoram Division,"S.Khawbung S.O, Bungzung B.O, Dungtlang B.O",+91 74590 04723,http://facebook.com/mwkpr,4.7,,"569/165, Kanpur Main Road, near Piccadilly Hotel, Sector B, Bargawan, LDA Colony, Lucknow, Uttar Pradesh 226012","Sector B, Bargawan, LDA Colony",26.7995715,80.89483589999999,ChIJh-6cU5_-mzkRh9Suk_yyovc,https://www.google.com/maps/place/?q=place_id:ChIJh-6cU5_-mzkRh9Suk_yyovc,part_372,2026-09-20 20:24:55
Chadha Mobitech,Mobile Phone Sales and Repair,Mobile phone repair shop,"Mobile phone repair shop, Cell phone accessory store",796320,North Eastern Circle,North Eastern Region,Mizoram Division,"S.Khawbung S.O, Bungzung B.O, Dungtlang B.O",+91 99881 72580,https://m.facebook.com/home.php?campaign_id=458206487572991&_rdr#!/ChadhaMobitech/?ref=bookmarks,4.6,,"ਰਣਜੀਤ ਹਸਪਤਾਲ, Patel Chowk, opposite Ranjit Hospital, Transport Nagar, Harnam Daspura, Jalandhar, Punjab 144008","Transport Nagar, Harnam Daspura",31.3354677,75.5686592,ChIJjbgiTVlaGjkRlfqLmhukJJs,https://www.google.com/maps/place/?q=place_id:ChIJjbgiTVlaGjkRlfqLmhukJJs,part_372,2026-09-20 20:24:55
Cellphone Cafe,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,796320,North Eastern Circle,North Eastern Region,Mizoram Division,"S.Khawbung S.O, Bungzung B.O, Dungtlang B.O",+91 97222 22938,N/A,5.0,,"Nagnath Rd, Amreli Irrigation Division, D.L.B. Society, Amreli, Gujarat 365601","Amreli Irrigation Division, D.L.B. Society",21.601432,71.2161651,ChIJuympp8CAWDkRN4kUiJHsHrg,https://www.google.com/maps/place/?q=place_id:ChIJuympp8CAWDkRN4kUiJHsHrg,part_372,2026-09-20 20:24:55
Ishwar Mobile Shop,Mobile Phone Sales and Repair,Mobile phone repair shop,"Mobile phone repair shop, Cell phone store",796320,North Eastern Circle,North Eastern Region,Mizoram Division,"S.Khawbung S.O, Bungzung B.O, Dungtlang B.O",+91 98248 11130,N/A,3.3,,"Samarpan Complex, Lakhna Bangwala Road, 80 Feet, Near Maruthi Hall, Bharti Nagar, Gandhigram, Rajkot, Gujarat 360007","80 Feet, Near Maruthi Hall, Bharti Nagar, Gandhigram",22.310628899999998,70.7696285,ChIJj45frZzJWTkRt-OBpP-1C0o,https://www.google.com/maps/place/?q=place_id:ChIJj45frZzJWTkRt-OBpP-1C0o,part_372,2026-09-20 20:24:55
Repairing Centre,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,796320,North Eastern Circle,North Eastern Region,Mizoram Division,"S.Khawbung S.O, Bungzung B.O, Dungtlang B.O",+91 93077 82303,N/A,4.0,,"Saleem Khera, Petrol Pump, Budheshwar, Lucknow, Uttar Pradesh 226017",Budheshwar,26.840219899999997,80.8501009,ChIJ32bl6q3_mzkRfSg7hvx1I_s,https://www.google.com/maps/place/?q=place_id:ChIJ32bl6q3_mzkRfSg7hvx1I_s,part_372,2026-09-20 20:24:55
King Mobile Hardware Repairing Specialist,Mobile Phone Sales and Repair,Mobile phone repair shop,"Mobile phone repair shop, Electronics repair shop",796320,North Eastern Circle,North Eastern Region,Mizoram Division,"S.Khawbung S.O, Bungzung B.O, Dungtlang B.O",+91 99092 81434,https://www.instagram.com/kingmobile.rajkot?igsh=MTZpNm9kNGg1dnd1Nw==,4.8,,"Mangla Main Rd, opp. Drashti Skin & Eye Hospital, near Lodhawad Chowk, Manhar Plot, Bhakti Nagar, Rajkot, Gujarat 360002","Manhar Plot, Bhakti Nagar",22.2886325,70.79827039999999,ChIJSee_TEzLWTkRDo3OxyX-1tE,https://www.google.com/maps/place/?q=place_id:ChIJSee_TEzLWTkRDo3OxyX-1tE,part_372,2026-09-20 20:24:55
Cellsmart,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,796320,North Eastern Circle,North Eastern Region,Mizoram Division,"S.Khawbung S.O, Bungzung B.O, Dungtlang B.O",+91 98189 34940,N/A,4.5,17.0,"Shop no 1, Chandila Complex, Bihari Market, Tigaon Rd, opposite Meet you Soon, near Accord Hospital, Sector 85, Faridabad, Haryana 121007",Sector 85,28.399880999999997,77.3515773,ChIJ345uKwfdDDkRRzeepan5wBM,https://www.google.com/maps/place/?q=place_id:ChIJ345uKwfdDDkRRzeepan5wBM,part_372,2026-09-20 20:24:56
The Feelings Mobile,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Mobile phone repair shop",796320,North Eastern Circle,North Eastern Region,Mizoram Division,"S.Khawbung S.O, Bungzung B.O, Dungtlang B.O",+91 94152 04200,N/A,4.6,1596.0,"06,11, 13 Shastri market, 17-18, opposite burger king, near IP SIGRA Shopping Mall, Guru Nanak Nagar Colony, Sigra, Varanasi, Uttar Pradesh 221002","Guru Nanak Nagar Colony, Sigra",25.3166858,82.9900538,ChIJbefQ8PwtjjkR8jdPTEESsng,https://www.google.com/maps/place/?q=place_id:ChIJbefQ8PwtjjkR8jdPTEESsng,part_372,2026-09-20 20:24:56
Mobile House,Mobile Phone Sales and Repair,Electronics store,Electronics store,796320,North Eastern Circle,North Eastern Region,Mizoram Division,"S.Khawbung S.O, Bungzung B.O, Dungtlang B.O",+91 99901 21003,https://college.jyotividhya.com/,4.8,375.0,"G-29, S Block, Pocket A, Sector 18, Noida, Uttar Pradesh 201301","S Block, Pocket A, Sector 18",28.570048999999997,77.3264107,ChIJuwEFvlDlDDkR9fbxg-9MwLo,https://www.google.com/maps/place/?q=place_id:ChIJuwEFvlDlDDkR9fbxg-9MwLo,part_372,2026-09-20 20:24:56
