business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MK Associates MK sands,Cement and Sand Supplier,Building materials supplier,"Building materials supplier, Construction machine rental service, Construction Material Wholesaler",796370,North Eastern Circle,North Eastern Region,Mizoram Division,"Lungdar S.O, Biate B.O, Leng B.O",+91 94477 43461,N/A,5.0,,"Chozhikkadu PO, Channanikkad, Kottayam, Keralam 686533",796370,9.542661299999999,76.54487979999999,ChIJn4MzzUEpBjsRzulcJdM57u4,https://www.google.com/maps/place/?q=place_id:ChIJn4MzzUEpBjsRzulcJdM57u4,part_372,2026-09-20 20:25:57
Nila Agencies,Cement and Sand Supplier,Cement Supplier,Cement Supplier,796370,North Eastern Circle,North Eastern Region,Mizoram Division,"Lungdar S.O, Biate B.O, Leng B.O",N/A,N/A,4.2,,"Vizhinjam Rd, Balaramapuram, Venganoor, Keralam 695501",796370,8.4077571,77.028318,ChIJLTW3M9WvBTsReq4MMg2xNrg,https://www.google.com/maps/place/?q=place_id:ChIJLTW3M9WvBTsReq4MMg2xNrg,part_372,2026-09-20 20:25:57
Surinder Carrier,Cement and Sand Supplier,Building materials store,"Building materials store, Crane service",796370,North Eastern Circle,North Eastern Region,Mizoram Division,"Lungdar S.O, Biate B.O, Leng B.O",+91 98963 76696,https://t.justdial.com/Ambala/Surinder-Carrier-Ambala-City/9999PX171-X171-180804185828-I2Q8_BZDET,5.0,,"9Q77+WJ2, Hisar road, near Ghotra Celebration, Manav Chowk, Ambala, Haryana 134003",Manav Chowk,30.364772,76.7640241,ChIJLUqVzYDJDzkR6mslU45cT-c,https://www.google.com/maps/place/?q=place_id:ChIJLUqVzYDJDzkR6mslU45cT-c,part_372,2026-09-20 20:25:57
Swarachithra Building Materials,Cement and Sand Supplier,Building materials supplier,Building materials supplier,796370,North Eastern Circle,North Eastern Region,Mizoram Division,"Lungdar S.O, Biate B.O, Leng B.O",N/A,N/A,4.3,,"Venkulam, Edava, Keralam 695311",Venkulam,8.7619323,76.70135119999999,ChIJrd-Eo_TvBTsRSN15c0oEyNc,https://www.google.com/maps/place/?q=place_id:ChIJrd-Eo_TvBTsRSN15c0oEyNc,part_372,2026-09-20 20:25:57
Jai Maa Laxmi Trader,Cement and Sand Supplier,Building materials store,Building materials store,796370,North Eastern Circle,North Eastern Region,Mizoram Division,"Lungdar S.O, Biate B.O, Leng B.O",+91 86996 65365,N/A,4.5,,"Shop 1 village, Noorkherian, Patiala, Punjab 147002",Noorkherian,30.3359542,76.46963219999999,ChIJm51516jXDzkRrGMyJqLrpUw,https://www.google.com/maps/place/?q=place_id:ChIJm51516jXDzkRrGMyJqLrpUw,part_372,2026-09-20 20:25:57
Shiri sainath building material,Cement and Sand Supplier,Building materials supplier,"Building materials supplier, Aggregate supplier, Brick Manufacturer, Cement Supplier, Construction Material Wholesaler",796370,North Eastern Circle,North Eastern Region,Mizoram Division,"Lungdar S.O, Biate B.O, Leng B.O",+91 99991 74055,http://shirisainathbuildingmaterial.in/,4.8,56.0,"1288b, Gali Number 8, Govindpuri, Kalkaji, New Delhi, Delhi 110019","Govindpuri, Kalkaji",28.534447699999998,77.2681156,ChIJ4wRy1o3hDDkRtNOz_AbH9Xk,https://www.google.com/maps/place/?q=place_id:ChIJ4wRy1o3hDDkRtNOz_AbH9Xk,part_372,2026-09-20 20:25:58
Bobby Cement Agency,Cement and Sand Supplier,Building materials supplier,"Building materials supplier, Real Estate Builders & Construction Company, Real estate developer, Real estate rental agency",796370,North Eastern Circle,North Eastern Region,Mizoram Division,"Lungdar S.O, Biate B.O, Leng B.O",N/A,N/A,5.0,41.0,"near railway crossing, near getwell hospital, laxmi nagar, Sikandra, Agra, Uttar Pradesh 282007","laxmi nagar, Sikandra",27.2116009,77.952089,ChIJOc1I7cp5dDkRkO_tSB-5Cuc,https://www.google.com/maps/place/?q=place_id:ChIJOc1I7cp5dDkRkO_tSB-5Cuc,part_372,2026-09-20 20:25:59
Prism Cement - Kuljeet Singh,Cement and Sand Supplier,Cement Supplier,Cement Supplier,796370,North Eastern Circle,North Eastern Region,Mizoram Division,"Lungdar S.O, Biate B.O, Leng B.O",+91 96306 01160,https://www.prismcement.com/,5.0,4.0,"34, Baraghat, Vicky Factory, Durgapuri, Gwalior, Madhya Pradesh 474002",Durgapuri,26.2211948,78.1787564,ChIJ_0v3dvvHdjkRZ3SDhAHKiCk,https://www.google.com/maps/place/?q=place_id:ChIJ_0v3dvvHdjkRZ3SDhAHKiCk,part_372,2026-09-20 20:25:59
Sikarwar Building Solution - ACC,Cement and Sand Supplier,Cement Supplier,"Cement Supplier, Building materials store, Cement Manufacturer, Concrete product supplier, Ready mix concrete supplier",796370,North Eastern Circle,North Eastern Region,Mizoram Division,"Lungdar S.O, Biate B.O, Leng B.O",+91 96198 25639,https://dealers-nearme.acclimited.com/sikarwar-building-solution-acc-cement-manufacturer-bhind-road-gwalior-258827/Home?utm_source=locator&utm_medium=googleplaces,1.0,1.0,"Shop No 11, Bhind Rd, Gayatri Nagar, Gwalior, Madhya Pradesh 474005",Gayatri Nagar,26.244517,78.209648,ChIJFXvxZpbBdjkRh-DH-2mwnHI,https://www.google.com/maps/place/?q=place_id:ChIJFXvxZpbBdjkRh-DH-2mwnHI,part_372,2026-09-20 20:25:59
Ambuja cements Ltd. Rudraprayag,Cement and Sand Supplier,Cement Supplier,"Cement Supplier, Brick Manufacturer, Building materials store",796370,North Eastern Circle,North Eastern Region,Mizoram Division,"Lungdar S.O, Biate B.O, Leng B.O",+91 22 4066 7000,https://www.ambujacement.com/,,,"Sangam market, Rudraprayag, Uttarakhand 246171",796370,30.2879054,78.98037289999999,ChIJw0oDdDi3CTkRV_ObZsThmgM,https://www.google.com/maps/place/?q=place_id:ChIJw0oDdDi3CTkRV_ObZsThmgM,part_372,2026-09-20 20:25:59
