business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MANASA MAKEUP STUDIO & BEAUTY ZONE,Bridal Makeup Artist,Beauty Parlour,Beauty Parlour,796421,North Eastern Circle,North Eastern Region,Mizoram Division,"Lengpui Airport S.O, Hmunpui B.O",+91 96421 66712,N/A,4.8,63.0,"1-4-49/3, Jagtial Rd, Govindagiri Nagar, NagarKorutla, Korutla, Telangana 505326",Govindagiri Nagar,18.8246202,78.7030046,ChIJCxyiGagLzTsRarbONRuz81I,https://www.google.com/maps/place/?q=place_id:ChIJCxyiGagLzTsRarbONRuz81I,part_372,2026-09-20 20:27:13
Ashtamudi Salon,Bridal Makeup Artist,Make-up artist,"Make-up artist, Beautician, Bridal shop, Eyelash salon, Facial spa, Health and beauty shop, Beauty Parlour, Spa, Hairdresser",796421,North Eastern Circle,North Eastern Region,Mizoram Division,"Lengpui Airport S.O, Hmunpui B.O",+91 91362 22444,http://www.ashtamudi.org/,4.8,1891.0,"above Bhavna Textiles, opposite KSRTC Stand, Pulamon Junction, Kottarakkara, Keralam 691531",Pulamon Junction,9.005227099999999,76.7804008,ChIJp_t0-80LBjsREu8lttm8yjo,https://www.google.com/maps/place/?q=place_id:ChIJp_t0-80LBjsREu8lttm8yjo,part_372,2026-09-20 20:27:13
Shivenk Beauty Crave And Academy,Bridal Makeup Artist,Beauty Parlour,Beauty Parlour,796421,North Eastern Circle,North Eastern Region,Mizoram Division,"Lengpui Airport S.O, Hmunpui B.O",+91 62816 48337,N/A,4.9,78.0,"Market Rd, opp. Maitri Tailor, beside New Rajahamsa, Dubbawada, Metpally, Telangana 505325",Dubbawada,18.848050699999998,78.6254975,ChIJp1tUNTCfzTsRlbBSiwfAfdI,https://www.google.com/maps/place/?q=place_id:ChIJp1tUNTCfzTsRlbBSiwfAfdI,part_372,2026-09-20 20:27:13
Ashtamudi Wellness,Bridal Makeup Artist,Make-up artist,"Make-up artist, Beautician, Bridal shop, Facial spa, Beauty Parlour, Skin care clinic, Spa, Hairdresser, Waxing hair removal service",796421,North Eastern Circle,North Eastern Region,Mizoram Division,"Lengpui Airport S.O, Hmunpui B.O",+91 91362 22444,http://www.ashtamudi.org/,4.8,992.0,"Golf Links Rd, opp. Uday Palace Convention Center, Bhagavathy Nagar, Kowdiar, Thiruvananthapuram, Keralam 695003","Bhagavathy Nagar, Kowdiar",8.521835099999999,76.96454469999999,ChIJS8ejJi27BTsRsXh76q0P26I,https://www.google.com/maps/place/?q=place_id:ChIJS8ejJi27BTsRsXh76q0P26I,part_372,2026-09-20 20:27:13
bridal makeup artist,Bridal Makeup Artist,Make-up artist,Make-up artist,796421,North Eastern Circle,North Eastern Region,Mizoram Division,"Lengpui Airport S.O, Hmunpui B.O",N/A,N/A,,,"tripunithra municipal bilding c block, Kerala 682301",Thrippunithura,9.946123,76.3458717,ChIJX3-GSqpzCDsRp3ZPoKGPSkA,https://www.google.com/maps/place/?q=place_id:ChIJX3-GSqpzCDsRp3ZPoKGPSkA,part_372,2026-09-20 20:27:13
Lavanya HiTec Beauty Parlour,Bridal Makeup Artist,Beauty Parlour,"Beauty Parlour, Beautician, Tattoo artist, Training center",796421,North Eastern Circle,North Eastern Region,Mizoram Division,"Lengpui Airport S.O, Hmunpui B.O",+91 94431 83075,https://www.lavanyahitechbeautyparlour.com/,4.8,,"No 37, Mangai complex Sekkalai, College Rd, Thilagar Nagar, Karaikudi, Tamil Nadu 630001","Thilagar Nagar, Sekkalai",10.0789805,78.77697169999999,ChIJl4kcPbVnADsRZudcuCX291k,https://www.google.com/maps/place/?q=place_id:ChIJl4kcPbVnADsRZudcuCX291k,part_372,2026-09-20 20:27:14
Hi-Tech Beauty Parlour,Bridal Makeup Artist,Beauty Parlour,Beauty Parlour,796421,North Eastern Circle,North Eastern Region,Mizoram Division,"Lengpui Airport S.O, Hmunpui B.O",+91 99433 30540,N/A,4.9,,"Mani Nagar, 1st Street, opp. Thanpaadu Uppu Mandapam, Toovipuram, Thoothukudi, Tamil Nadu 628001",Toovipuram,8.8016729,78.1359269,ChIJ0W8UeJXvAzsRVAY_DOGHwB4,https://www.google.com/maps/place/?q=place_id:ChIJ0W8UeJXvAzsRVAY_DOGHwB4,part_372,2026-09-20 20:27:14
Makeup by Shweta,Bridal Makeup Artist,Make-up artist,"Make-up artist, Beauty Parlour, Service establishment, Health and beauty shop",796421,North Eastern Circle,North Eastern Region,Mizoram Division,"Lengpui Airport S.O, Hmunpui B.O",+91 98709 30853,N/A,4.9,,"Makeup by Shweta, 796421, India",796421,29.3949043,79.00128819999999,ChIJMfwx0q5_CjkRnAH8spi5Jgc,https://www.google.com/maps/place/?q=place_id:ChIJMfwx0q5_CjkRnAH8spi5Jgc,part_372,2026-09-20 20:27:14
Saanvi makeover by sonam,Bridal Makeup Artist,Make-up artist,Make-up artist,796421,North Eastern Circle,North Eastern Region,Mizoram Division,"Lengpui Airport S.O, Hmunpui B.O",N/A,N/A,5.0,,"indra prasth Colony, 1252/1, Reshu Vihar, Railway Crossing, Raghu Vihar, Civil Lines South, Muzaffarnagar, Uttar Pradesh 251001","Railway Crossing, Raghu Vihar, Civil Lines South",29.4520433,77.7067525,ChIJg8TQb7sbDDkRqcQ2fCBwjqg,https://www.google.com/maps/place/?q=place_id:ChIJg8TQb7sbDDkRqcQ2fCBwjqg,part_372,2026-09-20 20:27:14
Makeup By Katy - Makeup Artist,Bridal Makeup Artist,Make-up artist,"Make-up artist, Service establishment",796421,North Eastern Circle,North Eastern Region,Mizoram Division,"Lengpui Airport S.O, Hmunpui B.O",+91 76669 18987,https://www.instagram.com/makeupby__katy,5.0,,"Makeup By Katy - Makeup Artist, 796421, India",796421,21.1420145,79.0836666,ChIJPW3evmS_1DsRBuUYV9gti9o,https://www.google.com/maps/place/?q=place_id:ChIJPW3evmS_1DsRBuUYV9gti9o,part_372,2026-09-20 20:27:15
