business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Doon Flower and Decoration,Flower Decorator,Florist,"Florist, Flower delivery, Flower designer",796470,North Eastern Circle,North Eastern Region,Mizoram Division,"Kawrthah S.O, Boraibazar B.O, Hriphaw B.O",+91 99115 07202,https://doon-flower.grexa.site/,5.0,,"8254+GQ2, GMS Rd, Engineers Enclave, Kanwali, Dehradun, Uttarakhand 248171","Engineers Enclave, Kanwali",30.3087999,78.0068994,ChIJS5TMLRkrCTkR3gcDYzwAlHk,https://www.google.com/maps/place/?q=place_id:ChIJS5TMLRkrCTkR3gcDYzwAlHk,part_372,2026-09-20 20:29:05
Lokesh Flower Decorations,Flower Decorator,Florist,"Florist, Flower delivery, Flower designer",796470,North Eastern Circle,North Eastern Region,Mizoram Division,"Kawrthah S.O, Boraibazar B.O, Hriphaw B.O",+91 90123 21693,https://lokeshflowerdecoration.localo.site/,5.0,,"THDC Colony, Dehrakhas, Patel Nagar, Dehradun, Uttarakhand 248001","THDC Colony, Dehrakhas, Patel Nagar",30.3000562,78.0198606,ChIJuQvmdHopCTkRyVH818JQGyE,https://www.google.com/maps/place/?q=place_id:ChIJuQvmdHopCTkRyVH818JQGyE,part_372,2026-09-20 20:29:05
Patel Flowers & Balloons Decorations,Flower Decorator,Flower designer,Flower designer,796470,North Eastern Circle,North Eastern Region,Mizoram Division,"Kawrthah S.O, Boraibazar B.O, Hriphaw B.O",+91 87093 83655,N/A,5.0,256.0,"main road, near by airport, Khuntadih, Sonari, Jamshedpur, Jharkhand 831011","Khuntadih, Sonari",22.8168282,86.1723308,ChIJYwLKXBnl9TkRBqcRzv2KbOE,https://www.google.com/maps/place/?q=place_id:ChIJYwLKXBnl9TkRBqcRzv2KbOE,part_372,2026-09-20 20:29:07
Sai Flower,Flower Decorator,Florist,"Florist, Dried flower shop, Flower delivery, Flower designer, Wholesale florist",796470,North Eastern Circle,North Eastern Region,Mizoram Division,"Kawrthah S.O, Boraibazar B.O, Hriphaw B.O",+91 88020 04527,http://saiflower.com/,4.9,251.0,"Shop No 1, Sai Mandir, Lodhi Rd, Gokalpuri, Institutional Area, Lodi Colony, New Delhi, Delhi 110003","Gokalpuri, Institutional Area, Lodi Colony",28.589177399999997,77.2290805,ChIJ1zAyCfDiDDkRAAAAMKkUagQ,https://www.google.com/maps/place/?q=place_id:ChIJ1zAyCfDiDDkRAAAAMKkUagQ,part_372,2026-09-20 20:29:07
SUHAGAN FLOWER DECORATION,Flower Decorator,Flower designer,Flower designer,796470,North Eastern Circle,North Eastern Region,Mizoram Division,"Kawrthah S.O, Boraibazar B.O, Hriphaw B.O",+91 97947 63277,N/A,4.4,78.0,"baba kua, Makrand Nagar Rd, Kannauj, Uttar Pradesh 209725",796470,27.0485112,79.9117972,ChIJf-aKHHlvnjkRKVBt6Cb8hSE,https://www.google.com/maps/place/?q=place_id:ChIJf-aKHHlvnjkRKVBt6Cb8hSE,part_372,2026-09-20 20:29:07
Flower Fashion India Garlands Bangalore,Flower Decorator,Flower delivery,"Flower delivery, Florist",796470,North Eastern Circle,North Eastern Region,Mizoram Division,"Kawrthah S.O, Boraibazar B.O, Hriphaw B.O",+91 97422 00300,https://flowerfashionindia.com/,4.9,91.0,"A.K Halli, C/O Melting Flowers, 23/1, 9th Cross Rd, near Brand Factory Showroom, Wilson Garden, Bengaluru, Karnataka 560011","Arekempanahalli, Wilson Garden",12.945996,77.5946704,ChIJG3G2GQAVrjsRKqGCcBdnDdA,https://www.google.com/maps/place/?q=place_id:ChIJG3G2GQAVrjsRKqGCcBdnDdA,part_372,2026-09-20 20:29:07
Madan Florist,Flower Decorator,Florist,"Florist, Balloon store",796470,North Eastern Circle,North Eastern Region,Mizoram Division,"Kawrthah S.O, Boraibazar B.O, Hriphaw B.O",+91 98162 21329,https://www.instagram.com/madanfloristshimla?igsh=bDVic251dGllNTMx,5.0,687.0,"📍- Shop no -02 , 1st floor, Sharma Building, above Ashiana Sweets, B.C.S., BCS, New Shimla, Shimla, Himachal Pradesh 171009","B.C.S., BCS, New Shimla",31.0845116,77.17180379999999,ChIJ-6fmvkl5BTkRUMxo5Xnsomg,https://www.google.com/maps/place/?q=place_id:ChIJ-6fmvkl5BTkRUMxo5Xnsomg,part_372,2026-09-20 20:29:07
Mahendra Flower,Flower Decorator,Florist,Florist,796470,North Eastern Circle,North Eastern Region,Mizoram Division,"Kawrthah S.O, Boraibazar B.O, Hriphaw B.O",N/A,N/A,4.1,11.0,"2, Phool Bagh, Maharani Laxmi Bai Colony, Lashkar, Gwalior, Madhya Pradesh 474002","Maharani Laxmi Bai Colony, Lashkar",26.2119756,78.1719497,ChIJc_BEKqPFdjkRNbTSuAytvDM,https://www.google.com/maps/place/?q=place_id:ChIJc_BEKqPFdjkRNbTSuAytvDM,part_372,2026-09-20 20:29:07
AKS flower decorations,Flower Decorator,Wholesale florist,"Wholesale florist, Event management company, Event planner, Florist, Flower delivery, Flower designer, Flower market, Wedding store",796470,North Eastern Circle,North Eastern Region,Mizoram Division,"Kawrthah S.O, Boraibazar B.O, Hriphaw B.O",N/A,https://business.google.com/v/aks-flower-decorations/04595913862844343266/36dc/_?,4.9,199.0,"gate no: 10, big market, gouber market(big market 296 bharathi Street, Landmark:, near vinayagar temple, inside the market, Puducherry, 605001",MG Road Area,11.9362379,79.82747069999999,ChIJQVVWUX5hUzoRD1kV87Cygx4,https://www.google.com/maps/place/?q=place_id:ChIJQVVWUX5hUzoRD1kV87Cygx4,part_372,2026-09-20 20:29:07
Garlands for Marriage/Treditional flowers Home/Mandap decoration,Flower Decorator,Flower delivery,"Flower delivery, Event management company, Event planner, Florist, Flower designer, Flower market, Marriage celebrant",796470,North Eastern Circle,North Eastern Region,Mizoram Division,"Kawrthah S.O, Boraibazar B.O, Hriphaw B.O",+91 95503 70765,https://instagram.com/wedding_garlands_banglore?igshid=MzMyNGUyNmU2YQ==,4.8,112.0,"Kurubarahalli, Basaveshwar Nagar, Bengaluru, Karnataka 560086","Kurubarahalli, Basaveshwar Nagar",12.999366199999999,77.52849259999999,ChIJo286M3k9rjsRrIL-xdPDzRs,https://www.google.com/maps/place/?q=place_id:ChIJo286M3k9rjsRrIL-xdPDzRs,part_372,2026-09-20 20:29:07
