business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
KD Elementary and High and Higher School,School,Elementary school,Elementary school,796471,North Eastern Circle,North Eastern Region,Mizoram Division,Zawlnuam S.O,N/A,N/A,,,"PPM9+863, Saron Veng - Bungkawn Rd, Dawrpui, Aizawl, Mizoram 796001",Dawrpui,23.7332501,92.7180363,ChIJx2VCAbaUTTcRseg037YTYSM,https://www.google.com/maps/place/?q=place_id:ChIJx2VCAbaUTTcRseg037YTYSM,part_372,2026-09-20 20:29:47
Don Bosco School,School,State Board School,"State Board School, School, University",796471,North Eastern Circle,North Eastern Region,Mizoram Division,Zawlnuam S.O,+91 80140 04870,https://dbssiaha.in/,,,"FXRH+G65, NH 54B, Siaha, Mizoram 796901",796471,22.4912635,92.97811569999999,ChIJ5yRtvnzRsjARViTxuSoOb0Q,https://www.google.com/maps/place/?q=place_id:ChIJ5yRtvnzRsjARViTxuSoOb0Q,part_372,2026-09-20 20:29:47
"St Anthony's Higher Secondary School, Aizawl",School,Higher secondary school,Higher secondary school,796471,North Eastern Circle,North Eastern Region,Mizoram Division,Zawlnuam S.O,+91 95121 31959,https://www.facebook.com/groups/392574401514208/?ref=share&mibextid=NSMWBT,,,"Chaltlang Lily Veng Internal Rd, Chaltlang, Aizawl, Mizoram 796014",Chaltlang,23.7541168,92.7276242,ChIJt9YUBjPrTTcRg3zxxaYUq9M,https://www.google.com/maps/place/?q=place_id:ChIJt9YUBjPrTTcRg3zxxaYUq9M,part_372,2026-09-20 20:29:47
"St. Paul Higher Secondary School, Indore",School,High school,"High school, Catholic school, School",796471,North Eastern Circle,North Eastern Region,Mizoram Division,Zawlnuam S.O,+91 731 249 2292,http://stpaulindore.com/,,,"7, Boundary Road, near Agriculture College, Krishi Nagar, Indore, Madhya Pradesh 452001",Krishi Nagar,22.714022699999997,75.88962099999999,ChIJEZRiXG39YjkRvghjHfjTxLY,https://www.google.com/maps/place/?q=place_id:ChIJEZRiXG39YjkRvghjHfjTxLY,part_372,2026-09-20 20:29:47
Tula's International School,School,Boarding school,Boarding school,796471,North Eastern Circle,North Eastern Region,Mizoram Division,Zawlnuam S.O,+91 98379 83791,https://tis.edu.in/,,,"Chakrata Road, Dhulkot Rd, Dehradun, Selakui, Uttarakhand 248011",796471,30.3430294,77.88915229999999,ChIJbdshZo8qDzkRfa9813uK37U,https://www.google.com/maps/place/?q=place_id:ChIJbdshZo8qDzkRfa9813uK37U,part_372,2026-09-20 20:29:47
Shivam Vidhya Sankul,School,Kindergarten School,Kindergarten School,796471,North Eastern Circle,North Eastern Region,Mizoram Division,Zawlnuam S.O,+91 98791 80288,N/A,3.9,,"Adarsh Nagar, Chital, Gujarat 365620",Adarsh Nagar,21.7330658,71.2086577,ChIJmyvUHhaIWDkRh-tPx9geqwU,https://www.google.com/maps/place/?q=place_id:ChIJmyvUHhaIWDkRh-tPx9geqwU,part_372,2026-09-20 20:29:47
Highland Public School,School,General education school,General education school,796471,North Eastern Circle,North Eastern Region,Mizoram Division,Zawlnuam S.O,N/A,N/A,,,"PPXC+89J, Chaltlang, Aizawl, Mizoram 796012",Chaltlang,23.748346899999998,92.72088289999999,ChIJl_i5_zbrTTcRZCH6Uzn0jKA,https://www.google.com/maps/place/?q=place_id:ChIJl_i5_zbrTTcRZCH6Uzn0jKA,part_372,2026-09-20 20:29:47
Manav Public School,School,Preschool,"Preschool, Kindergarten School",796471,North Eastern Circle,North Eastern Region,Mizoram Division,Zawlnuam S.O,+91 99153 14342,https://www.boostmyschool.in/,4.5,,"plot no. # 01701, near church, Block E, Dashmesh Nagar, Nayagaon, Punjab 160103","Block E, Dashmesh Nagar",30.7788614,76.79173589999999,ChIJA8udF5DyDzkRrPTs937nML4,https://www.google.com/maps/place/?q=place_id:ChIJA8udF5DyDzkRrPTs937nML4,part_372,2026-09-20 20:29:48
Heritage field school,School,Preschool,Preschool,796471,North Eastern Circle,North Eastern Region,Mizoram Division,Zawlnuam S.O,N/A,https://www.boostmyschool.in/,5.0,,"House Number 52, Block G, Shivalik Vihar, Nayagaon, Punjab 160103",Shivalik Vihar,30.7758665,76.8014488,ChIJIZLJoprzDzkR6IrQa55RKBM,https://www.google.com/maps/place/?q=place_id:ChIJIZLJoprzDzkR6IrQa55RKBM,part_372,2026-09-20 20:29:48
Vikram Public High School,School,High school,High school,796471,North Eastern Circle,North Eastern Region,Mizoram Division,Zawlnuam S.O,N/A,https://www.boostmyschool.in/,,,"Ram Bagh Road, Sector 127, Ram Bagh Colony, Main Bazar, Sahibzada Ajit Singh Nagar, Punjab 140307","Ram Bagh Colony, Main Bazar",30.742306,76.6484892,ChIJS6pNSPrvDzkRwR7qapKRqPU,https://www.google.com/maps/place/?q=place_id:ChIJS6pNSPrvDzkRwR7qapKRqPU,part_372,2026-09-20 20:29:48
