business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Carfin Cars,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 98470 05651,http://www.carfincars.com/,4.1,,"5/48A Near Malabar Eye Hospital, Eranhipaalam, PO, Kozhikode, Keralam 673006","Eranhipaalam, East Nadakkave, PO",11.277498999999999,75.7803522,ChIJVfSTK6dfpjsRWsGQY6O_LO4,https://www.google.com/maps/place/?q=place_id:ChIJVfSTK6dfpjsRWsGQY6O_LO4,part_372,2026-09-20 20:30:14
"Maruti Suzuki True Value (GIG Motors, Aizawl, ITI World Bank Road)",Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 80 3707 0575,https://www.truevalueofitiworldbankroad.com/?utm_source=gmb&utm_medium=google&utm_campaign=seo-local,4.9,,"Iti, World Bank Road, Aizawl, Mizoram 796005",796501,23.7207996,92.7379807,ChIJjRBopPeVTTcRtx7nvVvrdos,https://www.google.com/maps/place/?q=place_id:ChIJjRBopPeVTTcRtx7nvVvrdos,part_372,2026-09-20 20:30:14
MOTORWAGON,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 89431 19933,http://www.motorwagon.co/,4.6,,"VP Sky Tower, Railway Bridge, near Vengali, Pavangad, Keralam 673021",796501,11.318518599999999,75.7529333,ChIJsb0FlvlfpjsRLPRdJkuVZlw,https://www.google.com/maps/place/?q=place_id:ChIJsb0FlvlfpjsRLPRdJkuVZlw,part_372,2026-09-20 20:30:14
Second Choice pavangad,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 94470 02041,N/A,3.8,,"8Q64+RX7, near Eicher showroom, Pavangad, Keralam 673021",796501,11.3120625,75.7574375,ChIJx07DiG1fpjsRZ6jh_fJLAzs,https://www.google.com/maps/place/?q=place_id:ChIJx07DiG1fpjsRZ6jh_fJLAzs,part_372,2026-09-20 20:30:14
Vaaho Vintage - luxury pre owned car dealership,Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Service establishment",796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 97799 55957,N/A,4.8,,"Vaaho Vintage - luxury pre owned car dealership, 796501, India",796501,20.667065299999997,80.3024078,ChIJ-cvYpGfrDzkRdTpsMzLVhQk,https://www.google.com/maps/place/?q=place_id:ChIJ-cvYpGfrDzkRdTpsMzLVhQk,part_372,2026-09-20 20:30:14
HS Cars (Used car dealers),Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 98505 11444,http://www.hscars.in/,4.9,,"Warpakhad, Barakholi Square, Chouk, near Panchamukhi Traders, Hemu Colony, Jaripatka, Nagpur, Maharashtra 440014","Hemu Colony, Jaripatka",21.179401,79.094111,ChIJYR04fxjB1DsRWGMd-WPy-DQ,https://www.google.com/maps/place/?q=place_id:ChIJYR04fxjB1DsRWGMd-WPy-DQ,part_372,2026-09-20 20:30:15
Route 66 Cars,Car Showroom and Used Car Dealer,Car dealer,Car dealer,796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 74191 66666,https://route66cars.in/,4.7,,"769, Anna Salai, next to Spencer plaza Exit gate, opposite to Axis Bank, Anna Salai, Chennai, Tamil Nadu 600002",Anna Salai,13.0606665,80.2608722,ChIJMQZ_xYFnUjoRzYKceqNVJKM,https://www.google.com/maps/place/?q=place_id:ChIJMQZ_xYFnUjoRzYKceqNVJKM,part_372,2026-09-20 20:30:15
New Zain Cars,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 90031 99013,N/A,4.7,,"TAS ENCLAVE, AK-4/15, 10th Main Rd, AK Block, Anna Nagar, Chennai, Tamil Nadu 600040","AK Block, Anna Nagar",13.0819224,80.207414,ChIJt-7Srx9kUjoRh4yZvLoB2hU,https://www.google.com/maps/place/?q=place_id:ChIJt-7Srx9kUjoRh4yZvLoB2hU,part_372,2026-09-20 20:30:15
CAR SOUQ used car showroom,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 98959 96699,N/A,4.0,79.0,"E Mankavu Rd, Mankave, Kozhikode, Keralam 673029",Mankave,11.232289999999999,75.8032544,ChIJbRRFpVRZpjsRRmmHLzzQUkE,https://www.google.com/maps/place/?q=place_id:ChIJbRRFpVRZpjsRRmmHLzzQUkE,part_372,2026-09-20 20:30:16
"Maruti Suzuki True Value (Arbit Automobiles, Gorakhpur, Sports College Road)",Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 80 3758 0576,https://www.truevalueofsportscollegeroad.com/?utm_source=gmb&utm_medium=google&utm_campaign=seo-local,4.5,642.0,"Sports College Rd, Phase 1, Raptinagar, Anand Vihar, Gorakhpur, Uttar Pradesh 273015","Phase 1, Raptinagar, Anand Vihar",26.800982299999998,83.3687152,ChIJDzGZaghFkTkROdjuYNLYkdc,https://www.google.com/maps/place/?q=place_id:ChIJDzGZaghFkTkROdjuYNLYkdc,part_372,2026-09-20 20:30:16
