business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Lushai Plumber - Lushai Plumbing & Sanitary Service,Plumber,Plumber,"Plumber, Service establishment",796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 87941 86267,https://www.facebook.com/share/1GtysgEnrn/,5.0,1.0,"Lushai Plumber - Lushai Plumbing & Sanitary Service, 796501, India",796501,23.8758227,92.8319839,ChIJdbpMoP1HXw8RcAQu0njCckY,https://www.google.com/maps/place/?q=place_id:ChIJdbpMoP1HXw8RcAQu0njCckY,part_372,2026-09-20 20:30:18
VMS Service,Plumber,Plumber,"Plumber, Electrician, Tile contractor, Waterproofing service",796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",N/A,https://www.facebook.com/share/1HxVPPjApQ/,5.0,4.0,"Aichhinga Rd, Dinthar Veng, Aizawl, Mizoram 796001",Dinthar Veng,23.7297723,92.71037609999999,ChIJC4jQE8FJEK0RC5EnsyJ3yIA,https://www.google.com/maps/place/?q=place_id:ChIJC4jQE8FJEK0RC5EnsyJ3yIA,part_372,2026-09-20 20:30:18
Haldwani Plumber Service,Plumber,Plumber,Plumber,796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 87556 99853,N/A,4.8,925.0,"RK Tent House Rd, Pratap Nagar, Pilikothi, Haldwani, Harinagar, Uttarakhand 263139","Pratap Nagar, Pilikothi",29.216434099999997,79.5035772,ChIJreoLOWmboDkRjbZ-hGiWNJQ,https://www.google.com/maps/place/?q=place_id:ChIJreoLOWmboDkRjbZ-hGiWNJQ,part_372,2026-09-20 20:30:19
Ravi plumbing services,Plumber,Plumber,"Plumber, Pump supplier",796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 77095 00149,N/A,4.7,277.0,"14, Mahakali Nagar No 1, Manewada, Nagpur, Maharashtra 440034","Mahakali Nagar No 1, Manewada",21.102645499999998,79.10757269999999,ChIJXTptQIy_1DsR13IlSIaUulY,https://www.google.com/maps/place/?q=place_id:ChIJXTptQIy_1DsR13IlSIaUulY,part_372,2026-09-20 20:30:19
DOCTOR OF PLUMBER,Plumber,Plumber,Plumber,796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",N/A,http://doctorofplumber.in/,5.0,9.0,"Road No. 5, Indra Nagar, Mancherial, Telangana 504208",Indra Nagar,18.8821857,79.44243999999999,ChIJZYz-Hi3LMjoRLedKk-8r6MY,https://www.google.com/maps/place/?q=place_id:ChIJZYz-Hi3LMjoRLedKk-8r6MY,part_372,2026-09-20 20:30:19
Bhavani pipe fitting centre,Plumber,Plumber,Plumber,796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 98241 16806,N/A,5.0,4.0,"Vapi Daman road, 3 rashta, near sapna bar, Somanth, Dadra and Nagar Haveli and Daman and Diu 396210",Somanth,20.4121435,72.8800189,ChIJFYWB0AXR4DsR2r8fVRJbfz4,https://www.google.com/maps/place/?q=place_id:ChIJFYWB0AXR4DsR2r8fVRJbfz4,part_372,2026-09-20 20:30:19
Akram plumber,Plumber,Plumber,Plumber,796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 94175 54110,N/A,5.0,281.0,"BLOCK-22, SHIV SHAKTI ENCLAVE, 2562, Sector 49C, Sector 49, Chandigarh, 160047","Sector 49C, Sector 49",30.692941599999997,76.7511602,ChIJ1cufYzDtDzkRClscUK8FK78,https://www.google.com/maps/place/?q=place_id:ChIJ1cufYzDtDzkRClscUK8FK78,part_372,2026-09-20 20:30:19
Sri Laxmi Balaji Plumbers,Plumber,Plumber,Plumber,796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 73969 48229,N/A,5.0,1.0,"21-2-120/1, Markendeya Colony, Godavarikhani, Ramagundam, Telangana 505209","Markendeya Colony, Godavarikhani",18.7526141,79.5046232,ChIJS9zjGQ7PMjoRl1nDsAx_F6I,https://www.google.com/maps/place/?q=place_id:ChIJS9zjGQ7PMjoRl1nDsAx_F6I,part_372,2026-09-20 20:30:19
Plumbing services,Plumber,Plumber,Plumber,796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 91824 47922,N/A,4.7,35.0,"Ramnagar Colony, Adilabad, Telangana 504001",Ramnagar Colony,19.655753,78.5221072,ChIJw6xuFIBd0jsRe3zZsqDML3s,https://www.google.com/maps/place/?q=place_id:ChIJw6xuFIBd0jsRe3zZsqDML3s,part_372,2026-09-20 20:30:19
SSB Plumbing Services & Contractors,Plumber,Plumber,Plumber,796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 88851 21202,https://getssbplumbers.in/,4.3,60.0,"Address : Shop No. 328, 2nd Floor, Padmavathi Plaza, Kukatpally Housing Board Colony, Hmt Sathavahana Nagar, Kukatpally, Hyderabad, Telangana 500072","Kukatpally Housing Board Colony, HMT Sathavahana Nagar, Kukatpally",17.4948955,78.4008392,ChIJnyyd6ziRyzsR7iQTlswoA8c,https://www.google.com/maps/place/?q=place_id:ChIJnyyd6ziRyzsR7iQTlswoA8c,part_372,2026-09-20 20:30:19
Naresh plumber services,Plumber,Plumber,Plumber,796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 78930 20485,N/A,5.0,5.0,"Nagendra Nagar, Advocates Colony, Nakkala Gutta, Hanamkonda, Telangana 506001","Nagendra Nagar, Advocates Colony, Nakkala Gutta",17.99656,79.5514335,ChIJVSLjsKNPMzoRhL45ZfXy5M0,https://www.google.com/maps/place/?q=place_id:ChIJVSLjsKNPMzoRhL45ZfXy5M0,part_372,2026-09-20 20:30:19
Shri plumbing solutions,Plumber,Plumber,Plumber,796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 84215 54079,N/A,4.9,,"No 1, near Agarwal School, Laxmi Nagar, Pandav Nagar 4, Bhosari, Pimpri-Chinchwad, Maharashtra 411026","Laxmi Nagar, Pandav Nagar 4, Bhosari",18.6262376,73.8575275,ChIJK0kVS6bHwjsRjrKvhy8vKow,https://www.google.com/maps/place/?q=place_id:ChIJK0kVS6bHwjsRjrKvhy8vKow,part_372,2026-09-20 20:30:20
Kettidathil Enterprises,Plumber,Building materials store,Building materials store,796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 98472 78770,N/A,3.2,,"P.O, Narayana Shopping Complex, Shree, opposite Federal Bank, Bypass Junction, Kazhakkoottam, Keralam 695582",Bypass Junction,8.5653092,76.8755092,ChIJ9RzVMf6-BTsRD0iItbGTzak,https://www.google.com/maps/place/?q=place_id:ChIJ9RzVMf6-BTsRD0iItbGTzak,part_372,2026-09-20 20:30:20
