business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
C.N. STORE,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Plumbing supply store, Tool store",796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 98955 53429,N/A,4.6,,"GWG9+279, Ulloor - Akkulam Rd, Kochulloor, Ulloor, Thiruvananthapuram, Keralam 695011","Kochulloor, Ulloor",8.5250358,76.91822119999999,ChIJr1PzOFe5BTsRn9wwookE8d4,https://www.google.com/maps/place/?q=place_id:ChIJr1PzOFe5BTsRn9wwookE8d4,part_372,2026-09-20 20:30:17
Punjab Sanitary Store,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Hardware store, Pipe supplier, Plumbing supply store",796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 98110 99485,N/A,4.3,,"4573, 52, Arya Samaj Rd, Reghar Pura, Block 20C, Regar Pura, Karol Bagh, New Delhi, Delhi, 110005","Reghar Pura, Block 20C, Regar Pura, Karol Bagh",28.6515384,77.1869348,ChIJe0PsO54CDTkRrgxTOrQ-R1E,https://www.google.com/maps/place/?q=place_id:ChIJe0PsO54CDTkRrgxTOrQ-R1E,part_372,2026-09-20 20:30:17
Nice Studio,Sanitaryware and Bathroom Fittings,Showroom,Showroom,796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 70583 96094,N/A,4.8,,"Privia prestige, Spine Rd, Vitthal Nagar, Purnanagar, Chikhali, Pimpri-Chinchwad, Maharashtra 411019","Vitthal Nagar, Purnanagar, Chikhali",18.6636986,73.8097746,ChIJ4ZZvchK5wjsR655AXnfamNQ,https://www.google.com/maps/place/?q=place_id:ChIJ4ZZvchK5wjsR655AXnfamNQ,part_372,2026-09-20 20:30:17
Anant Tiles & Sanitaryware,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Tile store, Countertop store",796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 98681 15321,N/A,4.5,,"3D, 3 Chowk, 9, Metro Rd, near 2, opp. State Bank of India, Faridabad, Haryana 121001","Block D, New Industrial Township 3, New Industrial Township",28.392145799999998,77.2892304,ChIJpWpg5SjcDDkRmJ6DEpiF2m4,https://www.google.com/maps/place/?q=place_id:ChIJpWpg5SjcDDkRmJ6DEpiF2m4,part_372,2026-09-20 20:30:17
Jaquar & company Pvt ltd,Sanitaryware and Bathroom Fittings,Building materials store,Building materials store,796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",N/A,https://global.jaquar.com/,4.3,,"Mudaliar Rd, Modi Colony, Pune, Maharashtra 411002",Modi Colony,18.519775199999998,73.8721417,ChIJbcwQrd3BwjsRlK8Yfw8R-B4,https://www.google.com/maps/place/?q=place_id:ChIJbcwQrd3BwjsRlK8Yfw8R-B4,part_372,2026-09-20 20:30:17
Dhanlaxmi Ceramax,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Tile store, Cement Supplier, Door supplier, Marble supplier, Pipes Wholesaler, Stone supplier, Tile manufacturer",796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",N/A,https://sites.google.com/view/dhanlaxmi-ceremax-pune/home,3.8,,"Kering Hospital, Timber Market Road, 518, Jawaharlal Nehru Rd, Phule Peth, Pune, Maharashtra 411042","Phule Peth, Swargate",18.5036211,73.8686328,ChIJnecZjj7AwjsRc4fbuvp0gg4,https://www.google.com/maps/place/?q=place_id:ChIJnecZjj7AwjsRc4fbuvp0gg4,part_372,2026-09-20 20:30:17
Amar Ceramic,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Tile store, Ceramics wholesaler, Wholesaler",796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 98508 18813,http://www.amarceramic.in/,4.9,,"Round Building, E 46, Amar House, behind Krushi Panan Mandal, Market Yard, Gultekadi, Pune, Maharashtra 411037","Market Yard, Gultekadi",18.4826393,73.8705169,ChIJxbG08zzAwjsRE_S7ZMdVoNo,https://www.google.com/maps/place/?q=place_id:ChIJxbG08zzAwjsRE_S7ZMdVoNo,part_372,2026-09-20 20:30:17
Maheshwari Sanitary Ware,Sanitaryware and Bathroom Fittings,Hardware store,Hardware store,796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 99510 64071,N/A,5.0,,"Sagar Rd, Sitarampuram, Miryalaguda, Telangana 508207",Sitarampuram,16.873512899999998,79.5655395,ChIJ36zLmJAlNToR-i0YrfwTC-I,https://www.google.com/maps/place/?q=place_id:ChIJ36zLmJAlNToR-i0YrfwTC-I,part_372,2026-09-20 20:30:17
Jaquar Authorized Dealer - Vaishali Traders,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Lighting store, Tile store",796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 8071 935 119,https://dealers.jaquar.com/jaquar/bath-and-light-in-jaipur/bath-and-light-in-vaishali-nagar/jaquar-authorised-dealer-vaishali-traders-in-vaishali-nagar-jaipur--148946f9-1a1c-4145-b038-4df36d411c53/home,4.5,146.0,"No E, 796, Amrapali Marg, behind Gupta Jewellers, Block E, Vaishali Nagar, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302021","Block E, Vaishali Nagar",26.9104505,75.74432519999999,ChIJ_WYI5p20bTkRbHgsXgpGt7k,https://www.google.com/maps/place/?q=place_id:ChIJ_WYI5p20bTkRbHgsXgpGt7k,part_372,2026-09-20 20:30:18
Jaquar Authorized Dealer - Ghodela Bath Collection,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Bathroom remodeler, Home improvement store, Kitchen supply store, Shower door shop",796501,North Eastern Circle,North Eastern Region,Mizoram Division,"Reiek S.O, Ailawng B.O, Darlung B.O",+91 80 4000 6848,https://dealers.jaquar.com/jaquar/sanitaryware-store-in-jaipur/sanitaryware-store-in-murlipura/jaquar-authorised-dealer-ghodela-bath-collection-in-murlipura-jaipur--dc76d8fe-af1d-4096-b96c-988d27ec52e4/home,3.9,294.0,"Plot No 66, Shiv Nagar Murlipura Scheme, Road, nearby Lal Dabba, Chauraha, Jaipur, Rajasthan 302039","Chauraha, Murlipura",26.974424,75.76820479999999,ChIJbZ2AY1WzbTkR6s1I5ApaSkk,https://www.google.com/maps/place/?q=place_id:ChIJbZ2AY1WzbTkR6s1I5ApaSkk,part_372,2026-09-20 20:30:18
