business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mnet Diagnostic Laboratory,Diagnostic Center,Medical Center,Medical Center,796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",+91 372 232 4250,N/A,4.2,5.0,"Vanhne, Lunglei, Mizoram 796701",796571,22.8864008,92.7448761,ChIJp1-HudNATTcRKS9cZK5HgJY,https://www.google.com/maps/place/?q=place_id:ChIJp1-HudNATTcRKS9cZK5HgJY,part_372,2026-09-20 20:30:50
"Health Sub-Centre, Electric Veng, Lunglei",Diagnostic Center,Medical Center,Medical Center,796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",N/A,N/A,,,"VPQX+F2J, Lunglei, Mizoram 796701",796571,22.8887081,92.74752819999999,ChIJQ8qsKQBBTTcRRSOwH7eeg7k,https://www.google.com/maps/place/?q=place_id:ChIJQ8qsKQBBTTcRRSOwH7eeg7k,part_372,2026-09-20 20:30:50
BAWITLUNG HEALTH CARE,Diagnostic Center,Medical Center,"Medical Center, Association / Organization",796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",N/A,N/A,,,"II, Sangau, Aizawl, Mizoram 796901",II,22.739336299999998,93.0501065,ChIJcw5pVAApTTcRxtvKEP_zE70,https://www.google.com/maps/place/?q=place_id:ChIJcw5pVAApTTcRxtvKEP_zE70,part_372,2026-09-20 20:30:50
Primary Health Sub Center Lungtian,Diagnostic Center,Medical laboratory,"Medical laboratory, Hospital",796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",N/A,N/A,,,"PXM7+4JJ, Lungtian, Mizoram 796901",796571,22.7328407,92.9640257,ChIJTdUJiU4uTTcRvHEdfRl4Rg8,https://www.google.com/maps/place/?q=place_id:ChIJTdUJiU4uTTcRvHEdfRl4Rg8,part_372,2026-09-20 20:30:50
Bazar Sub-Centre,Diagnostic Center,Medical Center,Medical Center,796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",N/A,N/A,,,"VPPV+JWC, Bazar veng, Lunglei, Mizoram 796701",Bazar veng,22.8865648,92.74475699999999,ChIJOetrewBBTTcR9ce4LVwOctY,https://www.google.com/maps/place/?q=place_id:ChIJOetrewBBTTcR9ce4LVwOctY,part_372,2026-09-20 20:30:50
Medical Complex. (H&W. Centre),Diagnostic Center,Government office,Government office,796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",N/A,N/A,,,"XRX8+XW9, Zotuitlang, Mizoram 796571",796571,22.999916,92.81736599999999,ChIJ7xcbsiEVTTcRcSWn33XrbnM,https://www.google.com/maps/place/?q=place_id:ChIJ7xcbsiEVTTcRcSWn33XrbnM,part_372,2026-09-20 20:30:50
Primary Health Sub Center Tarpho,Diagnostic Center,Medical laboratory,Medical laboratory,796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",N/A,N/A,,,"Government Middle School, Tarpho, Mizoram 796571",796571,23.0051351,93.00334029999999,ChIJd-71ZMQYTTcR5_-tG8-P7Wc,https://www.google.com/maps/place/?q=place_id:ChIJd-71ZMQYTTcR5_-tG8-P7Wc,part_372,2026-09-20 20:30:50
sub centre,Diagnostic Center,Community health center,Community health center,796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",N/A,N/A,,,"WQM4+RR7, PHE Rd, Lunglei, Mizoram 796691",796571,22.9345434,92.7570418,ChIJ4x6WiL1BTTcR2aF10VQYxP8,https://www.google.com/maps/place/?q=place_id:ChIJ4x6WiL1BTTcR2aF10VQYxP8,part_372,2026-09-20 20:30:50
Health & wellness Centre/SHC Zohnuai,Diagnostic Center,Medical Center,Medical Center,796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",N/A,N/A,,,"Zohnuai, Lunglei, Mizoram 796691",Zohnuai,22.9013198,92.76429139999999,ChIJtxZMhrJBTTcRI7ALmtIQ9yg,https://www.google.com/maps/place/?q=place_id:ChIJtxZMhrJBTTcRI7ALmtIQ9yg,part_372,2026-09-20 20:30:50
Primary Health Sub Center Rahsi Veng,Diagnostic Center,Medical laboratory,Medical laboratory,796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",N/A,N/A,,,"VPRR+JFC Bcm Moria, Rahsiveng, Lunglei, Mizoram 796701",796571,22.891554199999998,92.7411419,ChIJ-z_bh9dATTcRarusqg7573M,https://www.google.com/maps/place/?q=place_id:ChIJ-z_bh9dATTcRarusqg7573M,part_372,2026-09-20 20:30:51
