business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mami Photo Service,Photographers,Photography studio,Photography studio,796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",+91 94361 57646,N/A,4.3,10.0,"Venglai, Lunglei, Mizoram 796701",796571,22.889262,92.7440036,ChIJvX7gRNFATTcRNuwDfYjNd0k,https://www.google.com/maps/place/?q=place_id:ChIJvX7gRNFATTcRNuwDfYjNd0k,part_372,2026-09-20 20:31:00
Zautea Vanchhawng,Photographers,Photography studio,Photography studio,796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",N/A,N/A,,,"Chanmari-3, Target Bazar, Chanmari, Lunglei, Mizoram 796701",Chanmari,22.8876642,92.7445273,ChIJZRvIssVBTTcReNVnNe6JyxU,https://www.google.com/maps/place/?q=place_id:ChIJZRvIssVBTTcReNVnNe6JyxU,part_372,2026-09-20 20:31:00
sai chuktea vansipai,Photographers,Photography service,Photography service,796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",+91 90968 36563,N/A,,,"Lunglei, Mizoram 796701",796571,22.8889458,92.7455758,ChIJv3ObGwpBTTcRVFhqgYNejRU,https://www.google.com/maps/place/?q=place_id:ChIJv3ObGwpBTTcRVFhqgYNejRU,part_372,2026-09-20 20:31:00
Calitus Digital Service,Photographers,Photography service,"Photography service, Digital printing service",796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",+91 96120 28280,N/A,5.0,1.0,"Bazar, Hnahthial, Mizoram 796571",796571,22.9664076,92.92681809999999,ChIJlQBr_Fk9TTcR0fNqRJHX4k4,https://www.google.com/maps/place/?q=place_id:ChIJlQBr_Fk9TTcR0fNqRJHX4k4,part_372,2026-09-20 20:31:00
Nayan Digital Studio,Photographers,Photographer,Photographer,796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",+91 70856 00110,https://www.facebook.com/profile.php?id=61551927531770&mibextid=ZbWKwL,5.0,4.0,"WEST KALACHARA, Santirbazar, Tripura 799144",WEST KALACHARA,23.3076612,91.55054299999999,ChIJhx7D5L0LUzcRBjPQ70TtPXE,https://www.google.com/maps/place/?q=place_id:ChIJhx7D5L0LUzcRBjPQ70TtPXE,part_372,2026-09-20 20:31:00
Chhana Bawlte Video/Photography,Photographers,Photography service,"Photography service, Service establishment",796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",+91 89746 22207,N/A,,,"Chhana Bawlte Video/Photography, 796571, India",796571,23.2311622,92.84899399999999,ChIJic-nOfFnAigRVzhwyb5omYU,https://www.google.com/maps/place/?q=place_id:ChIJic-nOfFnAigRVzhwyb5omYU,part_372,2026-09-20 20:31:00
SAM13XI STUDIO,Photographers,Photography studio,Photography studio,796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",N/A,N/A,,,"WQ56+2XR, Lunglei, Mizoram 796691",796571,22.907624,92.76239799999999,ChIJI4-MWgBBTTcRDE3QhhbFcCI,https://www.google.com/maps/place/?q=place_id:ChIJI4-MWgBBTTcRDE3QhhbFcCI,part_372,2026-09-20 20:31:00
LS Pachuau,Photographers,Photographer,Photographer,796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",+91 98630 71838,N/A,,,"Kikawn, Lunglei, Mizoram 796701",Kikawn,22.9016634,92.75495889999999,ChIJLe_nc1VBTTcR3bjQ5cPjjPw,https://www.google.com/maps/place/?q=place_id:ChIJLe_nc1VBTTcR3bjQ5cPjjPw,part_372,2026-09-20 20:31:00
Thuampuu,Photographers,Photography studio,Photography studio,796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",N/A,N/A,,,"XPJ2+8X8, Thuampui, Mizoram 796701",796571,22.980796599999998,92.7024459,ChIJmzMqCgBrTTcRZTyRSaTwjrY,https://www.google.com/maps/place/?q=place_id:ChIJmzMqCgBrTTcRZTyRSaTwjrY,part_372,2026-09-20 20:31:00
Eldee Sailo Photo Printing,Photographers,Photography service,Photography service,796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",+91 98620 64576,N/A,,,"Lawmawma varte Building Electric veng Mualtawi, Mizoram 796701",796571,22.8879773,92.7462635,ChIJK6-BKNJATTcRacMlLN6Mb2U,https://www.google.com/maps/place/?q=place_id:ChIJK6-BKNJATTcRacMlLN6Mb2U,part_372,2026-09-20 20:31:00
Varnajalam Medias,Photographers,Wedding photographer,"Wedding photographer, Aerial photographer, Photography studio",796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",+91 77089 46922,http://www.varnajalammedias.com/,4.9,,"No.233-D, Villianur Rd, Pappanchavady, Puducherry, Kombakkam, Puducherry 605004",Pappanchavady,11.9037159,79.7933284,ChIJFYMh1shhUzoRfbgW2nfzdtw,https://www.google.com/maps/place/?q=place_id:ChIJFYMh1shhUzoRfbgW2nfzdtw,part_372,2026-09-20 20:31:01
MagicLens Studio,Photographers,Wedding photographer,"Wedding photographer, Photography service, Photography studio",796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",+91 99402 14224,http://magiclens.studio/,4.9,,"1st Floor, 3/12, Kamarajar St, Sakthi Nagar, Senthamil Nagar, Ramapuram, Chennai, Tamil Nadu 600089","Sakthi Nagar, Senthamil Nagar, Ramapuram",13.031855499999999,80.18561919999999,ChIJZ7Q-k2lhUjoR0LBgMzrfubI,https://www.google.com/maps/place/?q=place_id:ChIJZ7Q-k2lhUjoR0LBgMzrfubI,part_372,2026-09-20 20:31:01
Flash me photography,Photographers,Photography studio,Photography studio,796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",+91 70132 80310,N/A,5.0,,"Old, bsnl street, Akividu, Andhra Pradesh 534235",796571,16.5821512,81.3799619,ChIJ9_gIwk8xNjoRQq2jb6KW1_c,https://www.google.com/maps/place/?q=place_id:ChIJ9_gIwk8xNjoRQq2jb6KW1_c,part_372,2026-09-20 20:31:01
Singh Photo Studio and Wedding Photography,Photographers,Wedding photographer,"Wedding photographer, Photo Restoration Shop, Photographer, Photography service, Photography studio, Video editing service, Video production service, Video store, Wedding planner, Wedding Portrait Studio",796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",+91 98424 74870,http://www.singhphotovideography.com/,4.7,,"No. 6, C.S.I. Jubilee Shopping Complex, All Saint's Girls High School Campus, Puthur High Rd, Tiruchirappalli, Tamil Nadu 620017",Puthur,10.8166713,78.6770434,ChIJE8k81J_1qjsR47MfcbEbL30,https://www.google.com/maps/place/?q=place_id:ChIJE8k81J_1qjsR47MfcbEbL30,part_372,2026-09-20 20:31:01
FilmAddicts Photography,Photographers,Wedding photographer,"Wedding photographer, Photographer, Wedding planner",796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",+91 91711 11551,https://www.filmaddicts.in/,4.8,,"4th Floor, ATP Towers, 27/12A, Bypass Rd, Ram Nagar, Madurai, Tamil Nadu 625016",Ram Nagar,9.918113199999999,78.0944846,ChIJb_yrWnHPADsRHTNED2QoSBA,https://www.google.com/maps/place/?q=place_id:ChIJb_yrWnHPADsRHTNED2QoSBA,part_372,2026-09-20 20:31:01
Jonijong Records,Photographers,Photography studio,"Photography studio, Film Production Company, Wedding photographer",796571,North Eastern Circle,North Eastern Region,Mizoram Division,"Hnahthial S.O, Aithur B.O, Chawngtui B.O",+91 98621 62346,N/A,5.0,,"Banerjee Para, Krishna Nagar, Agartala, Tripura 799002","Banerjee Para, Krishna Nagar",23.836425,91.2790516,ChIJWWB7wff1UzcR_GL5N_vogLc,https://www.google.com/maps/place/?q=place_id:ChIJWWB7wff1UzcR_GL5N_vogLc,part_372,2026-09-20 20:31:01
