business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bhopal Navi Sabji Mandi,Wholesale Market / Mandi,Market,Market,796581,North Eastern Circle,North Eastern Region,Mizoram Division,"Thingsai S.O, Bualpui H B.O",N/A,N/A,3.8,175.0,"7CQ6+CXR, Bhopal Mandi, Bhanpur, Bhopal, Madhya Pradesh 462038","Bhopal Mandi, Bhanpur",23.288605999999998,77.412376,ChIJ-0HRKj1pfDkRlMfM_P7p0lc,https://www.google.com/maps/place/?q=place_id:ChIJ-0HRKj1pfDkRlMfM_P7p0lc,part_372,2026-09-20 20:32:25
New Karond Galla Mandi,Wholesale Market / Mandi,Market,Market,796581,North Eastern Circle,North Eastern Region,Mizoram Division,"Thingsai S.O, Bualpui H B.O",N/A,N/A,3.9,370.0,"7CR5+5QG, Itwara Rd, Bhopal Mandi, Peer Gate Area, Bhopal, Madhya Pradesh 462038","Bhopal Mandi, Peer Gate Area",23.2904417,77.4094581,ChIJWzFOpCNofDkRi1EetKzU3qI,https://www.google.com/maps/place/?q=place_id:ChIJWzFOpCNofDkRi1EetKzU3qI,part_372,2026-09-20 20:32:25
Wholesale Market,Wholesale Market / Mandi,Wholesaler,Wholesaler,796581,North Eastern Circle,North Eastern Region,Mizoram Division,"Thingsai S.O, Bualpui H B.O",N/A,N/A,4.6,5.0,"114, Shopping Center, Near, Santacruz – Chembur Link Rd, Vinobha Bhave Nagar, Kurla West, Kurla, Mumbai, Maharashtra 400070","Vinobha Bhave Nagar, Kurla West, Kurla",19.0735392,72.88184849999999,ChIJ33a25JHI5zsRa7ioBYtJEBk,https://www.google.com/maps/place/?q=place_id:ChIJ33a25JHI5zsRa7ioBYtJEBk,part_372,2026-09-20 20:32:25
Jumerati Market,Wholesale Market / Mandi,Market,Market,796581,North Eastern Circle,North Eastern Region,Mizoram Division,"Thingsai S.O, Bualpui H B.O",+91 96910 01115,N/A,4.1,2254.0,"Jumerati Rd, near Jumerati Road, Azad Market, Peer Gate Area, Bhopal, Madhya Pradesh 462001","Azad Market, Peer Gate Area",23.2615856,77.4023526,ChIJcfGzmiJofDkR7Tg5eiMjNO4,https://www.google.com/maps/place/?q=place_id:ChIJcfGzmiJofDkR7Tg5eiMjNO4,part_372,2026-09-20 20:32:25
MANGLAM WnR,Wholesale Market / Mandi,Indian grocery store,"Indian grocery store, Supplier, Dry Fruit Store, Grocery delivery service, Rice wholesaler, Shopping mall, Spices Wholesaler, Warehouse store, Wholesale Food Store",796581,North Eastern Circle,North Eastern Region,Mizoram Division,"Thingsai S.O, Bualpui H B.O",+91 93113 69032,http://www.manglamwnr.com/,4.9,496.0,"725-B, Kirana Mandi, Ram Nagar, Turab Nagar, Naya Ganj, Ghaziabad, Uttar Pradesh 201001","Kirana Mandi, Ram Nagar, Turab Nagar, Naya Ganj",28.6592064,77.43427,ChIJIcKdcs_xDDkRkguMuctPgIE,https://www.google.com/maps/place/?q=place_id:ChIJIcKdcs_xDDkRkguMuctPgIE,part_372,2026-09-20 20:32:25
Sandeep Wholesale Store,Wholesale Market / Mandi,Restaurant,"Restaurant, Flour mill, Indian grocery store, Rice shop, Spices Wholesaler, Wholesaler",796581,North Eastern Circle,North Eastern Region,Mizoram Division,"Thingsai S.O, Bualpui H B.O",+91 98719 24092,N/A,4.3,58.0,"Shop no, 2, Makanpur Rd, Amrapali, Nyay Khand 2, Indirapuram, Ghaziabad, Uttar Pradesh 201020","Amrapali, Nyay Khand 2, Indirapuram",28.635894999999998,77.3582705,ChIJX4MQ3czlDDkR5MrISSdtNto,https://www.google.com/maps/place/?q=place_id:ChIJX4MQ3czlDDkR5MrISSdtNto,part_372,2026-09-20 20:32:25
Chhola Bazar,Wholesale Market / Mandi,Market,Market,796581,North Eastern Circle,North Eastern Region,Mizoram Division,"Thingsai S.O, Bualpui H B.O",+91 74156 07503,N/A,3.8,863.0,"7CG8+W54, Main Rd, Kainchi Chola, Navjivan Colony, Bhanpur, Bhopal, Madhya Pradesh 462001","Kainchi Chola, Navjivan Colony, Bhanpur",23.277263299999998,77.41545889999999,ChIJDy0o0zdofDkRyY1GjbLZ5jA,https://www.google.com/maps/place/?q=place_id:ChIJDy0o0zdofDkRyY1GjbLZ5jA,part_372,2026-09-20 20:32:25
Kabad khana market,Wholesale Market / Mandi,Market,Market,796581,North Eastern Circle,North Eastern Region,Mizoram Division,"Thingsai S.O, Bualpui H B.O",N/A,N/A,4.0,304.0,"7CC3+5H3, Raj Deo Colony, JP Nagar, Bhopal, Madhya Pradesh 462001","Raj Deo Colony, JP Nagar",23.2703861,77.4039877,ChIJhScGb8VpfDkR58NpewcZOS4,https://www.google.com/maps/place/?q=place_id:ChIJhScGb8VpfDkR58NpewcZOS4,part_372,2026-09-20 20:32:25
indoStore99-Factory Outlet,Wholesale Market / Mandi,Wholesale market,Wholesale market,796581,North Eastern Circle,North Eastern Region,Mizoram Division,"Thingsai S.O, Bualpui H B.O",+91 70550 20402,N/A,4.9,53.0,"13/546, near Bala ji Temple, Sector 13, Vasundhara, Ghaziabad, Uttar Pradesh 201012","Sector 13, Vasundhara",28.6542247,77.3669981,ChIJGXPPiw37DDkRq3N8R-7rxj4,https://www.google.com/maps/place/?q=place_id:ChIJGXPPiw37DDkRq3N8R-7rxj4,part_372,2026-09-20 20:32:25
99 Budget Bazaar,Wholesale Market / Mandi,Household goods wholesaler,Household goods wholesaler,796581,North Eastern Circle,North Eastern Region,Mizoram Division,"Thingsai S.O, Bualpui H B.O",+91 83902 59083,N/A,5.0,4.0,"Shop no.04, Z corner, Nirvana Hub, Manjari Rd, behind Tupe Food Corner, Shiv Krishna Society, Manjari Budruk, Pune, Maharashtra 412307","Shiv Krishna Society, Manjari Budruk",18.5254461,73.95711829999999,ChIJHSnXP7fDwjsRsjqlyu9WMk0,https://www.google.com/maps/place/?q=place_id:ChIJHSnXP7fDwjsRsjqlyu9WMk0,part_372,2026-09-20 20:32:25
