business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
TC MART,Rice and Grain Merchant,General store,General store,796770,North Eastern Circle,North Eastern Region,Mizoram Division,"Chawngte S.O, Ajasora B.O, Borapansury B.O",+91 98620 76472,N/A,4.5,8.0,"Mission Veng, Model Veng, Aizawl, Mizoram 796001","Mission Veng, Model Veng",23.714043699999998,92.7182954,ChIJBSn_2YSVTTcRRUhQnuwdrHQ,https://www.google.com/maps/place/?q=place_id:ChIJBSn_2YSVTTcRRUhQnuwdrHQ,part_372,2026-09-20 20:34:44
Prasad Rice Mill,Rice and Grain Merchant,General store,"General store, Rice mill",796770,North Eastern Circle,North Eastern Region,Mizoram Division,"Chawngte S.O, Ajasora B.O, Borapansury B.O",+91 70021 22599,https://www.prasadricemill.com/,4.8,,"5, Chungajan Rd, near Karting Durga Mondop, Chungajan, Assam 785601",796770,26.0792227,93.8314133,ChIJG2BdiftzRjcRk2AnGhnJhbs,https://www.google.com/maps/place/?q=place_id:ChIJG2BdiftzRjcRk2AnGhnJhbs,part_372,2026-09-20 20:34:45
RMJ RAMAJEYAM RICE,Rice and Grain Merchant,Rice mill,"Rice mill, Exporter, Rice shop, Rice wholesaler",796770,North Eastern Circle,North Eastern Region,Mizoram Division,"Chawngte S.O, Ajasora B.O, Borapansury B.O",+91 93601 55555,http://www.ramajeyamrice.com/shop,4.4,,"B-5 New Natham Road, Oomachikulam-Alanganallur Rd, Sridevi Nagar, Umachikulam, Tamil Nadu 625014",Sridevi Nagar,9.992989,78.1479463,ChIJHSZt-FDGADsRKQ4HP9S-iBU,https://www.google.com/maps/place/?q=place_id:ChIJHSZt-FDGADsRKQ4HP9S-iBU,part_372,2026-09-20 20:34:45
NR RICE AND FLOUR MILLS,Rice and Grain Merchant,Rice mill,"Rice mill, Animal feed store, Flour mill, Rice shop, Rice wholesaler, Sugar shack, Wholesale grocer, Wholesaler",796770,North Eastern Circle,North Eastern Region,Mizoram Division,"Chawngte S.O, Ajasora B.O, Borapansury B.O",N/A,N/A,4.8,,"Borpool, Jorhat, Kalakhowa Gaon, Assam 785010",Borpool,26.7672767,94.23308519999999,ChIJQUCzUF_DRjcR4kSXIT4tLVk,https://www.google.com/maps/place/?q=place_id:ChIJQUCzUF_DRjcR4kSXIT4tLVk,part_372,2026-09-20 20:34:45
R. Romen Rice mill,Rice and Grain Merchant,Rice mill,"Rice mill, Service establishment",796770,North Eastern Circle,North Eastern Region,Mizoram Division,"Chawngte S.O, Ajasora B.O, Borapansury B.O",N/A,N/A,,,"R. Romen Rice mill, 796770, India",796770,21.0680074,82.7525294,ChIJfTG5ry1JSTcRZAlmpr4X1BU,https://www.google.com/maps/place/?q=place_id:ChIJfTG5ry1JSTcRZAlmpr4X1BU,part_372,2026-09-20 20:34:45
DAIREI BANANA FOOD PROCESSING INDUSTRY : 796161 MIZORAM.,Rice and Grain Merchant,Warehouse,Warehouse,796770,North Eastern Circle,North Eastern Region,Mizoram Division,"Chawngte S.O, Ajasora B.O, Borapansury B.O",N/A,N/A,,,"HV42+WJJ, Lalchungnunga bazar veng, Khumtung, Mizoram 796161",796770,23.557337999999998,92.851518,ChIJOYtR2DC9TTcRPPsmw-d772Y,https://www.google.com/maps/place/?q=place_id:ChIJOYtR2DC9TTcRPPsmw-d772Y,part_372,2026-09-20 20:34:45
Rice mill,Rice and Grain Merchant,Warehouse,Warehouse,796770,North Eastern Circle,North Eastern Region,Mizoram Division,"Chawngte S.O, Ajasora B.O, Borapansury B.O",N/A,N/A,5.0,,"JMJ7+XV8, Kakopathar, Assam 786152",796770,27.632396399999998,95.6646978,ChIJ26PIfMkDPzcRQSi0nczL79I,https://www.google.com/maps/place/?q=place_id:ChIJ26PIfMkDPzcRQSi0nczL79I,part_372,2026-09-20 20:34:45
gudam of paddy rice harvesting,Rice and Grain Merchant,Rice cracker shop,Rice cracker shop,796770,North Eastern Circle,North Eastern Region,Mizoram Division,"Chawngte S.O, Ajasora B.O, Borapansury B.O",N/A,N/A,5.0,,"VW9Q+XPR, Myanmar (Burma)",796770,20.8699969,92.9392568,ChIJh-D7lyybsTAR2nB2aHQ6YxQ,https://www.google.com/maps/place/?q=place_id:ChIJh-D7lyybsTAR2nB2aHQ6YxQ,part_372,2026-09-20 20:34:45
Rice Mill,Rice and Grain Merchant,Rice mill,Rice mill,796770,North Eastern Circle,North Eastern Region,Mizoram Division,"Chawngte S.O, Ajasora B.O, Borapansury B.O",N/A,N/A,4.5,,"M6R4+73M, Road, Dakhin Hatichungi, Jorhat, Assam 785004",796770,26.6906781,94.2051142,ChIJI3FaLQDpRjcRU5rKueFkkjY,https://www.google.com/maps/place/?q=place_id:ChIJI3FaLQDpRjcRU5rKueFkkjY,part_372,2026-09-20 20:34:45
Rice mill,Rice and Grain Merchant,Rice mill,Rice mill,796770,North Eastern Circle,North Eastern Region,Mizoram Division,"Chawngte S.O, Ajasora B.O, Borapansury B.O",N/A,N/A,5.0,,"P277+4H8, Cheural, Mizoram 796901",796770,22.7127968,93.01395869999999,ChIJrYOolkIvTTcR6BGM6QcyChQ,https://www.google.com/maps/place/?q=place_id:ChIJrYOolkIvTTcR6BGM6QcyChQ,part_372,2026-09-20 20:34:45
BOIHPUII RICE SHOP,Rice and Grain Merchant,Rice shop,Rice shop,796770,North Eastern Circle,North Eastern Region,Mizoram Division,"Chawngte S.O, Ajasora B.O, Borapansury B.O",N/A,N/A,3.0,,"7PMX+QQJ, Thenzawl, Mizoram 796186",796770,23.2844706,92.7493786,ChIJRxFJZKd1TTcRp8trEuN-rvg,https://www.google.com/maps/place/?q=place_id:ChIJRxFJZKd1TTcRp8trEuN-rvg,part_372,2026-09-20 20:34:45
OM OM MODERN RICE MILL,Rice and Grain Merchant,Manufacturer,Manufacturer,796770,North Eastern Circle,North Eastern Region,Mizoram Division,"Chawngte S.O, Ajasora B.O, Borapansury B.O",N/A,N/A,,,"Bairabi Rd, Pangbalkawn, Mizoram 796081",796770,24.201473099999998,92.6035946,ChIJSfuPjmcHTjcRHByUkOTydd8,https://www.google.com/maps/place/?q=place_id:ChIJSfuPjmcHTjcRHByUkOTydd8,part_372,2026-09-20 20:34:45
Rice mill,Rice and Grain Merchant,Farm,Farm,796770,North Eastern Circle,North Eastern Region,Mizoram Division,"Chawngte S.O, Ajasora B.O, Borapansury B.O",N/A,N/A,5.0,,"G96C+CH5, Pachim Tarbin Ch, Assam 788734",796770,24.5110082,92.37147379999999,ChIJBXEJ9gfdUTcRWSXy01-Ydrw,https://www.google.com/maps/place/?q=place_id:ChIJBXEJ9gfdUTcRWSXy01-Ydrw,part_372,2026-09-20 20:34:45
Rini Grocery Stores,Rice and Grain Merchant,Dairy store,Dairy store,796770,North Eastern Circle,North Eastern Region,Mizoram Division,"Chawngte S.O, Ajasora B.O, Borapansury B.O",+91 92330 90601,N/A,5.0,,"Kima Building, Randakpur Road, Kamalanagar II Rd, Chawngte, Kamalanagar I, Chawngte, Kamalanagar, Mizoram 796770","Chawngte, Kamalanagar I",22.618142199999998,92.6436734,ChIJratAI5lNTTcRJ9SFYYNboYM,https://www.google.com/maps/place/?q=place_id:ChIJratAI5lNTTcRJ9SFYYNboYM,part_372,2026-09-20 20:34:45
Rice mill,Rice and Grain Merchant,Store,Store,796770,North Eastern Circle,North Eastern Region,Mizoram Division,"Chawngte S.O, Ajasora B.O, Borapansury B.O",N/A,N/A,4.0,,"Brahmaputra Chapari, Assam 784176",796770,26.7387046,93.2254193,ChIJawhax_RdRDcRZJLEKcZIJ0I,https://www.google.com/maps/place/?q=place_id:ChIJawhax_RdRDcRZJLEKcZIJ0I,part_372,2026-09-20 20:34:45
