business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Royal Interior,Interior Designers,Interior designer,Interior designer,797099,North Eastern Circle,North Eastern Region,Nagaland Division,Bhandari S.O,+91 93658 96622,https://royal-interior-assam.grexa.site/,5.0,,"near Patrol Pump, Uriamghat, No.1 Panjan, Assam 785601",Uriamghat,26.1445507,93.9381411,ChIJM_M2OcpvRjcRHOsba99MpXw,https://www.google.com/maps/place/?q=place_id:ChIJM_M2OcpvRjcRHOsba99MpXw,part_372,2026-09-20 20:40:38
ULOOK interior best designer in Kalyani,Interior Designers,Interior designer,"Interior designer, Furniture maker, Painter",797099,North Eastern Circle,North Eastern Region,Nagaland Division,Bhandari S.O,+91 90736 15965,https://www.ulook.in/,5.0,,"B1, B1/30, Kalyani, West Bengal 741235","B1, B1/30",22.9836532,88.4300985,ChIJU50OhxGV-DkRHvK6YbvA8Vk,https://www.google.com/maps/place/?q=place_id:ChIJU50OhxGV-DkRHvK6YbvA8Vk,part_372,2026-09-20 20:40:38
Bhandari interiors,Interior Designers,Interior Decorator,Interior Decorator,797099,North Eastern Circle,North Eastern Region,Nagaland Division,Bhandari S.O,+91 99339 72001,http://www.bhandariinterior.com/,3.3,,"Railway Market, 5, Gole Bazar Rd, Kharagpur, West Bengal 721301",797099,22.3407603,87.31719439999999,ChIJ78Wn-mtEHToRLrqzDGCIwyY,https://www.google.com/maps/place/?q=place_id:ChIJ78Wn-mtEHToRLrqzDGCIwyY,part_372,2026-09-20 20:40:38
Lalita house works,Interior Designers,Interior designer,Interior designer,797099,North Eastern Circle,North Eastern Region,Nagaland Division,Bhandari S.O,+91 98484 86133,N/A,5.0,,"NRT road, opp. srilakshmi tirupathammavari temple, Sattenapalle, Andhra Pradesh 522403",797099,16.390480999999998,80.1396413,ChIJ8yCDarGBNToRlI1vGaLTpU8,https://www.google.com/maps/place/?q=place_id:ChIJ8yCDarGBNToRlI1vGaLTpU8,part_372,2026-09-20 20:40:38
Great Home Interior,Interior Designers,Interior designer,Interior designer,797099,North Eastern Circle,North Eastern Region,Nagaland Division,Bhandari S.O,+91 89104 55087,http://www.dwellicahome.com/,5.0,,"Battali, near Yuva bharati club, Mirchak, Ward Number 18, Malda, West Bengal 732101","Mirchak, Ward Number 18",25.007251,88.1417951,ChIJDzQgqOb9-jkRagOGUq80i8Y,https://www.google.com/maps/place/?q=place_id:ChIJDzQgqOb9-jkRagOGUq80i8Y,part_372,2026-09-20 20:40:38
Galaxy Interior,Interior Designers,Interior designer,Interior designer,797099,North Eastern Circle,North Eastern Region,Nagaland Division,Bhandari S.O,N/A,https://galaxyinteriorindia.com/,5.0,,"Van Vrindavan Colony, Morabadi, Chiraundi, Ranchi, Jharkhand 834006","Van Vrindavan Colony, Morabadi",23.4011273,85.3356134,ChIJy5L45xzh9DkRAFtn-hGnSHk,https://www.google.com/maps/place/?q=place_id:ChIJy5L45xzh9DkRAFtn-hGnSHk,part_372,2026-09-20 20:40:38
Kanakadurga Interiors,Interior Designers,Interior designer,"Interior designer, Furniture store, Interior construction contractor, Interior Decorator, Painter",797099,North Eastern Circle,North Eastern Region,Nagaland Division,Bhandari S.O,+91 93468 46466,http://www.kanakadurgainteriors.com/,4.8,213.0,"Plot No, Ramky One Marvel, G04, : A, main gate entrance, Gajularamaram, Hyderabad, Telangana 500117","Prakasham Panthulu Nagar, Gajularamaram",17.5219347,78.4205186,ChIJ____TwuXyzsRCwHtcQj2Zj0,https://www.google.com/maps/place/?q=place_id:ChIJ____TwuXyzsRCwHtcQj2Zj0,part_372,2026-09-20 20:40:39
ARC & CREATORS,Interior Designers,Architecture firm,"Architecture firm, Architect",797099,North Eastern Circle,North Eastern Region,Nagaland Division,Bhandari S.O,+91 97766 66844,N/A,4.9,51.0,"Shankar Bagicha, Sarbahal Rd, opposite of Vishal Mega Mart, Jharsuguda, Odisha 768201",Marwari Para,21.8499499,84.0134491,ChIJnVKMFBPnIDoRetyQPv6TSYM,https://www.google.com/maps/place/?q=place_id:ChIJnVKMFBPnIDoRetyQPv6TSYM,part_372,2026-09-20 20:40:39
Braj Decor & Designers,Interior Designers,Interior designer,"Interior designer, Interior Decorator, Architect",797099,North Eastern Circle,North Eastern Region,Nagaland Division,Bhandari S.O,+91 73111 18002,https://brajdecoranddesigners.com/,5.0,,"Baba vishwanath nagar colony, Ashokpuram Colony, Dafi, Varanasi, Uttar Pradesh 221011",Ashokpuram Colony,25.248759699999997,82.9896883,ChIJ73W3WgkzjjkRYH2r0kDFqe8,https://www.google.com/maps/place/?q=place_id:ChIJ73W3WgkzjjkRYH2r0kDFqe8,part_372,2026-09-20 20:40:39
Diamond Home Decor,Interior Designers,Interior Decorator,Interior Decorator,797099,North Eastern Circle,North Eastern Region,Nagaland Division,Bhandari S.O,+91 96249 21742,N/A,5.0,,"103, near Sv Square, Digvijaynagar, New Ranip, Ahmedabad, Gujarat 382480","Digvijaynagar, New Ranip",23.089212399999997,72.5649392,ChIJWcJIKu6DXjkR0f0FgreQGwQ,https://www.google.com/maps/place/?q=place_id:ChIJWcJIKu6DXjkR0f0FgreQGwQ,part_372,2026-09-20 20:40:39
