business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Annadha pure vegetarian,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,797101,North Eastern Circle,North Eastern Region,Nagaland Division,"Peren S.O, Mbaulwa B.O, N.Song B.O",+91 94461 36846,N/A,4.5,,"Near, EMS Hospital Rd, panambi, Perithalmanna, Keralam 679322",panambi,10.9785342,76.2544841,ChIJ5Y3u437NpzsRG4qhayUEhB8,https://www.google.com/maps/place/?q=place_id:ChIJ5Y3u437NpzsRG4qhayUEhB8,part_372,2026-09-20 20:40:58
Virasat Pure Veg Restaurant,Pure Veg Restaurant,Restaurant,Restaurant,797101,North Eastern Circle,North Eastern Region,Nagaland Division,"Peren S.O, Mbaulwa B.O, N.Song B.O",+91 90619 29999,https://www.tasteofvirasat.com/,4.4,,"NH 966, Ponniakurussi, Perinthalmanna, Keralam 679322",Ponniakurussi,10.9798467,76.24436089999999,ChIJBRYCtcDNpzsRH8nbDLYc8S8,https://www.google.com/maps/place/?q=place_id:ChIJBRYCtcDNpzsRH8nbDLYc8S8,part_372,2026-09-20 20:40:58
Shyam Shree Restaurant,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Breakfast restaurant, Restaurant",797101,North Eastern Circle,North Eastern Region,Nagaland Division,"Peren S.O, Mbaulwa B.O, N.Song B.O",+91 94350 08855,N/A,3.9,,"Handique Gaon, Titabor, Assam 785630",797101,26.596442999999997,94.1945853,ChIJTWx1VADvRjcR7Jgje5P0NBA,https://www.google.com/maps/place/?q=place_id:ChIJTWx1VADvRjcR7Jgje5P0NBA,part_372,2026-09-20 20:40:58
Veg Court - The pure veg family restaurant,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,797101,North Eastern Circle,North Eastern Region,Nagaland Division,"Peren S.O, Mbaulwa B.O, N.Song B.O",N/A,N/A,3.7,,"CMXQ+R95, Koyilandy, Keralam 673305",797101,11.449513099999999,75.6884998,ChIJzb7OawCJpjsRYiFvuMcTXxY,https://www.google.com/maps/place/?q=place_id:ChIJzb7OawCJpjsRYiFvuMcTXxY,part_372,2026-09-20 20:40:58
Sesame World Family Restaurant A/C,Pure Veg Restaurant,Family restaurant,Family restaurant,797101,North Eastern Circle,North Eastern Region,Nagaland Division,"Peren S.O, Mbaulwa B.O, N.Song B.O",+91 93097 31168,N/A,4.1,,"Ward-6, HAMA Market Complex, A/C, Chümoukedima, Dimapur, Nagaland 797103",Chümoukedima,25.796273799999998,93.7659553,ChIJpy9CRgAJRjcRXZwSb13h7lM,https://www.google.com/maps/place/?q=place_id:ChIJpy9CRgAJRjcRXZwSb13h7lM,part_372,2026-09-20 20:40:58
BN Resto,Pure Veg Restaurant,Restaurant,Restaurant,797101,North Eastern Circle,North Eastern Region,Nagaland Division,"Peren S.O, Mbaulwa B.O, N.Song B.O",N/A,N/A,4.0,,"NH 61, Mokokchung, Nagaland 798601",797101,26.324732899999997,94.5199349,ChIJg_RRFROpRzcR916qegatm4s,https://www.google.com/maps/place/?q=place_id:ChIJg_RRFROpRzcR916qegatm4s,part_372,2026-09-20 20:40:58
The Social Garden,Pure Veg Restaurant,Fine dining restaurant,Fine dining restaurant,797101,North Eastern Circle,North Eastern Region,Nagaland Division,"Peren S.O, Mbaulwa B.O, N.Song B.O",+91 97740 31851,N/A,4.4,,"Imna Meren road, Arkong, Mokokchung, Nagaland 798601",Arkong,26.322969399999998,94.5119003,ChIJYYGT3LepRzcRWUx8ujXIjnc,https://www.google.com/maps/place/?q=place_id:ChIJYYGT3LepRzcRWUx8ujXIjnc,part_372,2026-09-20 20:40:58
Taste of Kanglei,Pure Veg Restaurant,Restaurant,Restaurant,797101,North Eastern Circle,North Eastern Region,Nagaland Division,"Peren S.O, Mbaulwa B.O, N.Song B.O",+91 60091 76916,N/A,4.2,,"Supermarket, near Urban Jungle, opposite Bank Colony, Dimapur, Nagaland 797112",Half Nagarjan,25.9061006,93.73584609999999,ChIJRWeOjjzhRTcR7u-uuSZU-wk,https://www.google.com/maps/place/?q=place_id:ChIJRWeOjjzhRTcR7u-uuSZU-wk,part_372,2026-09-20 20:40:58
Pathans Veg Restaurant,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,797101,North Eastern Circle,North Eastern Region,Nagaland Division,"Peren S.O, Mbaulwa B.O, N.Song B.O",+91 487 242 5623,N/A,4.1,,"Kuruppam, Round South, Thrissur, Keralam 680001","Kuruppam, Round South",10.5224558,76.2141606,ChIJI3PrmoLvpzsRJHRw2QDcinc,https://www.google.com/maps/place/?q=place_id:ChIJI3PrmoLvpzsRJHRw2QDcinc,part_372,2026-09-20 20:40:58
The Restaurant- 2,Pure Veg Restaurant,Restaurant,Restaurant,797101,North Eastern Circle,North Eastern Region,Nagaland Division,"Peren S.O, Mbaulwa B.O, N.Song B.O",+91 98625 39315,N/A,3.8,,"8GF8+V38, Mokokchung, Nagaland 798601",797101,26.324664199999997,94.5151882,ChIJHXZmp56pRzcR0P6IOZqI718,https://www.google.com/maps/place/?q=place_id:ChIJHXZmp56pRzcR0P6IOZqI718,part_372,2026-09-20 20:40:58
Pankaj Bhojanalaya(Pure veg & Jain food),Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,797101,North Eastern Circle,North Eastern Region,Nagaland Division,"Peren S.O, Mbaulwa B.O, N.Song B.O",+91 98943 81305,N/A,4.1,,"No.1, Bharathiyar Complex, Charing Cross, Commercial Rd, Upper Bazar, Ooty, Tamil Nadu 643001",Upper Bazar,11.4116619,76.7078204,ChIJmUTudI29qDsRQw-v7RDcHAs,https://www.google.com/maps/place/?q=place_id:ChIJmUTudI29qDsRQw-v7RDcHAs,part_372,2026-09-20 20:40:58
Brothers Annapurna Pure Veg restaurant,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Restaurant",797101,North Eastern Circle,North Eastern Region,Nagaland Division,"Peren S.O, Mbaulwa B.O, N.Song B.O",+91 80784 72429,N/A,4.7,158.0,"Koothuparamba road, Nellunni, Mattannur, Keralam 670702",Nellunni,11.9123779,75.57457579999999,ChIJKXnwDwAxpDsRU4n45KkFXSs,https://www.google.com/maps/place/?q=place_id:ChIJKXnwDwAxpDsRU4n45KkFXSs,part_372,2026-09-20 20:40:58
Rasavathi Authentic Veg Cuisine,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,797101,North Eastern Circle,North Eastern Region,Nagaland Division,"Peren S.O, Mbaulwa B.O, N.Song B.O",+91 81380 19909,http://www.rasavathi.co.in/,4.0,2140.0,"4th Floor, G Mall, Makkany, South Bazar, Kannothchal, Kannur, Keralam 670002","South Bazar, Kannothchal",11.8804523,75.37482109999999,ChIJheLc9EQ9pDsRhsXsLWHmcgU,https://www.google.com/maps/place/?q=place_id:ChIJheLc9EQ9pDsRhsXsLWHmcgU,part_372,2026-09-20 20:40:58
Lakshmi Vinayaka pure veg restaurant,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,797101,North Eastern Circle,North Eastern Region,Nagaland Division,"Peren S.O, Mbaulwa B.O, N.Song B.O",N/A,N/A,4.3,356.0,"Fathima Matha Church, thavam, Pazhayangadi, Keralam 670301",797101,12.0120506,75.2789097,ChIJs6ilAOMVpDsRpm1ks74BrGg,https://www.google.com/maps/place/?q=place_id:ChIJs6ilAOMVpDsRpm1ks74BrGg,part_372,2026-09-20 20:40:58
Iswar Rasoi,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Organic restaurant",797101,North Eastern Circle,North Eastern Region,Nagaland Division,"Peren S.O, Mbaulwa B.O, N.Song B.O",+91 95623 88306,https://milletmithila.in/,4.7,83.0,"Temple Road, opp. Chinmaya Women's College, near Sri Sundareshwara Temple Road, Talap, Kannur, Keralam 670002",Talap,11.8848191,75.36968689999999,ChIJrQX_BwA9pDsRWxZAkoCOe_E,https://www.google.com/maps/place/?q=place_id:ChIJrQX_BwA9pDsRWxZAkoCOe_E,part_372,2026-09-20 20:40:58
Sree Krishnas - Pure vegetarian restaurant,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,797101,North Eastern Circle,North Eastern Region,Nagaland Division,"Peren S.O, Mbaulwa B.O, N.Song B.O",+91 88910 01020,N/A,4.3,2067.0,"SM Rd, Kannur, Keralam 670001",797101,11.8725043,75.3635384,ChIJBVUvf0M9pDsR0lvSMCPG3pw,https://www.google.com/maps/place/?q=place_id:ChIJBVUvf0M9pDsR0lvSMCPG3pw,part_372,2026-09-20 20:40:58
Vrindavan Pure Veg Restaurant & Ice Cream,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Restaurant",797101,North Eastern Circle,North Eastern Region,Nagaland Division,"Peren S.O, Mbaulwa B.O, N.Song B.O",+91 90721 59100,N/A,3.7,,"Kappil, Bekal, Pallikkara II, Keralam 671318",Kappil,12.4230486,75.022666,ChIJwSgNh_uApDsRiqRpQ78Luo4,https://www.google.com/maps/place/?q=place_id:ChIJwSgNh_uApDsRiqRpQ78Luo4,part_372,2026-09-20 20:40:59
