business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Ayush Organic,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 94360 64500,https://kevaind.org/,4.8,,"B-26 ZVC, PWD ROAD, Junction, Dobhinalla Rd, opposite Westside Mall, Dimapur, Nagaland 797112",Zeliangrong Village,25.9069428,93.7204469,ChIJS2BGv8LhRTcRQiqX_-IaBIw,https://www.google.com/maps/place/?q=place_id:ChIJS2BGv8LhRTcRQiqX_-IaBIw,part_373,2026-09-20 20:19:17,971
Baba Ayurved,Ayurvedic Pharmacy and Clinic,Alternative medicine practitioner,Alternative medicine practitioner,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",N/A,N/A,3.0,,"WP4G+M8W, Millenum Market, Kali Bari, Dimapur, Nagaland 797112","West Yard Colony, Marwari Patti",25.906744,93.7258331,ChIJvcOaoPPhRTcR7txYMv9MGck,https://www.google.com/maps/place/?q=place_id:ChIJvcOaoPPhRTcR7txYMv9MGck,part_373,2026-09-20 20:19:17,972
RELIEF REMEDIES,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 89744 65963,N/A,5.0,,"Building 345, Sub Jail Tinali, Razphie Village, Hill View Colony, Dimapur, Nagaland 797113","Razphie Village, Hill View Colony",25.9047053,93.6959327,ChIJq7gni-PhRTcRwXsndd6_cLQ,https://www.google.com/maps/place/?q=place_id:ChIJq7gni-PhRTcRwXsndd6_cLQ,part_373,2026-09-20 20:19:17,973
RITIKA MEDICAL,Ayurvedic Pharmacy and Clinic,Medical supply store,Medical supply store,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",N/A,N/A,4.7,,"Nyamo Lotha Rd, next to Breeze Restaurant, N.S.T. Colony, Dimapur, Nagaland 797112",N.S.T. Colony,25.9090208,93.7245561,ChIJqb5dCx_hRTcRvpph7uxYC28,https://www.google.com/maps/place/?q=place_id:ChIJqb5dCx_hRTcRvpph7uxYC28,part_373,2026-09-20 20:19:17,974
IVY PHARMACY,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 89748 37476,N/A,4.4,,"Shop no2, near Foot Bridge, Chümoukedima, Dimapur, Nagaland 797103",Chümoukedima,25.810508799999997,93.7875524,ChIJpeOP6IYIRjcREjkZ5OwcQoA,https://www.google.com/maps/place/?q=place_id:ChIJpeOP6IYIRjcREjkZ5OwcQoA,part_373,2026-09-20 20:19:17,975
Eden Medical Centre,Ayurvedic Pharmacy and Clinic,Hospital,Hospital,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 87942 89192,http://edenmedicalcentre.org/about-us/,3.9,,"Sub-Jail Rd, near Sub Jail, Oriental Colony, Dimapur, Nagaland 797113",Oriental Colony,25.899805999999998,93.70077719999999,ChIJE1y0TtXjRTcRsgJeEb4hPLY,https://www.google.com/maps/place/?q=place_id:ChIJE1y0TtXjRTcRsgJeEb4hPLY,part_373,2026-09-20 20:19:17,976
Bhanumoti medical store,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",N/A,N/A,5.0,,"Imli ghas Junction, Duncan Basti, Dimapur, Nagaland 797113",Duncan Basti,25.910539999999997,93.7023577,ChIJgTP3xOjhRTcRSXpQqU-XWSo,https://www.google.com/maps/place/?q=place_id:ChIJgTP3xOjhRTcRSXpQqU-XWSo,part_373,2026-09-20 20:19:17,977
Christian Institute Of Health Sciences & Research,Ayurvedic Pharmacy and Clinic,Hospital,"Hospital, Research institute",797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 3862 242 555,http://cihsr.in/,3.9,,"P.B No 31, P.O ARTC, 4th Mile, Dimapur, Nagaland 797112","P.O ARTC, 4th Mile",25.8610753,93.778607,ChIJVVVVVboJRjcR1uibNXZg0CA,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVboJRjcR1uibNXZg0CA,part_373,2026-09-20 20:19:17,978
Elixir Pharmacy,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 90896 17981,N/A,3.5,,"WM3X+Q2F, Razphie Village, Industrial Village, Hill View Colony, Razphie, Dimapur, Nagaland 797112","Razphie Village, Industrial Village, Hill View Colony",25.9044286,93.6975434,ChIJA8b0InzhRTcRuaQtfNHaNJk,https://www.google.com/maps/place/?q=place_id:ChIJA8b0InzhRTcRuaQtfNHaNJk,part_373,2026-09-20 20:19:17,979
Heto Medical,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 96128 84629,N/A,,,"Padam Pukhuri Rd, near ECC, Padum Pukhuri, Dimapur, Nagaland 797116",Padum Pukhuri,25.8977443,93.7557034,ChIJXTFJ0PcJRjcRGGpKDmHUG40,https://www.google.com/maps/place/?q=place_id:ChIJXTFJ0PcJRjcRGGpKDmHUG40,part_373,2026-09-20 20:19:17,980
