business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Dimapur fish market,Fish Market,Tropical fish store,Tropical fish store,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",N/A,N/A,4.5,,"New Market, N.S.T. Colony, Dimapur, Nagaland 797117",N.S.T. Colony,25.9077678,93.7234955,ChIJlWBqcADhRTcRmL7Me2UYr94,https://www.google.com/maps/place/?q=place_id:ChIJlWBqcADhRTcRmL7Me2UYr94,part_373,2026-09-20 20:19:09,284
Mainul Fish Shop,Fish Market,Grocery store,Grocery store,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 93661 16271,N/A,4.0,,"Shokhuvi Artc, Market Line Dimapur To, Jaluki, Dimapur, Nagaland 797115",797115,25.752767,93.6992523,ChIJX92VUST9RTcRQFWeLhWFb1U,https://www.google.com/maps/place/?q=place_id:ChIJX92VUST9RTcRQFWeLhWFb1U,part_373,2026-09-20 20:19:09,285
Fish Fresh Shop,Fish Market,Food court,Food court,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 88226 49228,N/A,,,"Shop No 5, Old Shububa, near Baptist Church, Dimapur, Nagaland 797112",797115,25.8625927,93.8042767,ChIJX_fNN5sJRjcROeodLEGSsZw,https://www.google.com/maps/place/?q=place_id:ChIJX_fNN5sJRjcROeodLEGSsZw,part_373,2026-09-20 20:19:09,286
New Market,Fish Market,Market,Market,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",N/A,N/A,4.2,,"WP5F+43, N.S.T. Colony, Dimapur, Nagaland 797112",N.S.T. Colony,25.9078172,93.7226412,ChIJa9JKdwDhRTcRh5B_MpYXyY8,https://www.google.com/maps/place/?q=place_id:ChIJa9JKdwDhRTcRh5B_MpYXyY8,part_373,2026-09-20 20:19:09,287
Jahir Fish Shop,Fish Market,General store,General store,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 70056 39067,N/A,,,"2nd gate, Chümoukedima, Dimapur, Nagaland 797103",Chümoukedima,25.8097328,93.7873702,ChIJP66SvGEJRjcRGZ_-o1o8Waw,https://www.google.com/maps/place/?q=place_id:ChIJP66SvGEJRjcRGZ_-o1o8Waw,part_373,2026-09-20 20:19:09,288
FISH SHOP,Fish Market,Chicken & Mutton Shop,Chicken & Mutton Shop,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 80996 63712,N/A,,,"Junction Chumoukeduma, 5th Mile, Dimapur, Nagaland 797115",5th Mile,25.8575104,93.7690068,ChIJf-6MK0oJRjcR0deQLYR8jB0,https://www.google.com/maps/place/?q=place_id:ChIJf-6MK0oJRjcR0deQLYR8jB0,part_373,2026-09-20 20:19:09,289
Vijay Fish Stall,Fish Market,Chicken & Mutton Shop,Chicken & Mutton Shop,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 60094 25998,N/A,5.0,,"New Market, 345, Dimapur, Nagaland 797115",Diphupar 'B',25.8629933,93.7536664,ChIJGTRJ42QJRjcRHO4TUVM4VUg,https://www.google.com/maps/place/?q=place_id:ChIJGTRJ42QJRjcRHO4TUVM4VUg,part_373,2026-09-20 20:19:09,290
Fish Shop,Fish Market,Chicken & Mutton Shop,Chicken & Mutton Shop,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 76289 54881,N/A,,,"6th Mile, opposite to JCB Showroom, Chumukedima, Dimapur, Nagaland 797115",Chumukedima,25.8437083,93.7736748,ChIJGdD2oycJRjcRgcZBSwN3VBw,https://www.google.com/maps/place/?q=place_id:ChIJGdD2oycJRjcRgcZBSwN3VBw,part_373,2026-09-20 20:19:09,291
"Fish,Chicken Shop",Fish Market,Chicken & Mutton Shop,Chicken & Mutton Shop,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 87318 37188,N/A,,,"Seluophe, Road, Dimapur, Sangtamtilla, Nagaland 797112","Seluophe, Road",25.8431081,93.7259198,ChIJd3rZ9mvjRTcRfAyBjLXPTW4,https://www.google.com/maps/place/?q=place_id:ChIJd3rZ9mvjRTcRfAyBjLXPTW4,part_373,2026-09-20 20:19:09,292
Manik Fish Shop,Fish Market,Chicken & Mutton Shop,Chicken & Mutton Shop,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 93665 29993,N/A,,,"23, Sokhuvi, Dimapur, Nagaland 797115",797115,25.8521257,93.7480884,ChIJ7RGG2QIJRjcRRmON0H5LfdU,https://www.google.com/maps/place/?q=place_id:ChIJ7RGG2QIJRjcRRmON0H5LfdU,part_373,2026-09-20 20:19:09,293
Fish And Chicken Shop,Fish Market,Plant nursery,Plant nursery,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 87328 65279,N/A,,,"Brother And Sister School, Kapil Road, Chümoukedima, Dimapur, Nagaland 797103",Chümoukedima,25.8144228,93.78018229999999,ChIJLdIsXJQJRjcRDc0mSyv8mlE,https://www.google.com/maps/place/?q=place_id:ChIJLdIsXJQJRjcRDc0mSyv8mlE,part_373,2026-09-20 20:19:09,294
Jakir Fish Shop,Fish Market,Chicken & Mutton Shop,Chicken & Mutton Shop,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 93870 19629,N/A,,,"5mile 5mile, Diphupar 'B', Dimapur, Nagaland 797115",Diphupar 'B',25.8563284,93.76225339999999,ChIJsYJD8CYJRjcRPqqoJyA38zY,https://www.google.com/maps/place/?q=place_id:ChIJsYJD8CYJRjcRPqqoJyA38zY,part_373,2026-09-20 20:19:09,295
6th Mile Thursdays Bazaar,Fish Market,Market,Market,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",N/A,N/A,3.6,,"RQP8+PWV, 6th Mile, Chümoukedima, Dimapur, Nagaland 797115",6th Mile,25.8368625,93.76729689999999,ChIJHZmkREYIRjcRQ122sSXNoA8,https://www.google.com/maps/place/?q=place_id:ChIJHZmkREYIRjcRQ122sSXNoA8,part_373,2026-09-20 20:19:09,296
Kitoli Fish Shop,Fish Market,Chicken & Mutton Shop,Chicken & Mutton Shop,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 87874 90255,N/A,,,"Shokhuvi, Dimapur, Nagaland 797115",Shokhuvi,25.765898,93.7197565,ChIJ06DP5bz9RTcRzJ60a1NkGkc,https://www.google.com/maps/place/?q=place_id:ChIJ06DP5bz9RTcRzJ60a1NkGkc,part_373,2026-09-20 20:19:09,297
Dray Fish,Fish Market,Market,Market,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 84150 65123,N/A,,,"Unnamed Road, 7th Mile, Dimapur, Nagaland 797115",7th Mile,25.8243279,93.76742209999999,ChIJfb7LimkJRjcRVYYVoio7ovQ,https://www.google.com/maps/place/?q=place_id:ChIJfb7LimkJRjcRVYYVoio7ovQ,part_373,2026-09-20 20:19:09,298
Fish Shop,Fish Market,Chicken & Mutton Shop,Chicken & Mutton Shop,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 93661 74200,N/A,5.0,,"4th Mile, Dimapur, Nagaland 797115",4th Mile,25.864511999999998,93.76828979999999,ChIJqyIzycAJRjcRPyy6r7JX2RY,https://www.google.com/maps/place/?q=place_id:ChIJqyIzycAJRjcRPyy6r7JX2RY,part_373,2026-09-20 20:19:09,299
K S FISH,Fish Market,Shopping mall,Shopping mall,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 60094 15140,https://www.instagram.com/k_s_fish_8055?igsh=MTJvaXgzYWVqZm1mbQ==,5.0,,"Golaghat Rd, near KS Fish, Lahorijan, Dimapur, Nagaland 797117",Lahorijan,25.920391199999997,93.73079539999999,ChIJ7enLRwDhRTcRysDEaEmFjpY,https://www.google.com/maps/place/?q=place_id:ChIJ7enLRwDhRTcRysDEaEmFjpY,part_373,2026-09-20 20:19:09,300
Vishal sah Fish,Fish Market,Wholesaler,Wholesaler,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 69004 16576,N/A,,,"Fish Market, Lahorijan, Dimapur, Assam 782490",Lahorijan,25.9280853,93.7340504,ChIJawqXsFDhRTcRinSVSeg6MZI,https://www.google.com/maps/place/?q=place_id:ChIJawqXsFDhRTcRinSVSeg6MZI,part_373,2026-09-20 20:19:09,301
"Dry fish Market Jagiroad,Assam",Fish Market,Seafood market,"Seafood market, Wholesaler",797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",N/A,https://sites.google.com/view/dryfishmarket/,4.2,,"45FX+35X HS Dry Fish (Hiraman, Sahani, Jagiroad, Assam 782410",797115,26.122687499999998,92.1979375,ChIJXXhjZtnDWjcRp9Ulu_On6i0,https://www.google.com/maps/place/?q=place_id:ChIJXXhjZtnDWjcRp9Ulu_On6i0,part_373,2026-09-20 20:19:11,302
Taste of Kanglei,Fish Market,Restaurant,Restaurant,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 60091 76916,N/A,4.2,,"Supermarket, near Urban Jungle, opposite Bank Colony, Dimapur, Nagaland 797112",Half Nagarjan,25.9061006,93.73584609999999,ChIJRWeOjjzhRTcR7u-uuSZU-wk,https://www.google.com/maps/place/?q=place_id:ChIJRWeOjjzhRTcR7u-uuSZU-wk,part_373,2026-09-20 20:19:11,303
Indisen Angling Zone,Fish Market,Sports club,Sports club,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",N/A,N/A,4.7,,"VMRQ+6X8, Indisen, Dimapur, Nagaland 797113",Indisen,25.8905407,93.6899533,ChIJK9R_JwDjRTcRRIUUFK1JhTE,https://www.google.com/maps/place/?q=place_id:ChIJK9R_JwDjRTcRRIUUFK1JhTE,part_373,2026-09-20 20:19:11,304
BachusPickle,Fish Market,Home goods store,Home goods store,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",N/A,N/A,4.5,,"near Tangkhul Church, Diphupar, 4th Mile, Dimapur, Nagaland 797115","Diphupar, 4th Mile",25.8721712,93.7687167,ChIJE4qRXqYJRjcRy7O3ybZP7Rg,https://www.google.com/maps/place/?q=place_id:ChIJE4qRXqYJRjcRy7O3ybZP7Rg,part_373,2026-09-20 20:19:11,305
Yaya Chicken N Fish,Fish Market,Grocery store,Grocery store,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 81328 38343,N/A,5.0,,"Shop No 5, Signal Angami, Dimapur, Nagaland 797118",Signal Angami,25.8925904,93.7125374,ChIJiaxmNLHjRTcREGYp8uQ_CiI,https://www.google.com/maps/place/?q=place_id:ChIJiaxmNLHjRTcREGYp8uQ_CiI,part_373,2026-09-20 20:19:12,306
NUR ALI FISH STALL,Fish Market,Poultry store,Poultry store,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 93625 02201,N/A,5.0,,"block 3, ARMY GET TCP2, RELWAY GET, Thahekhu Village, Dimapur, Nagaland 797112",Thahekhu Village,25.867490399999998,93.71455979999999,ChIJX7laiHnjRTcR9UEXmLB0Juc,https://www.google.com/maps/place/?q=place_id:ChIJX7laiHnjRTcR9UEXmLB0Juc,part_373,2026-09-20 20:19:12,307
DMC Fish Market,Fish Market,Market,Market,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",N/A,N/A,3.6,30.0,"Road, BamunpukhuriA, Kuhuboto, Dimapur, Nagaland 797116","BamunpukhuriA, Kuhuboto",25.930394099999997,93.7690805,ChIJ-SQ0fkQKRjcRvqeo2WTFU6U,https://www.google.com/maps/place/?q=place_id:ChIJ-SQ0fkQKRjcRvqeo2WTFU6U,part_373,2026-09-20 20:19:13,308
Fish Market,Fish Market,Market,Market,797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",N/A,N/A,3.1,93.0,"WP77+VCX, Fellowship Colony, Dimapur, Nagaland 797113",Fellowship Colony,25.9147411,93.7136242,ChIJd3CfhZDhRTcRbkqgUy1l3b8,https://www.google.com/maps/place/?q=place_id:ChIJd3CfhZDhRTcRbkqgUy1l3b8,part_373,2026-09-20 20:19:13,309
Fs 33 Manish Fish Store,Fish Market,General store,General store,797116,North Eastern Circle,North Eastern Region,Nagaland Division,"Dimapur Bazar S.O, Khehekhu B.O, Kuhuboto B.O",+91 70054 17094,N/A,4.8,4.0,"Fs 33 New Market, Nagaland 797112",N.S.T. Colony,25.9071431,93.7233146,ChIJobXcutLhRTcRLm_a5c6VTqo,https://www.google.com/maps/place/?q=place_id:ChIJobXcutLhRTcRLm_a5c6VTqo,part_373,2026-09-20 20:19:48,3699
Laxman Fish Shop,Fish Market,Market,Market,797116,North Eastern Circle,North Eastern Region,Nagaland Division,"Dimapur Bazar S.O, Khehekhu B.O, Kuhuboto B.O",+91 90890 28079,N/A,,,"Road Bazaar, Burma Camp, Dimapur, Nagaland 797112",Burma Camp,25.914687299999997,93.7319146,ChIJT4X0Pa_hRTcRRJCV9HnJ4qE,https://www.google.com/maps/place/?q=place_id:ChIJT4X0Pa_hRTcRRJCV9HnJ4qE,part_373,2026-09-20 20:19:48,3700
A Fish Shop,Fish Market,General store,General store,797116,North Eastern Circle,North Eastern Region,Nagaland Division,"Dimapur Bazar S.O, Khehekhu B.O, Kuhuboto B.O",+91 98621 15589,N/A,5.0,3.0,"Shop No. 007, Harf Nagar Road, Half Nagarjan, Dimapur, Nagaland 797112",Half Nagarjan,25.899669499999998,93.73438519999999,ChIJaYthrGDhRTcR9BaKOGigLdc,https://www.google.com/maps/place/?q=place_id:ChIJaYthrGDhRTcR9BaKOGigLdc,part_373,2026-09-20 20:19:48,3701
