business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Star. Enterprise,Hotel Kit Suppliers,Appliance store,"Appliance store, Air conditioning store",797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 3862 229 787,N/A,3.0,2.0,"WP5C+Q7R, Dobhinalla Rd, Forest Colony, Dimapur, Nagaland 797117",Forest Colony,25.909499399999998,93.7206312,ChIJl_hyoI3hRTcRQX0Mg4UzVUk,https://www.google.com/maps/place/?q=place_id:ChIJl_hyoI3hRTcRQX0Mg4UzVUk,part_373,2026-09-20 20:19:33,2429
Southern Hospitality- Hotel Supplies and Guest Amenities,Hotel Kit Suppliers,Hotel supply store,"Hotel supply store, Cleaning products supplier",797115,North Eastern Circle,North Eastern Region,Nagaland Division,"Artc S.O, Aoyimti B.O, Daroga Pathar B.O",+91 94957 15906,http://www.southernhospitality.in/,5.0,,"Moothedam Rd, Nettoor, Maradu, Ernakulam, Keralam 682304","Nettoor, Maradu",9.9291295,76.32143219999999,ChIJ94EQJNZzCDsRTUHHJDGC7o0,https://www.google.com/maps/place/?q=place_id:ChIJ94EQJNZzCDsRTUHHJDGC7o0,part_373,2026-09-20 20:19:33,2430
Azizur Hotel,Hotel Kit Suppliers,General store,General store,797116,North Eastern Circle,North Eastern Region,Nagaland Division,"Dimapur Bazar S.O, Khehekhu B.O, Kuhuboto B.O",+91 60034 61853,N/A,5.0,,"Building 786, Sub Jail, Razphie Village, Hill View Colony, Dimapur, Nagaland 797113","Razphie Village, Hill View Colony",25.904805399999997,93.6980786,ChIJm4FyH6LhRTcR7c5NDb8z99Y,https://www.google.com/maps/place/?q=place_id:ChIJm4FyH6LhRTcR7c5NDb8z99Y,part_373,2026-09-20 20:20:11,4853
Hotel Kent,Hotel Kit Suppliers,Hotel,Hotel,797116,North Eastern Circle,North Eastern Region,Nagaland Division,"Dimapur Bazar S.O, Khehekhu B.O, Kuhuboto B.O",+91 3862 234 077,N/A,3.7,,"Railway Gate, Ellora line, Nagaland 797112",Police Colony,25.9092496,93.7280509,ChIJu_qEIfLhRTcRB08SkP16xDI,https://www.google.com/maps/place/?q=place_id:ChIJu_qEIfLhRTcRB08SkP16xDI,part_373,2026-09-20 20:20:11,4854
Aroma Kitchen,Hotel Kit Suppliers,Hotel,Hotel,797116,North Eastern Circle,North Eastern Region,Nagaland Division,"Dimapur Bazar S.O, Khehekhu B.O, Kuhuboto B.O",+91 97060 34986,N/A,4.0,,"opposit refarel hospital, near sbi atm, 4th Mile, Dimapur, Nagaland 797112",4th Mile,25.8642352,93.78007099999999,ChIJU6gRvRYJRjcRvcShyn7J4i4,https://www.google.com/maps/place/?q=place_id:ChIJU6gRvRYJRjcRvcShyn7J4i4,part_373,2026-09-20 20:20:11,4855
SR Luxury,Hotel Kit Suppliers,Cosmetic Products Manufacturer,"Cosmetic Products Manufacturer, Exporter, Hotel supply store, Manufacturer",797116,North Eastern Circle,North Eastern Region,Nagaland Division,"Dimapur Bazar S.O, Khehekhu B.O, Kuhuboto B.O",+91 83687 46821,https://luxuryhotelmart.com/,4.9,,"152, Model Town 1, Tagore Park, Mukherjee Nagar, New Delhi, Delhi, 110033","Model Town 1, Tagore Park, Mukherjee Nagar",28.7061529,77.19859009999999,ChIJ9XUzs_j9DDkRTZFhez4jtgY,https://www.google.com/maps/place/?q=place_id:ChIJ9XUzs_j9DDkRTZFhez4jtgY,part_373,2026-09-20 20:20:11,4856
Hotel Barak,Hotel Kit Suppliers,Hotel,Hotel,797116,North Eastern Circle,North Eastern Region,Nagaland Division,"Dimapur Bazar S.O, Khehekhu B.O, Kuhuboto B.O",+91 96364 15286,N/A,4.4,,"Hongkong Market, Haazi Park, Police Colony, Dimapur, Nagaland 797112",Police Colony,25.9079616,93.7267789,ChIJTasT-brhRTcR5jAsD0Q7cH4,https://www.google.com/maps/place/?q=place_id:ChIJTasT-brhRTcR5jAsD0Q7cH4,part_373,2026-09-20 20:20:11,4857
Hotel Blue Bird,Hotel Kit Suppliers,Hotel,Hotel,797116,North Eastern Circle,North Eastern Region,Nagaland Division,"Dimapur Bazar S.O, Khehekhu B.O, Kuhuboto B.O",N/A,N/A,4.1,,"WP5H+GMW Rly Gate, Station Rd, below Flyover, Dimapur, Nagaland 797112",Power House Colony,25.9089171,93.729157,ChIJKT5JZPfhRTcRLs7tafkFTWI,https://www.google.com/maps/place/?q=place_id:ChIJKT5JZPfhRTcRLs7tafkFTWI,part_373,2026-09-20 20:20:11,4858
Hotel City Heart,Hotel Kit Suppliers,Hotel,Hotel,797116,North Eastern Circle,North Eastern Region,Nagaland Division,"Dimapur Bazar S.O, Khehekhu B.O, Kuhuboto B.O",N/A,N/A,4.1,,"Deluxe Point, Bata Chariali, Hongkong Market, Dimapur, Nagaland 797112",Police Colony,25.9089864,93.7265841,ChIJU_vGZrzhRTcRFvrYV3OSqVQ,https://www.google.com/maps/place/?q=place_id:ChIJU_vGZrzhRTcRFvrYV3OSqVQ,part_373,2026-09-20 20:20:11,4859
Hotel NST,Hotel Kit Suppliers,Hotel,Hotel,797116,North Eastern Circle,North Eastern Region,Nagaland Division,"Dimapur Bazar S.O, Khehekhu B.O, Kuhuboto B.O",+91 84138 10805,N/A,3.5,,"WP4H+RVW NST, Bus Station, Civil Hospital Colony, Dimapur, Nagaland 797112",Civil Hospital Colony,25.9071785,93.7297119,ChIJA5Oj0lzhRTcR2KGEWRhqWF4,https://www.google.com/maps/place/?q=place_id:ChIJA5Oj0lzhRTcR2KGEWRhqWF4,part_373,2026-09-20 20:20:11,4860
