business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
JSW Paints - Quality Enterprises,Paint and Putty Dealer,Paint store,Paint store,797120,North Eastern Circle,North Eastern Region,Nagaland Division,"P.R.Hill S.O, Lalmati B.O, Phesama B.O",+91 70136 93226,N/A,5.0,,"4-55/3, Busstand Road, Station Ghanpur, Ghanpur, Telangana 506144",797120,17.8526424,79.3694062,ChIJDQ29seWtzDsRpFdzP_i5kys,https://www.google.com/maps/place/?q=place_id:ChIJDQ29seWtzDsRpFdzP_i5kys,part_373,2026-09-20 20:21:57
Ramya Traders Asian paints & Berger paints Authorized Dealer,Paint and Putty Dealer,Paint store,"Paint store, Home goods store",797120,North Eastern Circle,North Eastern Region,Nagaland Division,"P.R.Hill S.O, Lalmati B.O, Phesama B.O",N/A,N/A,4.5,,"5-1-185 NTPC KRISHNA NAGAR NTPC Near NTPC policestation, Ramagundam, Telangana 505215",Shalapally,18.7627101,79.4799175,ChIJWVRf-MjPMjoRSXqUPFYyFVc,https://www.google.com/maps/place/?q=place_id:ChIJWVRf-MjPMjoRSXqUPFYyFVc,part_373,2026-09-20 20:21:57
"Shakti Traders, Asian paints authorised dealer",Paint and Putty Dealer,Paint store,Paint store,797120,North Eastern Circle,North Eastern Region,Nagaland Division,"P.R.Hill S.O, Lalmati B.O, Phesama B.O",+91 93900 58687,N/A,4.7,,"H.No.4-2-142/5/6, Kunaram, Main Rd, Peddapalli, Telangana 505172",797120,18.6089782,79.3822843,ChIJhWM2oX3TMjoRd_5IVsMpATg,https://www.google.com/maps/place/?q=place_id:ChIJhWM2oX3TMjoRd_5IVsMpATg,part_373,2026-09-20 20:21:57
Arjun Paints,Paint and Putty Dealer,Paint store,"Paint store, Paint Manufacturer",797120,North Eastern Circle,North Eastern Region,Nagaland Division,"P.R.Hill S.O, Lalmati B.O, Phesama B.O",+91 95505 55518,https://arjunpaints-in-zd3f.glide.page/,4.8,,"ARJUN PAINTS,OPP BAJAJ ELECTRONICS,KUDAKUDA ROAD, Suryapet - Warangal Hwy, Suryapet, Telangana 508213","Venkateshwar Colony, Sri Ram Nagar Colony",17.1534075,79.6245399,ChIJ__ejRL_bNDoR81efyOkuMr0,https://www.google.com/maps/place/?q=place_id:ChIJ__ejRL_bNDoR81efyOkuMr0,part_373,2026-09-20 20:21:57
P R PAINTS AND CEMENTS,Paint and Putty Dealer,Paint store,Paint store,797120,North Eastern Circle,North Eastern Region,Nagaland Division,"P.R.Hill S.O, Lalmati B.O, Phesama B.O",+91 95508 96260,N/A,4.3,,"Burdagudem, Mandamarri, Telangana 504231",Burdagudem,18.9969313,79.4711119,ChIJ2cNZj1ixMjoRPSiOBUaYztE,https://www.google.com/maps/place/?q=place_id:ChIJ2cNZj1ixMjoRPSiOBUaYztE,part_373,2026-09-20 20:21:57
Hari Hara Traders | Best paint shop in Peddapalli,Paint and Putty Dealer,Paint store,"Paint store, Building materials supplier, Hardware store, Home improvement store, Paint Manufacturer",797120,North Eastern Circle,North Eastern Region,Nagaland Division,"P.R.Hill S.O, Lalmati B.O, Phesama B.O",+91 96524 12949,N/A,4.9,,"4-3-208/C, Road Kunaram Road, beside Sai Tiffins Kunaram, Peddapalli, Rangampalle, Telangana 505172",797120,18.610028099999997,79.3798068,ChIJ5Zwfh-0tzTsRhzf3BWAlPmo,https://www.google.com/maps/place/?q=place_id:ChIJ5Zwfh-0tzTsRhzf3BWAlPmo,part_373,2026-09-20 20:21:57
JAJODIA HARDWARES,Paint and Putty Dealer,Paint store,"Paint store, Ceiling supplier, Gypsum Product Supplier, Waterproofing service",797120,North Eastern Circle,North Eastern Region,Nagaland Division,"P.R.Hill S.O, Lalmati B.O, Phesama B.O",+91 94350 80153,N/A,4.9,,"Thana, MC road, opp Tezpur Sardar, Tezpur, Assam 784001",Mahabhairab,26.6229375,92.7961875,ChIJFR5Sd-npRDcR7v6yArkIuZ0,https://www.google.com/maps/place/?q=place_id:ChIJFR5Sd-npRDcR7v6yArkIuZ0,part_373,2026-09-20 20:21:57
Asian Paints Colourideas - Shyam Paints & Hardware,Paint and Putty Dealer,Paint store,"Paint store, Construction Material Wholesaler, Interior Decorator, Painter, Stucco contractor, Wallpaper installer, Wallpaper store, Waterproofing service",797120,North Eastern Circle,North Eastern Region,Nagaland Division,"P.R.Hill S.O, Lalmati B.O, Phesama B.O",+91 81081 14288,http://colourideas-dealers-nearme.asianpaints.com/asian-paints-colourideas-shyam-paints-hardware-paint-shop-station-road-mancherial-119000/Home?utm_source=locator&utm_medium=googleplaces,4.9,,"8/382/1 Main Road, Station Rd, opposite Jagdamba Complex, Mancherial, Telangana 504208",797120,18.874342199999997,79.4480703,ChIJSTt-CxzLMjoRtyT9JVVg0_o,https://www.google.com/maps/place/?q=place_id:ChIJSTt-CxzLMjoRtyT9JVVg0_o,part_373,2026-09-20 20:21:57
Divya paints and tilles,Paint and Putty Dealer,Paint store,Paint store,797120,North Eastern Circle,North Eastern Region,Nagaland Division,"P.R.Hill S.O, Lalmati B.O, Phesama B.O",+91 99635 40060,N/A,4.2,,"CCC X ROAD, NEAR CORNAL BUSTAND, MAIN ROAD, Mancherial, Telangana 504302",797120,18.8572928,79.4820888,ChIJ6_R025HJMjoR7ix3DXIikHg,https://www.google.com/maps/place/?q=place_id:ChIJ6_R025HJMjoR7ix3DXIikHg,part_373,2026-09-20 20:21:57
Softtouch wall putty and paints (Arihant Minerals & Logistics),Paint and Putty Dealer,Paint Manufacturer,"Paint Manufacturer, Construction Material Wholesaler, Manufacturer",797120,North Eastern Circle,North Eastern Region,Nagaland Division,"P.R.Hill S.O, Lalmati B.O, Phesama B.O",+91 91122 49955,http://www.softtouchpaints.com/,4.9,,"206, Honey Indra tower, Inox Road,Shashtri nagar square, Nagpur, Maharashtra 440008",Shashtri Nagar,21.1445768,79.1293725,ChIJJ5mO37bA1DsRdSQSUVv-VUc,https://www.google.com/maps/place/?q=place_id:ChIJJ5mO37bA1DsRdSQSUVv-VUc,part_373,2026-09-20 20:21:58
