business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BEAUTY BOX BY GEETA UNISEX SALON AND ACADEMY,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Facial spa",797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 86304 07452,N/A,4.7,,"Indraprastha lane number 15/16, 6 number puliya, behind Vegetable Market, Dehradun, Uttarakhand 248014",Upper Nathanpur,30.2990678,78.0735773,ChIJwdzSNI0pCTkR8AEeJI5LQ9A,https://www.google.com/maps/place/?q=place_id:ChIJwdzSNI0pCTkR8AEeJI5LQ9A,part_373,2026-09-20 20:22:38
Lakme Salon,Beauty Parlour,Beauty Parlour,Beauty Parlour,797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 88795 23524,https://salons.lakmesalon.in/lakme-salon-for-him-and-her-in-mg-road-sankara-iyer-junction-thrissur-mg-road-sankara-iyer-junction-thrissur-beauty-parlour-sankara-iyer-junction-thrissur-389687/Home,4.8,,"No 21/582-6, First Floor,Salpa Complex, MG Road, Sankara Iyer Junction, Thrissur, Keralam 680004",Sreenagar Colony,10.522682399999999,76.2030813,ChIJvQ4Qi0HupzsR5LlNqBXmPF4,https://www.google.com/maps/place/?q=place_id:ChIJvQ4Qi0HupzsR5LlNqBXmPF4,part_373,2026-09-20 20:22:38
Eina's beauty salon,Beauty Parlour,Beauty Parlour,Beauty Parlour,797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 95570 06647,N/A,4.6,,"Jansath Rd, near New Vardhman Hospital, Kamal Nagar, Muzaffarnagar, Uttar Pradesh 251001",Kamal Nagar,29.453960499999997,77.72191269999999,ChIJX360UncPDDkRGkLDP3bs3es,https://www.google.com/maps/place/?q=place_id:ChIJX360UncPDDkRGkLDP3bs3es,part_373,2026-09-20 20:22:38
Girlshine Beauty Parlour,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Make-up artist",797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 81233 53539,https://www.instagram.com/makeover_by_bindugowda?igsh=MWx5d3p1YWtmbDI4dA==,4.9,,"Girlshine Beauty Parlor, Brindavan Layout, Vinayak Nagar, TC Palya, Krishnarajapuram, Bengaluru, Karnataka 560036","Brindavan Layout, Vinayak Nagar, TC Palya, Krishnarajapuram",13.019068599999999,77.69701169999999,ChIJo8A2wKsRrjsRQZn7YIZyjEw,https://www.google.com/maps/place/?q=place_id:ChIJo8A2wKsRrjsRQZn7YIZyjEw,part_373,2026-09-20 20:22:38
B Tanish Salon (Womens Only) - Wakad,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Bridal shop, Eyelash salon, Facial spa, Foot massage parlor, Make-up artist, Nail salon, Skin care clinic, Hairdresser, Waxing hair removal service",797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 70304 14600,https://btanishsalon.com/,4.9,,"2nd Floor, Mhatoba Chowk, Rajveer Nucleus, 206, near Global Punjab, Pune, Pimpri-Chinchwad, Maharashtra 411057","Kaspate Wasti, Wakad",18.5957182,73.7697335,ChIJC-2XZo27wjsRMlkebXLC0Gc,https://www.google.com/maps/place/?q=place_id:ChIJC-2XZo27wjsRMlkebXLC0Gc,part_373,2026-09-20 20:22:38
Beauty Zone,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Make-up artist, Nail salon, Skin care clinic, Hairdresser, Waxing hair removal service",797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 99500 19014,https://www.beautyzonejaipur.com/,5.0,,"Shop No. 2, Ganesh Aangan Apartment, Dhawas Road, Janki Vihar, West, Vaishali Nagar, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302024","Janki Vihar, West, Vaishali Nagar",26.8926859,75.7227331,ChIJedOH5YK1bTkRgNuDROxcYyg,https://www.google.com/maps/place/?q=place_id:ChIJedOH5YK1bTkRgNuDROxcYyg,part_373,2026-09-20 20:22:38
Beauty Touch,Beauty Parlour,Beauty Parlour,Beauty Parlour,797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 487 232 0721,https://instagram.com/beautytouchin_?utm_medium=copy_link,4.1,,"Patturaikkal, Thrissur, Keralam 680022",Patturaikkal,10.5343532,76.21208709999999,ChIJ-e5z9lnupzsRR0hfOFT-4K0,https://www.google.com/maps/place/?q=place_id:ChIJ-e5z9lnupzsRR0hfOFT-4K0,part_373,2026-09-20 20:22:38
𝗟𝗼𝗼𝗸𝘄𝗲𝗹𝗹 𝗮 𝗹𝘂𝘅𝘂𝗿𝗶𝗼𝘂𝘀 𝗦𝗮𝗹𝗼𝗻- Best Bridal Makeup Salon | Hair Salon | Skin Salon | Menicure Pedicure Salon in Junagadh,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Barber shop, Beauty supply store, Eye care center, Eyelash salon, Nail salon",797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 78029 33355,https://lookwellluxurioussalon.in/,4.8,,"Shilp, Near Realince Digital, Zanzarda Rd, opposite Ashok Bakery Jogi Petrol Pump, Junagadh, Gujarat 362002","Madhuvan Society, Vishnu Colony",21.5241406,70.4389079,ChIJxyo0paoBWDkRvKQWBL_Jsi8,https://www.google.com/maps/place/?q=place_id:ChIJxyo0paoBWDkRvKQWBL_Jsi8,part_373,2026-09-20 20:22:38
Be Chique By Pallaavi,Beauty Parlour,Beauty Parlour,Beauty Parlour,797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 82798 90396,N/A,4.8,,"First Floor Khasra No 337/2, Pargana Parwa, Sahastradhara Rd, above Dominos, Old Mauza, Adhoiwala, Dehradun, Uttarakhand 248001","Old Mauza, Adhoiwala",30.323775899999998,78.06464749999999,ChIJt1R2Dt8pCTkRNd6JVnofjB0,https://www.google.com/maps/place/?q=place_id:ChIJt1R2Dt8pCTkRNd6JVnofjB0,part_373,2026-09-20 20:22:38
"Lakme Salon For Him and Her in Pimpri,Pune",Beauty Parlour,Beauty Parlour,Beauty Parlour,797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 77220 94447,https://salons.lakmesalon.in/lakme-salon-for-him-and-her-in-pimpri-pune-pimpri-pune-beauty-parlour-morwadi-pune-349612/Home,4.9,,"Survey No, Plot No 8, 36/11/1, Morewadi, Maharashtra 411018","Morewadi, Pimpri Colony",18.6332336,73.803365,ChIJgQ7cHhu5wjsRiC8aQx1qJ8s,https://www.google.com/maps/place/?q=place_id:ChIJgQ7cHhu5wjsRiC8aQx1qJ8s,part_373,2026-09-20 20:22:38
