business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Chaudhari Chemicals Corporation,Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 81401 46545,https://www.chaudharichemicals.com/,4.7,39.0,"Shed No. C/4, Atria Business zone Complex, Naroda Rd, opp. Arvind Mills, Aditya Nagar, D Colony, Ahmedabad, Gujarat 382345","Aditya Nagar, D Colony",23.0452969,72.6158641,ChIJra3hVA2FXjkRNNqs1JZcpfo,https://www.google.com/maps/place/?q=place_id:ChIJra3hVA2FXjkRNNqs1JZcpfo,part_373,2026-09-20 20:22:52
Kalpana Chemicals,Chemical Wholesalers,Chemical Manufacturer,Chemical Manufacturer,797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 79 2562 0518,http://www.kalpanachem.com/,5.0,4.0,"E-186-187, 1st Floor, B G Tower, Outside Delhi Gate, Shahibagh, Shahibagh, Ahmedabad, Gujarat 380001","Old City, Delhi Chakla, Dariyapur",23.036394299999998,72.5908609,ChIJHwGbp0GEXjkRmKoMWh-qm6o,https://www.google.com/maps/place/?q=place_id:ChIJHwGbp0GEXjkRmKoMWh-qm6o,part_373,2026-09-20 20:22:52
R M Chemicals India,Chemical Wholesalers,Food products supplier,"Food products supplier, Chemical wholesaler, Food manufacturing supply, Food seasoning manufacturer",797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 98841 55485,https://r-m-chemicals-india.grexa.site/,4.8,108.0,"131, Anna Pillai St, Sowcarpet, Seven Wells South, George Town, Chennai, Tamil Nadu 600001","Sowcarpet, Seven Wells South, George Town",13.0942875,80.2807498,ChIJcwXaL1hvUjoROv2bEPrwreQ,https://www.google.com/maps/place/?q=place_id:ChIJcwXaL1hvUjoROv2bEPrwreQ,part_373,2026-09-20 20:22:52
A To Z Chemicals,Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 98900 84001,N/A,4.3,11.0,"452 chowk, Phadke Haud, Raviwar Peth, Pune, Maharashtra 411002","Phadke Haud, Raviwar Peth",18.5185019,73.8596175,ChIJYccXVkLAwjsRkY0zBBa2Jno,https://www.google.com/maps/place/?q=place_id:ChIJYccXVkLAwjsRkY0zBBa2Jno,part_373,2026-09-20 20:22:52
Basukinath enterprises,Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 96118 28810,http://www.basukinatgenterprises.com/,4.7,15.0,"Immadihalli Main Rd, Immadihalli, Whitefield, Bengaluru, Karnataka 560066","Immadihalli, Whitefield",12.967368599999999,77.7599907,ChIJwQhzreUNrjsR6JImp0Gg2JY,https://www.google.com/maps/place/?q=place_id:ChIJwQhzreUNrjsR6JImp0Gg2JY,part_373,2026-09-20 20:22:52
Ajanta Chemicals,Chemical Wholesalers,Industrial chemicals wholesaler,Industrial chemicals wholesaler,797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 98258 85295,http://www.tinyurl.com/ajanta,2.7,9.0,"A13, Atria Business Zone Opposite Jining Press BRTS Stop, Naroda Rd, near Arvind Mills, Ahmedabad, Gujarat 382345","Aditya Nagar, D Colony",23.0442569,72.6155924,ChIJq6qqOjeEXjkRGIm1mMy5bPg,https://www.google.com/maps/place/?q=place_id:ChIJq6qqOjeEXjkRGIm1mMy5bPg,part_373,2026-09-20 20:22:52
Nice Chemicals Private Limited,Chemical Wholesalers,Chemical Manufacturer,Chemical Manufacturer,797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 484 280 0212,http://www.nicechemicals.com/,4.3,24.0,"28H2+HM2, Manimala Rd, Ponekkara, Edappally, Ernakulam, Keralam 682024","Ponekkara, Edappally",10.0288965,76.301626,ChIJFdePqXptCDsRjSMZonGWdOg,https://www.google.com/maps/place/?q=place_id:ChIJFdePqXptCDsRjSMZonGWdOg,part_373,2026-09-20 20:22:52
Gezzor technologies,Chemical Wholesalers,Chemical wholesaler,"Chemical wholesaler, Laboratory equipment supplier, Medical laboratory, Pharmaceutical lab",797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 94865 11030,N/A,4.9,19.0,"33, Reddy St, Nerkundram, Chennai, Tamil Nadu 600095",Nerkundram,13.0673338,80.18171319999999,ChIJ0dTu9GlhUjoRrUk0lveAb3E,https://www.google.com/maps/place/?q=place_id:ChIJ0dTu9GlhUjoRrUk0lveAb3E,part_373,2026-09-20 20:22:52
Aditya Commercial Corporation,Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 98302 63788,https://www.adityacommercial.com/,4.3,11.0,"Ground Floor, 09, Amratala St, near KOTAK MAHINDRA BANK, Bortola, Barabazar Market, Kolkata, West Bengal 700001","Bortola, Barabazar Market",22.5785114,88.3539952,ChIJ22h3ZLB3AjoRWV39MrnMb4M,https://www.google.com/maps/place/?q=place_id:ChIJ22h3ZLB3AjoRWV39MrnMb4M,part_373,2026-09-20 20:22:52
Gurjar Chemicals Pvt. Ltd.,Chemical Wholesalers,Chemical Manufacturer,Chemical Manufacturer,797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 74711 25024,http://www.gurjarchemicals.com/,4.8,5.0,"No.145, Sanwer Road, Sector-D,, Indore, Madhya Pradesh 452015","Sector D, Sanwer Road Industrial Area",22.762560399999998,75.85418159999999,ChIJ47b46YkCYzkRlyp-ZXCvAWo,https://www.google.com/maps/place/?q=place_id:ChIJ47b46YkCYzkRlyp-ZXCvAWo,part_373,2026-09-20 20:22:52
