business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Samfit zone,Gym and Fitness Center,Fitness center,"Fitness center, Gym",797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 90728 82311,https://samfitzone.com/,5.0,,"K.P Mall, Kondotty Bypass Rd, opposite budget hypermarket, Kondotty, Keralam 673638",797121,11.1462287,75.9625965,ChIJFY-pCn5PpjsRpeYA3wp2WWU,https://www.google.com/maps/place/?q=place_id:ChIJFY-pCn5PpjsRpeYA3wp2WWU,part_373,2026-09-20 20:22:30
ENERGY FITNESS CENTRE,Gym and Fitness Center,Gym,Gym,797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,N/A,N/A,5.0,,"Kanayankode, Koyilandy, Keralam 673620",Kanayankode,11.445501799999999,75.72741429999999,ChIJRzSHkeeLpjsRrbWvr-kZRb8,https://www.google.com/maps/place/?q=place_id:ChIJRzSHkeeLpjsRrbWvr-kZRb8,part_373,2026-09-20 20:22:30
BE SHINE FITNESS CLUB,Gym and Fitness Center,Gym,Gym,797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 88918 80780,N/A,4.6,,"near Iti Stop, Kuruvangad, Koyilandy, Keralam 673620",Kuruvangad,11.4446105,75.7217941,ChIJZwC6YQBhpjsRHGkLbESzE5Q,https://www.google.com/maps/place/?q=place_id:ChIJZwC6YQBhpjsRHGkLbESzE5Q,part_373,2026-09-20 20:22:30
Reborn Fitness Studio,Gym and Fitness Center,Gym,Gym,797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 94068 48484,https://www.instagram.com/reborn.fitness.studio_/,4.9,,"G1, Ground Floor, RB Towers, 101, Poonamallee High Rd, Velappanchavadi, Poonamallee, Thiruverkadu, Tamil Nadu 600077","Velappanchavadi, Poonamallee",13.061167999999999,80.137953,ChIJa2_6q2FhUjoRTHjIrmZH9fs,https://www.google.com/maps/place/?q=place_id:ChIJa2_6q2FhUjoRTHjIrmZH9fs,part_373,2026-09-20 20:22:30
One Life Fitness,Gym and Fitness Center,Fitness center,Fitness center,797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 83286 48427,N/A,4.9,,"Matardevi Road, near Shalom Gospel Church, Chandni Nagar, Ghugus, Maharashtra 442505",Chandni Nagar,19.9486025,79.121135,ChIJrR_Zn3XZ0jsRUu6xOP0lcTA,https://www.google.com/maps/place/?q=place_id:ChIJrR_Zn3XZ0jsRUu6xOP0lcTA,part_373,2026-09-20 20:22:30
Reboot Lifestyle Fitness Studio,Gym and Fitness Center,Fitness center,Fitness center,797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 98889 44463,http://www.rebootlifestylefitness.com/,4.8,,"3rd Floor, 54, 2&56, Poonamallee High Rd, Iyyappanthangal, Ayyappanthangal, Tamil Nadu 600056",Iyyappanthangal,13.040434699999999,80.1303559,ChIJt_0KnlNhUjoRVbYV6S9GAzU,https://www.google.com/maps/place/?q=place_id:ChIJt_0KnlNhUjoRVbYV6S9GAzU,part_373,2026-09-20 20:22:30
VP Gym & Fitness Center,Gym and Fitness Center,Fitness center,Fitness center,797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,N/A,N/A,5.0,,"C1, Moorthy Nagar Main Rd, Moorthy Nagar, Bharathi Nagar, Padi, Chennai, Tamil Nadu 600050","Moorthy Nagar, Bharathi Nagar, Padi",13.0955152,80.1846419,ChIJGZhJqP5jUjoRwKLqAeISrOA,https://www.google.com/maps/place/?q=place_id:ChIJGZhJqP5jUjoRwKLqAeISrOA,part_373,2026-09-20 20:22:30
AJ FITNESS GYM & suppliment. (unisex),Gym and Fitness Center,Gym,Gym,797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,N/A,N/A,4.7,,"9WX9+X9M, Palar, Bhatar, West Bengal 713125",797121,23.399707,87.918459,ChIJbej808-1-TkR4Sk-bqiKptQ,https://www.google.com/maps/place/?q=place_id:ChIJbej808-1-TkR4Sk-bqiKptQ,part_373,2026-09-20 20:22:30
C2 Fitness & Wellness,Gym and Fitness Center,Gym,"Gym, Fitness center, Nutritionist, Personal trainer, Pilates studio, Weight loss service, Weightlifting area, Wellness center",797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 98400 90068,N/A,4.7,,"New No 314. Old, 29, MKB Nagar West Ave, above Hero Motors and MED World Scans, MKB Nagar, Vyasarpadi, Chennai, Tamil Nadu 600039","MKB Nagar, Mahakavi Bharathi Nagar, Vyasarpadi",13.119174399999999,80.2594752,ChIJWfZ_ICNlUjoRuQsK3GE3aPA,https://www.google.com/maps/place/?q=place_id:ChIJWfZ_ICNlUjoRuQsK3GE3aPA,part_373,2026-09-20 20:22:30
BODY ENGINEER FITNESS STUDIO,Gym and Fitness Center,Fitness center,Fitness center,797121,North Eastern Circle,North Eastern Region,Nagaland Division,High School Junction S.O,+91 73053 35844,http://bodyengineerfitnesstudio.com/,4.9,,"BODY ENGINEER FITNESS STUDIO, NO:65, Yadava St, Moorthy Nagar, Padi, Chennai, Tamil Nadu 600050","Moorthy Nagar, Padi",13.0961422,80.1850968,ChIJF3aqWF9jUjoRWVLkYMiVXi4,https://www.google.com/maps/place/?q=place_id:ChIJF3aqWF9jUjoRWVLkYMiVXi4,part_373,2026-09-20 20:22:30
