business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
jind crane and towing service,Crane and Towing Service,Crane service,Crane service,798601,North Eastern Circle,North Eastern Region,Nagaland Division,"Mokokchung S.O, Aolijen B.O, Arree Old B.O",+91 70156 46567,https://gmbwala.com/jind-crane-and-towing-service/,5.0,162.0,"Ground Floor, Panipat Road, Jind, Haryana 126102",798601,29.3285643,76.3600019,ChIJccp1STAFEjkRZNsIn-A6Ahk,https://www.google.com/maps/place/?q=place_id:ChIJccp1STAFEjkRZNsIn-A6Ahk,part_373,2026-09-20 20:23:12
"Marki Recovery Van Crane Service Jowai, Phramer",Crane and Towing Service,Towing service,Towing service,798601,North Eastern Circle,North Eastern Region,Nagaland Division,"Mokokchung S.O, Aolijen B.O, Arree Old B.O",+91 96122 84720,N/A,5.0,7.0,"Jowai, Phramer, Khliehriāt, Jowai, Meghalaya 793150",798601,25.464931099999998,92.2963386,ChIJ7RSLFzUPUDcR3f_4qCBZ8kU,https://www.google.com/maps/place/?q=place_id:ChIJ7RSLFzUPUDcR3f_4qCBZ8kU,part_373,2026-09-20 20:23:12
Axomotive Roadside Assistance,Crane and Towing Service,Towing service,"Towing service, Service establishment",798601,North Eastern Circle,North Eastern Region,Nagaland Division,"Mokokchung S.O, Aolijen B.O, Arree Old B.O",N/A,N/A,5.0,1.0,"Axomotive Roadside Assistance, 798601, India",798601,21.0680074,82.7525294,ChIJ86JefYTA_KkR3JMKHl8UfIs,https://www.google.com/maps/place/?q=place_id:ChIJ86JefYTA_KkR3JMKHl8UfIs,part_373,2026-09-20 20:23:12
Recovery Van service,Crane and Towing Service,Crane service,Crane service,798601,North Eastern Circle,North Eastern Region,Nagaland Division,"Mokokchung S.O, Aolijen B.O, Arree Old B.O",+91 60021 42336,N/A,5.0,1.0,"NH15 highway, Lengeripara, Mangaldoi, Assam 784125",Lengeripara,26.441153,92.0415941,ChIJHx9uegIdWzcRk_FG18sLz7Q,https://www.google.com/maps/place/?q=place_id:ChIJHx9uegIdWzcRk_FG18sLz7Q,part_373,2026-09-20 20:23:12
Crane Service Hydra,Crane and Towing Service,Crane service,Crane service,798601,North Eastern Circle,North Eastern Region,Nagaland Division,"Mokokchung S.O, Aolijen B.O, Arree Old B.O",+91 60005 08221,N/A,4.7,3.0,"Sipajhar, Assam 784145",798601,26.395716699999998,91.89654499999999,ChIJa150Ddv_WjcRVkitFplK-P0,https://www.google.com/maps/place/?q=place_id:ChIJa150Ddv_WjcRVkitFplK-P0,part_373,2026-09-20 20:23:12
Tias' Automobile,Crane and Towing Service,Metal workshop,Metal workshop,798601,North Eastern Circle,North Eastern Region,Nagaland Division,"Mokokchung S.O, Aolijen B.O, Arree Old B.O",+91 81198 23548,N/A,5.0,3.0,"Church road,tsusapang sector, Mokokchung Village, Nagaland 798601",798601,26.3281372,94.5407874,ChIJzTOYGsupRzcR-euIiRAQDxk,https://www.google.com/maps/place/?q=place_id:ChIJzTOYGsupRzcR-euIiRAQDxk,part_373,2026-09-20 20:23:12
Ajay crane & towing service,Crane and Towing Service,Crane service,Crane service,798601,North Eastern Circle,North Eastern Region,Nagaland Division,"Mokokchung S.O, Aolijen B.O, Arree Old B.O",+91 99286 40576,N/A,4.0,16.0,"Ward no. 1 Deen Dayal Nagar, opp. katewa kirna store, Jhunjhunu, Rajasthan 333001",Pt. Deendayal Nagar,28.1276853,75.3745644,ChIJq73JJ_E5EzkRSJWMh6EXtRU,https://www.google.com/maps/place/?q=place_id:ChIJq73JJ_E5EzkRSJWMh6EXtRU,part_373,2026-09-20 20:23:13
Rajindra Crane Service,Crane and Towing Service,Crane service,Crane service,798601,North Eastern Circle,North Eastern Region,Nagaland Division,"Mokokchung S.O, Aolijen B.O, Arree Old B.O",N/A,N/A,5.0,7.0,"Q52M+F8P, AT Rd, opposite apm gym, Tarajan, Jorhat, Bhatemora Gaon, Assam 785006",Tarajan,26.75121,94.183335,ChIJGbXYAlvDRjcR3Co0gu1WTA4,https://www.google.com/maps/place/?q=place_id:ChIJGbXYAlvDRjcR3Co0gu1WTA4,part_373,2026-09-20 20:23:13
Baruah Crane Service,Crane and Towing Service,Towing service,Towing service,798601,North Eastern Circle,North Eastern Region,Nagaland Division,"Mokokchung S.O, Aolijen B.O, Arree Old B.O",+91 70861 11188,N/A,5.0,1.0,"ward no 7, DK Road, near Baruah Hardware, North Lakhimpur, Assam 787001",798601,27.2356953,94.10734099999999,ChIJ7QInWEg3QTcRDTUoQcQvlek,https://www.google.com/maps/place/?q=place_id:ChIJ7QInWEg3QTcRDTUoQcQvlek,part_373,2026-09-20 20:23:13
Abhi crane service &tuing service,Crane and Towing Service,Crane service,Crane service,798601,North Eastern Circle,North Eastern Region,Nagaland Division,"Mokokchung S.O, Aolijen B.O, Arree Old B.O",N/A,N/A,5.0,2.0,"Tinsukia, Assam 786146",798601,27.4857172,95.3648712,ChIJ05uQO3RrPzcRBH7oP8zhJrE,https://www.google.com/maps/place/?q=place_id:ChIJ05uQO3RrPzcRBH7oP8zhJrE,part_373,2026-09-20 20:23:13
