business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ak Interior Decors,False Ceiling Contractor,Interior Decorator,Interior Decorator,798602,North Eastern Circle,North Eastern Region,Nagaland Division,"Tizit S.O, Namsa B.O, Yannu B.O",+91 75023 46661,https://www.akinteriordecors.com/,,,"190/A Ellapalayam, Periya Semur, Erode, Tamil Nadu 638004",798602,11.359881399999999,77.6729397,ChIJrziTSihpqTsRNKyRZ-AVasA,https://www.google.com/maps/place/?q=place_id:ChIJrziTSihpqTsRNKyRZ-AVasA,part_373,2026-09-20 20:23:50
The Ceiling Guys Inc,False Ceiling Contractor,Contractor,"Contractor, Acoustical consultant, Real Estate Builders & Construction Company, Service establishment",798602,North Eastern Circle,North Eastern Region,Nagaland Division,"Tizit S.O, Namsa B.O, Yannu B.O",N/A,http://www.theceilingguys.net/,4.9,,"The Ceiling Guys Inc, 798602, India",798602,42.6379544,-87.506119,ChIJWdldMW3LD4gRpFKcGg32zRE,https://www.google.com/maps/place/?q=place_id:ChIJWdldMW3LD4gRpFKcGg32zRE,part_373,2026-09-20 20:23:50
SHRI BALAJI TRADERS,False Ceiling Contractor,Gypsum Product Supplier,"Gypsum Product Supplier, Dry wall contractor",798602,North Eastern Circle,North Eastern Region,Nagaland Division,"Tizit S.O, Namsa B.O, Yannu B.O",+91 90430 45321,http://www.shribalajitradersmtp.net/,4.3,,"NORTH, KIKANI SCHOOL BACK GATE, 44, Rangaswamy Road, near SHANKARA EYE HOSPITAL, Sukrawar Pettai, R.S. Puram, Coimbatore, Tamil Nadu 641002","Sukrawar Pettai, R.S. Puram",11.013257099999999,76.9563366,ChIJOQAAAGxYqDsReYnFbw0l9Hc,https://www.google.com/maps/place/?q=place_id:ChIJOQAAAGxYqDsReYnFbw0l9Hc,part_373,2026-09-20 20:23:50
ColourDrive - Home Painting Services,False Ceiling Contractor,Interior designer,"Interior designer, General contractor, Home builder, House cleaning service, Interior Decorator, Painter, Painting, Wallpaper installer, Wallpaper store, Waterproofing service",798602,North Eastern Circle,North Eastern Region,Nagaland Division,"Tizit S.O, Namsa B.O, Yannu B.O",+91 90141 82316,https://www.colourdrive.in/,4.8,864.0,"1st floor, Pavithra Paradise, #26, 1st Cross N, MS Ramaiah City Layout, JP Nagar 7th Phase, Road, Bengaluru, Karnataka 560076","MS Ramaiah City Layout, Raghavendra Layout, JP Nagar 7th Phase, Road",12.8836531,77.5899831,ChIJ2wmM5T8VrjsR-QjQDTdgm34,https://www.google.com/maps/place/?q=place_id:ChIJ2wmM5T8VrjsR-QjQDTdgm34,part_373,2026-09-20 20:23:50
The Living Decor,False Ceiling Contractor,Interior Decorator,Interior Decorator,798602,North Eastern Circle,North Eastern Region,Nagaland Division,"Tizit S.O, Namsa B.O, Yannu B.O",+91 72800 71666,N/A,,,"Ranchi Rd, Bharao Par, Ramchandrapur, Bihar Sharif, Bihar 803101","Bharao Par, Ramchandrapur",25.196768799999997,85.51741109999999,ChIJIVAF4F7z8jkRkx_MPXnpotk,https://www.google.com/maps/place/?q=place_id:ChIJIVAF4F7z8jkRkx_MPXnpotk,part_373,2026-09-20 20:23:50
Bihar ceiling House,False Ceiling Contractor,Ceiling supplier,Ceiling supplier,798602,North Eastern Circle,North Eastern Region,Nagaland Division,"Tizit S.O, Namsa B.O, Yannu B.O",+91 98926 10922,https://biharceilinghouse.co.in/,3.0,6.0,"Kisan College Rd, Sohsarai, Bihar Sharif, Bihar 803118",Sohsarai,25.2205165,85.5077726,ChIJw21CCLKN8jkRmxe7KJjQTgw,https://www.google.com/maps/place/?q=place_id:ChIJw21CCLKN8jkRmxe7KJjQTgw,part_373,2026-09-20 20:23:50
Mars Impex,False Ceiling Contractor,Interior Decorator,"Interior Decorator, Wallpaper store",798602,North Eastern Circle,North Eastern Region,Nagaland Division,"Tizit S.O, Namsa B.O, Yannu B.O",+91 92170 00550,https://marsimpex.in/,4.8,,"Near Nakodar Chowk, Jalandhar - Nakodar Rd, Jalandhar, Punjab 144001","Opp. Khalsa School, Lajpat Nagar",31.3164166,75.571134,ChIJxxhdqvlaGjkRsFl2C4KkBBM,https://www.google.com/maps/place/?q=place_id:ChIJxxhdqvlaGjkRsFl2C4KkBBM,part_373,2026-09-20 20:23:51
BEST FOUNDATION CABIN,False Ceiling Contractor,Manor house,Manor house,798602,North Eastern Circle,North Eastern Region,Nagaland Division,"Tizit S.O, Namsa B.O, Yannu B.O",N/A,N/A,,,"Khandwa Rd, Tejaji Nagar, Indore, Madhya Pradesh 452020",Tejaji Nagar,22.6429601,75.8879949,ChIJuzdEjwj7YjkR2PrtXionU4U,https://www.google.com/maps/place/?q=place_id:ChIJuzdEjwj7YjkR2PrtXionU4U,part_373,2026-09-20 20:23:51
Misht Interior & Co.,False Ceiling Contractor,Interior Decorator,Interior Decorator,798602,North Eastern Circle,North Eastern Region,Nagaland Division,"Tizit S.O, Namsa B.O, Yannu B.O",N/A,http://www.mishtinterior.com/,5.0,,"HOUSE NO 24, Tanda Rd, 23 New Colony, Aman Nagar, Jalandhar, Punjab 144004","23 New Colony, Aman Nagar",31.350024599999998,75.58554339999999,ChIJB8WumLtbGjkRAkpuE2rihSI,https://www.google.com/maps/place/?q=place_id:ChIJB8WumLtbGjkRAkpuE2rihSI,part_373,2026-09-20 20:23:51
Indian False Ceiling,False Ceiling Contractor,Interior designer,"Interior designer, Shower door shop",798602,North Eastern Circle,North Eastern Region,Nagaland Division,"Tizit S.O, Namsa B.O, Yannu B.O",+91 98845 19668,https://www.falseceilingcontractor.com/,4.4,,"Unit 7 , First Floor Commander Business Palace, Raja Ram Mohan Roy Road , Richmond Circle, Bengaluru, Karnataka 560025","Shanthala Nagar, Ashok Nagar",12.970766999999999,77.606151,ChIJFRD9tSoUrjsRNnVKg__huWQ,https://www.google.com/maps/place/?q=place_id:ChIJFRD9tSoUrjsRNnVKg__huWQ,part_373,2026-09-20 20:23:52
