business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
M. N. Flour And Coconut Oil Mills,Flour and Oil Mill,Flour mill,"Flour mill, Store",798602,North Eastern Circle,North Eastern Region,Nagaland Division,"Tizit S.O, Namsa B.O, Yannu B.O",+91 95734 86741,N/A,3.6,,"14-1-211/511, near community hall, Parvath Nagar, Tulasi Nagar, Borabanda, Hyderabad, Telangana 500114","Parvath Nagar, Tulasi Nagar, Borabanda",17.456259499999998,78.3985488,ChIJ-azvSm6RyzsRXEd1NnfRcLc,https://www.google.com/maps/place/?q=place_id:ChIJ-azvSm6RyzsRXEd1NnfRcLc,part_373,2026-09-20 20:24:04
RAMANANDA OIL & FLOUR MILLS KANNUR,Flour and Oil Mill,Flour mill,Flour mill,798602,North Eastern Circle,North Eastern Region,Nagaland Division,"Tizit S.O, Namsa B.O, Yannu B.O",+91 497 270 1025,N/A,4.6,,"South Bazar, Puzhathi Housing Colony, Kannur, Keralam 670002","South Bazar, Puzhathi Housing Colony",11.8782233,75.37485029999999,ChIJezzlRU49pDsRwhlUKg-COKI,https://www.google.com/maps/place/?q=place_id:ChIJezzlRU49pDsRwhlUKg-COKI,part_373,2026-09-20 20:24:04
Shree oil mill,Flour and Oil Mill,Manufacturer,Manufacturer,798602,North Eastern Circle,North Eastern Region,Nagaland Division,"Tizit S.O, Namsa B.O, Yannu B.O",+91 96692 34294,N/A,4.9,,"HQ7C+XM, Bheem Nagar, Bhind, Madhya Pradesh 477001",Bheem Nagar,26.564898,78.77173599999999,ChIJrW12MFR7djkRiNNtcCCg5tE,https://www.google.com/maps/place/?q=place_id:ChIJrW12MFR7djkRiNNtcCCg5tE,part_373,2026-09-20 20:24:05
SD Oil and Flour Mill,Flour and Oil Mill,Flour mill,"Flour mill, Wholesaler",798602,North Eastern Circle,North Eastern Region,Nagaland Division,"Tizit S.O, Namsa B.O, Yannu B.O",N/A,N/A,4.0,,"Main market, Shaktifarm, Uttarakhand 263151",798602,29.009209199999997,79.6489606,ChIJ5UCQ4TJjoDkROzYroF-tzAc,https://www.google.com/maps/place/?q=place_id:ChIJ5UCQ4TJjoDkROzYroF-tzAc,part_373,2026-09-20 20:24:05
Old flour mill,Flour and Oil Mill,Flour mill,Flour mill,798602,North Eastern Circle,North Eastern Region,Nagaland Division,"Tizit S.O, Namsa B.O, Yannu B.O",+91 79956 08902,N/A,5.0,,"Saritha Apartment, Nacharam - Mallapur Rd, Savarkar Nagar, Ram Reddy Colony, Nacharam, Secunderabad, Telangana 500076","Savarkar Nagar, Ram Reddy Colony, Nacharam",17.4339361,78.55091399999999,ChIJt1QjBtqbyzsR9anKlG3VILU,https://www.google.com/maps/place/?q=place_id:ChIJt1QjBtqbyzsR9anKlG3VILU,part_373,2026-09-20 20:24:05
Oil Mill And Flour Mill,Flour and Oil Mill,Flour mill,Flour mill,798602,North Eastern Circle,North Eastern Region,Nagaland Division,"Tizit S.O, Namsa B.O, Yannu B.O",+91 91544 04666,N/A,,,"Shop No 7, ECIL, Anupuram Colony, Kushaiguda, Hyderabad, Secunderabad, Telangana 500062","ECIL, Anupuram Colony, Kushaiguda",17.4755078,78.5631162,ChIJA026AoGbyzsR5LF4NXtizc4,https://www.google.com/maps/place/?q=place_id:ChIJA026AoGbyzsR5LF4NXtizc4,part_373,2026-09-20 20:24:05
Nagalapur oil mill,Flour and Oil Mill,Store,Store,798602,North Eastern Circle,North Eastern Region,Nagaland Division,"Tizit S.O, Namsa B.O, Yannu B.O",N/A,N/A,5.0,,"Kochi galli, Tenginkai Bazaar, Betageri, Pala, Gandhi Peth, Gadag-Betageri, Karnataka 582102","Betageri, Pala, Gandhi Peth",15.443677699999999,75.6468853,ChIJDyYDFwD5uDsRHAGTlCE0_e0,https://www.google.com/maps/place/?q=place_id:ChIJDyYDFwD5uDsRHAGTlCE0_e0,part_373,2026-09-20 20:24:05
Navbharat Oil And Flour Mills,Flour and Oil Mill,Grocery store,Grocery store,798602,North Eastern Circle,North Eastern Region,Nagaland Division,"Tizit S.O, Namsa B.O, Yannu B.O",+91 90124 39788,https://www.navbharatoilandflourmills.in/,5.0,,"Strret, No.4, opp. Modi Bagh, Kailash Colony, Modinagar, Uttar Pradesh 201204",Kailash Colony,28.8191201,77.55934649999999,ChIJVXTTOtT1DDkRMOW5V4SRZfI,https://www.google.com/maps/place/?q=place_id:ChIJVXTTOtT1DDkRMOW5V4SRZfI,part_373,2026-09-20 20:24:05
SRI THANVI HANU FLOUR MILL,Flour and Oil Mill,Flour mill,Flour mill,798602,North Eastern Circle,North Eastern Region,Nagaland Division,"Tizit S.O, Namsa B.O, Yannu B.O",+91 98855 90907,N/A,4.7,,"Ganugapalem, opposite M D Rafi gents beauty parlour, Gadiyaram Vari Veedhi, Bandla Metla, Ongole, Andhra Pradesh 523001","Gadiyaram Vari Veedhi, Bandla Metla",15.505904699999999,80.0486578,ChIJT11GzlUBSzoRRy8gsT6kdCY,https://www.google.com/maps/place/?q=place_id:ChIJT11GzlUBSzoRRy8gsT6kdCY,part_373,2026-09-20 20:24:05
Agra Roller Flour Mills,Flour and Oil Mill,Flour mill,Flour mill,798602,North Eastern Circle,North Eastern Region,Nagaland Division,"Tizit S.O, Namsa B.O, Yannu B.O",+91 98370 89282,http://www.agraroller.com/,3.9,,"Sikandra, Lakhanpur, Uttar Pradesh 282007",Sikandra,27.220224299999998,77.9215688,ChIJHXCgxfuHczkRZ_XAIfAJvpE,https://www.google.com/maps/place/?q=place_id:ChIJHXCgxfuHczkRZ_XAIfAJvpE,part_373,2026-09-20 20:24:05
