business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Pradip Cycle Mart,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,798604,North Eastern Circle,North Eastern Region,Nagaland Division,"Mongkholemba S.O, Alungkima B.O, Alungtaki B.O",+91 96785 56826,N/A,5.0,1.0,"000 Namti, Bangali Gaon, Namti Bangali, Assam 785684",798604,26.7850953,94.6094631,ChIJ-7VKeY09RzcR7a7r8AhHhyE,https://www.google.com/maps/place/?q=place_id:ChIJ-7VKeY09RzcR7a7r8AhHhyE,part_373,2026-09-20 20:24:55
Baruah Cycle Store,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,798604,North Eastern Circle,North Eastern Region,Nagaland Division,"Mongkholemba S.O, Alungkima B.O, Alungtaki B.O",+91 93652 48752,N/A,4.4,8.0,"Kharikatia, Dhodar Ali Rd, Kharikatia Grant, Assam 785633",798604,26.618367499999998,94.2625786,ChIJoyltS8blRjcR6r1oiyV9yoc,https://www.google.com/maps/place/?q=place_id:ChIJoyltS8blRjcR6r1oiyV9yoc,part_373,2026-09-20 20:24:55
Ali Cycle Mart,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Bicycle repair shop",798604,North Eastern Circle,North Eastern Region,Nagaland Division,"Mongkholemba S.O, Alungkima B.O, Alungtaki B.O",N/A,N/A,4.6,9.0,"N B Road, Chariali, Borholla, Assam 785631",Chariali,26.4482911,94.1314362,ChIJt99G2qP1RjcRuDtSS09SLpA,https://www.google.com/maps/place/?q=place_id:ChIJt99G2qP1RjcRuDtSS09SLpA,part_373,2026-09-20 20:24:55
PG CYCLE REPAIRING HUB,Bicycle Shop and Repair,Auto repair shop,Auto repair shop,798604,North Eastern Circle,North Eastern Region,Nagaland Division,"Mongkholemba S.O, Alungkima B.O, Alungtaki B.O",N/A,N/A,5.0,1.0,"P743+M84, BHAGDHORA,CARIALI, ONGC Colony, Cinnamara, Jorhat CD Block Part, Jorhat, Assam 785704","ONGC Colony, Cinnamara",26.7066402,94.2533321,ChIJNRAyAADnRjcR3_HqF2VSTPU,https://www.google.com/maps/place/?q=place_id:ChIJNRAyAADnRjcR3_HqF2VSTPU,part_373,2026-09-20 20:24:55
Riyan Mobile & Cycle Repair Shop,Bicycle Shop and Repair,Bicycle repair shop,"Bicycle repair shop, Phone repair service",798604,North Eastern Circle,North Eastern Region,Nagaland Division,"Mongkholemba S.O, Alungkima B.O, Alungtaki B.O",+91 81330 70544,N/A,5.0,4.0,"nagabat rd, chinamara, Titabor Tangia, Sukanjun, Assam 785631",chinamara,26.3837427,94.1348737,ChIJhTgrZET1RjcRscPWzPEfelc,https://www.google.com/maps/place/?q=place_id:ChIJhTgrZET1RjcRscPWzPEfelc,part_373,2026-09-20 20:24:55
Kulo Bike Repairing Centre,Bicycle Shop and Repair,Motorcycle shop,Motorcycle shop,798604,North Eastern Circle,North Eastern Region,Nagaland Division,"Mongkholemba S.O, Alungkima B.O, Alungtaki B.O",+91 88118 66567,N/A,5.0,2.0,"Kamar Bandha Road Charaibahi, Tiniali, Jorhat, Assam 785004",Tiniali,26.693912299999997,94.1647143,ChIJHwr0RMLpRjcRz6KIaaMB_4U,https://www.google.com/maps/place/?q=place_id:ChIJHwr0RMLpRjcRz6KIaaMB_4U,part_373,2026-09-20 20:24:55
SD MOTORS,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Two Wheeler Repair Shop",798604,North Eastern Circle,North Eastern Region,Nagaland Division,"Mongkholemba S.O, Alungkima B.O, Alungtaki B.O",+91 86386 68962,N/A,5.0,3.0,"Gar Ali Rd, Maz Gaon, Rupnagar, Jorhat CD Block Part, Assam 785008",Maz Gaon,26.717289899999997,94.2321899,ChIJnaTr0ibpRjcRS4E7_4UcTOs,https://www.google.com/maps/place/?q=place_id:ChIJnaTr0ibpRjcRS4E7_4UcTOs,part_373,2026-09-20 20:24:55
Ghosh Cycle Store,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,798604,North Eastern Circle,North Eastern Region,Nagaland Division,"Mongkholemba S.O, Alungkima B.O, Alungtaki B.O",+91 70020 50966,N/A,5.0,10.0,"Na Ali, Lichubari, Jorhat, Chekonidhara, Assam 785008",Lichubari,26.7260127,94.2132376,ChIJXVuSJLzpRjcR1xQeCC-NjM8,https://www.google.com/maps/place/?q=place_id:ChIJXVuSJLzpRjcR1xQeCC-NjM8,part_373,2026-09-20 20:24:55
Mr. SADDLE,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,798604,North Eastern Circle,North Eastern Region,Nagaland Division,"Mongkholemba S.O, Alungkima B.O, Alungtaki B.O",+91 99543 15563,N/A,4.8,,"BOC Gate to AGCL Gate road, Duliajan, Assam 786602",Central Namghar,27.347703799999998,95.31793909999999,ChIJg48e4IxHPzcRnBEoMzJ7KuI,https://www.google.com/maps/place/?q=place_id:ChIJg48e4IxHPzcRnBEoMzJ7KuI,part_373,2026-09-20 20:24:56
GANARAJ CYCLE MART (TATA STRYDER),Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,798604,North Eastern Circle,North Eastern Region,Nagaland Division,"Mongkholemba S.O, Alungkima B.O, Alungtaki B.O",+91 89743 37482,N/A,4.3,,"Ganaraj Chowmuhani, opposite Jyotsna petrol pump, Indranagar, Agartala, Tripura 799001",Indranagar,23.834474699999998,91.28699309999999,ChIJGcADyiH1UzcRkvtk9t2UoDM,https://www.google.com/maps/place/?q=place_id:ChIJGcADyiH1UzcRkvtk9t2UoDM,part_373,2026-09-20 20:24:56
"Stryder Experience Centre - Ganaraj Chowmuhani, Agartala",Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Bicycle wholesaler",798604,North Eastern Circle,North Eastern Region,Nagaland Division,"Mongkholemba S.O, Alungkima B.O, Alungtaki B.O",+91 80 3753 7957,https://dealers.stryderbikes.com/cycle-shop/agartala/Ganaraj-Chowmuhani/stryder-experience-centre-ganaraj-cycle-mart-in-Ganaraj-Chowmuhani-agartala--3y0ID0/home,4.9,,"Ganaraj Cycle Mart, Ganaraj Chowmuhani, Road, opposite Indian Oil Petrol Pump, Banamalipur, Indiranagar, Agartala, Tripura 799001","Banamalipur, Indiranagar",23.8344864,91.286981,ChIJS5luA9n1UzcRORLE0Fz7Pq4,https://www.google.com/maps/place/?q=place_id:ChIJS5luA9n1UzcRORLE0Fz7Pq4,part_373,2026-09-20 20:24:56
Guwahati Bicycle Rentals,Bicycle Shop and Repair,Bicycle rental service,Bicycle rental service,798604,North Eastern Circle,North Eastern Region,Nagaland Division,"Mongkholemba S.O, Alungkima B.O, Alungtaki B.O",N/A,N/A,4.6,,"Spokehub Cycling, VIP Rd, opposite Doordarshan Colony, Borbari, Guwahati, Assam 781036",Borbari,26.1487822,91.8118604,ChIJT1UvDsxYWjcRcVxPsjaUCPw,https://www.google.com/maps/place/?q=place_id:ChIJT1UvDsxYWjcRcVxPsjaUCPw,part_373,2026-09-20 20:24:56
Jaipur Cycle Hub - Cycle Shop(wholesale),Bicycle Shop and Repair,Bicycle wholesaler,"Bicycle wholesaler, Bicycle repair shop, Bicycle Shop, Electric bicycle store",798604,North Eastern Circle,North Eastern Region,Nagaland Division,"Mongkholemba S.O, Alungkima B.O, Alungtaki B.O",+91 95494 04040,https://www.jaipurcyclehub.com/,4.9,,"Mall Rd, near Bansal furniture, Sector-3, Ambabari, Naya Khera, Vidyadhar Nagar, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302039","Sector-3, Ambabari, Naya Khera, Vidyadhar Nagar",26.9492546,75.7776495,ChIJ42Zc1wCzbTkR72rXyI4p768,https://www.google.com/maps/place/?q=place_id:ChIJ42Zc1wCzbTkR72rXyI4p768,part_373,2026-09-20 20:24:56
MAINA BIKE REPAIRING CENTER,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,798604,North Eastern Circle,North Eastern Region,Nagaland Division,"Mongkholemba S.O, Alungkima B.O, Alungtaki B.O",+91 95771 43106,N/A,,,"Titabar20q Mxn, To, Titabor, Assam 785630",798604,26.6081549,94.2241748,ChIJ9QBxG77vRjcRhFJYbKN8vtQ,https://www.google.com/maps/place/?q=place_id:ChIJ9QBxG77vRjcRhFJYbKN8vtQ,part_373,2026-09-20 20:24:57
The Nellai Bike Store,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,798604,North Eastern Circle,North Eastern Region,Nagaland Division,"Mongkholemba S.O, Alungkima B.O, Alungtaki B.O",+91 95006 40117,N/A,4.9,,"Plot C1,2, NDS Nagar, Reddiarpatti, Tirunelveli, Tamil Nadu 627007","NDS Nagar, Reddiarpatti",8.667701899999999,77.7286812,ChIJkZKxk8ITBDsRWXtgUMiJkAI,https://www.google.com/maps/place/?q=place_id:ChIJkZKxk8ITBDsRWXtgUMiJkAI,part_373,2026-09-20 20:24:57
J.H. Cycle Store,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,798604,North Eastern Circle,North Eastern Region,Nagaland Division,"Mongkholemba S.O, Alungkima B.O, Alungtaki B.O",+91 98640 72846,N/A,3.9,,"Basistha Rd, Near - Nakshatra Hotel, Beltola Tiniali, Guwahati, Assam 781028",Beltola Tiniali,26.121900399999998,91.798681,ChIJiVfafxFfWjcRvgFnR_NeAdI,https://www.google.com/maps/place/?q=place_id:ChIJiVfafxFfWjcRvgFnR_NeAdI,part_373,2026-09-20 20:24:57
