business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Pest ' N' Green Care Agro Services,Fertilizer and Pesticide Dealer,Agricultural service,Agricultural service,798615,North Eastern Circle,North Eastern Region,Nagaland Division,"Impur S.O, Kubulong B.O, Longchang B.O",+91 98411 45897,N/A,3.1,53.0,"Shop No.35, L.M:MARUNDHEESWARAR TEMPLE NEXT SIGNAL, 7, SH 49, Lalitha Nagar, Thiruvanmiyur, Chennai, Tamil Nadu 600041","Lalitha Nagar, Thiruvanmiyur",12.983381,80.2595754,ChIJ33jaDFxdUjoRjXUosBhfVbk,https://www.google.com/maps/place/?q=place_id:ChIJ33jaDFxdUjoRjXUosBhfVbk,part_373,2026-09-20 20:28:53
Agro Centre,Fertilizer and Pesticide Dealer,Fertilizer Store,"Fertilizer Store, Supplier",798615,North Eastern Circle,North Eastern Region,Nagaland Division,"Impur S.O, Kubulong B.O, Longchang B.O",+91 82816 02375,N/A,3.5,19.0,"GWPR+RJ5, Pananvila Junction, Nalanchira, Parottukonam, Thiruvananthapuram, Keralam 695015","Pananvila Junction, Nalanchira, Parottukonam",8.5370156,76.94161849999999,ChIJy03eG2i5BTsRzHkJlr4mxuw,https://www.google.com/maps/place/?q=place_id:ChIJy03eG2i5BTsRzHkJlr4mxuw,part_373,2026-09-20 20:28:53
K R AGRO TRADING,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,798615,North Eastern Circle,North Eastern Region,Nagaland Division,"Impur S.O, Kubulong B.O, Longchang B.O",+91 97448 51864,N/A,4.6,65.0,"Main Road, Karamana Junction, Karamana, Thiruvananthapuram, Keralam 695002","Karamana Junction, Karamana",8.4814987,76.96823069999999,ChIJAQ65Fv-6BTsRz4xGF0JogLw,https://www.google.com/maps/place/?q=place_id:ChIJAQ65Fv-6BTsRz4xGF0JogLw,part_373,2026-09-20 20:28:53
Parul Fertilizers Company,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,798615,North Eastern Circle,North Eastern Region,Nagaland Division,"Impur S.O, Kubulong B.O, Longchang B.O",+91 97594 90290,N/A,4.5,34.0,"Nainital Rd, Baheri, Uttar Pradesh 243201",798615,28.770595699999998,79.4971973,ChIJa3beePVxoDkRnC2kPB7C3bg,https://www.google.com/maps/place/?q=place_id:ChIJa3beePVxoDkRnC2kPB7C3bg,part_373,2026-09-20 20:28:53
Vinayak Agro Company,Fertilizer and Pesticide Dealer,Store,Store,798615,North Eastern Circle,North Eastern Region,Nagaland Division,"Impur S.O, Kubulong B.O, Longchang B.O",N/A,N/A,4.4,92.0,"Ganesh Colony, C-4, Varachha Main Rd, opp. Hans Society, Vallabhnagar Society, Varachha, Surat, Gujarat 395006","Vallabhnagar Society, Varachha",21.2117059,72.8549042,ChIJ_VDzNNBP4DsRU9t49tIZ_Us,https://www.google.com/maps/place/?q=place_id:ChIJ_VDzNNBP4DsRU9t49tIZ_Us,part_373,2026-09-20 20:28:53
Athithan Fertilizers,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,798615,North Eastern Circle,North Eastern Region,Nagaland Division,"Impur S.O, Kubulong B.O, Longchang B.O",+91 63830 23185,N/A,4.6,44.0,"126, GNT Rd, Red Hills, Pullilyon, Tamil Nadu 600052",Red Hills,13.189700799999999,80.1874833,ChIJb0AYY6B8UjoRD7BcPUnwH8w,https://www.google.com/maps/place/?q=place_id:ChIJb0AYY6B8UjoRD7BcPUnwH8w,part_373,2026-09-20 20:28:53
Ayushman Fertilizers Pvt. Ltd.,Fertilizer and Pesticide Dealer,Corporate office,"Corporate office, Fertilizer Store",798615,North Eastern Circle,North Eastern Region,Nagaland Division,"Impur S.O, Kubulong B.O, Longchang B.O",+91 98370 03603,N/A,4.4,14.0,"Civil Lines, Bareilly, Uttar Pradesh 243001",Civil Lines,28.3559439,79.4204986,ChIJNYRnbysHoDkR6uaV656OBOI,https://www.google.com/maps/place/?q=place_id:ChIJNYRnbysHoDkR6uaV656OBOI,part_373,2026-09-20 20:28:53
KRISHI KHAD BEEJ BHANDAR,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,798615,North Eastern Circle,North Eastern Region,Nagaland Division,"Impur S.O, Kubulong B.O, Longchang B.O",+91 81714 93484,N/A,5.0,2.0,"39, Chidderwala, Uttarakhand 249206",798615,30.078537599999997,78.1942305,ChIJCzhIEdY5CTkRs1LH8U0OVrY,https://www.google.com/maps/place/?q=place_id:ChIJCzhIEdY5CTkRs1LH8U0OVrY,part_373,2026-09-20 20:28:53
Modern Insecticides Ltd,Fertilizer and Pesticide Dealer,Agrochemicals Supplier,"Agrochemicals Supplier, Chemical Manufacturer",798615,North Eastern Circle,North Eastern Region,Nagaland Division,"Impur S.O, Kubulong B.O, Longchang B.O",+91 161 504 3900,https://www.milworld.co/,2.1,7.0,"30-A, Ishmeet Singh Chowk, adj. Archies Gallery, Shastri Nagar, Model Town, Ludhiana, Punjab 141002","Shastri Nagar, Model Town",30.8896086,75.8312753,ChIJJ6OzRLWDGjkRkGmNWg7FqZw,https://www.google.com/maps/place/?q=place_id:ChIJJ6OzRLWDGjkRkGmNWg7FqZw,part_373,2026-09-20 20:28:53
Sevni Seva Sahkari Mandli Khatar & Hardware Vibhag,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,798615,North Eastern Circle,North Eastern Region,Nagaland Division,"Impur S.O, Kubulong B.O, Longchang B.O",N/A,N/A,4.4,162.0,"Near, chokdi, Sevni, Gujarat 394320",798615,21.2238459,73.0670545,ChIJ6UqnfIpC4DsRa0duV4Y_4WA,https://www.google.com/maps/place/?q=place_id:ChIJ6UqnfIpC4DsRa0duV4Y_4WA,part_373,2026-09-20 20:28:53
