business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shalimar biryani and Tawa fry,Non-Veg Biryani Restaurant,Non Vegetarian Restaurant,"Non Vegetarian Restaurant, Chicken restaurant, Takeout restaurant, Indian restaurant",798615,North Eastern Circle,North Eastern Region,Nagaland Division,"Impur S.O, Kubulong B.O, Longchang B.O",+91 98792 21010,N/A,4.1,577.0,"nr. Gymkhana Road, Sultaniya, Rander, Surat, Gujarat 395005","Sultaniya, Rander",21.2172034,72.79877359999999,ChIJiU5jhiFM4DsRKWanE7HeB8E,https://www.google.com/maps/place/?q=place_id:ChIJiU5jhiFM4DsRKWanE7HeB8E,part_373,2026-09-20 20:28:21
Bollywood Biryani Company,Non-Veg Biryani Restaurant,Non Vegetarian Restaurant,"Non Vegetarian Restaurant, Chicken restaurant, Indian restaurant, North Indian restaurant",798615,North Eastern Circle,North Eastern Region,Nagaland Division,"Impur S.O, Kubulong B.O, Longchang B.O",+91 70390 23000,http://bollywoodbiryani.co.in/,4.4,713.0,"G - 27, Safal Square, University Rd, opposite Prime Shoppers, Vesu, Surat, Gujarat 395007",Vesu,21.1485572,72.76565769999999,ChIJ6chiaIdN4DsRP2s7vIoEKh4,https://www.google.com/maps/place/?q=place_id:ChIJ6chiaIdN4DsRP2s7vIoEKh4,part_373,2026-09-20 20:28:21
Bendys Kitchen,Non-Veg Biryani Restaurant,Biryani restaurant,"Biryani restaurant, Indian restaurant",798615,North Eastern Circle,North Eastern Region,Nagaland Division,"Impur S.O, Kubulong B.O, Longchang B.O",+91 94268 06096,https://bendyskitchen.com/,4.6,1313.0,"a-7 vishakha park, opp Nene Clinic,, Rajesh Tower Rd, Gotri, Vadodara, Gujarat 390021","Suraj Society, Gotri",22.318092699999998,73.1488553,ChIJnRz_zpLIXzkRR5Kg2pblMCs,https://www.google.com/maps/place/?q=place_id:ChIJnRz_zpLIXzkRR5Kg2pblMCs,part_373,2026-09-20 20:28:21
Kohinoor Chicken Biryani And Tawa Fry,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,798615,North Eastern Circle,North Eastern Region,Nagaland Division,"Impur S.O, Kubulong B.O, Longchang B.O",+91 99252 76099,N/A,4.6,40.0,"Althan - Sarsana Rd, Surat, Gujarat 395007",798615,21.139478999999998,72.8008825,ChIJfYVjjA9T4DsRtDa8B_wCNVs,https://www.google.com/maps/place/?q=place_id:ChIJfYVjjA9T4DsRtDa8B_wCNVs,part_373,2026-09-20 20:28:21
BIRYANI PALACE,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,798615,North Eastern Circle,North Eastern Region,Nagaland Division,"Impur S.O, Kubulong B.O, Longchang B.O",+91 91575 98554,N/A,3.9,213.0,"Shop no G 8 Alisha enclave, near start bazar, Jalaram Society, Adajan Gam, Adajan, Surat, Gujarat 395009","Jalaram Society, Adajan Gam, Adajan",21.1871445,72.7945089,ChIJCRCpBLJN4DsRqNQQzFAAMmE,https://www.google.com/maps/place/?q=place_id:ChIJCRCpBLJN4DsRqNQQzFAAMmE,part_373,2026-09-20 20:28:21
Biryani Bhojanam,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,798615,North Eastern Circle,North Eastern Region,Nagaland Division,"Impur S.O, Kubulong B.O, Longchang B.O",N/A,N/A,4.0,143.0,"38/5 Mullur Village, B.B, Hobli, Varthur, M.P East, Bengaluru, Karnataka 560035","Varthur, M.P East",12.8981023,77.7210181,ChIJ681uGQATrjsRyJ76rBL7fJw,https://www.google.com/maps/place/?q=place_id:ChIJ681uGQATrjsRyJ76rBL7fJw,part_373,2026-09-20 20:28:21
Chhote Miyan Restaurant,Non-Veg Biryani Restaurant,Non Vegetarian Restaurant,"Non Vegetarian Restaurant, Barbecue restaurant",798615,North Eastern Circle,North Eastern Region,Nagaland Division,"Impur S.O, Kubulong B.O, Longchang B.O",N/A,N/A,3.9,1472.0,"Shop No.2, Ground Floor, Jangbarwala Plaza, Navapura Karwa Rd, below Dr. Jangbarwala's Clinic, Zampa Bazaar, Begampura, Surat, Gujarat 395003","Zampa Bazaar, Begampura",21.1961029,72.8325823,ChIJmbxk8V5O4DsRE5QToJxu1Hk,https://www.google.com/maps/place/?q=place_id:ChIJmbxk8V5O4DsRE5QToJxu1Hk,part_373,2026-09-20 20:28:21
Lazeez Veg and Non Veg Restaurant,Non-Veg Biryani Restaurant,Indian restaurant,Indian restaurant,798615,North Eastern Circle,North Eastern Region,Nagaland Division,"Impur S.O, Kubulong B.O, Longchang B.O",+91 80546 30052,N/A,3.2,29.0,"Booth No 65, Hig Market, near Lovely Sweets, Jamalpur, Ludhiana, Punjab 141003",Jamalpur,30.8970368,75.906526,ChIJ1eeeHNacGjkREUUR1fsc05c,https://www.google.com/maps/place/?q=place_id:ChIJ1eeeHNacGjkREUUR1fsc05c,part_373,2026-09-20 20:28:21
Indian Chicken Express - Biryani | Best Non Veg Restaurant | Authentic Punjabi Restaurant,Non-Veg Biryani Restaurant,Non Vegetarian Restaurant,"Non Vegetarian Restaurant, Biryani restaurant, Chinese restaurant, Diner, Fine dining restaurant, Mughlai restaurant, North Indian restaurant, Punjabi restaurant, Restaurant, Vegetarian restaurant",798615,North Eastern Circle,North Eastern Region,Nagaland Division,"Impur S.O, Kubulong B.O, Longchang B.O",+91 94279 33607,https://www.instagram.com/indianchickenexpress?igsh=NjRoOHVqZW9hM3Bv%20;,4.5,285.0,"Shop no 14, safal square, Udhna, Udhana - Magdalla Rd, opp. prime shoppers, Vesu, Surat, Gujarat 395007",Vesu,21.148386499999997,72.7654933,ChIJ_WhNd8dP4DsR-NKG5hGlnoY,https://www.google.com/maps/place/?q=place_id:ChIJ_WhNd8dP4DsR-NKG5hGlnoY,part_373,2026-09-20 20:28:21
Arun's Biryani,Non-Veg Biryani Restaurant,Biryani restaurant,Biryani restaurant,798615,North Eastern Circle,North Eastern Region,Nagaland Division,"Impur S.O, Kubulong B.O, Longchang B.O",+91 88665 08712,N/A,4.0,224.0,"Ground floor, Lotus Elite Complex, shop no, 06 & 07, Gotri - Sevasi Rd, Gotri, Gujarat 390021","Chandramauleshwar Nagar, Gotri",22.3160117,73.1304135,ChIJE_KIdTHJXzkRZu_zuNmf5iY,https://www.google.com/maps/place/?q=place_id:ChIJE_KIdTHJXzkRZu_zuNmf5iY,part_373,2026-09-20 20:28:21
