business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sachin Electronics,Furniture Showroom,Furniture store,Furniture store,798622,North Eastern Circle,North Eastern Region,Nagaland Division,"Naginimora S.O, Baranamsang B.O, Kongon B.O",+91 98620 15682,N/A,,,"Shop No 6 , Bihubor , Bihubor , Near By Police Station , Sivsager ,assam Nagnimara, Rd, Bihubor, Assam 785687",798622,26.835972899999998,94.8017003,ChIJ8cShInxHRzcRwFiTbfPuCoo,https://www.google.com/maps/place/?q=place_id:ChIJ8cShInxHRzcRwFiTbfPuCoo,part_373,2026-09-20 20:32:18
Lengibor,Furniture Showroom,Furniture store,Furniture store,798622,North Eastern Circle,North Eastern Region,Nagaland Division,"Naginimora S.O, Baranamsang B.O, Kongon B.O",N/A,N/A,,,"Unnamed Road, Lengibor Grant, Assam 785687",798622,26.886855999999998,94.8374769,ChIJ06VgF0dFRzcRpnTnLEPtr-8,https://www.google.com/maps/place/?q=place_id:ChIJ06VgF0dFRzcRpnTnLEPtr-8,part_373,2026-09-20 20:32:18
Hana Fanishar,Furniture Showroom,Furniture store,Furniture store,798622,North Eastern Circle,North Eastern Region,Nagaland Division,"Naginimora S.O, Baranamsang B.O, Kongon B.O",+91 70027 99058,N/A,,,"Sontok, Sontok Grant, Assam 785687",798622,26.8553648,94.8027343,ChIJCRvjt1FHRzcRSgZQYDEDewU,https://www.google.com/maps/place/?q=place_id:ChIJCRvjt1FHRzcRSgZQYDEDewU,part_373,2026-09-20 20:32:18
Raidongia Wellding Work Shope,Furniture Showroom,Furniture store,Furniture store,798622,North Eastern Circle,North Eastern Region,Nagaland Division,"Naginimora S.O, Baranamsang B.O, Kongon B.O",+91 78968 53971,N/A,,,"Raidongia Wellding Shope, Gelakey, Asalabari Gaon, Assam 785696",798622,26.826382199999998,94.7412442,ChIJPcNXOOVHRzcRwLb-dQSUjA4,https://www.google.com/maps/place/?q=place_id:ChIJPcNXOOVHRzcRwLb-dQSUjA4,part_373,2026-09-20 20:32:18
Modern Home Furnishings,Furniture Showroom,Furniture Manufacturer,"Furniture Manufacturer, Furniture wholesaler, Office furniture store",798622,North Eastern Circle,North Eastern Region,Nagaland Division,"Naginimora S.O, Baranamsang B.O, Kongon B.O",+91 88221 08416,http://www.modernfurnishings.in/,4.6,,"By-pass Road, Doboka, PO Doboka, Hojai, Assam 782440",798622,26.117868299999998,92.8670813,ChIJd3NOhVoRRTcRqAx0y9L3rA4,https://www.google.com/maps/place/?q=place_id:ChIJd3NOhVoRRTcRqAx0y9L3rA4,part_373,2026-09-20 20:32:19
"Interio by Godrej - Furniture and Mattress Store in Shillong Patty, Silchar",Furniture Showroom,Furniture store,"Furniture store, Furniture maker, Home goods store",798622,North Eastern Circle,North Eastern Region,Nagaland Division,"Naginimora S.O, Baranamsang B.O, Kongon B.O",+91 82914 88712,https://stores.interio.com/interio-by-godrej-furniture-and-mattress-store-in-shillong-patty-silchar-m-k-choudhury-sons-home-furniture-shop-shillong-patty-silchar-311617/Home?utm_source=locator&utm_medium=googleplaces,4.9,,"Ground Floor, Shyama Prasad Road, Shillong Patty, opposite Women College, Nazirpatty, Ambicapatty, Silchar, Assam 788001","Nazirpatty, Ambicapatty",24.824278699999997,92.79812319999999,ChIJfZe7F_5LTjcRYd5IB1jHgFM,https://www.google.com/maps/place/?q=place_id:ChIJfZe7F_5LTjcRYd5IB1jHgFM,part_373,2026-09-20 20:32:19
B.G Furnico,Furniture Showroom,Furniture store,Furniture store,798622,North Eastern Circle,North Eastern Region,Nagaland Division,"Naginimora S.O, Baranamsang B.O, Kongon B.O",+91 84739 38121,N/A,4.7,,"A.T Road, Haibargaon, Nagaon, Assam 782001",Haibargaon,26.3498079,92.67898699999999,ChIJyRctkvgnRTcRla0LSftLz7w,https://www.google.com/maps/place/?q=place_id:ChIJyRctkvgnRTcRla0LSftLz7w,part_373,2026-09-20 20:32:19
Godrej Interio,Furniture Showroom,Furniture store,"Furniture store, Furniture maker, Home goods store",798622,North Eastern Circle,North Eastern Region,Nagaland Division,"Naginimora S.O, Baranamsang B.O, Kongon B.O",+91 84739 38121,https://interio.com/,4.8,,"Ground AT, Road, near ADP Road, Haibargaon, Nagaon, Assam 782001",Haibargaon,26.3498231,92.6789036,ChIJ3QTsQyYnRTcRKPaMuw5QSXU,https://www.google.com/maps/place/?q=place_id:ChIJ3QTsQyYnRTcRKPaMuw5QSXU,part_373,2026-09-20 20:32:19
Shree Maruti Furniture Mart,Furniture Showroom,Furniture store,Furniture store,798622,North Eastern Circle,North Eastern Region,Nagaland Division,"Naginimora S.O, Baranamsang B.O, Kongon B.O",+91 86380 83768,N/A,4.6,,"GS Rd, Near Old Post Office, Near Axis Bank, Christian Basti, Guwahati, Assam 781005","Near Old Post Office, Near Axis Bank, Christian Basti",26.1592017,91.7745554,ChIJoZpIkxJZWjcRlWCC1fX8xow,https://www.google.com/maps/place/?q=place_id:ChIJoZpIkxJZWjcRlWCC1fX8xow,part_373,2026-09-20 20:32:19
AGARWAL FURNICO,Furniture Showroom,Furniture store,Furniture store,798622,North Eastern Circle,North Eastern Region,Nagaland Division,"Naginimora S.O, Baranamsang B.O, Kongon B.O",+91 3672 223 204,N/A,4.0,43.0,"B.G TOWER, RRB Rd, Haibargaon, Nagaon, Assam 782001",Haibargaon,26.3500844,92.6770202,ChIJ164Tz-EmRTcR-rLmkS9bmas,https://www.google.com/maps/place/?q=place_id:ChIJ164Tz-EmRTcR-rLmkS9bmas,part_373,2026-09-20 20:32:20
