business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
LAXMI SECURITY SYSTEM | CCTV DEALERS,CCTV Installation and Security System,Security system supplier,Security system supplier,799001,North Eastern Circle,Shillong HQ Region,Agartala Division,"Agartala H.O, Agartala Bazar S.O, Agartala Court S.O",+91 85880 53645,http://laxmisecuritysystem.in/,4.4,26,"Ker Chowmuhani, Krishna Nagar, Agartala, Tripura 799001",Krishna Nagar,23.8341845,91.2700686,ChIJE94jdrX1UzcRKnVy8ETUXYQ,https://www.google.com/maps/place/?q=place_id:ChIJE94jdrX1UzcRKnVy8ETUXYQ,part_373,2026-09-20 20:34:48
Cp Plus cctv Distributor Agartala,CCTV Installation and Security System,Computer store,Computer store,799001,North Eastern Circle,Shillong HQ Region,Agartala Division,"Agartala H.O, Agartala Bazar S.O, Agartala Court S.O",N/A,N/A,5.0,3,"Surochi market, Dhaleswar, Agartala, Tripura 799001",Dhaleswar,23.8263833,91.2817927,ChIJhSAxyAb1UzcRMqIwkKxVTNA,https://www.google.com/maps/place/?q=place_id:ChIJhSAxyAb1UzcRMqIwkKxVTNA,part_373,2026-09-20 20:34:48
SECUREFLAME FIRE SYSTEMS PRIVATE LIMITED,CCTV Installation and Security System,Fire protection system supplier,"Fire protection system supplier, Fire protection consultant, Fire protection service",799001,North Eastern Circle,Shillong HQ Region,Agartala Division,"Agartala H.O, Agartala Bazar S.O, Agartala Court S.O",N/A,https://www.secureflame.in/,5.0,16,"Colonel Mahim Thakur Sarani, Krishna Nagar, Agartala, Tripura 799001",Krishna Nagar,23.8361604,91.279637,ChIJky8VoQbWrUwRqdAWALzmKgo,https://www.google.com/maps/place/?q=place_id:ChIJky8VoQbWrUwRqdAWALzmKgo,part_373,2026-09-20 20:34:48
SuperSecureSystem,CCTV Installation and Security System,Security system installation service,"Security system installation service, Computer security service, GPS supplier, Security service, Electronics Company, Software company, Transportation service",799001,North Eastern Circle,Shillong HQ Region,Agartala Division,"Agartala H.O, Agartala Bazar S.O, Agartala Court S.O",+91 92333 02730,https://www.supersecuresystem.com/,4.1,84,"Tripura North, Lake chowmohani road, near DWS office, Banamalipur, Indranagar, Agartala, Tripura 799001","Banamalipur, Indranagar",23.8412956,91.2848432,ChIJcUUSF5X2UzcRIurDZNCzCdk,https://www.google.com/maps/place/?q=place_id:ChIJcUUSF5X2UzcRIurDZNCzCdk,part_373,2026-09-20 20:34:48
Intelligent and Security Services,CCTV Installation and Security System,Security guard service,Security guard service,799001,North Eastern Circle,Shillong HQ Region,Agartala Division,"Agartala H.O, Agartala Bazar S.O, Agartala Court S.O",+91 81199 32534,https://www.intelligentandsecurityservices.com/,4.9,40,"Rd Number 3, Ram Nagar, Agartala, Tripura 799002",Ram Nagar,23.835646699999998,91.26651129999999,ChIJG5fG2h31UzcRJYS7W_sXr2Q,https://www.google.com/maps/place/?q=place_id:ChIJG5fG2h31UzcRJYS7W_sXr2Q,part_373,2026-09-20 20:34:48
SS Technologies,CCTV Installation and Security System,Camera store,Camera store,799001,North Eastern Circle,Shillong HQ Region,Agartala Division,"Agartala H.O, Agartala Bazar S.O, Agartala Court S.O",+91 97748 50852,N/A,5.0,1,"East, police station road, near Ganaraj Chowmuhani trafic point, Indranagar, Agartala, Tripura 799001",Indranagar,23.8334251,91.28680829999999,ChIJ0VB0A7H1UzcRU-0-OYK97dY,https://www.google.com/maps/place/?q=place_id:ChIJ0VB0A7H1UzcRU-0-OYK97dY,part_373,2026-09-20 20:34:48
Service Agartala,CCTV Installation and Security System,Security system supplier,Security system supplier,799001,North Eastern Circle,Shillong HQ Region,Agartala Division,"Agartala H.O, Agartala Bazar S.O, Agartala Court S.O",+91 93665 34774,http://www.cctv.com/,5.0,4,"Shibnagar, Dhaleswar, Agartala, Tripura 799001","Shibnagar, Dhaleswar",23.830493,91.2867752,ChIJg6i_klT1UzcRxXSZJsKSwbk,https://www.google.com/maps/place/?q=place_id:ChIJg6i_klT1UzcRxXSZJsKSwbk,part_373,2026-09-20 20:34:48
CCTV CAMERA SHOP,CCTV Installation and Security System,Electronics store,Electronics store,799001,North Eastern Circle,Shillong HQ Region,Agartala Division,"Agartala H.O, Agartala Bazar S.O, Agartala Court S.O",+91 97742 20559,N/A,4.4,8,"Hawkers Market Ln, Dhaleswar, Agartala, Tripura 799001",Dhaleswar,23.8296679,91.2800748,ChIJXyw-xXL0UzcRggK72JkxYnc,https://www.google.com/maps/place/?q=place_id:ChIJXyw-xXL0UzcRggK72JkxYnc,part_373,2026-09-20 20:34:48
ROY INFOSYSTEM,CCTV Installation and Security System,Computer security service,"Computer security service, Computer store, Printer repair service",799001,North Eastern Circle,Shillong HQ Region,Agartala Division,"Agartala H.O, Agartala Bazar S.O, Agartala Court S.O",+91 97742 58295,N/A,5.0,19,"R7HJ+764 Surya Chowmuhani, Lal Matia, Near, Hawkers Market Ln, Dhaleswar, Agartala, Tripura 799001",Dhaleswar,23.8282796,91.2804077,ChIJPbhHEQD1UzcRjcR3Xbp_ElA,https://www.google.com/maps/place/?q=place_id:ChIJPbhHEQD1UzcRjcR3Xbp_ElA,part_373,2026-09-20 20:34:49
A. S. Security private service,CCTV Installation and Security System,Security guard service,Security guard service,799001,North Eastern Circle,Shillong HQ Region,Agartala Division,"Agartala H.O, Agartala Bazar S.O, Agartala Court S.O",+91 87873 02424,https://assecuritypvtsecurity.com/,5.0,38,"govt super market, police station, block - A, Battala, Agartala, Tripura 799001","block - A, Battala",23.8273041,91.26949359999999,ChIJE-n66zz1UzcROzf76A-ZMLc,https://www.google.com/maps/place/?q=place_id:ChIJE-n66zz1UzcROzf76A-ZMLc,part_373,2026-09-20 20:34:49
