business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shiva Ayurveda Centre,Herbal and Ayurvedic Cosmetic Products,Ayurvedic clinic,Ayurvedic clinic,799001,North Eastern Circle,Shillong HQ Region,Agartala Division,"Agartala H.O, Agartala Bazar S.O, Agartala Court S.O",+91 94361 38500,N/A,4.8,19.0,"Rd Number 3, Ram Nagar, Agartala, Tripura 799002",Ram Nagar,23.837469799999997,91.269854,ChIJZ8qI5u71UzcRtt58ZDCahgE,https://www.google.com/maps/place/?q=place_id:ChIJZ8qI5u71UzcRtt58ZDCahgE,part_373,2026-09-20 20:34:41
Patanjali Arogya Kendra,Herbal and Ayurvedic Cosmetic Products,Department store,Department store,799001,North Eastern Circle,Shillong HQ Region,Agartala Division,"Agartala H.O, Agartala Bazar S.O, Agartala Court S.O",+91 96129 82414,https://patanjalistores.patanjaliayurved.org/patanjali-arogya-kendra-sarkar-ayurvedic-centre-grocery-stores-barjala-west-tripura-352726/Home?utm_source=locator&utm_medium=googleplaces,4.3,3.0,"Ground Floor, Kalyanpur Para, Barjala, Agartala, Ramnagar part, Tripura 799002",Barjala,23.8590627,91.2702386,ChIJz2014TT3UzcR_qrbJ59JfBQ,https://www.google.com/maps/place/?q=place_id:ChIJz2014TT3UzcR_qrbJ59JfBQ,part_373,2026-09-20 20:34:41
PATANJALI,Herbal and Ayurvedic Cosmetic Products,Store,Store,799001,North Eastern Circle,Shillong HQ Region,Agartala Division,"Agartala H.O, Agartala Bazar S.O, Agartala Court S.O",+91 70059 72830,http://www.patanjaliayurved.net/,3.6,39.0,"ITI Rd, 79 Tilla, Agartala, Tripura 799006",79 Tilla,23.858984799999998,91.293965,ChIJXWDPVFHxUzcRLBUIysudXiM,https://www.google.com/maps/place/?q=place_id:ChIJXWDPVFHxUzcRLBUIysudXiM,part_373,2026-09-20 20:34:41
Tripureswari Ayurveda,Herbal and Ayurvedic Cosmetic Products,Alternative medicine practitioner,"Alternative medicine practitioner, Herbal medicine store",799001,North Eastern Circle,Shillong HQ Region,Agartala Division,"Agartala H.O, Agartala Bazar S.O, Agartala Court S.O",+91 94361 35839,N/A,3.0,,"Room No. 42, Market, opposite of Indira Gandhi Memorial Hospital, Dhaleswar, Agartala, Tripura 799001",Dhaleswar,23.830307599999998,91.2750066,ChIJGWFaWhP0UzcRAJmbwbtZbl0,https://www.google.com/maps/place/?q=place_id:ChIJGWFaWhP0UzcRAJmbwbtZbl0,part_373,2026-09-20 20:34:42
Diptanu Varieties,Herbal and Ayurvedic Cosmetic Products,Cosmetics store,Cosmetics store,799001,North Eastern Circle,Shillong HQ Region,Agartala Division,"Agartala H.O, Agartala Bazar S.O, Agartala Court S.O",N/A,N/A,5.0,,"Surjya Chowmuhani, Dhaleswar, Agartala, Tripura 799001",Dhaleswar,23.829762199999998,91.28086689999999,ChIJQ_gEOgj1UzcRUhx7y43NMq8,https://www.google.com/maps/place/?q=place_id:ChIJQ_gEOgj1UzcRUhx7y43NMq8,part_373,2026-09-20 20:34:42
Rupashree Ayurvedic,Herbal and Ayurvedic Cosmetic Products,Herbal medicine store,Herbal medicine store,799001,North Eastern Circle,Shillong HQ Region,Agartala Division,"Agartala H.O, Agartala Bazar S.O, Agartala Court S.O",N/A,N/A,5.0,1.0,"Dhaleswar, Agartala, Tripura 799007",Dhaleswar,23.8318469,91.29274009999999,ChIJndfJE8DzUzcR4K_9KzvuKvw,https://www.google.com/maps/place/?q=place_id:ChIJndfJE8DzUzcR4K_9KzvuKvw,part_373,2026-09-20 20:34:43
A to Z Ayurvedic medicine center,Herbal and Ayurvedic Cosmetic Products,Herbal medicine store,"Herbal medicine store, Ayurvedic clinic",799001,North Eastern Circle,Shillong HQ Region,Agartala Division,"Agartala H.O, Agartala Bazar S.O, Agartala Court S.O",+91 70055 74331,N/A,5.0,5.0,"Akhaura Rd, near Niljoyoti travels, Ram Nagar, Agartala, Tripura 799002",Ram Nagar,23.8350845,91.2652225,ChIJ84d5wQX1UzcR88UZPraIvwM,https://www.google.com/maps/place/?q=place_id:ChIJ84d5wQX1UzcR88UZPraIvwM,part_373,2026-09-20 20:34:43
Chakra Ayurveda,Herbal and Ayurvedic Cosmetic Products,Herbal medicine store,Herbal medicine store,799001,North Eastern Circle,Shillong HQ Region,Agartala Division,"Agartala H.O, Agartala Bazar S.O, Agartala Court S.O",N/A,N/A,1.0,1.0,"V73Q+278, 124jagatpur, Abhay Nagar, Agartala, Tripura 799005","124jagatpur, Abhay Nagar",23.8525486,91.28819329999999,ChIJW3OBGQD0UzcR6fq6ZwZEn1g,https://www.google.com/maps/place/?q=place_id:ChIJW3OBGQD0UzcR6fq6ZwZEn1g,part_373,2026-09-20 20:34:43
OM Ayurvedic,Herbal and Ayurvedic Cosmetic Products,Herbal medicine store,Herbal medicine store,799001,North Eastern Circle,Shillong HQ Region,Agartala Division,"Agartala H.O, Agartala Bazar S.O, Agartala Court S.O",N/A,N/A,,,"R8F5+R28, Subhash Nagar, Jogendra Nagar, Agartala, Tripura 799004","Subhash Nagar, Jogendra Nagar",23.8245361,91.30758929999999,ChIJM7igSQDzUzcRSl0SplnktMI,https://www.google.com/maps/place/?q=place_id:ChIJM7igSQDzUzcRSl0SplnktMI,part_373,2026-09-20 20:34:43
Urvija Ayurvedic Beauty Care Products,Herbal and Ayurvedic Cosmetic Products,Cosmetic Products Manufacturer,"Cosmetic Products Manufacturer, Organic shop",799001,North Eastern Circle,Shillong HQ Region,Agartala Division,"Agartala H.O, Agartala Bazar S.O, Agartala Court S.O",+91 98649 45827,https://www.myurvija.com/personalcare/app/,4.6,26.0,"Head Office:, DN-51 Merlin Infinite, Room No. 1205, DN Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091","DN Block, Sector V, Bidhannagar",22.5770441,88.43294859999999,ChIJq6q6eaV1AjoRvvzcneq1lMU,https://www.google.com/maps/place/?q=place_id:ChIJq6q6eaV1AjoRvvzcneq1lMU,part_373,2026-09-20 20:34:43
