business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Debraj Motors,Car Wash and Auto Detailing,Car wash,Car wash,799002,North Eastern Circle,Shillong HQ Region,Agartala Division,"Ramnagar S.O (West Tripura), AgartalaGuard Post B.O, Barjala B.O",+91 97741 13108,N/A,4.2,,"V76F+5XW, Barjala Rd, Barjala, Agartala, Ramnagar part, Tripura 799006",Barjala,23.8604946,91.27495619999999,ChIJ03sB11H3UzcRI6Ba_NsOiX8,https://www.google.com/maps/place/?q=place_id:ChIJ03sB11H3UzcRI6Ba_NsOiX8,part_373,2026-09-20 20:35:09
Splash And Shine,Car Wash and Auto Detailing,Car wash,Car wash,799002,North Eastern Circle,Shillong HQ Region,Agartala Division,"Ramnagar S.O (West Tripura), AgartalaGuard Post B.O, Barjala B.O",N/A,N/A,3.1,,"R7MM+G98, Lakshmi Narayan Bari Rd, Indranagar, Agartala, Tripura 799001",Indranagar,23.8337903,91.28345809999999,ChIJLROQMvb1UzcRj2Pm0xb0Tvg,https://www.google.com/maps/place/?q=place_id:ChIJLROQMvb1UzcRj2Pm0xb0Tvg,part_373,2026-09-20 20:35:09
Barman Car Wash Shop,Car Wash and Auto Detailing,Car wash,Car wash,799002,North Eastern Circle,Shillong HQ Region,Agartala Division,"Ramnagar S.O (West Tripura), AgartalaGuard Post B.O, Barjala B.O",+91 87320 47295,N/A,,,"Agartala Airport Rd, Usha Bazar, Agartala, Tripura 799009",Usha Bazar,23.8844302,91.2527822,ChIJm-i7VRT3UzcRZeteSaVQTXo,https://www.google.com/maps/place/?q=place_id:ChIJm-i7VRT3UzcRZeteSaVQTXo,part_373,2026-09-20 20:35:09
Sparkle Car wash and Detailing centre,Car Wash and Auto Detailing,Car wash,Car wash,799002,North Eastern Circle,Shillong HQ Region,Agartala Division,"Ramnagar S.O (West Tripura), AgartalaGuard Post B.O, Barjala B.O",N/A,N/A,5.0,,"52CM+7FJ, Kumarghat, Tripura 799264",799002,24.170722299999998,92.03365319999999,ChIJQ4FcGACJUTcRMvdrcmAKu48,https://www.google.com/maps/place/?q=place_id:ChIJQ4FcGACJUTcRMvdrcmAKu48,part_373,2026-09-20 20:35:09
Renubir Car Wash Parlour,Car Wash and Auto Detailing,Car wash,Car wash,799002,North Eastern Circle,Shillong HQ Region,Agartala Division,"Ramnagar S.O (West Tripura), AgartalaGuard Post B.O, Barjala B.O",+91 70053 24538,N/A,4.3,,"Karimganj - Agartala - Sabroom Rd, Tepania, Dhajanagar, Police Line, Udaipur, Dhwajnagar, Tripura 799113","Tepania, Dhajanagar, Police Line",23.5515001,91.4613799,ChIJ3a_zOb2ZUzcRNShybKcIfII,https://www.google.com/maps/place/?q=place_id:ChIJ3a_zOb2ZUzcRNShybKcIfII,part_373,2026-09-20 20:35:09
CAR FOAM WASH & CARE,Car Wash and Auto Detailing,Car wash,Car wash,799002,North Eastern Circle,Shillong HQ Region,Agartala Division,"Ramnagar S.O (West Tripura), AgartalaGuard Post B.O, Barjala B.O",+91 60092 20499,N/A,5.0,,"21 Nattunnagar, Agartala Airport Rd, Nutan Nagar, Agartala, Tripura 799009",Nutan Nagar,23.8817217,91.2678547,ChIJsXfEOqD3UzcRuEeV9zaqNgw,https://www.google.com/maps/place/?q=place_id:ChIJsXfEOqD3UzcRuEeV9zaqNgw,part_373,2026-09-20 20:35:09
Motor Vehicle Servicing Wash,Car Wash and Auto Detailing,Self service car wash,Self service car wash,799002,North Eastern Circle,Shillong HQ Region,Agartala Division,"Ramnagar S.O (West Tripura), AgartalaGuard Post B.O, Barjala B.O",N/A,N/A,4.3,,"F7WW+QH, Bejimara, Tripura 799115",799002,23.496894299999997,91.2964729,ChIJqUqYOTmFUzcRbkwJ2yax6wA,https://www.google.com/maps/place/?q=place_id:ChIJqUqYOTmFUzcRbkwJ2yax6wA,part_373,2026-09-20 20:35:10
North corner car washing center.Bilthai parking. zone,Car Wash and Auto Detailing,Car wash,Car wash,799002,North Eastern Circle,Shillong HQ Region,Agartala Division,"Ramnagar S.O (West Tripura), AgartalaGuard Post B.O, Barjala B.O",+91 98634 72976,N/A,4.9,21.0,"Bilthai, Tripura 799260",799002,24.2806414,92.15351779999999,ChIJb1Vdi5jzUTcRoEQSFgD3sWE,https://www.google.com/maps/place/?q=place_id:ChIJb1Vdi5jzUTcRoEQSFgD3sWE,part_373,2026-09-20 20:35:11
RIPAN DASS,Car Wash and Auto Detailing,Bike wash,Bike wash,799002,North Eastern Circle,Shillong HQ Region,Agartala Division,"Ramnagar S.O (West Tripura), AgartalaGuard Post B.O, Barjala B.O",N/A,https://www.instagram.com/ripan_das46?igsh=MmcyejVyZ2JjbW42,5.0,1.0,"6, above Purba Debendranagar, Kamalanagar, Purba Debendranagar, Tripura 799045",Kamalanagar,23.8135589,91.49002209999999,ChIJlShAUADrUzcRk-gSwtUKuQA,https://www.google.com/maps/place/?q=place_id:ChIJlShAUADrUzcRk-gSwtUKuQA,part_373,2026-09-20 20:35:11
PRADIP KUMAR REANG,Car Wash and Auto Detailing,Car wash,Car wash,799002,North Eastern Circle,Shillong HQ Region,Agartala Division,"Ramnagar S.O (West Tripura), AgartalaGuard Post B.O, Barjala B.O",+91 89749 37212,N/A,5.0,1.0,"Pandiran Para, Khedacherra, Tripura 799256",799002,24.093830099999998,92.3250896,ChIJIdGg4RMDUjcR6PIOKJbanWM,https://www.google.com/maps/place/?q=place_id:ChIJIdGg4RMDUjcR6PIOKJbanWM,part_373,2026-09-20 20:35:11
