business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Tripura Commercial,Commercial Complex,Computer store,Computer store,799004,North Eastern Circle,Shillong HQ Region,Agartala Division,"Anandanagar B.O, Agartala College S.O, Gabordi B.O",+91 89748 33646,N/A,5.0,,"Math Chowmuhani, Mathchowmuhani, Assam - Agartala Rd, Shiv Nagar, Dhaleswar, Agartala, Tripura 799001","Shiv Nagar, Dhaleswar",23.831001399999998,91.29078679999999,ChIJrUcNp4XzUzcR6VKL44v09hY,https://www.google.com/maps/place/?q=place_id:ChIJrUcNp4XzUzcR6VKL44v09hY,part_373,2026-09-20 20:36:41
Aralia school chowmuhani bazaar,Commercial Complex,Shopping mall,Shopping mall,799004,North Eastern Circle,Shillong HQ Region,Agartala Division,"Anandanagar B.O, Agartala College S.O, Gabordi B.O",+91 98636 92390,N/A,4.0,,"R8G6+7JH, Unnamed Road, Aralia, Agartala, Tripura 799004",Aralia,23.8256935,91.3116201,ChIJCeUY5L7zUzcRkK1dPaPlhoU,https://www.google.com/maps/place/?q=place_id:ChIJCeUY5L7zUzcRkK1dPaPlhoU,part_373,2026-09-20 20:36:41
Jyotsna varaities,Commercial Complex,Shopping mall,Shopping mall,799004,North Eastern Circle,Shillong HQ Region,Agartala Division,"Anandanagar B.O, Agartala College S.O, Gabordi B.O",N/A,N/A,4.6,,"to, Mahashakti Road, Vidyasagar, Jogendra Nagar, Agartala, Tripura 799004","Vidyasagar, Jogendra Nagar",23.8217893,91.301253,ChIJS5VPyMDzUzcRn2x-gYKShz0,https://www.google.com/maps/place/?q=place_id:ChIJS5VPyMDzUzcRn2x-gYKShz0,part_373,2026-09-20 20:36:41
Parashmoni,Commercial Complex,Shopping mall,Shopping mall,799004,North Eastern Circle,Shillong HQ Region,Agartala Division,"Anandanagar B.O, Agartala College S.O, Gabordi B.O",N/A,N/A,,,"Near Jogendranagar, bankumari, Agartala, Tripura 799004","Ambedkar Palli, Subhash Nagar, bankumari",23.8113517,91.30355139999999,ChIJxfQWQjvzUzcRB3PhDSiLhCA,https://www.google.com/maps/place/?q=place_id:ChIJxfQWQjvzUzcRB3PhDSiLhCA,part_373,2026-09-20 20:36:41
Joyram Studio.sastabazar,Commercial Complex,Shopping mall,Shopping mall,799004,North Eastern Circle,Shillong HQ Region,Agartala Division,"Anandanagar B.O, Agartala College S.O, Gabordi B.O",N/A,N/A,3.6,,"Q7RX+G5C, Unnamed Road, Madhuban, Tripura 799004",799004,23.7913125,91.2978832,ChIJYZ4nbmXzUzcRNQPdnEoNEPQ,https://www.google.com/maps/place/?q=place_id:ChIJYZ4nbmXzUzcRNQPdnEoNEPQ,part_373,2026-09-20 20:36:41
ABIR ENTERPRISE,Commercial Complex,Business to business service,"Business to business service, Iron & Steel Store",799004,North Eastern Circle,Shillong HQ Region,Agartala Division,"Anandanagar B.O, Agartala College S.O, Gabordi B.O",+91 70059 89122,N/A,5.0,,"Malaynagar NH8 Bypass, Road, Agartala, Tripura 799004",799004,23.801821,91.3097813,ChIJYwTIiWrzUzcR65iV8nvbS1Y,https://www.google.com/maps/place/?q=place_id:ChIJYwTIiWrzUzcR65iV8nvbS1Y,part_373,2026-09-20 20:36:41
DEEPTANU,Commercial Complex,Shopping mall,Shopping mall,799004,North Eastern Circle,Shillong HQ Region,Agartala Division,"Anandanagar B.O, Agartala College S.O, Gabordi B.O",N/A,N/A,5.0,,"R78P+HW3, Pratapgarh, Takrai chowmuhani, phul kalibari road, Agartala, Tripura 799004",Pratapgarh,23.816387499999998,91.28728679999999,ChIJkaLLL3v1UzcRbr2QgyuWbL0,https://www.google.com/maps/place/?q=place_id:ChIJkaLLL3v1UzcRbr2QgyuWbL0,part_373,2026-09-20 20:36:41
Paul Varieties,Commercial Complex,Shopping mall,Shopping mall,799004,North Eastern Circle,Shillong HQ Region,Agartala Division,"Anandanagar B.O, Agartala College S.O, Gabordi B.O",N/A,N/A,1.0,,"R8G6+87M, Aralia, Agartala, Tripura 799004",Aralia,23.8258437,91.3106719,ChIJR6-xvwnzUzcRUg8VbUuJgkg,https://www.google.com/maps/place/?q=place_id:ChIJR6-xvwnzUzcRUg8VbUuJgkg,part_373,2026-09-20 20:36:41
Adrasha Colony,Commercial Complex,Building materials store,Building materials store,799004,North Eastern Circle,Shillong HQ Region,Agartala Division,"Anandanagar B.O, Agartala College S.O, Gabordi B.O",N/A,N/A,,,"123, Subhash Nagar, Jogendra Nagar, Agartala, Tripura 799004","Subhash Nagar, Jogendra Nagar",23.8134081,91.31507289999999,ChIJ67YSQQDzUzcRJWNkZAz5J44,https://www.google.com/maps/place/?q=place_id:ChIJ67YSQQDzUzcRJWNkZAz5J44,part_373,2026-09-20 20:36:41
Villian commerce institute,Commercial Complex,Education center,Education center,799004,North Eastern Circle,Shillong HQ Region,Agartala Division,"Anandanagar B.O, Agartala College S.O, Gabordi B.O",+91 97745 43523,https://wa.link/t65xl5,4.7,,"opposite side of Kamini kumar HS school, Dhaleswar, Agartala, Tripura 799004",Dhaleswar,23.833022399999997,91.2965134,ChIJVUG33hfzUzcRT5UQThq5IxU,https://www.google.com/maps/place/?q=place_id:ChIJVUG33hfzUzcRT5UQThq5IxU,part_373,2026-09-20 20:36:43
Rajib Paul,Commercial Complex,Housing complex,Housing complex,799004,North Eastern Circle,Shillong HQ Region,Agartala Division,"Anandanagar B.O, Agartala College S.O, Gabordi B.O",N/A,N/A,,,"no 3, Road Number 11, A.D Nagar, Arundhauti Nagar, Agartala, Radhamohanpur, Tripura 799035","A.D Nagar, Arundhauti Nagar",23.778639899999998,91.3862535,ChIJN671PQDtUzcRX_kArt8oMP0,https://www.google.com/maps/place/?q=place_id:ChIJN671PQDtUzcRX_kArt8oMP0,part_373,2026-09-20 20:36:43
Barman bari ad nagar 6,Commercial Complex,Housing complex,Housing complex,799004,North Eastern Circle,Shillong HQ Region,Agartala Division,"Anandanagar B.O, Agartala College S.O, Gabordi B.O",N/A,N/A,,,"AD Nagar, road 6, Pratapgarh, Agartala, Tripura 799004",Pratapgarh,23.8242767,91.2897797,ChIJVcludQDzUzcRu6dNTrWzVpY,https://www.google.com/maps/place/?q=place_id:ChIJVcludQDzUzcRu6dNTrWzVpY,part_373,2026-09-20 20:36:43
