business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jyoti Builders,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,799005,North Eastern Circle,Shillong HQ Region,Agartala Division,Abhoynagar S.O,+91 70056 04596,N/A,,,"Ujan, Abhay Nagar, Agartala, Tripura 799005","Ujan, Abhay Nagar",23.8457948,91.28845079999999,ChIJP-sE17P1UzcRWjYYjRmIobU,https://www.google.com/maps/place/?q=place_id:ChIJP-sE17P1UzcRWjYYjRmIobU,part_373,2026-09-20 20:37:00
Debnath Construction,Civil Contractor and Builder,Building firm,Building firm,799005,North Eastern Circle,Shillong HQ Region,Agartala Division,Abhoynagar S.O,N/A,N/A,,,"RANIRBAZAR, Radha Nagar, PURBANOAGOAN, Agartala, Tripura 799035","RANIRBAZAR, Radha Nagar",23.8450068,91.28005689999999,ChIJCXJW0Bj1UzcRCUWHcvvldX0,https://www.google.com/maps/place/?q=place_id:ChIJCXJW0Bj1UzcRCUWHcvvldX0,part_373,2026-09-20 20:37:00
Tripura Housing and Construction Board,Civil Contractor and Builder,Housing development,Housing development,799005,North Eastern Circle,Shillong HQ Region,Agartala Division,Abhoynagar S.O,N/A,N/A,4.0,,"Pt Nehru Complex, Agartala Airport Rd, Gurkha BAsti, Agartala, Tripura 799006",Gurkha BAsti,23.8548658,91.282468,ChIJfbh7t6n2UzcRNChqw8M66DY,https://www.google.com/maps/place/?q=place_id:ChIJfbh7t6n2UzcRNChqw8M66DY,part_373,2026-09-20 20:37:00
Bridge & Roof Company India Limited,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,799005,North Eastern Circle,Shillong HQ Region,Agartala Division,Abhoynagar S.O,N/A,N/A,,,"328, Banamalipur, Indranagar, Agartala, Tripura 799007","Banamalipur, Indranagar",23.8414444,91.2919562,ChIJi6xORADzUzcRn5NiPql26Rk,https://www.google.com/maps/place/?q=place_id:ChIJi6xORADzUzcRn5NiPql26Rk,part_373,2026-09-20 20:37:00
NEO Fences Private Limited,Civil Contractor and Builder,Fence contractor,Fence contractor,799005,North Eastern Circle,Shillong HQ Region,Agartala Division,Abhoynagar S.O,+91 91261 35845,https://www.facebook.com/profile.php?id=61580264907632,4.9,,"Buddhamandir, Abhoynagar Puthiba debta bari road, near shantikami club, Agartala, Tripura 799001",Krishna Nagar,23.8470023,91.28427719999999,ChIJuxC7s2H1UzcR2xxlB7bUs_k,https://www.google.com/maps/place/?q=place_id:ChIJuxC7s2H1UzcR2xxlB7bUs_k,part_373,2026-09-20 20:37:00
Prantik Apartment (RB Construction),Civil Contractor and Builder,Apartment building,Apartment building,799005,North Eastern Circle,Shillong HQ Region,Agartala Division,Abhoynagar S.O,N/A,N/A,5.0,,"V73P+567, Kunjaban, Agartala, Tripura 799006",Kunjaban,23.852909999999998,91.28554179999999,ChIJFyGPCgD1UzcRhUASZ-dfsd8,https://www.google.com/maps/place/?q=place_id:ChIJFyGPCgD1UzcRhUASZ-dfsd8,part_373,2026-09-20 20:37:00
DEBNATH RENTAL HOUSE AGARTALA,Civil Contractor and Builder,Logging contractor,Logging contractor,799005,North Eastern Circle,Shillong HQ Region,Agartala Division,Abhoynagar S.O,N/A,N/A,5.0,,"Town, Nutan Polli, Indranagar, Agartala, Tripura 799005","Nutan Polli, Indranagar",23.8445516,91.29190589999999,ChIJZeZkkzvzUzcRV4z-U3WVcQ0,https://www.google.com/maps/place/?q=place_id:ChIJZeZkkzvzUzcRV4z-U3WVcQ0,part_373,2026-09-20 20:37:00
Civil Engineering Consultancy Services Pvt Ltd,Civil Contractor and Builder,Civil engineering company,Civil engineering company,799005,North Eastern Circle,Shillong HQ Region,Agartala Division,Abhoynagar S.O,N/A,N/A,,,"Indranagar, Agartala, Tripura 799005",Indranagar,23.8444634,91.29595169999999,ChIJr098mA_xUzcRolfcRy5FgR0,https://www.google.com/maps/place/?q=place_id:ChIJr098mA_xUzcRolfcRy5FgR0,part_373,2026-09-20 20:37:00
Prathin House,Civil Contractor and Builder,Home builder,Home builder,799005,North Eastern Circle,Shillong HQ Region,Agartala Division,Abhoynagar S.O,N/A,N/A,,,"Block 17/65, 79 Tilla, Agartala, Tripura 799006",79 Tilla,23.855055099999998,91.2872721,ChIJxwXsEM33UzcRRYc640EZMBQ,https://www.google.com/maps/place/?q=place_id:ChIJxwXsEM33UzcRRYc640EZMBQ,part_373,2026-09-20 20:37:00
Dreamline home construction and developers,Civil Contractor and Builder,Home builder,Home builder,799005,North Eastern Circle,Shillong HQ Region,Agartala Division,Abhoynagar S.O,N/A,N/A,,,"V73Q+CJ6, Ujan Abhoynagar, Indranagar, Agartala, Tripura 799005",Indranagar,23.8535446,91.2890204,ChIJJZAYEgD3UzcRg-fqCKLEmjw,https://www.google.com/maps/place/?q=place_id:ChIJJZAYEgD3UzcRg-fqCKLEmjw,part_373,2026-09-20 20:37:00
Shree Balaji Builders | best construction company | interior designer | civil contractors | in Raipur | architect | in C.G.,Civil Contractor and Builder,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Architectural designer, Home builder, Interior designer",799005,North Eastern Circle,Shillong HQ Region,Agartala Division,Abhoynagar S.O,+91 88787 88882,http://www.shreebalajibuilders.in/,4.7,,"First Floor, Shree Balaji Bhawan, near chowk, Laxmi Nagar, Navjeevan Society, Pachpedi Naka, Raipur, Mathpurena, Chhattisgarh 492001","Laxmi Nagar, Navjeevan Society, Pachpedi Naka",21.218935,81.648555,ChIJwct5iiPdKDoRncWMbkWK2HA,https://www.google.com/maps/place/?q=place_id:ChIJwct5iiPdKDoRncWMbkWK2HA,part_373,2026-09-20 20:37:01
Dipti Bhavan,Civil Contractor and Builder,Housing society,Housing society,799005,North Eastern Circle,Shillong HQ Region,Agartala Division,Abhoynagar S.O,N/A,N/A,5.0,,"V73Q+JCF, Jagatpur, Abhay Nagar, Agartala, Tripura 799006",Abhay Nagar,23.8540538,91.28853989999999,ChIJ06gsZQD3UzcR0gMTvQ4FxEU,https://www.google.com/maps/place/?q=place_id:ChIJ06gsZQD3UzcR0gMTvQ4FxEU,part_373,2026-09-20 20:37:01
"23, Rohan Avenue",Civil Contractor and Builder,Housing society,Housing society,799005,North Eastern Circle,Shillong HQ Region,Agartala Division,Abhoynagar S.O,N/A,N/A,5.0,,"V75V+CR4, Kshudiram Palli, 79 Tilla, Agartala, Tripura 799006","Kshudiram Palli, 79 Tilla",23.857974,91.295735,ChIJSUcmGADxUzcRvOBQVcq-yuA,https://www.google.com/maps/place/?q=place_id:ChIJSUcmGADxUzcRvOBQVcq-yuA,part_373,2026-09-20 20:37:01
Raipur Builder | #1 construction company | architect | civil contractors | in Raipur | in Chhattisgarh,Civil Contractor and Builder,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Architect, Interior architect office, Interior construction contractor, Interior Decorator, Interior designer",799005,North Eastern Circle,Shillong HQ Region,Agartala Division,Abhoynagar S.O,+91 90905 22222,https://www.raipurbuilder.com/,4.8,,"Unit number 4055, 4th floor, Lalganga Currency Tower, Vishal Nagar, Raipur, Chhattisgarh 492001",Vishal Nagar,21.2384469,81.67857889999999,ChIJn3Mbj7HcD4cRYkWUU5k4tR4,https://www.google.com/maps/place/?q=place_id:ChIJn3Mbj7HcD4cRYkWUU5k4tR4,part_373,2026-09-20 20:37:01
Sri Krishna Construction,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,799005,North Eastern Circle,Shillong HQ Region,Agartala Division,Abhoynagar S.O,+91 84160 67586,N/A,5.0,1.0,"BT Rd, Banamalipur, Indranagar, Agartala, Tripura 799001","Banamalipur, Indranagar",23.8395022,91.28733919999999,ChIJFxn-0oz1UzcRgEKxtpsztWM,https://www.google.com/maps/place/?q=place_id:ChIJFxn-0oz1UzcRgEKxtpsztWM,part_373,2026-09-20 20:37:01
PWD (DWS),Civil Contractor and Builder,State government office,State government office,799005,North Eastern Circle,Shillong HQ Region,Agartala Division,Abhoynagar S.O,N/A,N/A,4.3,,"Gorkhabasti, P. N. Complex, Agartala, Gorkhabasti, E-3, Gorkhabasti, 79 Tilla, Agartala, Tripura 799006","Gorkhabasti, 79 Tilla",23.8538332,91.2786418,ChIJm4AY7qf2UzcRMZwwLIM5WQA,https://www.google.com/maps/place/?q=place_id:ChIJm4AY7qf2UzcRMZwwLIM5WQA,part_373,2026-09-20 20:37:02
