business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
N. L. Group of Companies,Businesses,Manufacturer,"Manufacturer, Betting agency, Paper distributor, Wholesaler",799009,North Eastern Circle,Shillong HQ Region,Agartala Division,"Durjaynagar B.O, Lankamura B.O, Agartala Aerodrome S.O",N/A,N/A,5.0,,"Agartala Airport Rd, Usha Bazar, Agartala, Tripura 799009",Usha Bazar,23.8860891,91.2563021,ChIJFSsGWGX3UzcRXI0Rmw0TTt8,https://www.google.com/maps/place/?q=place_id:ChIJFSsGWGX3UzcRXI0Rmw0TTt8,part_373,2026-09-20 20:39:31
"SAPTARSHI,C/O Ranabir Bhowmik, Retd. Teacher",Businesses,Apartment building,Apartment building,799009,North Eastern Circle,Shillong HQ Region,Agartala Division,"Durjaynagar B.O, Lankamura B.O, Agartala Aerodrome S.O",N/A,N/A,5.0,,"V7M7+W84, Nabagram Rd, Nutan Nagar, Agartala, Tripura 799009",Nutan Nagar,23.884759799999998,91.2633161,ChIJPw2HbwD3UzcRiwCxzo1hcpc,https://www.google.com/maps/place/?q=place_id:ChIJPw2HbwD3UzcRiwCxzo1hcpc,part_373,2026-09-20 20:39:31
Car business,Businesses,Travel agency,Travel agency,799009,North Eastern Circle,Shillong HQ Region,Agartala Division,"Durjaynagar B.O, Lankamura B.O, Agartala Aerodrome S.O",+91 70050 16754,N/A,,,"Agartala Airport Rd, near by patunnagar katia baba English Medium school, Bhubanban, Agartala, Tripura 799009",Bhubanban,23.876794399999998,91.267506,ChIJZ4VkfyT3UzcRjFz5WAhO1tE,https://www.google.com/maps/place/?q=place_id:ChIJZ4VkfyT3UzcRjFz5WAhO1tE,part_373,2026-09-20 20:39:31
Paul Varaitese,Businesses,Wholesaler,Wholesaler,799009,North Eastern Circle,Shillong HQ Region,Agartala Division,"Durjaynagar B.O, Lankamura B.O, Agartala Aerodrome S.O",+91 70055 08385,N/A,4.8,,"Paul varaitese, Agartala Airport Rd, Usha Bazar, Agartala, Tripura 799009",Usha Bazar,23.8848408,91.2503593,ChIJYf7hmFj2UzcRrLpHhKsZmWA,https://www.google.com/maps/place/?q=place_id:ChIJYf7hmFj2UzcRrLpHhKsZmWA,part_373,2026-09-20 20:39:31
Advocate Rajesh Sutradhar,Businesses,Housing society,Housing society,799009,North Eastern Circle,Shillong HQ Region,Agartala Division,"Durjaynagar B.O, Lankamura B.O, Agartala Aerodrome S.O",N/A,N/A,4.5,,"Usha Bazar, Agartala, Tripura 799009",Usha Bazar,23.882819299999998,91.252113,ChIJq_w2dcv3UzcR0VeVLzn5dXI,https://www.google.com/maps/place/?q=place_id:ChIJq_w2dcv3UzcR0VeVLzn5dXI,part_373,2026-09-20 20:39:31
Swarna Kutir,Businesses,Apartment building,Apartment building,799009,North Eastern Circle,Shillong HQ Region,Agartala Division,"Durjaynagar B.O, Lankamura B.O, Agartala Aerodrome S.O",N/A,N/A,5.0,,"V7P3+GVG, Bhati Abhoynagar Airport Rd, Usha Bazar, Agartala, Tripura 799009",Usha Bazar,23.8863029,91.25482439999999,ChIJ130Nb0T3UzcRP05PKLfSHT4,https://www.google.com/maps/place/?q=place_id:ChIJ130Nb0T3UzcRP05PKLfSHT4,part_373,2026-09-20 20:39:31
N.C.B,Businesses,Apartment building,Apartment building,799009,North Eastern Circle,Shillong HQ Region,Agartala Division,"Durjaynagar B.O, Lankamura B.O, Agartala Aerodrome S.O",N/A,N/A,5.0,,"V7P3+GVG, Usha Bazar, Agartala, Tripura 799009",Usha Bazar,23.8862745,91.2542546,ChIJd2IgDQD3UzcRlIwuPS48G8g,https://www.google.com/maps/place/?q=place_id:ChIJd2IgDQD3UzcRlIwuPS48G8g,part_373,2026-09-20 20:39:31
Debnath Mansion,Businesses,Apartment building,Apartment building,799009,North Eastern Circle,Shillong HQ Region,Agartala Division,"Durjaynagar B.O, Lankamura B.O, Agartala Aerodrome S.O",N/A,N/A,5.0,,"V7P3+GVG, Bhati Abhoynagar Airport Rd, Usha Bazar, Agartala, Tripura 799009",Usha Bazar,23.8863046,91.2547099,ChIJMS1z_G_3UzcREOvErpx9ytY,https://www.google.com/maps/place/?q=place_id:ChIJMS1z_G_3UzcREOvErpx9ytY,part_373,2026-09-20 20:39:31
Happy To Serve,Businesses,Business center,"Business center, Service establishment",799009,North Eastern Circle,Shillong HQ Region,Agartala Division,"Durjaynagar B.O, Lankamura B.O, Agartala Aerodrome S.O",N/A,https://www.happytoserve.in/,5.0,,"Happy To Serve, 799009, India",799009,23.851996999999997,91.2949343,ChIJ232ppDP3UzcRjU13f14qoao,https://www.google.com/maps/place/?q=place_id:ChIJ232ppDP3UzcRjU13f14qoao,part_373,2026-09-20 20:39:31
Tripura Mushroom Spawn Lab,Businesses,Manufacturer,Manufacturer,799009,North Eastern Circle,Shillong HQ Region,Agartala Division,"Durjaynagar B.O, Lankamura B.O, Agartala Aerodrome S.O",+91 70052 41964,https://www.facebook.com/share/15p5cgtdHq/,4.9,,"Narsingarh, Agartala, Tripura 799015",Narsingarh,23.9069124,91.2553355,ChIJiY2aJbP3UzcRE7YueoROai8,https://www.google.com/maps/place/?q=place_id:ChIJiY2aJbP3UzcRE7YueoROai8,part_373,2026-09-20 20:39:32
