business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"9CV9+8MP Samukchhara, Tripura",Bar and Pub,Bar,Bar,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 70053 64717,N/A,5.0,1.0,"9CV9+8MP, Samukchhara, Tripura 799105",799105,23.3933125,91.41918749999999,ChIJN2DdJumdUzcR5eUuRVn0fTY,https://www.google.com/maps/place/?q=place_id:ChIJN2DdJumdUzcR5eUuRVn0fTY,part_374,2026-09-20 20:19:15,764
Biplab Tripura House,Bar and Pub,Bar,Bar,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,5.0,1.0,"9CM2+M9, Paschim Peporiakhola, Tripura 799105",799105,23.3841346,91.4009555,ChIJuVc1LwCdUzcRKL-hkuW-h-0,https://www.google.com/maps/place/?q=place_id:ChIJuVc1LwCdUzcRKL-hkuW-h-0,part_374,2026-09-20 20:19:15,765
Mostafa Bar House,Bar and Pub,Bar,Bar,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,4.4,7.0,"C7F8+V2F, Border Rd, Tripura 799131",799105,23.424686299999998,91.26504229999999,ChIJ56bfLGqBUzcR3Vzu0HTrjxM,https://www.google.com/maps/place/?q=place_id:ChIJ56bfLGqBUzcR3Vzu0HTrjxM,part_374,2026-09-20 20:19:15,766
Golirai,Bar and Pub,Bar,Bar,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,4.2,15.0,"J85X+84G holistic, Bisramgang Bazar, Bishramganj, Tripura 799103",Bisramgang Bazar,23.6083222,91.3478288,ChIJ6_mcnQWPUzcRb2yl-VnpKB4,https://www.google.com/maps/place/?q=place_id:ChIJ6_mcnQWPUzcRb2yl-VnpKB4,part_374,2026-09-20 20:19:15,767
Badal Mallik Store,Bar and Pub,Bar,Bar,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,,,"F8FX+4RQ, Jharjharia, Tripura 799105",799105,23.4728404,91.349594,ChIJnU9SXwCFUzcRSE88tDP2pWM,https://www.google.com/maps/place/?q=place_id:ChIJnU9SXwCFUzcRSE88tDP2pWM,part_374,2026-09-20 20:19:15,768
Sip & Savour,Bar and Pub,Bar,Bar,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,3.5,49.0,"R7J9+PQ7, Jay Nagar, Agartala, Tripura 799001",Jay Nagar,23.831776899999998,91.26941409999999,ChIJn0UDcuL1UzcRnsbFUEB3J90,https://www.google.com/maps/place/?q=place_id:ChIJn0UDcuL1UzcRnsbFUEB3J90,part_374,2026-09-20 20:19:15,769
Tulamura FL Shop,Bar and Pub,Bar,Bar,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 89749 32266,N/A,,,"Tulamura, Tripura 799105",799105,23.4903507,91.4038011,ChIJeSv7GNWbUzcRZFlRONCRWRo,https://www.google.com/maps/place/?q=place_id:ChIJeSv7GNWbUzcRZFlRONCRWRo,part_374,2026-09-20 20:19:15,770
Bara bhaiya,Bar and Pub,Bar,Bar,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,5.0,1.0,"HC8V+4R4, Radhakishorepur R.F., Tripura 799113",799105,23.5647076,91.44367679999999,ChIJY2v9TgCZUzcRrVRzRgUUuUA,https://www.google.com/maps/place/?q=place_id:ChIJY2v9TgCZUzcRrVRzRgUUuUA,part_374,2026-09-20 20:19:15,771
Paresh Jamatia,Bar and Pub,Bar,Bar,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 98635 35327,N/A,5.0,1.0,"Tribal Chow mani, Bagma, Bagabasa, Tripura 799105",799105,23.5593711,91.4083009,ChIJ69st_XybUzcRxJ9Kbl-65v4,https://www.google.com/maps/place/?q=place_id:ChIJ69st_XybUzcRxJ9Kbl-65v4,part_374,2026-09-20 20:19:15,772
Sayan Majumder,Bar and Pub,Bar,Bar,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,3.0,2.0,"FF8H+RRF, Paschim Magpushkarini, Tripura 799125",799105,23.467069,91.479536,ChIJJ-v-bd-fUzcRWIK7-TA0Bs4,https://www.google.com/maps/place/?q=place_id:ChIJJ-v-bd-fUzcRWIK7-TA0Bs4,part_374,2026-09-20 20:19:15,773
Bagabasa karatipara,Bar and Pub,Bar,Bar,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,4.6,5.0,"HC23+PMW, Bagabasa, Tripura 799105",799105,23.551859699999998,91.4042161,ChIJLTP15qObUzcRgFnRrxTKOsA,https://www.google.com/maps/place/?q=place_id:ChIJLTP15qObUzcRgFnRrxTKOsA,part_374,2026-09-20 20:19:15,774
রয়েল ফুচকা,Bar and Pub,Bar,Bar,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,5.0,1.0,"F8PJ+P2R, Telkajla, Tripura 799115",799105,23.486853999999997,91.3300233,ChIJIc-ew5yFUzcRT5FtRZ3cutE,https://www.google.com/maps/place/?q=place_id:ChIJIc-ew5yFUzcRT5FtRZ3cutE,part_374,2026-09-20 20:19:15,775
Tipsy Fizzy The Rooftop Lounge,Bar and Pub,Lounge bar,Lounge bar,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,3.9,413.0,"Palace Compound, Jagannath Bari Road, Agartala . Pin-799001, Agartala, Tripura 799001","Palace Compound, Indranagar",23.8355715,91.2797932,ChIJl0elELT1UzcR2xHAoTdON3c,https://www.google.com/maps/place/?q=place_id:ChIJl0elELT1UzcR2xHAoTdON3c,part_374,2026-09-20 20:19:15,776
Shuvam Majumder,Bar and Pub,Bar,Bar,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,,,"HF32+JGM, Tepania, Radhakishorepur R.F., Tripura 799113",Tepania,23.5540926,91.45128129999999,ChIJ6QG8QQCZUzcRmImsvnnAMfo,https://www.google.com/maps/place/?q=place_id:ChIJ6QG8QQCZUzcRmImsvnnAMfo,part_374,2026-09-20 20:19:15,777
Manik home,Bar and Pub,Bar,Bar,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,5.0,1.0,"9CH5+X98, Unnamed Road, Paschim Peporiakhola, Tripura 799105",Paschim Peporiakhola,23.379922699999998,91.4084598,ChIJz1DRHKqdUzcR2BX6TX3x7GY,https://www.google.com/maps/place/?q=place_id:ChIJz1DRHKqdUzcR2BX6TX3x7GY,part_374,2026-09-20 20:19:15,778
Manish jamatia,Bar and Pub,Bar,Bar,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,3.0,1.0,"HCRJ+PV5, Bagma, Tripura 799113",799105,23.5917525,91.4322212,ChIJeYoFGvGRUzcRXOFC2cI9dsM,https://www.google.com/maps/place/?q=place_id:ChIJeYoFGvGRUzcRXOFC2cI9dsM,part_374,2026-09-20 20:19:15,779
Jhalak bakshi house,Bar and Pub,Bar,Bar,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,,,"F8WJ+WG2, Melaghar, Tripura 799115",799105,23.4972535,91.331257,ChIJHRJlMSaFUzcRobS0cRAQNBU,https://www.google.com/maps/place/?q=place_id:ChIJHRJlMSaFUzcRobS0cRAQNBU,part_374,2026-09-20 20:19:15,780
Water company,Bar and Pub,Bar,Bar,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,,,"GF52+45, Palatana, Tripura 799105",799105,23.507842999999998,91.450402,ChIJN4ObZQCZUzcRSc-T41s8FQU,https://www.google.com/maps/place/?q=place_id:ChIJN4ObZQCZUzcRSc-T41s8FQU,part_374,2026-09-20 20:19:15,781
Md: hanif,Bar and Pub,Bar,Bar,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,5.0,1.0,"F8HJ+VQC, Telkajla, Tripura 799105",799105,23.4796409,91.3318951,ChIJpRoajaKFUzcRU-urd2w3NCQ,https://www.google.com/maps/place/?q=place_id:ChIJpRoajaKFUzcRU-urd2w3NCQ,part_374,2026-09-20 20:19:15,782
Restaurant,Bar and Pub,Bar,Bar,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 60097 85852,N/A,5.0,1.0,"Khumulwng Rd, Khumulwng, Radhapur, Tripura 799045",799105,23.798655,91.4377143,ChIJ4V5J8RrtUzcRret__AFY-r4,https://www.google.com/maps/place/?q=place_id:ChIJ4V5J8RrtUzcRret__AFY-r4,part_374,2026-09-20 20:19:15,783
Ogochhalo Bar অগোছালো,Bar and Pub,Bar,Bar,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,4.0,6.0,"2, Police Hospital Rd, near CNG Station, Milanchakra, Badharghat, Agartala, Tripura 799003","Milanchakra, Badharghat",23.811129899999997,91.2704528,ChIJjT_aZgD1UzcRPVLf4nzdDlM,https://www.google.com/maps/place/?q=place_id:ChIJjT_aZgD1UzcRPVLf4nzdDlM,part_374,2026-09-20 20:19:16,784
