business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Byte Cyber Cafe,Internet Cafe,Internet cafe,Internet cafe,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 85755 81625,N/A,4.9,41.0,"Byte Cyber Cafe, near Veeramma Kali Temple, Rangamura, Melaghar, Tripura 799115",Rangamura,23.505976699999998,91.3271682,ChIJsQVgPv6FUzcR6eBwQ_iE0MQ,https://www.google.com/maps/place/?q=place_id:ChIJsQVgPv6FUzcR6eBwQ_iE0MQ,part_374,2026-09-20 20:19:37,3800
HONEY CYBER CORNER AND CSC CENTRE,Internet Cafe,Internet cafe,"Internet cafe, Mobile phone repair shop",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 87873 20233,N/A,4.5,2.0,"Nalchar-Bagma Rd, Bagabasa, Tripura 799105",799105,23.5607272,91.40810169999999,ChIJ20JSMGGbUzcRJntrtd1l5aY,https://www.google.com/maps/place/?q=place_id:ChIJ20JSMGGbUzcRJntrtd1l5aY,part_374,2026-09-20 20:19:37,3801
Das House,Internet Cafe,Internet cafe,Internet cafe,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,5.0,1.0,"Paschim Magpushkarini, Tripura 799105",799105,23.493445599999998,91.4731101,ChIJoTGtwtyZUzcRwWVhlwFsKNw,https://www.google.com/maps/place/?q=place_id:ChIJoTGtwtyZUzcRwWVhlwFsKNw,part_374,2026-09-20 20:19:37,3802
Sanjit's CSC Centre,Internet Cafe,Internet cafe,Internet cafe,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,5.0,1.0,"G89W+37X Poang Bari, and, Melaghar, Paschim Nalchar, Tripura 799115",799105,23.5177408,91.3457494,ChIJu27OIACFUzcRvLB7bALaOfg,https://www.google.com/maps/place/?q=place_id:ChIJu27OIACFUzcRvLB7bALaOfg,part_374,2026-09-20 20:19:37,3803
Cyber Cafe,Internet Cafe,Cell phone accessory store,Cell phone accessory store,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 93664 82101,N/A,5.0,13.0,"Cyber Cafe, Radhamadhabpur, Melaghar, Chandigarh, Tripura 799115",799105,23.5107149,91.33255869999999,ChIJjRpx7riFUzcRVEO8mtTW-HU,https://www.google.com/maps/place/?q=place_id:ChIJjRpx7riFUzcRVEO8mtTW-HU,part_374,2026-09-20 20:19:37,3804
Kausar varieties Store,Internet Cafe,Internet cafe,Internet cafe,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,5.0,1.0,"BARDHEPA, Telkajla, Tripura 799115",BARDHEPA,23.479151599999998,91.3319222,ChIJD7XNZwCFUzcRgi3OHLZhdfI,https://www.google.com/maps/place/?q=place_id:ChIJD7XNZwCFUzcRgi3OHLZhdfI,part_374,2026-09-20 20:19:37,3805
M/S Support Service,Internet Cafe,Internet cafe,Internet cafe,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 99996 23554,N/A,5.0,1.0,"Jagannath Chowmihani, Udaipur, Tripura 799105",Jagannath Chowmihani,23.5362258,91.487799,ChIJfSONbhaZUzcRjvt7Udz77T4,https://www.google.com/maps/place/?q=place_id:ChIJfSONbhaZUzcRjvt7Udz77T4,part_374,2026-09-20 20:19:37,3806
Digital Service Point,Internet Cafe,Internet cafe,Internet cafe,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,,,"F8WM+WJG, Post Office Rd, Melaghar, Tripura 799115",799105,23.497301399999998,91.3340925,ChIJQcRIUQCFUzcRFDdSj2B2DME,https://www.google.com/maps/place/?q=place_id:ChIJQcRIUQCFUzcRFDdSj2B2DME,part_374,2026-09-20 20:19:37,3807
South Taibandal e-Govt Service Centre,Internet Cafe,Internet cafe,Internet cafe,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,,,"South, Taibandal, Dakshin Taibandul, Tripura 799131",799105,23.4133639,91.36505509999999,ChIJma4_riGDUzcRtLI_BU8wsGY,https://www.google.com/maps/place/?q=place_id:ChIJma4_riGDUzcRtLI_BU8wsGY,part_374,2026-09-20 20:19:37,3808
AB Cyber Cafe,Internet Cafe,Internet cafe,Internet cafe,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 82569 14311,N/A,4.9,116.0,"Collage road, Shibnagar, Dhaleswar, Agartala, Tripura 799004","Shibnagar, Dhaleswar",23.827453199999997,91.2912422,ChIJ2R3OWyXzUzcRFcpVmzx3OQo,https://www.google.com/maps/place/?q=place_id:ChIJ2R3OWyXzUzcRFcpVmzx3OQo,part_374,2026-09-20 20:19:37,3809
DIGITAL ZONE,Internet Cafe,Internet cafe,Internet cafe,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 82599 32481,N/A,,,"SHALGARA, Udaipur, Salgarha, Tripura 799114",SHALGARA,23.5353311,91.44816209999999,ChIJmYaEw7KZUzcRhro-hJpKGYI,https://www.google.com/maps/place/?q=place_id:ChIJmYaEw7KZUzcRhro-hJpKGYI,part_374,2026-09-20 20:19:37,3810
